Current Date:,5/18/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,25,25,24,25,24,25,25,25,24,24,24,24,24,24,24,24,24,24,24,25,24,24,25,25,24,25,00
,PENDLETON,24,24,24,24,24,24,24,24,24,23,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,24,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,2.9,3.9,4.7,2.8,4.8,6.1,5.9,2.6,M,M,M,8.2,6.3,M,M,-3.6,6.7,9.2,14.4,11.4,8.1,8.0,7.5,6.5,6.1,14.4,18
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.7,2.3,1.7,3.2,5.3,5.7,3.5,4.2,5.8,3.2,1.0,M,4.2,3.2,3.8,4.4,3.9,5.0,7.7,8.4,4.3,4.2,5.8,6.5,4.3,8.4,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,4.3,3.1,5.8,6.1,4.6,4.6,7.5,6.2,7.5,6.1,4.5,6.6,7.5,15.8,7.3,9.0,5.0,3.3,3.5,5.2,7.8,8.5,11.4,10.0,6.7,15.8,13
,PENDLETON,4.0,3.7,4.9,1.8,-.2,7.1,6.3,4.2,5.1,2.9,1.1,3.8,3.9,5.2,4.2,5.4,6.5,4.4,11.4,6.3,2.4,7.1,8.3,5.3,4.7,11.4,18
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,238,245,260,259,136,146,140,203,231,250,228,239,244,245,236,249,236,220,221,233,217,219,236,267,225,267,23
,CHULA VISTA,268,65,117,124,184,234,243,242,245,236,240,245,251,250,249,251,243,245,238,228,186,172,203,240,217,268,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,113,81,78,115,127,152,137,215,221,236,240,237,237,228,230,242,212,239,201,169,190,190,178,241,188,242,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,77,93,88,106,102,103,146,192,M,216,206,209,203,216,229,236,231,228,220,214,203,181,234,229,181,236,15
,OTAY MESA DVN,14,241,238,65,247,234,233,205,204,215,220,223,229,248,252,258,259,256,251,256,262,248,196,246,221,262,20
,PENDLETON,32,41,41,52,56,57,79,171,181,200,204,199,198,198,200,208,191,208,172,229,214,203,217,215,157,229,19
13 SIGTHETA °,ALPINE,17,25,23,25,17,17,26,46,50,47,36,35,30,29,35,32,28,25,26,33,25,24,25,25,29,50,08
,CHULA VISTA,26,20,40,27,58,25,21,23,25,26,24,22,24,21,22,24,26,28,30,29,25,40,23,23,27,58,04
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,14,27,59,42,33,16,28,26,36,28,28,25,24,24,24,24,24,23,30,23,41,47,37,29,30,59,02
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,8,12,8,10,13,16,20,26,M,19,22,21,17,19,17,19,20,20,19,21,18,28,16,17,18,28,21
,OTAY MESA DVN,13,22,34,45,38,17,34,25,33,37,23,31,25,19,17,15,13,18,11,10,12,40,21,31,24,45,03
,PENDLETON,9,11,8,11,13,13,14,16,15,17,16,18,16,17,17,14,19,21,17,22,15,18,19,15,15,22,19
14 VWSP MPH,ALPINE,1.9,1.5,2.4,1.5,3.1,4.4,2.9,1.7,2.7,3.6,5.5,6.0,6.8,6.8,6.3,6.4,5.6,5.1,4.0,2.9,3.4,2.8,2.9,2.3,3.9,6.8,12
,CHULA VISTA,.7,1.0,.5,.7,.4,1.9,3.4,4.4,6.2,7.1,8.0,8.9,8.8,9.0,8.4,6.9,5.3,3.9,3.2,3.0,2.2,1.7,2.1,1.6,4.1,9.0,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.1,.9,.2,.4,1.7,2.3,3.1,3.9,4.0,6.7,7.4,7.9,8.5,8.4,8.2,6.9,5.9,4.9,3.8,3.7,2.4,1.5,1.7,1.4,4.0,8.5,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.4,2.5,2.1,1.7,1.7,2.0,3.1,5.5,M,9.2,9.6,10.1,10.3,10.8,10.7,9.3,7.3,6.3,5.0,3.9,3.4,3.2,4.0,4.1,5.6,10.8,13
,OTAY MESA DVN,1.6,.5,.6,.4,1.1,1.6,1.5,3.8,4.9,7.4,8.8,9.0,9.1,10.6,11.2,11.7,9.4,5.3,5.3,5.1,4.7,1.5,2.1,1.5,4.9,11.7,15
,PENDLETON,4.1,4.4,5.4,4.3,4.5,4.9,4.6,6.0,8.3,9.0,9.5,9.0,9.3,9.0,8.6,9.2,6.4,3.5,4.0,4.0,5.1,3.9,2.5,3.4,6.0,9.5,10
15 SWSP MPH,ALPINE,2.0,1.6,2.6,1.9,3.4,4.6,3.3,2.9,3.9,5.1,6.6,7.6,7.8,7.7,7.7,7.4,6.4,5.7,4.5,3.4,3.8,3.1,3.3,2.5,4.5,7.8,12
,CHULA VISTA,.8,1.2,1.0,1.2,.7,2.1,3.7,4.8,6.8,7.9,8.8,9.5,9.6,9.6,9.0,7.5,5.8,4.3,3.6,3.3,2.5,2.2,2.3,1.8,4.6,9.6,12
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.2,1.1,.6,.7,2.0,2.4,3.5,4.3,4.9,7.5,8.4,8.7,9.4,9.2,8.9,7.6,6.7,5.4,4.5,4.1,2.8,2.3,2.1,1.7,4.6,9.4,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.5,2.6,2.2,1.7,1.8,2.1,3.4,6.2,M,10.0,10.5,10.9,10.8,11.4,11.5,9.9,8.0,6.8,5.4,4.2,3.9,3.7,4.4,4.3,6.0,11.5,14
,OTAY MESA DVN,1.7,.9,.7,1.0,1.3,1.6,1.9,4.4,6.0,8.7,9.7,9.9,10.1,11.4,11.7,12.2,9.7,5.5,5.4,5.2,4.9,1.7,2.6,2.0,5.4,12.2,15
,PENDLETON,4.2,4.5,5.5,4.5,4.7,5.1,4.9,6.4,8.6,9.4,9.8,9.4,9.7,9.4,9.0,9.4,6.8,3.8,4.2,4.3,5.4,4.1,2.7,3.6,6.2,9.8,10
16 AMBTEMP °F,ALPINE,52.6,52.4,51.9,51.7,51.5,50.4,51.7,54.7,58.3,61.6,63.8,64.5,64.9,64.8,64.0,62.8,60.3,57.0,53.8,53.1,52.7,52.5,52.2,51.7,56.5,64.9,12
,CARMEL MT RCH,56.7,55.0,54.4,55.4,55.6,56.5,59.0,61.4,63.5,65.0,66.9,68.4,69.1,69.2,68.2,66.3,64.3,61.0,60.2,59.7,59.7,59.1,58.6,57.7,61.3,69.2,13
,CHULA VISTA,58.4,59.0,59.7,59.1,58.5,59.8,61.4,62.9,64.7,66.8,67.9,67.9,67.7,67.8,66.2,63.3,61.6,60.8,60.3,60.2,60.2,60.2,59.8,59.9,62.3,67.9,10
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,55.7,55.6,55.2,56.1,57.0,57.6,60.2,61.7,64.2,65.4,67.0,67.8,67.5,67.2,66.5,64.1,61.6,60.2,59.4,59.0,58.9,59.0,59.0,59.2,61.0,67.8,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,55.7,55.5,56.0,57.3,55.3,54.6,59.4,62.2,M,64.3,65.3,65.8,66.1,65.9,64.0,62.6,61.4,60.9,60.7,60.6,60.6,60.3,59.8,59.5,60.6,66.1,12
,OTAY MESA DVN,56.5,57.1,57.1,57.4,55.8,56.2,59.1,60.1,64.7,66.7,68.1,68.7,68.8,68.4,67.3,65.4,61.2,59.1,58.3,57.7,57.7,57.6,57.6,57.5,61.0,68.8,12
,PENDLETON,56.4,55.7,54.6,54.6,54.9,56.2,59.0,62.4,63.8,65.6,66.2,66.8,66.9,66.8,64.7,63.4,62.8,62.5,62.1,61.6,61.2,61.4,61.3,61.0,61.3,66.9,12
17 RELHUM %,ALPINE,89,89,92,90,84,83,79,73,64,57,55,52,51,51,55,58,66,75,83,85,84,84,83,84,74,92,02
,EL CAJON LES,80,79,80,80,77,74,66,64,59,57,53,50,51,54,56,62,68,70,70,70,68,68,66,63,66,80,00
,KEARNY MESA,84,87,88,86,87,86,79,68,63,59,56,54,55,59,64,66,69,72,70,69,67,70,72,72,71,88,02
18 PRES mmHg,KEARNY MESA,748,748,747,747,747,748,748,748,747,749,749,749,749,748,748,748,748,748,748,748,748,748,748,748,748,749,09
19 SOLAR W/M2,KEARNY MESA,-2,-2,-2,-3,-1,56,212,350,M,793,961,1024,1006,827,494,322,116,30,4,-2,-2,-2,-2,-2,268,1024,11
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.1,.1,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.1,10
29 CO Tr PPB,EL CAJON LES,238.4,242.5,C,C,C,173.5,152.4,171.8,162.0,170.0,151.0,155.6,151.8,156.5,156.6,169.8,164.5,158.9,157.0,148.1,149.4,158.8,150.8,141.6,165.7,242.5,01
