Current Date:,12/10/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
12/9/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.040,.042,C,C,.035,.037,.036,.036,.037,.037,.041,.038,.040,.041,.040,.039,.040,.039,.042,.044,.046,.043,.043,.041,.039,.046,20
,CHULA VISTA,.014,.023,C,C,.024,.021,.014,.015,.028,.028,.036,.039,.040,.038,.037,.034,.034,.034,.034,.040,.041,.040,.042,.040,.031,.042,22
,DOWNTOWN SES,.016,.024,C,C,.029,.025,.019,.020,.020,.028,.036,.040,.039,.037,.037,.035,.036,.034,.040,.042,.043,.043,.043,.039,.032,.043,20
,EL CAJON LES,.020,.026,C,C,C,.028,.025,.020,.024,.026,.033,.037,.037,.036,.033,.032,.031,.032,.027,.033,.021,.024,.023,.023,.028,.037,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.019,.014,C,C,.027,.017,.019,.016,.023,.034,.038,.034,.036,.036,.034,.032,.032,.031,.033,.038,.034,.035,.036,.035,.029,.038,10
,OTAY MESA DVN,.029,.029,C,C,.027,.025,.028,M,M,M,M,M,M,.036,.034,.033,.027,.033,.033,.031,.034,.035,.034,.034,.031,.036,13
,PENDLETON,.025,.028,C,C,.020,.013,.004,.004,.016,.038,.036,.039,.039,.039,.038,.041,.044,.046,.046,.046,.045,.045,.042,.031,.032,.046,17
02 NOX PPM,ALPINE,.002,.002,C,C,.005,.005,.005,.003,.004,.005,.003,.005,.004,.003,.003,.004,.004,.003,.002,.002,.002,.003,.003,.003,.003,.005,04
,CARMEL MT RCH,<,C,C,C,C,<,<,<,<,<,<,<,<,M,<,<,<,<,<,<,<,<,<,<,,M,M
,CHULA VISTA,.015,.009,C,C,.006,.009,.015,.016,.008,.010,.006,.003,.002,.003,.003,.005,.004,.003,.005,.004,.002,.002,.001,.001,.006,.016,07
,DOWNTOWN SES,.018,.010,C,C,.003,.006,.010,.013,.017,.011,.007,.002,.003,.005,.003,.004,.003,.004,.004,.005,.002,.002,.002,.004,.006,.018,00
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.013,.015,C,C,.006,.010,.013,.014,.012,.005,.004,.004,.003,.003,.004,.004,.004,.005,.005,.002,.003,.003,.002,.002,.006,.015,01
,OTAY MESA DVN,.002,.001,C,C,.014,.019,.015,M,M,M,M,M,M,.002,.002,.004,.006,.002,.001,.002,.004,.003,.003,.002,.005,.019,05
,PENDLETON,.007,.005,C,C,.009,.015,.031,.033,.018,.005,.011,.003,.003,.003,.002,.002,.002,.001,.001,.001,.001,.001,.001,.009,.007,.033,07
03 NO2 PPM,ALPINE,.002,.002,C,C,.005,.004,.004,.003,.003,.004,.003,.004,.003,.003,.003,.004,.003,.002,.001,.002,.002,.003,.002,.003,.003,.005,04
,CHULA VISTA,.015,.009,C,C,.006,.008,.015,.015,.007,.009,.005,.002,.002,.002,.002,.004,.004,.003,.005,.004,.002,.002,.001,.001,.006,.015,00
,DOWNTOWN SES,.017,.010,C,C,.002,.006,.010,.012,.015,.009,.005,.002,.003,.004,.003,.003,.003,.004,.003,.005,.002,.002,.002,.004,.006,.017,00
,EL CAJON LES,.008,C,C,C,C,.002,.004,.010,.009,.009,.007,.004,.003,.003,.006,.006,.006,.005,.008,.006,.012,.009,.009,.008,.007,.012,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.013,.015,C,C,.006,.010,.013,.013,.011,.004,.003,.003,.002,.002,.004,.004,.004,.005,.005,.002,.003,.003,.002,.002,.006,.015,01
,OTAY MESA DVN,.002,.001,C,C,.006,.009,.009,M,M,M,M,M,M,.002,.001,.003,.006,.002,.001,.002,.004,.003,.003,.002,.004,.009,05
,PENDLETON,.007,.005,C,C,.009,.014,.025,.022,.015,.004,.006,.002,.002,.002,.002,.002,.002,.001,.001,.001,.001,.001,.001,.009,.006,.025,06
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.001,.000,.000,.001,.000,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,05
,CARMEL MT RCH,<,C,C,C,C,<,<,<,<,<,<,<,<,M,<,<,<,<,<,<,<,<,<,<,,M,M
,CHULA VISTA,.000,.000,C,C,.000,.000,.000,.001,.000,.001,.001,.000,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,07
,DOWNTOWN SES,.000,.000,C,C,.000,.000,.001,.001,.002,.002,.002,.001,.001,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.002,08
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.000,.001,.002,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,08
,OTAY MESA DVN,.000,.000,C,C,.008,.010,.007,M,M,M,M,M,M,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.002,.010,05
,PENDLETON,.000,.000,C,C,.000,.001,.006,.010,.003,.001,.005,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.010,07
06 CO PPM,CARMEL MT RCH,.4,.4,C,C,C,.3,.3,.6,.5,.4,.4,.4,.3,.4,.4,.3,.3,.4,.4,.3,.4,.4,.4,.3,.4,.6,07
10 INTMP °C,ALPINE,27,27,27,27,27,27,27,27,27,27,27,27,27,26,27,27,27,27,27,27,27,27,27,27,27,27,00
,CARMEL MT RCH,26,26,26,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,26,26,26,26,27,03
,CHULA VISTA,24,24,25,25,24,24,25,25,24,25,25,25,25,25,25,24,24,24,24,24,24,24,23,23,24,25,02
,DOWNTOWN SES,23,23,23,23,23,23,23,23,23,23,23,23,22,23,23,23,23,23,23,23,23,23,23,23,23,23,00
,EL CAJON LES,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,00
,OTAY MESA DVN,25,25,25,26,25,26,26,26,26,25,26,26,25,26,25,26,26,26,26,26,26,26,26,26,26,26,03
,PENDLETON,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
11 PM2.5 µg/M3,ALPINE,7.7,4.4,1.2,-.5,1.4,4.8,3.3,4.3,.8,-4.6,-1.5,4.6,2.8,-1.4,-1.3,-1.7,.6,1.6,.6,.9,.9,2.9,3.2,3.9,1.6,7.7,00
,DOWNTOWN SES,15.9,9.2,13.6,9.9,5.7,3.6,1.9,4.5,5.9,6.7,5.6,3.0,4.1,3.2,1.4,.7,.5,.8,.8,2.6,6.0,6.5,3.6,3.7,4.9,15.9,00
,EL CAJON LES,18.5,14.4,13.4,7.8,12.4,7.9,3.8,4.2,4.5,5.5,6.4,4.7,4.3,2.9,3.6,2.5,.9,3.8,1.8,3.8,9.6,9.2,6.6,6.9,6.6,18.5,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,1.7,-.3,-1.4,5.1,3.9,4.5,5.3,4.2,4.8,8.2,6.3,4.6,2.3,1.5,2.5,3.9,1.8,.0,.4,-1.5,-.2,4.0,5.5,3.7,2.9,8.2,09
,PENDLETON,10.9,7.8,6.0,10.4,7.1,7.0,11.8,9.7,13.0,6.8,M,M,3.7,4.9,2.5,1.4,1.8,2.5,4.0,1.8,1.3,4.8,6.1,7.4,6.0,13.0,08
12 VWDR °,ALPINE,148,142,132,129,132,129,173,211,268,284,291,281,289,290,280,272,262,286,289,294,291,287,297,284,0,297,22
,CHULA VISTA,200,107,120,111,117,138,130,231,242,313,282,277,260,281,281,279,289,292,285,307,300,299,302,305,0,313,09
