,CARMEL MT RCH,.003,.004,C,C,.004,.004,.007,.007,.007,.002,.002,.010,.018,.020,.017,.014,.019,.020,.020,.020,.020,.018,.015,.017,.012,.020,13
,CHULA VISTA,.013,.011,C,C,.008,.015,.018,.023,.016,.009,.008,.005,.004,.003,.004,.008,.009,.012,.020,.019,.021,.025,.023,.024,.014,.025,21
,DOWNTOWN SES,.009,.008,C,C,.007,.010,.015,.017,.000,.000,.005,.005,.005,.004,.003,.003,.005,.005,.010,.014,.020,.024,.023,.023,.010,.024,21
,EL CAJON LES,.002,.003,C,C,C,.010,.017,.019,.012,.009,.002,.002,.003,.004,.004,.004,.007,.014,.014,.023,.023,.018,.020,.022,.011,.023,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.004,.005,C,C,.005,.006,.014,.014,.005,.004,.003,.007,.006,.005,.003,.004,.009,.013,.018,.013,.014,.015,.012,.010,.009,.018,18
,OTAY MESA DVN,.003,.004,C,C,.002,.005,.012,.006,.005,.006,.006,.007,.005,.004,.005,.006,.011,.011,.008,.004,.012,.012,.005,.019,.007,.019,23
,PENDLETON,.005,.003,C,C,.003,.006,.007,.011,.009,.006,.003,.004,.006,.001,.001,.001,.001,.005,.011,.006,.004,.005,.004,.004,.005,.011,07
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.000,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.001,.001,.000,.000,.000,.001,.001,05
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
,DOWNTOWN SES,<,C,C,C,<,<,<,M,M,M,M,<,<,<,<,<,<,<,<,<,<,<,<,<,,M,M
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,.001,.000,C,C,.001,.002,.005,.004,.003,.004,.004,.003,.001,.001,.001,.001,.002,.000,.000,.000,.000,.001,.000,.004,.002,.005,06
,PENDLETON,.000,.000,C,C,.000,.000,.000,.000,.002,.001,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.000,.000,.000,.002,08
06 CO PPM,CARMEL MT RCH,.1,.1,C,C,.1,.1,.1,.2,.2,.1,.1,.4,.5,.6,.7,.6,.6,.7,.8,.7,.9,.8,.8,.6,.4,.9,20
10 INTMP °C,ALPINE,26,26,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,27,27,27,28,28,28,27,28,21
,CARMEL MT RCH,23,23,23,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,25,10
,CHULA VISTA,23,23,23,24,23,23,23,23,23,25,26,27,26,26,26,26,26,27,26,26,26,26,25,25,25,27,11
,DOWNTOWN SES,24,24,24,24,24,24,24,24,24,23,23,23,23,23,22,22,22,23,23,23,24,24,24,24,23,24,00
,EL CAJON LES,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,21,21,21,22,22,22,22,22,22,22,23,22,23,24,24,24,25,25,25,24,24,24,24,24,23,25,16
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,24,24,25,25,26,26,26,26,26,26,26,00
,PENDLETON,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
11 PM2.5 µg/M3,ALPINE,-.1,-1.3,-2.8,1.4,2.6,.0,-.5,-1.4,-4.2,-.3,1.7,-1.6,-4.0,-3.2,-.5,-1.2,.6,.8,5.2,6.4,6.4,4.0,3.9,4.4,.6,6.4,19
,DOWNTOWN SES,9.4,8.5,6.7,4.3,2.9,3.6,11.1,7.2,5.2,3.2,1.6,3.4,2.9,5.6,3.6,1.6,3.9,2.4,5.1,6.4,12.2,10.6,11.1,8.8,5.8,12.2,20
,EL CAJON LES,2.2,1.3,-.2,.4,1.1,4.2,3.4,2.9,2.9,3.2,M,M,2.5,2.0,2.3,1.3,1.1,3.5,5.3,9.3,12.8,12.0,15.4,14.4,4.6,15.4,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,-.5,2.4,2.3,.6,.7,-1.5,-1.7,.0,.6,-.1,-1.8,-.4,.2,-1.7,-2.9,4.7,3.8,1.8,2.9,1.5,6.9,7.3,3.6,11.5,1.6,11.5,23
,PENDLETON,2.6,1.2,-1.2,-2.1,1.0,1.6,2.2,2.5,.1,-.5,1.9,2.7,3.9,3.8,2.4,2.4,4.3,3.9,1.5,1.5,4.2,2.9,1.8,3.0,1.9,4.3,16
12 VWDR °,ALPINE,129,135,140,124,121,118,122,123,125,136,144,161,183,207,243,242,318,354,1,15,62,101,270,255,0,354,17
,CHULA VISTA,128,135,126,122,132,131,112,106,126,138,165,178,169,185,202,208,203,225,7,18,348,23,96,104,0,348,20
,DOWNTOWN SES,119,126,116,116,136,135,111,97,100,137,173,181,193,199,200,208,205,175,11,4,349,354,345,357,0,357,23
,EL CAJON LES,134,148,138,146,179,86,99,97,28,138,146,189,184,208,213,229,268,341,350,246,130,49,165,7,0,350,18
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,130,134,133,109,111,126,138,100,127,142,166,169,175,200,195,207,210,49,25,42,352,39,359,46,0,359,22
,OTAY MESA DVN,126,159,142,117,111,127,148,134,126,137,147,181,176,189,209,201,198,38,354,340,18,25,283,125,0,354,18
,PENDLETON,104,107,84,121,107,94,96,84,92,125,155,178,181,181,188,184,179,27,45,43,37,42,45,40,0,188,14
13 SIGTHETA °,ALPINE,12,12,11,11,11,12,11,12,15,16,17,17,23,26,35,28,21,18,19,21,30,25,31,39,20,39,23
,CHULA VISTA,10,12,12,13,13,44,20,16,16,16,21,22,21,22,22,21,22,43,23,23,29,27,30,24,22,44,05
,DOWNTOWN SES,16,21,18,18,21,19,21,21,19,24,18,15,17,17,17,22,27,27,56,18,36,27,21,40,23,56,18
,EL CAJON LES,11,13,12,36,34,53,22,50,38,41,20,18,23,21,19,24,17,27,18,67,23,34,55,46,30,67,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,10,12,11,13,10,11,15,13,11,13,13,17,15,14,14,14,14,34,11,12,12,18,11,60,16,60,23
,OTAY MESA DVN,14,13,15,13,10,19,17,18,14,15,18,16,15,16,14,12,35,39,14,17,23,39,31,38,20,39,17
,PENDLETON,14,12,10,12,11,9,8,8,10,16,15,16,16,16,18,16,13,19,10,13,11,11,11,17,13,19,17
14 VWSP MPH,ALPINE,7.8,8.5,8.4,6.5,7.3,7.4,6.1,6.0,8.3,11.2,9.0,7.9,6.7,5.8,3.9,3.4,3.8,2.2,2.8,3.0,1.3,2.5,.2,.7,.0,11.2,09
,CHULA VISTA,4.9,5.8,6.4,4.9,3.4,1.1,2.3,3.3,4.8,7.1,6.1,7.1,8.0,8.6,7.8,6.6,5.2,1.0,2.2,2.6,.6,1.0,.6,.6,.0,8.6,13
,DOWNTOWN SES,3.7,3.2,4.1,4.0,1.9,2.6,3.0,3.1,3.8,6.5,6.8,9.1,10.1,9.9,9.9,6.0,2.9,2.2,1.4,2.0,1.2,.9,2.0,1.0,.0,10.1,12
,EL CAJON LES,5.4,4.4,4.3,1.9,2.2,.7,1.5,1.1,.9,1.7,5.7,6.7,5.6,6.2,5.7,4.2,4.7,2.2,2.2,.4,.9,.9,.8,.6,.0,6.7,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,5.7,5.5,4.0,6.1,6.1,5.8,2.3,3.3,7.8,10.1,11.9,8.8,7.9,8.6,10.9,8.4,5.6,1.2,3.6,4.0,3.0,1.3,3.5,.8,.0,11.9,10
,OTAY MESA DVN,11.6,8.0,10.2,10.7,11.7,7.0,6.3,8.6,11.2,11.1,9.1,8.1,10.8,9.7,10.2,9.4,3.8,.2,4.5,4.5,2.7,1.4,.1,.9,.0,11.7,04
,PENDLETON,4.6,5.3,5.6,8.0,6.1,5.6,6.2,5.2,5.5,6.4,6.8,6.7,7.0,6.0,5.8,5.0,2.1,1.3,2.9,5.4,6.7,6.1,7.9,8.3,.0,8.3,23
15 SWSP MPH,ALPINE,8.0,8.7,8.6,6.6,7.4,7.6,6.2,6.1,8.6,11.6,9.5,8.3,7.3,6.8,4.9,4.5,4.1,2.3,3.0,3.6,2.0,2.9,2.3,1.4,5.9,11.6,09
,CHULA VISTA,5.0,5.9,6.6,5.0,3.5,1.5,2.5,3.4,5.1,7.4,6.7,7.5,8.6,9.2,8.4,7.0,5.6,1.7,2.5,2.8,1.1,1.3,.9,1.0,4.6,9.2,13
,DOWNTOWN SES,3.8,3.4,4.3,4.1,2.1,2.8,3.2,3.3,4.1,7.2,7.2,9.4,10.5,10.3,10.3,6.4,3.2,2.4,1.6,2.1,1.5,1.4,2.2,1.8,4.5,10.5,12
,EL CAJON LES,5.5,4.6,4.5,2.2,2.6,1.7,1.7,1.3,1.3,2.8,6.1,7.2,6.3,6.6,6.1,4.7,5.0,2.5,2.3,1.1,1.3,2.5,1.2,1.7,3.5,7.2,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,5.8,5.7,4.1,6.3,6.2,6.1,2.5,3.4,8.0,10.4,12.3,9.2,8.5,8.8,11.2,8.7,5.8,2.0,3.7,4.1,3.1,2.1,3.6,1.4,6.0,12.3,10
,OTAY MESA DVN,12.1,8.4,10.5,11.1,11.9,7.8,6.7,9.3,11.7,11.5,9.5,8.7,11.3,10.4,10.6,9.6,3.9,2.2,4.8,4.9,3.2,1.9,1.5,1.0,7.7,12.1,00
,PENDLETON,5.0,5.6,5.8,8.2,6.2,5.8,6.2,5.3,5.6,6.7,7.2,6.9,7.2,6.3,6.1,5.2,2.1,1.4,3.1,5.6,6.8,6.3,8.0,8.7,5.9,8.7,23
16 AMBTEMP °F,ALPINE,47.3,47.4,47.8,47.4,47.7,48.0,48.2,49.6,52.3,55.0,56.8,57.5,58.8,58.2,57.9,57.4,54.2,51.7,51.2,51.1,49.8,50.8,51.1,51.7,52.0,58.8,12
,CARMEL MT RCH,52.1,51.8,52.1,52.1,52.3,52.5,52.7,52.9,55.5,59.1,61.2,62.0,62.3,62.4,61.8,61.4,60.3,57.5,56.4,55.6,55.2,54.7,53.7,53.0,56.3,62.4,13
,CHULA VISTA,54.2,54.2,54.8,55.1,53.2,51.3,52.5,53.9,58.7,61.1,62.3,64.1,64.7,65.0,64.7,63.8,61.3,60.0,58.6,57.8,57.1,56.1,55.7,55.7,58.2,65.0,13
,DOWNTOWN SES,54.0,53.7,54.6,55.2,54.8,54.5,53.9,55.2,58.3,61.5,62.1,63.0,61.9,62.7,62.4,61.4,60.1,59.2,59.1,58.9,58.6,58.2,57.3,56.8,58.2,63.0,11
,EL CAJON LES,53.9,53.3,53.6,54.0,52.3,50.7,49.9,50.8,55.6,58.7,62.6,63.2,64.7,64.1,63.7,64.3,60.8,58.4,57.6,55.6,54.3,54.6,53.0,53.7,56.8,64.7,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,54.2,53.9,53.5,54.3,55.0,55.3,54.5,55.0,59.0,61.5,62.1,62.1,62.6,62.4,63.1,62.3,60.0,58.3,57.7,56.5,56.2,55.3,54.3,54.3,57.6,63.1,14
,OTAY MESA DVN,55.1,53.8,54.3,54.6,54.3,53.8,53.1,55.4,58.1,59.8,61.3,62.0,62.1,63.9,64.0,61.7,59.3,57.5,57.2,57.6,57.2,55.9,53.8,55.0,57.5,64.0,14
,PENDLETON,55.0,56.0,55.5,56.2,55.6,56.0,56.1,56.8,59.1,61.8,62.0,61.7,61.3,61.2,60.8,61.8,60.3,59.2,57.8,55.6,54.6,55.3,56.6,56.6,58.0,62.0,10
17 RELHUM %,ALPINE,87,87,86,90,88,85,84,82,77,73,68,67,64,68,72,75,88,93,94,94,96,81,76,75,81,96,20
,EL CAJON LES,69,71,72,72,78,81,86,85,72,65,56,56,54,59,60,58,67,76,78,83,87,84,88,87,73,88,22
,KEARNY MESA,77,77,80,80,78,76,79,78,68,64,65,68,69,73,67,66,77,84,85,85,85,89,91,90,77,91,22
18 PRES mmHg,EL CAJON LES,746,746,746,746,746,746,746,746,747,747,746,746,745,744,744,744,744,744,744,744,744,744,744,743,745,747,08
,KEARNY MESA,747,747,747,747,747,747,747,747,747,748,747,747,746,746,746,746,746,746,746,745,745,745,745,745,746,748,09
19 SOLAR W/M2,EL CAJON LES,1,3,3,2,1,0,4,42,144,151,241,246,361,227,186,187,34,0,1,1,1,2,1,3,77,361,12
,KEARNY MESA,1,2,1,1,1,1,2,50,253,418,312,315,207,281,370,212,49,1,1,1,1,1,1,1,103,418,09
25 NOY,EL CAJON LES,1.75,1.83,1.54,1.85,3.00,C,C,24.37,16.28,10.22,1.92,2.57,4.07,4.99,4.35,4.46,6.32,12.13,12.09,21.77,24.07,16.92,23.50,26.68,10.30,26.68,23
26 NOY-NO,EL CAJON LES,1.59,1.71,1.44,1.79,2.94,C,C,15.18,10.13,7.35,1.59,2.09,3.13,3.96,3.48,3.77,5.80,11.68,11.80,19.49,21.86,15.76,19.12,20.43,8.45,21.86,20
27 NO Trace,EL CAJON LES,.15,.12,.10,.05,.05,C,C,9.18,6.14,2.86,.32,.48,.94,1.02,.87,.68,.52,.44,.29,2.28,2.21,1.15,4.37,6.25,1.83,9.18,07
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,145.9,145.6,C,C,C,222.3,291.9,417.8,326.8,295.8,148.5,157.0,172.1,192.0,206.5,216.3,220.2,344.8,374.9,522.4,563.5,444.7,536.3,615.4,312.4,615.4,23
BCarbon ug/m3,10TH AVE MARINE TERM,1.08,2.54,1.21,.55,.71,.62,.70,1.10,1.39,2.61,.48,.14,.15,.12,.08,.09,.09,.63,.27,.44,.74,1.41,1.76,.94,.83,2.61,09
,ALPINE,.02,.01,.02,.02,.01,.02,.07,.09,.09,.05,.06,.07,.08,.10,.14,.16,.21,.92,.36,.26,.62,.35,.18,.17,.17,.92,17
,CHICANO PARK,.87,.92,.91,.40,.58,.57,1.05,1.27,.64,.41,.53,.22,.16,.14,.10,.15,.14,.17,.52,.87,.91,.99,1.20,1.21,.62,1.27,07
,DOWNTOWN SES,<,<,<,<,<,<,<,<,<,<,<,.14,.10,.08,.05,.04,.10,.13,.50,1.05,.94,1.04,1.18,1.20,.50,1.20,23
,OCEANVIEW BLVD,.41,.50,.62,.31,.53,.87,.86,.69,.40,.20,.33,.22,.33,.39,.24,.13,.13,.24,.63,1.36,1.50,1.52,3.36,1.89,.74,3.36,22
,SAN YSIDRO,2.61,.96,.70,.80,1.44,1.64,.55,.96,1.38,.96,.49,.20,.22,.36,.26,.33,.39,.58,.92,.75,.71,.93,.99,1.02,.84,2.61,00
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
