Current Date:,12/30/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
12/29/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.043,.043,C,C,.039,.039,.035,.031,.034,.039,.040,.042,.043,.042,.042,.040,.040,.040,.039,.033,.036,.040,.039,.042,.039,.043,00
,CHULA VISTA,.026,.021,C,C,.028,.027,.026,.017,.018,.029,.034,.037,.040,.034,.039,.039,.038,.034,.025,.017,.017,.018,.019,.017,.027,.040,12
,DOWNTOWN SES,.026,.026,C,C,.025,.022,.015,.013,.018,.027,.033,.035,.040,.040,M,M,.039,.036,.032,.020,.020,.018,.020,.023,.026,.040,12
,EL CAJON LES,.025,.023,C,C,C,.013,.013,.010,.018,.030,M,M,M,.039,.036,.036,.037,.035,.032,.031,.030,.031,.031,.031,.027,.039,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.023,.021,C,C,.019,.023,.018,.022,.024,.030,.031,.034,.036,.039,.033,.033,.036,.033,.030,.028,.032,.030,.032,.032,.029,.039,13
,OTAY MESA DVN,.034,.033,C,C,.034,.028,.008,.018,.033,.035,.037,.033,.035,.033,.033,.035,.032,.023,.029,.035,.039,.037,.036,.036,.031,.039,20
,PENDLETON,.023,.023,C,C,.022,.021,.021,.015,.016,.023,.035,.037,.039,.042,.042,.037,.033,.031,.031,.030,.031,.032,.029,.029,.029,.042,13
02 NOX PPM,ALPINE,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,M,<,<,<,<,<,<,<,<,,M,M
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
,DOWNTOWN SES,<,C,C,C,<,<,<,<,<,<,<,<,<,M,M,M,<,<,<,<,<,<,<,<,,M,M
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,<,C,C,C,<,<,<,<,M,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,M,M
,PENDLETON,<,C,C,C,<,<,<,<,<,M,M,<,<,<,<,<,<,<,<,<,<,<,<,<,,M,M
03 NO2 PPM,ALPINE,.001,.001,C,C,.002,.003,.005,.008,.006,.003,.003,.002,.002,.002,.002,.003,.003,.003,.003,.006,.004,.002,.002,.001,.003,.008,07
,CARMEL MT RCH,.008,.007,C,C,.012,.012,.014,.019,.013,.006,.003,.004,.005,.019,.006,.008,.008,.006,.006,.008,.007,.005,.004,.003,.008,.019,07
,CHULA VISTA,.011,.017,C,C,.007,.009,.010,.020,.024,.015,.010,.007,.004,.008,.004,.004,.005,.008,.016,.024,.024,.021,.018,.019,.013,.024,08
,DOWNTOWN SES,.009,.008,C,C,.008,.011,.019,.021,.017,.013,.010,.009,.005,.003,.000,.003,.005,.008,.010,.018,.018,.019,.015,.011,.011,.021,07
,EL CAJON LES,.006,.006,C,C,C,.012,.012,.016,.012,.004,M,M,M,.002,.004,.004,.004,.005,.006,.006,.005,.004,.003,.003,.006,.016,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.009,.011,C,C,.013,.010,.015,.011,.010,.007,.007,.007,.007,.004,.008,.008,.006,.008,.009,.010,.006,.007,.004,.004,.008,.015,06
,OTAY MESA DVN,.008,.008,C,C,.007,.002,.030,.020,.008,.007,.006,.009,.008,.009,.007,.007,.008,.018,.012,.005,.003,.004,.004,.003,.009,.030,06
,PENDLETON,.005,.005,C,C,.005,.006,.004,.012,.013,.008,.004,.004,.004,.002,.002,.006,.008,.009,.009,.009,.008,.007,.007,.006,.007,.013,08
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.000,.001,.001,.002,.001,.001,.001,.001,.001,.001,.001,.001,.000,.001,.000,.000,.000,.000,.001,.002,09
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
,DOWNTOWN SES,<,C,C,C,<,<,<,<,<,<,<,<,<,M,M,M,<,<,<,<,<,<,<,<,,M,M
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,.001,.001,C,C,.002,.001,.020,.011,.004,.005,.003,.005,.004,.003,.001,.001,.000,.005,.002,.001,.002,.001,.001,.001,.003,.020,06
,PENDLETON,.000,.000,C,C,.001,.001,.001,.012,.018,.004,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.001,.000,.002,.018,08
06 CO PPM,CARMEL MT RCH,.3,.2,C,C,.2,.2,.3,.5,.3,.2,.2,.2,.2,.4,.2,.2,.2,.2,.2,.2,.2,.2,.2,.1,.2,.5,07
10 INTMP °C,ALPINE,26,26,27,27,27,27,27,27,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,26,27,27,02
,CARMEL MT RCH,22,22,22,23,23,22,22,22,23,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,03
,CHULA VISTA,23,23,23,23,23,23,23,23,23,23,25,26,26,27,26,26,26,25,25,24,24,24,23,23,24,27,13
,DOWNTOWN SES,24,24,24,24,24,24,24,24,24,24,24,23,23,24,24,23,23,24,24,24,24,24,24,24,24,24,00
,EL CAJON LES,24,24,24,24,24,24,24,24,24,25,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,25,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,21,20,20,21,21,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,00
,OTAY MESA DVN,26,26,26,26,26,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,05
,PENDLETON,26,26,26,26,26,26,26,26,26,25,25,25,25,26,26,25,25,25,26,25,25,25,25,25,26,26,00
11 PM2.5 µg/M3,ALPINE,-1.4,.8,.5,1.5,.8,-.8,1.5,2.1,.6,.0,.9,1.6,3.7,6.0,2.7,4.2,4.4,1.7,3.6,3.0,.8,.1,-1.2,-1.1,1.5,6.0,13
,DOWNTOWN SES,6.2,3.9,.8,1.3,4.3,3.3,6.4,3.2,2.8,2.9,3.2,2.7,1.1,3.8,4.8,5.8,6.2,6.0,3.6,8.5,11.7,13.2,8.3,9.5,5.1,13.2,21
,EL CAJON LES,5.3,4.6,3.4,1.2,.0,2.1,2.2,1.8,3.2,2.6,2.2,1.3,2.1,.6,-.3,2.7,3.8,3.7,7.1,9.0,6.3,5.0,3.0,1.5,3.1,9.0,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,-2.7,1.1,.3,-3.3,-4.3,-2.1,1.3,1.7,M,2.6,.4,-.6,.5,1.9,2.2,.7,-.2,3.4,2.7,-.3,2.6,1.5,-1.3,-.6,.3,3.4,17
,PENDLETON,2.7,3.5,1.8,1.3,2.7,2.0,2.4,3.2,1.9,2.0,4.6,2.5,.0,-.1,-.6,2.4,4.1,3.9,3.5,3.4,2.9,1.4,2.1,3.4,2.3,4.6,10
12 VWDR °,ALPINE,293,300,152,207,109,80,98,99,123,134,140,172,187,177,180,167,163,162,160,134,123,124,128,131,0,300,01
,CHULA VISTA,103,114,92,100,101,96,107,125,121,128,136,148,160,145,169,172,169,154,137,127,135,127,132,125,0,172,15
,DOWNTOWN SES,83,82,63,91,50,72,77,77,95,112,145,170,187,175,164,174,176,156,140,115,119,116,123,123,0,187,12
,EL CAJON LES,144,110,119,105,64,171,150,91,93,59,125,172,180,175,165,171,181,182,128,117,115,122,141,149,0,182,17
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,133,115,118,71,109,82,87,99,124,106,110,151,176,182,152,160,172,149,138,127,125,119,120,129,0,182,13
,OTAY MESA DVN,132,142,67,124,116,27,148,156,153,143,145,147,138,150,185,181,180,159,142,149,139,127,139,128,0,185,14
,PENDLETON,46,54,57,39,49,57,35,69,76,99,137,129,141,158,157,137,128,134,127,115,113,108,97,81,0,158,13
13 SIGTHETA °,ALPINE,40,28,40,47,21,29,18,19,15,15,15,21,20,18,16,14,13,12,12,11,11,12,12,13,20,47,03
,CHULA VISTA,16,38,15,13,13,15,14,17,14,14,16,17,17,18,15,17,16,14,12,11,12,12,12,13,15,38,01
,DOWNTOWN SES,20,17,15,18,14,17,15,20,17,21,24,21,16,18,21,15,14,20,21,16,15,18,19,19,18,24,10
,EL CAJON LES,34,29,60,32,30,64,45,41,45,22,27,27,22,21,20,21,18,17,19,13,15,16,13,14,28,64,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,11,8,16,14,9,13,20,16,12,12,14,19,14,15,13,13,11,10,9,9,9,10,10,10,12,20,06
,OTAY MESA DVN,21,22,17,19,22,29,19,12,13,15,15,15,13,20,13,14,12,12,12,17,14,14,14,14,16,29,05
,PENDLETON,8,12,10,11,16,10,12,11,13,16,15,17,16,12,13,15,16,16,11,11,11,10,10,8,13,17,11
