,OTAY MESA DVN,.011,.017,C,C,.044,.037,.019,.032,.063,.044,.026,.004,.004,.003,.005,.004,.010,.001,.004,.002,.001,.001,.000,.000,.015,.063,08
,PENDLETON,.001,.000,C,C,.003,.004,.002,.001,.002,.002,.002,.002,.002,.004,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.004,05
06 CO PPM,CARMEL MT RCH,.5,.6,C,C,.4,.4,.6,.8,.6,.4,.7,1.1,1.0,.8,.6,.6,.2,.5,.3,.4,.4,.3,.3,.2,.5,1.1,11
10 INTMP °C,ALPINE,27,27,27,27,26,27,27,27,27,26,26,25,26,26,25,26,26,27,27,27,27,28,28,28,27,28,21
,CARMEL MT RCH,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,26,25,25,25,25,24,24,24,25,26,00
,CHULA VISTA,26,26,26,26,26,26,26,26,26,27,26,26,26,26,26,26,26,26,25,25,25,24,24,24,26,27,09
,DOWNTOWN SES,23,23,23,23,23,23,23,23,24,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,23,24,08
,EL CAJON LES,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,26,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,26,27,03
,OTAY MESA DVN,25,26,25,25,26,25,26,25,26,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,25,26,01
,PENDLETON,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
11 PM2.5 µg/M3,ALPINE,13.7,9.2,10.2,6.1,4.8,7.5,10.3,5.5,.5,.3,-.4,.3,17.8,7.4,4.8,9.4,14.7,14.2,10.1,5.9,3.6,4.5,4.5,2.2,6.9,17.8,12
,DOWNTOWN SES,15.7,16.6,20.1,22.3,14.6,26.2,31.5,31.3,31.3,39.8,33.5,23.9,14.2,15.4,4.7,8.4,11.3,17.6,8.5,8.8,11.4,8.1,9.0,5.7,17.9,39.8,09
,EL CAJON LES,23.7,22.9,22.5,21.5,21.0,19.6,12.4,16.1,11.8,13.1,15.8,48.2,M,M,23.1,18.3,16.5,17.1,20.3,11.5,10.5,10.8,9.5,8.0,17.9,48.2,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,41.7,46.1,60.6,55.4,65.0,52.3,35.2,32.6,58.9,47.7,29.2,9.8,9.5,6.8,15.9,8.5,19.3,4.6,2.5,.3,6.2,5.3,3.6,-1.6,25.6,65.0,04
,PENDLETON,16.1,18.6,18.1,14.9,17.8,19.7,13.4,9.6,5.5,6.7,4.9,4.9,20.9,19.9,8.2,10.8,9.0,8.8,5.1,6.8,8.5,5.4,3.7,3.7,10.8,20.9,12
12 VWDR °,ALPINE,76,95,19,104,344,114,138,125,124,150,227,233,210,190,202,185,126,356,123,129,134,186,139,142,0,356,17
,CHULA VISTA,114,129,15,260,68,93,338,31,201,244,248,242,240,235,209,164,51,27,91,138,210,138,128,123,0,338,06
,DOWNTOWN SES,64,322,116,267,76,71,314,24,223,218,209,203,188,187,181,171,31,59,95,108,208,117,114,118,0,322,01
,EL CAJON LES,107,128,195,89,151,92,92,43,270,292,219,215,220,217,233,204,347,284,119,139,225,149,133,138,0,347,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,49,218,71,170,73,52,49,18,87,196,206,210,176,178,173,169,121,93,114,126,213,145,137,137,0,218,01
,OTAY MESA DVN,132,131,128,161,118,113,38,83,182,183,191,194,188,199,198,197,140,2,121,130,167,152,133,126,0,199,13
,PENDLETON,73,71,105,91,84,77,94,42,51,41,52,80,116,72,47,39,68,94,85,87,109,104,108,101,0,116,12
13 SIGTHETA °,ALPINE,31,18,53,28,46,12,15,16,14,20,28,28,24,23,25,25,35,28,20,12,23,31,16,13,24,53,02
,CHULA VISTA,36,42,18,44,35,22,45,37,33,20,21,17,20,18,23,29,54,19,16,15,24,34,13,13,27,54,16
,DOWNTOWN SES,67,44,38,53,22,45,37,40,50,23,19,19,15,16,16,47,26,17,16,32,21,21,19,21,30,67,00
,EL CAJON LES,62,51,50,35,26,54,70,58,57,51,24,19,23,43,30,39,41,52,18,51,19,22,14,13,38,70,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,12,20,32,50,21,13,67,24,58,32,14,14,14,14,15,14,32,13,12,14,18,13,10,12,22,67,06
,OTAY MESA DVN,11,17,28,25,36,34,48,42,31,21,18,12,13,16,18,17,67,22,20,14,20,16,13,12,24,67,16
,PENDLETON,10,16,11,11,7,10,15,13,12,12,15,13,24,49,16,22,14,11,10,54,43,29,12,21,19,54,19
14 VWSP MPH,ALPINE,1.4,1.7,.5,.2,.3,3.2,5.4,6.3,6.7,3.6,4.4,4.4,5.6,4.8,4.1,4.0,.4,1.4,6.6,11.7,9.4,2.9,9.0,10.3,.0,11.7,19
,CHULA VISTA,.6,.6,1.2,.8,1.7,3.7,1.0,.7,1.0,3.8,4.3,6.0,3.6,4.3,3.0,3.8,1.6,2.5,7.3,6.8,3.3,5.9,9.8,14.4,.0,14.4,23
,DOWNTOWN SES,.6,.4,.9,.3,2.4,1.4,.4,1.1,1.2,3.9,4.8,4.8,5.8,5.4,5.5,3.9,2.2,4.0,7.8,4.1,3.8,5.1,5.3,8.4,.0,8.4,23
,EL CAJON LES,.6,.5,.5,1.3,.8,.6,.4,.3,.7,1.0,4.1,5.4,4.5,1.5,2.0,1.4,1.7,1.4,4.6,2.4,2.9,5.0,10.2,13.9,.0,13.9,23
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,2.1,.8,.8,.7,1.9,3.1,.9,1.6,.8,3.1,6.0,7.2,6.2,6.7,6.1,7.0,4.0,4.8,10.0,7.8,6.0,11.0,12.2,10.8,.0,12.2,22
,OTAY MESA DVN,3.9,3.6,1.8,.4,2.0,1.7,1.6,1.1,2.2,4.0,5.2,9.2,8.9,5.8,4.7,4.8,1.4,3.4,6.3,16.6,9.4,10.1,12.6,16.7,.0,16.7,23
,PENDLETON,3.5,2.2,2.2,2.1,3.4,3.5,5.0,5.9,8.2,8.8,6.3,4.0,2.3,3.7,3.6,3.7,5.7,9.1,10.8,2.4,4.6,6.7,10.3,6.3,.0,10.8,18
15 SWSP MPH,ALPINE,1.6,1.8,1.1,.2,1.4,3.3,5.6,6.6,6.9,4.1,4.9,4.9,6.1,5.3,4.8,4.3,1.9,1.7,7.0,12.0,10.3,4.7,9.3,10.7,5.0,12.0,19
,CHULA VISTA,1.1,.9,1.5,1.2,2.0,3.9,1.4,1.3,1.4,4.1,4.5,6.3,3.9,4.5,3.3,4.3,2.1,2.9,7.7,7.1,4.7,6.3,10.1,14.7,4.2,14.7,23
,DOWNTOWN SES,.9,.8,1.1,.9,2.6,1.8,1.2,1.9,2.0,4.3,5.2,5.1,6.1,5.7,5.7,4.5,2.7,4.4,8.1,5.0,4.5,5.5,5.6,8.9,3.9,8.9,23
,EL CAJON LES,.8,.9,1.2,1.9,1.9,1.4,.8,1.4,1.3,1.4,4.4,5.8,4.8,2.6,2.4,2.8,2.4,2.3,5.0,3.6,4.3,6.2,10.5,14.2,3.5,14.2,23
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.3,1.8,1.8,3.3,2.6,3.9,2.3,2.3,1.2,3.5,6.3,7.5,6.4,7.0,6.4,7.2,4.7,4.9,10.3,8.5,7.0,11.3,12.5,11.1,5.7,12.5,22
,OTAY MESA DVN,4.0,3.8,2.2,1.5,2.1,2.1,2.3,3.4,3.0,4.5,5.5,9.4,9.1,6.4,5.4,5.6,2.0,3.9,8.5,17.1,13.2,10.8,13.0,17.1,6.5,17.1,19
,PENDLETON,3.5,2.6,2.3,2.3,3.5,3.7,5.3,6.1,8.4,9.0,6.5,4.1,2.9,4.3,3.9,4.0,6.1,9.3,11.0,3.6,5.2,7.1,10.6,6.7,5.5,11.0,18
16 AMBTEMP °F,ALPINE,56.3,56.6,56.6,56.0,55.0,54.7,56.2,56.1,57.7,61.6,63.0,62.0,60.4,59.7,58.3,56.2,52.3,50.4,50.5,51.9,52.1,49.8,48.9,51.4,55.6,63.0,10
,CARMEL MT RCH,56.0,56.0,56.5,56.0,56.6,56.8,56.3,57.1,59.9,63.9,66.2,65.1,63.0,62.6,60.8,60.1,54.5,51.4,51.5,52.6,53.0,51.2,49.4,52.1,57.0,66.2,10
,CHULA VISTA,57.5,57.4,57.1,57.2,57.1,58.1,58.0,58.9,62.0,63.8,63.8,63.6,63.5,63.0,63.5,62.5,58.5,56.0,54.8,56.8,56.2,54.7,54.0,55.9,58.9,63.8,09
,DOWNTOWN SES,58.4,58.2,58.4,58.1,58.0,58.3,58.7,59.9,62.8,64.2,62.7,61.4,60.7,60.7,60.8,60.4,58.8,56.3,54.4,54.8,56.3,53.6,53.4,55.4,58.5,64.2,09
,EL CAJON LES,56.4,56.2,56.3,56.2,56.2,56.4,56.9,57.7,60.8,65.1,68.5,66.3,63.5,63.3,62.4,60.5,57.7,54.2,52.8,53.6,54.5,52.1,51.8,54.7,58.1,68.5,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,57.2,57.0,56.6,56.2,56.1,56.8,57.7,58.1,61.6,65.2,65.6,63.8,62.6,62.4,61.9,60.0,56.3,53.3,52.8,54.8,54.4,52.5,52.6,55.3,58.0,65.6,10
,OTAY MESA DVN,55.9,56.1,56.4,56.0,56.4,57.4,58.4,59.2,63.0,66.3,68.5,67.3,65.2,65.3,64.3,61.0,58.5,54.8,55.1,59.2,57.9,54.1,54.4,56.8,59.5,68.5,10
,PENDLETON,57.0,56.7,56.8,57.4,56.8,56.8,56.8,56.4,57.0,58.4,60.3,61.3,60.6,59.7,59.3,58.5,56.6,56.3,55.0,55.1,54.0,52.4,53.4,54.9,57.0,61.3,11
17 RELHUM %,ALPINE,46,47,46,47,51,51,43,62,69,69,59,46,39,37,42,57,87,100,99,95,94,100,100,100,66,100,17
,EL CAJON LES,71,71,73,72,72,69,66,63,55,51,42,45,59,63,64,65,73,87,94,89,84,89,94,95,71,95,23
,KEARNY MESA,85,85,88,93,93,82,75,75,61,51,52,51,63,61,53,69,81,88,86,77,82,91,96,97,76,97,23
18 PRES mmHg,EL CAJON LES,750,750,750,750,750,750,750,750,749,750,750,750,749,748,748,748,749,749,748,747,748,748,748,747,749,750,00
,KEARNY MESA,751,751,751,751,751,751,751,751,751,751,751,751,750,750,750,749,750,750,748,748,749,749,749,747,750,751,00
19 SOLAR W/M2,EL CAJON LES,2,3,3,3,3,3,4,37,174,334,270,138,82,71,43,20,3,2,3,3,3,3,3,4,51,334,09
,KEARNY MESA,1,1,1,0,1,1,1,43,197,280,227,98,84,77,41,24,4,1,1,1,1,1,1,1,45,280,09
25 NOY,EL CAJON LES,42.65,37.07,35.90,33.50,34.39,C,C,28.16,26.63,36.70,M,M,21.12,21.61,23.06,15.49,20.36,21.00,13.29,6.70,7.79,13.82,4.46,1.67,22.26,42.65,00
26 NOY-NO,EL CAJON LES,31.66,29.19,27.85,26.45,26.97,C,C,19.29,16.83,22.58,M,M,18.94,19.85,21.49,14.99,19.72,20.59,13.04,6.50,7.60,13.71,4.43,1.63,18.16,31.66,00
27 NO Trace,EL CAJON LES,10.99,7.88,8.04,7.05,7.41,C,C,8.87,9.80,14.12,M,M,2.17,1.76,1.56,.49,.64,.41,.25,.19,.19,.11,.03,.04,4.10,14.12,09
28 SO2 Tr PPB,EL CAJON LES,.2,.2,C,C,C,.1,.1,.1,.1,.2,.1,.4,.2,.2,.2,.1,.1,.0,.0,.0,.0,.0,.0,.0,.1,.4,11
29 CO Tr PPB,EL CAJON LES,839.9,814.4,C,C,C,625.1,618.2,657.7,602.0,692.7,C,667.6,478.8,460.4,496.4,371.0,456.3,470.9,427.8,284.4,273.5,365.8,215.4,150.8,498.4,839.9,00
BCarbon ug/m3,10TH AVE MARINE TERM,1.08,1.28,1.30,.93,1.18,2.45,3.28,3.62,4.18,3.78,3.10,1.87,1.50,1.37,.55,.53,1.01,.95,1.03,1.26,1.29,1.75,.68,.36,1.68,4.18,08
,ALPINE,.88,<,.72,.64,.70,.68,.79,.54,.32,.19,.32,1.49,2.11,.91,.87,1.16,1.42,1.53,.96,.30,.20,.62,.30,.40,.78,2.11,12
,CHICANO PARK,1.02,1.22,1.76,1.46,1.42,2.86,3.43,4.09,4.48,4.73,3.19,2.09,1.65,1.81,.63,.48,.98,1.31,1.11,.94,1.44,.57,.76,.29,1.82,4.73,09
,DOWNTOWN SES,.04,.04,.04,.04,.05,.06,.06,.08,.07,.09,.06,.04,.03,.03,.02,.02,.02,.03,.03,.01,.03,.02,.02,<,.04,.09,09
,OCEANVIEW BLVD,<,<,<,<,<,<,<,<,<,<,<,<,<,1.57,.80,.61,1.02,.97,.91,.81,1.43,.61,.54,.15,.86,1.57,13
,SAN YSIDRO,1.46,1.82,2.17,1.83,1.70,3.21,5.23,4.95,5.51,3.21,2.35,1.74,1.70,1.40,1.12,.85,.92,1.15,1.01,2.55,1.57,.34,.26,.20,2.01,5.51,08
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.03,.13,.04,.01,.03,.22,.11,.02,.02,.22,21
