Current Date:,12/25/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
12/24/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.040,.041,C,C,.041,.040,.039,.040,.044,.043,.044,.045,.045,.045,.044,.042,.043,.040,.039,.040,.041,.038,.037,.039,.041,.045,11
,CHULA VISTA,.035,.035,C,C,.036,.035,.033,.035,.037,.038,.041,.041,.043,.042,.042,.042,.040,.034,.021,.027,.020,.012,.005,.006,.031,.043,12
,DOWNTOWN SES,.036,.034,C,C,.039,.034,.033,.035,.041,.041,.041,.043,.044,.042,.043,.043,.040,.038,.035,.028,.015,.011,.009,.009,.033,.044,12
,EL CAJON LES,.036,.036,C,C,C,.034,.033,.034,.039,.037,.040,.041,.041,.042,.040,.040,.038,.035,.031,.029,.027,.017,.014,.007,.032,.042,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.032,.031,C,C,.038,.036,.035,.037,.041,.040,.041,.041,.043,.043,.042,.041,.041,.038,.026,.023,.013,.014,.014,.016,.033,.043,12
,OTAY MESA DVN,.038,.038,C,C,.032,.032,.030,.031,.038,.034,.038,.039,.041,.040,.041,.039,.035,.030,.023,.022,.018,.022,.011,.024,.031,.041,12
,PENDLETON,.035,.035,C,C,.038,.035,.035,.041,.043,.044,.044,.043,.044,.044,.044,.043,.040,.034,.029,.031,.026,.028,.024,.021,.036,.044,09
02 NOX PPM,ALPINE,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
,DOWNTOWN SES,.002,.004,C,C,.000,.003,.001,.002,.002,.003,.002,.002,.001,.001,.001,.001,.002,.003,.006,.009,.017,.020,.020,.019,.006,.020,21
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
,OTAY MESA DVN,.001,.001,C,C,.007,.003,.003,.003,.002,.005,.003,.002,.001,.002,.002,.002,.003,.008,.010,.011,.014,.009,.019,.005,.005,.019,22
,PENDLETON,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
03 NO2 PPM,ALPINE,.001,.001,C,C,.000,.001,.001,.001,.001,.001,.001,.002,.001,.001,.001,.002,.002,.002,.002,.002,.002,.002,.003,.001,.001,.003,22
,CARMEL MT RCH,.007,.005,C,C,.005,.007,.007,.003,.009,.007,.007,.007,.005,.006,.006,.008,.010,.010,.014,.019,.015,.011,.011,.011,.009,.019,19
,CHULA VISTA,.004,.004,C,C,.002,.001,.001,.001,.007,.004,.003,.003,.002,.001,.003,.001,.002,.004,.013,.009,.014,.018,.028,.027,.007,.028,22
,DOWNTOWN SES,.002,.004,C,C,.000,.003,.001,.001,.001,.002,.002,.001,.001,.001,.001,.000,.002,.003,.006,.009,.016,.018,.018,.018,.005,.018,21
,EL CAJON LES,.001,.001,C,C,C,.002,.002,.002,.003,.003,.002,.002,.002,.002,.002,.003,.003,.004,.005,.005,.005,.011,.012,.018,.004,.018,23
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.004,.004,C,C,.002,.002,.002,.002,.002,.003,.002,.002,.001,.002,.001,.002,.002,.004,.011,.011,.016,.015,.014,.012,.005,.016,20
,OTAY MESA DVN,.001,.001,C,C,.003,.003,.003,.003,.001,.004,.003,.002,.001,.002,.001,.002,.003,.008,.010,.011,.014,.009,.018,.005,.005,.018,22
,PENDLETON,.003,.002,C,C,.001,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.004,.005,.003,.004,.003,.004,.004,.002,.005,18
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.000,.000,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,11
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
,DOWNTOWN SES,.000,.000,C,C,.000,.000,.000,.000,.000,.001,.001,.001,.000,.001,.000,.000,.000,.000,.000,.000,.001,.001,.002,.002,.000,.002,22
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
,OTAY MESA DVN,.000,.000,C,C,.003,.001,.000,.000,.000,.001,.001,.000,.000,.000,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.003,04
,PENDLETON,.000,.000,C,C,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.000,.000,.000,.000,.001,20
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,.2,.2,.2,.2,.3,.3,.3,.4,.4,.4,.4,.5,.6,.6,.7,.7,.3,.3,.4,.3,.4,.7,18
10 INTMP °C,ALPINE,27,28,27,27,26,27,27,27,26,27,27,27,26,27,27,27,27,27,28,27,27,28,28,28,27,28,01
,CARMEL MT RCH,23,24,24,25,25,25,25,25,25,25,25,25,25,25,25,26,25,25,25,25,25,24,24,24,25,26,15
,CHULA VISTA,24,24,25,25,26,26,26,26,25,26,26,26,26,26,26,26,26,26,26,25,25,25,24,24,25,26,04
,DOWNTOWN SES,24,24,24,24,24,24,24,24,24,24,23,23,23,22,22,22,23,23,23,23,23,23,24,24,23,24,00
,EL CAJON LES,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,27,27,28,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,28,04
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,26,26,26,26,26,26,26,26,26,00
,PENDLETON,26,26,26,26,25,25,25,25,25,25,25,25,24,24,24,24,25,25,25,25,25,25,25,25,25,26,00
11 PM2.5 µg/M3,ALPINE,-1.7,-1.4,-.3,-3.6,-5.1,-3.6,-1.1,.8,-1.7,.6,1.5,.6,1.0,2.8,3.9,3.1,1.8,2.9,3.4,.2,.6,11.9,7.6,2.9,1.1,11.9,21
,DOWNTOWN SES,3.6,2.2,2.9,.8,-.5,2.4,3.6,3.3,4.0,6.2,3.9,2.9,3.1,4.5,3.6,4.2,5.6,7.0,7.0,10.5,25.9,32.1,36.2,34.6,8.7,36.2,22
,EL CAJON LES,4.2,-.6,6.1,4.3,3.5,.9,-.9,2.8,3.9,5.2,7.3,4.9,2.6,6.3,3.2,5.2,3.8,5.9,17.5,6.0,9.3,34.7,23.9,22.9,7.6,34.7,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
