,PENDLETON,.000,.000,C,C,.000,.000,.000,.000,.001,.001,.002,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,.000,.000,.002,10
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,.3,.6,.6,.6,.4,.5,.4,.4,.3,.4,.4,.5,.6,.4,.3,.4,.3,.3,.3,.3,.4,.6,05
10 INTMP °C,ALPINE,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,27,27,02
,CARMEL MT RCH,23,23,24,24,24,24,23,23,23,23,24,23,23,24,24,24,23,23,23,23,23,22,22,22,23,24,02
,CHULA VISTA,23,23,23,23,23,23,24,23,24,23,25,26,25,26,26,26,25,24,24,23,23,22,23,23,24,26,11
,DOWNTOWN SES,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,00
,EL CAJON LES,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,23,22,22,22,23,22,22,21,21,21,22,22,22,22,22,22,22,22,22,22,21,21,21,21,22,23,00
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,26,27,26,26,27,20
,PENDLETON,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,25,26,23
11 PM2.5 µg/M3,ALPINE,-3.6,-3.6,-2.3,1.8,2.1,-.6,-2.3,-1.6,1.5,1.4,1.9,.9,-.5,4.1,1.3,-2.0,-.4,-.8,-.8,.5,1.3,1.3,-1.0,-3.2,-.1,4.1,13
,DOWNTOWN SES,1.0,-.5,.4,2.8,2.7,1.8,1.9,3.5,2.8,1.3,2.4,1.3,M,M,1.7,4.3,3.7,.9,1.2,2.9,7.5,5.7,3.2,9.0,2.7,9.0,23
,EL CAJON LES,.7,2.5,2.5,1.8,3.0,2.6,1.5,2.8,1.8,6.5,3.4,-.5,3.1,4.4,4.2,5.2,3.7,2.9,8.5,5.1,12.5,12.9,9.9,5.4,4.4,12.9,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,-.1,-1.3,1.3,-.2,-3.0,-2.4,-2.4,-.8,7.7,6.7,3.1,-.9,-1.8,-.1,-1.8,.9,.4,-3.1,-1.3,.9,-.6,-4.7,-3.7,-3.0,-.4,7.7,08
,PENDLETON,2.0,1.9,.4,-.6,-.1,5.3,3.0,3.2,3.8,2.3,-.4,-.8,1.9,2.6,1.0,.4,.2,1.0,.8,-.5,5.4,5.2,3.8,2.5,1.8,5.4,20
12 VWDR °,ALPINE,288,292,295,289,284,288,298,292,289,279,292,284,269,264,247,294,278,302,280,275,293,285,298,266,0,302,17
,CHULA VISTA,290,315,305,302,295,304,329,11,335,327,257,285,284,293,272,256,266,265,261,292,99,65,133,128,0,335,08
,DOWNTOWN SES,308,311,286,298,276,300,320,316,310,266,283,259,240,264,271,272,278,281,298,332,49,108,105,70,0,332,19
,EL CAJON LES,251,272,249,236,243,243,114,124,41,215,279,272,247,250,247,246,246,256,247,299,124,143,126,138,0,299,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,295,288,261,284,289,293,298,92,299,288,280,247,260,281,292,289,250,277,302,285,113,114,134,85,0,302,18
,OTAY MESA DVN,303,328,343,352,326,340,354,31,151,241,342,266,271,298,349,295,264,276,311,332,25,5,101,141,0,354,06
,PENDLETON,256,275,282,291,297,296,280,266,300,292,246,254,250,257,258,255,259,292,51,63,93,48,45,37,0,300,08
13 SIGTHETA °,ALPINE,22,23,25,23,26,22,24,27,29,27,28,31,29,31,31,24,27,25,31,30,43,33,28,30,28,43,20
,CHULA VISTA,33,20,17,18,15,24,18,22,28,43,27,21,23,20,22,18,19,19,38,24,24,23,17,12,23,43,09
,DOWNTOWN SES,29,24,21,24,22,22,21,22,26,40,24,26,19,21,24,23,21,20,24,24,27,19,18,20,23,40,09
,EL CAJON LES,18,17,18,20,24,28,31,17,42,31,28,25,22,22,24,20,22,26,37,25,20,31,28,46,26,46,23
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,10,8,8,7,7,8,9,30,48,15,11,16,15,16,11,11,12,15,24,41,27,40,27,38,19,48,08
,OTAY MESA DVN,15,18,13,18,17,19,26,41,27,51,35,15,15,20,19,20,12,18,30,46,24,43,21,22,24,51,09
,PENDLETON,15,15,16,15,14,15,15,15,17,30,15,14,11,13,14,13,18,14,12,13,9,18,13,10,15,30,09
14 VWSP MPH,ALPINE,6.6,7.8,5.8,6.4,5.4,5.2,3.5,1.9,2.6,3.6,3.0,3.4,4.6,5.0,3.3,4.6,2.3,3.1,2.7,3.1,2.3,2.4,1.2,1.4,.0,7.8,01
,CHULA VISTA,3.5,4.6,4.4,3.8,5.8,2.8,2.3,.6,2.0,2.4,4.7,6.4,6.2,5.4,5.2,6.2,5.3,6.2,2.3,1.0,2.0,1.5,2.3,3.0,.0,6.4,11
,DOWNTOWN SES,2.9,4.2,4.2,3.7,5.2,3.6,2.6,2.9,3.8,2.9,6.0,5.4,6.2,5.4,5.1,5.9,6.0,4.8,4.1,1.8,1.7,1.6,2.5,2.9,.0,6.2,12
,EL CAJON LES,3.2,4.3,3.6,2.2,2.1,1.3,1.1,1.6,1.2,2.3,2.4,4.7,5.1,5.6,5.2,5.1,2.7,2.7,1.6,2.2,1.2,2.0,2.3,.5,.0,5.6,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,8.9,7.0,5.5,7.7,7.1,6.0,4.0,.5,4.1,6.6,8.7,9.5,11.6,10.3,10.6,7.7,6.3,5.7,2.2,.2,1.8,2.6,2.5,1.9,.0,11.6,12
,OTAY MESA DVN,4.8,6.4,5.7,3.6,3.7,3.1,2.2,1.2,1.3,1.7,1.5,9.4,6.5,7.5,4.5,5.3,5.1,3.0,3.3,2.8,3.3,1.2,.6,2.7,.0,9.4,11
,PENDLETON,11.1,7.0,7.2,7.0,8.4,7.5,6.7,8.9,5.7,3.5,11.4,11.2,15.0,12.4,11.3,11.0,6.6,6.2,3.0,4.2,4.3,3.4,4.2,5.1,.0,15.0,12
15 SWSP MPH,ALPINE,7.1,8.4,6.3,6.8,5.9,5.5,3.8,2.2,3.0,4.0,3.4,3.8,5.2,5.7,3.9,5.0,2.6,3.4,3.2,3.7,2.7,2.7,1.3,1.6,4.2,8.4,01
,CHULA VISTA,4.4,4.9,4.6,4.1,6.0,3.1,2.5,.7,2.2,2.9,5.3,7.1,6.7,5.8,5.9,6.5,5.6,6.5,3.0,3.3,2.3,2.2,2.4,3.1,4.2,7.1,11
,DOWNTOWN SES,3.3,4.6,4.4,4.1,5.6,4.2,2.7,3.2,4.5,3.6,6.8,6.1,6.8,5.8,5.6,6.5,6.4,5.2,4.4,2.8,2.2,1.7,2.7,3.5,4.4,6.8,10
,EL CAJON LES,3.4,4.6,3.8,2.4,2.3,1.4,1.8,1.8,2.5,3.0,4.0,5.4,5.6,6.2,5.7,5.6,2.9,3.0,1.9,2.8,1.4,2.3,2.5,1.5,3.2,6.2,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,9.3,7.2,5.5,7.8,7.2,6.2,4.1,.9,4.7,6.9,8.9,10.0,12.2,11.2,10.8,8.0,6.7,5.9,3.0,1.6,2.1,2.9,2.7,2.3,6.2,12.2,12
,OTAY MESA DVN,5.0,6.8,5.8,3.8,3.9,3.4,2.5,1.4,1.4,2.9,2.4,9.8,7.1,8.5,5.0,5.9,5.5,3.1,4.0,4.8,3.8,2.0,1.6,3.0,4.3,9.8,11
,PENDLETON,11.5,7.3,7.5,7.3,8.7,7.8,7.0,9.3,6.0,4.1,11.8,11.5,15.3,12.7,11.7,11.4,7.3,7.8,3.6,4.3,4.4,3.9,4.4,5.2,8.0,15.3,12
16 AMBTEMP °F,ALPINE,45.4,44.9,43.8,44.0,43.7,42.9,42.4,42.3,42.2,42.9,42.8,43.4,44.6,44.6,43.5,43.5,43.0,42.8,42.8,43.0,42.5,42.5,42.4,42.4,43.3,45.4,00
,CARMEL MT RCH,49.8,49.3,49.2,49.6,48.7,47.9,47.3,48.3,49.0,51.4,51.9,50.6,50.2,50.7,51.5,50.7,49.8,48.1,47.5,47.0,46.7,46.3,46.5,45.9,48.9,51.9,10
,CHULA VISTA,53.5,52.5,52.4,52.7,53.1,51.6,51.1,50.8,53.2,52.8,55.9,54.4,54.1,53.0,53.7,54.5,54.1,53.0,51.2,50.0,49.8,49.8,50.0,49.5,52.4,55.9,10
,DOWNTOWN SES,53.5,52.8,53.4,53.7,53.3,52.8,52.5,53.0,53.1,54.5,55.2,55.0,54.5,54.3,55.1,54.7,54.5,53.0,52.3,52.0,50.5,50.1,50.1,49.9,53.1,55.2,10
,EL CAJON LES,51.4,50.8,50.1,49.4,49.6,48.4,46.9,47.4,50.4,52.0,52.1,52.6,53.9,51.5,53.3,52.3,51.5,50.2,49.6,49.4,48.4,48.3,48.3,48.0,50.2,53.9,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,51.8,51.0,51.1,50.9,50.7,49.9,49.4,49.3,51.9,52.6,52.3,54.9,55.2,54.5,54.2,53.0,51.5,50.3,49.6,49.2,49.2,48.0,48.5,48.0,51.1,55.2,12
,OTAY MESA DVN,50.7,50.5,49.6,49.6,49.7,49.1,48.5,48.8,49.8,50.2,50.9,52.1,50.3,50.7,49.9,50.8,50.5,49.2,48.7,48.0,47.8,47.8,47.9,47.8,49.5,52.1,11
,PENDLETON,54.9,55.0,54.9,54.4,54.0,53.8,53.7,53.8,51.8,53.3,55.2,55.7,55.2,57.1,56.0,54.3,51.2,51.3,49.9,49.8,50.3,50.0,49.2,48.1,53.0,57.1,13
17 RELHUM %,ALPINE,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,00
,EL CAJON LES,98,96,94,94,93,94,97,99,89,82,81,81,73,84,75,74,82,86,89,93,97,98,98,97,89,99,07
,KEARNY MESA,96,98,96,90,89,86,86,90,84,81,84,73,71,73,70,75,88,91,97,100,99,100,100,100,88,100,19
18 PRES mmHg,EL CAJON LES,747,747,747,747,747,747,747,747,747,747,747,747,746,746,746,746,746,746,746,746,746,747,747,747,747,747,00
,KEARNY MESA,748,748,748,748,748,748,747,748,748,748,748,748,747,747,747,747,747,747,747,747,747,748,748,748,748,748,00
19 SOLAR W/M2,EL CAJON LES,2,2,2,2,2,0,3,48,129,255,179,285,293,179,155,50,20,1,2,2,2,2,2,2,67,293,12
,KEARNY MESA,1,1,1,1,1,1,3,50,155,231,294,552,361,317,145,81,15,1,1,1,1,1,1,1,92,552,11
25 NOY,EL CAJON LES,4.04,1.72,2.34,3.72,4.18,C,C,15.14,7.45,7.57,4.33,4.44,4.01,4.06,3.86,3.84,6.75,6.80,9.16,6.95,9.65,6.62,3.82,4.80,5.69,15.14,07
26 NOY-NO,EL CAJON LES,3.95,1.71,2.33,3.68,4.12,C,C,12.70,6.14,5.80,3.54,3.53,3.14,3.22,3.27,3.42,6.12,6.30,8.74,6.87,9.13,6.28,3.80,4.61,5.10,12.70,07
27 NO Trace,EL CAJON LES,.09,.00,.01,.03,.06,C,C,2.44,1.30,1.76,.78,.91,.87,.83,.59,.41,.63,.50,.41,.08,.52,.33,.02,.18,.57,2.44,07
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,C,C,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,179.2,147.4,C,C,C,214.0,302.9,305.9,222.1,230.5,C,C,174.9,173.2,184.1,179.6,211.0,232.1,246.4,232.2,311.5,283.5,215.1,205.2,223.7,311.5,20
BCarbon ug/m3,10TH AVE MARINE TERM,.05,.04,<,<,.06,.03,.04,.08,.08,.08,.09,.52,.23,.20,.19,.20,.12,.08,.09,.14,.72,1.11,.60,1.26,.27,1.26,23
,ALPINE,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
,CHICANO PARK,.07,.10,.07,.08,.09,.15,.27,.45,.47,.40,.37,.79,.30,.88,.33,.34,.43,.21,.19,.30,.63,.57,.77,.95,.38,.95,23
,DOWNTOWN SES,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
,OCEANVIEW BLVD,.13,.05,.03,.09,.07,.22,.54,.79,.46,.22,.16,.30,.22,.21,.24,.24,.24,.22,.35,.38,.44,.44,.67,.79,.31,.79,07
,SAN YSIDRO,.03,.03,.02,.12,.06,.14,.26,.37,.58,.15,.09,.06,.05,.07,.09,.10,.15,.12,.19,.12,.28,.18,.52,.88,.19,.88,23
RAINFALL,EL CAJON LES,.01,.00,.00,.00,.00,.00,.00,.00,.00,.01,.05,.00,.00,.03,.00,.00,.00,.01,.00,.01,.00,.00,.00,.00,.00,.05,10
