10 INTMP °C,ALPINE,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,27,27,28,28,28,28,27,28,20
,CARMEL MT RCH,27,27,27,28,27,27,26,26,26,25,25,25,25,25,26,25,25,25,26,26,27,27,27,27,26,28,03
,CHULA VISTA,21,21,21,20,20,19,19,19,19,21,23,24,24,24,24,24,24,24,24,24,23,23,22,22,22,24,11
,DOWNTOWN SES,24,24,24,24,24,24,24,24,24,24,23,22,22,22,22,21,22,23,23,23,23,23,24,24,23,24,00
,EL CAJON LES,24,24,24,24,24,25,24,24,25,24,25,24,24,24,24,24,23,24,23,24,24,24,24,24,24,25,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,26,26,26,25,25,25,26,26,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,00
,OTAY MESA DVN,26,26,27,27,27,26,27,27,27,26,26,26,26,25,25,25,24,25,26,26,26,26,26,26,26,27,02
,PENDLETON,26,26,26,26,26,26,25,25,P,,,,,,,,,P,24,26,25,26,26,26,26,26,00
11 PM2.5 µg/M3,ALPINE,2.8,2.2,1.0,1.8,2.3,.8,-1.7,-1.0,2.8,2.5,-1.5,-3.7,-5.0,-3.4,-.2,3.0,3.2,1.6,10.0,10.0,8.7,6.5,3.1,1.0,1.9,10.0,18
,DOWNTOWN SES,15.3,12.7,10.7,8.4,8.5,6.4,8.7,7.9,4.0,2.7,4.0,3.8,3.0,4.6,3.4,2.6,4.2,3.3,7.9,14.5,24.5,25.4,30.4,16.7,9.7,30.4,22
,EL CAJON LES,14.7,11.2,18.1,8.7,10.9,9.6,8.2,8.4,10.1,9.3,11.4,5.2,1.5,3.7,2.6,1.6,1.4,11.4,28.5,35.2,33.5,35.7,14.8,34.0,13.7,35.7,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,1.3,2.2,.9,.4,1.0,1.4,4.9,1.8,-4.0,-1.8,.5,-.4,-.7,1.3,5.7,6.7,3.4,-.3,1.3,2.0,4.3,23.1,20.2,15.9,3.7,23.1,21
,PENDLETON,5.3,7.1,4.9,4.9,5.7,4.7,2.9,2.2,,,,,,,,,,M,9.6,9.5,13.2,8.7,7.2,8.8,6.7,13.2,20
12 VWDR °,ALPINE,355,82,96,45,40,101,101,113,120,301,313,281,290,220,232,253,272,258,116,95,88,107,83,79,0,355,00
,CHULA VISTA,61,70,69,49,68,71,104,99,114,133,140,164,251,280,259,274,293,127,121,65,100,102,26,116,0,293,16
,DOWNTOWN SES,37,43,29,38,48,52,44,67,47,81,243,254,313,289,280,276,298,336,340,21,32,1,26,35,0,340,18
,EL CAJON LES,196,102,224,107,172,199,248,243,306,264,291,340,328,280,262,302,260,173,111,95,110,108,66,278,0,340,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,64,68,72,48,58,72,67,74,96,111,334,337,341,318,308,305,301,311,5,48,50,60,58,66,0,341,12
,OTAY MESA DVN,31,76,5,42,30,61,88,72,158,163,147,161,188,214,276,278,312,29,37,51,126,134,21,206,0,312,16
,PENDLETON,53,64,67,73,68,67,65,68,P,,,,,,,,,P,15,85,60,58,59,53,0,85,19
13 SIGTHETA °,ALPINE,25,55,57,34,21,16,22,48,25,30,26,30,50,44,40,31,28,37,43,21,15,14,13,11,31,57,02
,CHULA VISTA,24,52,37,20,28,15,42,15,18,19,24,29,47,20,18,21,17,24,8,19,17,18,21,16,24,52,01
,DOWNTOWN SES,56,14,37,50,24,18,19,36,24,37,49,33,25,23,16,14,18,13,17,50,50,63,10,10,29,63,21
,EL CAJON LES,39,40,51,48,51,51,36,60,66,67,41,43,46,44,43,17,15,43,36,26,29,34,37,37,42,67,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,9,5,8,8,11,7,6,8,32,47,44,33,34,14,12,11,8,6,15,5,6,5,4,4,14,47,09
,OTAY MESA DVN,19,49,33,40,22,44,52,50,31,13,15,17,17,28,12,13,18,8,9,11,26,43,51,21,27,52,06
,PENDLETON,12,12,9,8,9,10,9,12,P,,,,,,,,,P,20,9,8,8,9,9,10,20,18
14 VWSP MPH,ALPINE,1.9,1.2,.7,.7,1.4,1.9,2.1,2.4,2.2,2.5,3.6,3.8,2.3,2.9,3.0,2.9,2.3,.4,1.8,1.5,1.6,1.8,2.1,1.1,.0,3.8,11
,CHULA VISTA,1.1,1.7,1.6,2.3,1.7,4.1,2.0,3.4,3.0,4.6,3.8,3.4,2.2,6.0,6.4,5.2,2.7,.6,1.8,1.1,1.2,3.2,1.9,1.0,.0,6.4,14
,DOWNTOWN SES,1.2,3.9,2.9,1.5,3.8,3.9,4.1,1.7,2.7,2.0,.7,2.9,4.0,5.0,6.7,6.0,2.9,2.6,1.9,1.4,.4,.4,3.0,5.3,.0,6.7,14
,EL CAJON LES,.2,1.2,.6,.7,.2,.7,.5,.5,.3,.5,1.1,2.0,2.2,2.1,1.7,5.8,2.9,.7,1.3,1.2,.4,.7,1.2,.6,.0,5.8,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,3.6,4.8,3.9,4.8,5.2,5.0,4.8,3.4,1.8,.5,3.1,3.2,4.1,7.5,9.4,7.7,5.9,4.6,1.8,3.5,3.6,4.3,5.3,5.4,.0,9.4,14
,OTAY MESA DVN,3.1,2.7,3.0,2.7,3.6,1.9,1.0,1.0,8.8,12.2,10.1,10.0,7.3,5.1,9.8,7.5,3.8,3.8,3.0,2.8,2.3,.9,.4,.8,.0,12.2,09
,PENDLETON,6.7,7.6,7.6,8.7,10.0,9.2,9.6,7.5,P,,,,,,,,,P,1.6,4.1,4.5,4.9,5.7,6.5,.0,10.0,04
15 SWSP MPH,ALPINE,2.1,1.7,1.4,2.0,1.5,2.0,2.2,2.6,2.4,2.8,4.0,4.5,3.3,4.1,3.7,3.5,2.7,.5,2.0,1.7,1.7,1.8,2.2,1.1,2.4,4.5,11
,CHULA VISTA,1.1,2.1,1.8,2.4,1.8,4.4,2.4,3.5,3.2,4.9,4.1,3.9,4.0,6.4,6.7,5.6,2.8,.7,1.8,1.2,1.3,3.3,2.1,1.1,3.0,6.7,14
,DOWNTOWN SES,1.5,4.0,3.2,1.7,4.0,4.1,4.3,2.3,3.0,2.4,2.0,3.6,4.5,5.5,7.0,6.1,3.2,2.7,2.0,1.6,.9,.4,3.1,5.4,3.3,7.0,14
,EL CAJON LES,.7,2.2,1.0,.9,.5,1.3,.8,.7,.5,.9,1.3,2.6,2.9,2.8,2.8,6.1,3.1,1.4,1.4,1.3,.8,.9,1.5,.8,1.6,6.1,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.7,4.9,4.0,4.9,5.4,5.0,4.8,3.5,2.0,1.9,3.9,4.0,4.8,7.8,9.7,7.8,6.0,4.6,2.2,3.5,3.6,4.3,5.3,5.4,4.7,9.7,14
,OTAY MESA DVN,3.2,3.9,3.8,3.1,3.9,2.8,1.5,2.4,9.7,12.5,10.6,10.4,7.9,5.8,10.2,7.8,4.0,3.9,3.0,2.9,2.5,1.2,1.3,.9,5.0,12.5,09
,PENDLETON,7.1,7.8,7.7,8.8,10.2,9.3,9.7,7.7,P,,,,,,,,,P,2.7,4.3,4.6,5.0,5.8,6.6,7.0,10.2,04
16 AMBTEMP °F,ALPINE,46.6,45.7,47.0,46.8,46.9,47.3,45.4,48.0,54.3,57.1,58.2,59.5,60.6,62.2,62.5,62.0,57.2,53.8,51.4,50.6,50.5,48.8,49.9,50.3,52.6,62.5,14
,CARMEL MT RCH,47.2,46.9,46.0,45.3,44.3,44.4,45.6,47.0,53.1,58.6,61.6,63.8,65.6,65.9,64.4,63.0,59.8,57.8,55.0,52.4,51.6,50.7,48.4,48.1,53.6,65.9,13
,CHULA VISTA,47.8,48.0,46.5,47.2,45.2,47.4,46.1,50.5,56.9,61.4,64.5,67.2,68.6,68.0,66.9,64.9,62.8,59.3,56.6,53.9,52.2,52.3,49.7,48.0,55.5,68.6,12
,DOWNTOWN SES,49.2,49.7,48.5,47.5,48.5,49.0,48.9,48.6,55.4,60.1,63.3,64.8,66.5,67.2,66.7,65.1,63.2,60.1,58.0,56.0,53.7,52.3,52.8,52.5,56.2,67.2,13
,EL CAJON LES,44.2,43.7,42.3,41.2,40.1,39.4,38.9,40.6,45.8,52.7,60.0,64.5,66.8,68.5,68.8,66.4,62.3,57.2,52.9,50.5,48.5,47.3,46.9,44.1,51.4,68.8,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,47.9,47.5,47.1,47.9,47.1,45.8,46.1,49.1,55.4,60.8,63.3,65.1,66.6,66.5,65.2,63.9,61.0,56.8,54.5,52.6,52.6,51.9,51.2,49.8,54.8,66.6,12
,OTAY MESA DVN,50.1,50.7,49.5,49.8,49.8,49.6,49.5,51.5,56.3,60.1,63.8,65.9,68.1,68.9,66.5,64.0,60.2,57.9,56.6,55.4,54.6,52.6,51.6,50.5,56.4,68.9,13
,PENDLETON,47.5,48.4,47.6,48.2,48.1,47.4,47.1,47.9,P,,,,,,,,,P,57.0,54.3,53.0,51.1,49.2,47.8,49.6,57.0,18
17 RELHUM %,ALPINE,73,83,49,48,64,46,47,39,29,26,26,25,24,21,20,21,33,37,43,44,42,46,41,37,40,83,01
,EL CAJON LES,95,93,95,96,97,97,96,93,82,62,41,24,22,19,19,26,30,40,51,57,62,64,64,74,62,97,04
,KEARNY MESA,94,94,93,88,90,91,82,72,55,38,34,31,27,28,27,27,30,46,58,55,50,52,55,58,57,94,00
18 PRES mmHg,EL CAJON LES,753,753,753,753,753,754,754,754,754,754,754,753,752,751,751,751,751,751,751,752,752,752,752,752,753,754,05
,KEARNY MESA,754,754,754,754,754,754,755,755,755,755,755,754,753,753,752,752,752,752,753,753,753,753,753,753,754,755,06
19 SOLAR W/M2,EL CAJON LES,0,0,0,0,0,0,4,30,170,401,423,567,545,466,332,162,19,-3,-2,0,0,0,0,0,130,567,11
,KEARNY MESA,0,0,0,0,0,0,7,124,305,476,579,620,597,512,377,199,34,0,0,0,0,0,0,0,160,620,11
25 NOY,EL CAJON LES,19.83,13.35,22.18,20.43,21.68,C,C,29.38,42.65,33.66,19.43,4.15,3.51,3.37,4.12,5.21,8.27,18.72,28.49,28.33,23.06,22.93,14.50,37.56,19.30,42.65,08
26 NOY-NO,EL CAJON LES,14.19,10.77,13.63,13.06,11.41,C,C,11.69,15.20,15.82,12.20,3.20,2.90,2.79,3.56,4.61,7.89,18.05,26.79,26.22,20.86,19.41,13.55,22.55,13.19,26.79,18
27 NO Trace,EL CAJON LES,5.64,2.58,8.54,7.36,10.27,C,C,17.69,27.44,17.84,7.22,.95,.61,.58,.56,.60,.38,.66,1.70,2.11,2.19,3.51,.94,15.01,6.10,27.44,08
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.1,.1,.1,.0,.0,.0,.0,.0,.0,.0,.1,.3,.3,.2,.2,.1,.1,.0,.3,18
29 CO Tr PPB,EL CAJON LES,506.5,321.6,C,C,C,428.5,480.2,515.3,651.6,520.8,384.3,152.1,151.0,148.7,149.7,183.4,232.7,455.0,608.6,694.3,618.6,720.4,454.0,763.9,435.2,763.9,23
BCarbon ug/m3,10TH AVE MARINE TERM,5.66,2.22,1.15,1.80,1.89,1.67,1.68,1.27,.81,.43,.44,.55,.78,.60,.48,.37,.91,.71,.91,1.44,1.97,4.12,4.18,3.63,1.65,5.66,00
,ALPINE,.16,.15,.06,.08,.14,.15,.12,.18,.18,.08,.07,.08,.07,.07,.06,.08,.16,.35,.61,.56,.32,.47,.27,.16,.19,.61,18
,CHICANO PARK,3.13,2.32,1.73,1.14,.81,.72,.86,.88,.71,.39,.33,.53,.53,.50,.53,.64,1.30,1.55,1.29,3.25,3.42,4.37,4.99,2.95,1.62,4.99,22
,DOWNTOWN SES,2.67,1.48,1.06,.92,.69,.50,.50,.81,.49,.28,.34,.51,.54,.40,.34,.37,.71,.85,1.06,2.32,3.29,3.52,3.62,2.03,1.22,3.62,22
,OCEANVIEW BLVD,2.53,2.44,1.09,.77,.77,.64,.82,.87,.64,.27,.21,.24,.47,.40,.38,.39,.54,1.76,2.05,2.20,3.09,4.39,4.80,3.36,1.46,4.80,22
,SAN YSIDRO,.94,.90,.71,.95,1.08,.81,.91,1.19,.82,.87,.50,.36,.34,.41,.35,.33,.33,.83,2.14,2.77,2.01,2.48,7.48,7.66,1.55,7.66,23
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
