Current Date:,12/18/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
12/17/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.026,.029,C,C,.032,.033,.032,.028,.026,M,C,C,C,C,C,C,C,.038,.036,.038,.043,.044,.045,.046,.035,.046,23
,CHULA VISTA,.016,.013,.013,.015,.016,.008,.006,.006,M,M,M,M,.025,.029,.031,.024,.017,.016,.008,.001,.002,.001,.002,.002,.012,.031,14
,DOWNTOWN SES,.018,.014,C,C,.020,.009,.005,.007,.013,.022,.028,.024,.028,.031,.027,.025,.022,.022,.012,.004,.004,.004,.004,.005,.015,.031,13
,EL CAJON LES,.012,.013,C,C,C,.005,.002,.003,.007,.010,M,M,.038,.036,.032,.033,.026,.022,.010,.005,.008,.008,.008,.004,.014,.038,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.020,.017,C,C,.019,.013,.009,.009,.016,.025,.027,.030,.028,.033,M,.029,.027,.018,.005,.008,.018,.017,.018,.028,.019,.033,13
,OTAY MESA DVN,.016,.015,C,C,.015,.003,.011,.007,.006,.016,.022,.029,.035,.029,.029,.029,.023,.023,.010,.002,.002,.009,.012,.019,.016,.035,12
,PENDLETON,P,,,,,.011,.008,.007,C,C,.021,.028,.031,.032,C,C,C,.027,.020,.012,.013,.017,.020,.023,.019,.032,13
02 NOX PPM,ALPINE,.006,.004,C,C,.002,.001,.004,.010,.011,M,C,C,C,C,C,C,C,<,<,<,<,<,<,<,.005,.011,08
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,.009,.009,.007,.004,.005,.012,.017,.026,M,M,M,M,.018,.014,.011,.019,.022,.021,.032,.046,.040,.045,.037,.031,.021,.046,19
,DOWNTOWN SES,.008,.010,C,C,.004,.015,.024,.022,.023,.011,.007,.019,.015,.010,.015,.016,.017,.017,.029,.041,.077,.059,.040,.043,.024,.077,20
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.005,.006,C,C,.005,.009,.014,.016,.012,.004,.010,.007,.008,.005,M,.010,.013,.019,.034,.026,.013,.014,.013,.006,.012,.034,18
,OTAY MESA DVN,.004,.008,C,C,.006,.034,.010,.033,.045,.022,.010,.008,.006,.011,.010,.010,.012,.012,.035,.094,.104,.026,.022,.012,.024,.104,20
,PENDLETON,P,,,,,.016,.012,.015,C,C,C,P,<,<,C,C,C,<,<,<,<,<,<,<,.014,.016,05
03 NO2 PPM,ALPINE,.006,.003,C,C,.001,.001,.003,.006,.007,M,C,C,C,C,C,C,C,<,<,<,<,<,<,<,.004,.007,08
,CHULA VISTA,.009,.010,.006,.004,.005,.011,.014,.014,M,M,M,M,.011,.009,.008,.015,.020,.020,.028,.033,.028,.026,.027,.023,.016,.033,19
,DOWNTOWN SES,.008,.010,C,C,.003,.012,.016,.012,.013,.006,.004,.011,.009,.007,.010,.012,.015,.016,.026,.032,.032,.029,.026,.024,.015,.032,19
,EL CAJON LES,.007,.005,C,C,C,.009,.011,.010,.011,.012,M,M,.003,.004,.006,.006,.014,.016,.022,.023,.018,.019,.017,.020,.012,.023,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.005,.006,C,C,.005,.008,.012,.011,.007,.002,.006,.005,.005,.003,M,.008,.011,.018,.029,.023,.012,.014,.013,.006,.010,.029,18
,OTAY MESA DVN,.003,.007,C,C,.004,.020,.008,.014,.018,.013,.006,.005,.004,.008,.008,.008,.011,.010,.023,.037,.036,.023,.019,.011,.013,.037,19
,PENDLETON,P,,,,,.003,.009,.009,C,C,C,P,<,<,C,C,C,<,<,<,<,<,<,<,.007,.009,06
04 NO PPM,ALPINE,.001,.001,C,C,.000,.001,.001,.004,.004,M,C,C,C,C,C,C,C,.001,.001,.001,.001,.000,.000,.000,.001,.004,07
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,M,M,M,M,M,M,M,.012,M,M,M,M,.006,.004,.003,.004,.002,.002,.003,.013,.012,.019,.010,.008,.008,.019,21
,DOWNTOWN SES,.000,.001,C,C,.000,.003,.007,.011,.010,.005,.003,.008,.006,.004,.005,.004,.002,.001,.003,.009,.045,.030,.014,.019,.009,.045,20
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.001,.002,.005,.005,.002,.004,.003,.003,.002,M,.002,.001,.001,.005,.002,.000,.000,.000,.000,.002,.005,07
,OTAY MESA DVN,.000,.001,C,C,.002,.014,.002,.019,.026,.010,.004,.003,.002,.003,.002,.002,.001,.002,.012,.057,.067,.003,.003,.001,.011,.067,20
