Current Date:,12/17/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
12/16/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.036,.036,C,C,.040,.039,.038,.033,.029,.037,.041,.042,.041,.040,.040,.040,.035,.034,.033,.032,.028,.024,.025,.025,.034,.042,11
,CHULA VISTA,.021,.013,.011,.011,.014,.005,.002,.007,.010,.020,.028,M,M,.035,.035,.033,.028,.027,.026,.023,.027,.021,.015,.016,.019,.035,13
,DOWNTOWN SES,.017,.017,C,C,.011,.006,.004,.008,.012,.022,.031,.032,.036,.035,.034,.031,.029,.032,.027,.028,.026,.022,.023,.019,.022,.036,12
,EL CAJON LES,.005,.006,C,C,C,.001,.002,.002,.005,.010,.024,M,M,.038,.037,.034,.032,.031,.030,.031,.029,.024,.022,.017,.020,.038,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.019,.018,C,C,.015,.009,.007,.012,.017,.031,.031,.035,.039,.038,.035,.032,.030,.029,.027,.026,.022,.022,.020,.022,.024,.039,12
,OTAY MESA DVN,.028,.005,C,C,.019,.023,.005,.011,.009,.019,.024,.027,.034,.034,.035,.034,.033,.030,.027,.027,.026,.012,.020,.019,.022,.035,14
,PENDLETON,.014,.016,C,C,.006,.006,.009,.011,.014,.018,.025,.030,M,C,C,C,C,C,C,C,.033,.021,.016,.017,.016,.033,20
02 NOX PPM,ALPINE,.003,.002,C,C,.001,.003,.003,.010,.013,.007,.003,.003,.005,.007,.006,.005,.007,.006,.006,.006,.007,.009,.006,.005,.006,.013,08
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,.005,.010,.013,.012,.009,.019,.034,.032,.028,.021,.011,M,M,.009,.008,.007,.011,.011,.009,.011,.006,.010,.014,.013,.014,.034,06
,DOWNTOWN SES,.011,.009,C,C,.012,.019,.035,.028,.030,.019,.011,.012,.008,.009,.009,.009,.010,.006,.011,.009,.008,.009,.006,.008,.013,.035,06
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,.005,C,C,.007,.015,.019,.013,.013,.013,.015,.009,.005,.005,.007,.007,.007,.007,.008,.007,.009,.009,.007,.005,.009,.019,06
,OTAY MESA DVN,.004,.031,C,C,.006,.003,.035,.037,.051,.026,.026,.030,.009,.010,.006,.006,.004,.004,.005,.004,.003,.023,.008,.004,.015,.051,08
,PENDLETON,.009,.008,C,C,.027,.027,.013,.015,.014,.013,.013,.010,M,C,C,C,C,C,C,C,.003,.011,.013,.008,.013,.027,04
03 NO2 PPM,ALPINE,.003,.002,C,C,.001,.002,.003,.007,.009,.004,.002,.002,.003,.005,.004,.004,.006,.006,.006,.006,.007,.009,.006,.004,.005,.009,08
,CHULA VISTA,.005,.010,.013,.013,.009,.017,.023,.021,.016,.012,.007,M,M,.006,.006,.006,.010,.010,.009,.011,.006,.010,.014,.013,.011,.023,06
,DOWNTOWN SES,.010,.008,C,C,.010,.014,.018,.016,.015,.011,.007,.008,.005,.006,.007,.007,.009,.006,.010,.009,.008,.008,.005,.008,.009,.018,06
,EL CAJON LES,.012,.011,C,C,C,.013,.013,.015,.020,.020,.012,M,M,.004,.004,.005,.007,.007,.007,.006,.006,.005,.005,.006,.009,.020,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,.005,C,C,.006,.014,.015,.009,.008,.009,.010,.006,.004,.003,.005,.006,.007,.007,.008,.007,.009,.009,.007,.005,.008,.015,06
,OTAY MESA DVN,.003,.026,C,C,.005,.003,.021,.017,.022,.014,.015,.018,.006,.007,.004,.005,.004,.004,.005,.004,.003,.018,.008,.004,.010,.026,01
,PENDLETON,.009,.007,C,C,.013,.013,.011,.011,.008,.007,.008,.007,M,C,C,C,C,C,C,C,.003,.011,.012,.008,.009,.013,04
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.000,.003,.004,.002,.001,.001,.001,.002,.002,.001,.001,.000,.000,.000,.000,.001,.000,.000,.001,.004,08
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,.000,.000,.000,.000,.000,.003,.011,.011,.013,.009,.003,M,M,M,M,M,M,M,M,M,M,M,M,M,.005,.013,08
,DOWNTOWN SES,.001,.001,C,C,.002,.005,.016,.012,.015,.008,.004,.004,.003,.003,.002,.001,.001,.000,.001,.001,.000,.001,.000,.001,.004,.016,06
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.001,.003,.004,.005,.004,.005,.003,.002,.001,.002,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.005,08
,OTAY MESA DVN,.001,.005,C,C,.001,.001,.014,.021,.029,.011,.011,.012,.003,.003,.002,.002,.001,.000,.000,.000,.000,.005,.000,.000,.006,.029,08
,PENDLETON,.000,.000,C,C,.014,.013,.002,.004,.006,.006,.005,.003,M,C,C,C,C,C,C,C,.000,.000,.001,.000,.004,.014,04
06 CO PPM,CARMEL MT RCH,.7,.5,C,C,C,.9,.7,1.1,.8,.4,.4,.6,.5,.5,.6,.5,.5,.4,.5,.5,.3,.2,.2,.2,.5,1.1,07
10 INTMP °C,ALPINE,26,26,26,26,26,26,25,25,26,26,27,27,26,26,26,27,26,27,27,28,28,28,28,28,27,28,19
,CARMEL MT RCH,25,25,25,26,25,25,24,24,25,25,25,25,25,26,26,26,26,26,26,26,27,26,27,26,26,27,20
