10 INTMP °C,ALPINE,28,28,28,28,28,28,28,28,28,26,26,26,26,26,25,25,26,26,26,27,27,27,27,27,27,28,00
,CARMEL MT RCH,23,23,23,23,23,23,23,23,23,23,24,,P,24,25,25,25,26,26,25,25,25,25,25,24,26,17
,CHULA VISTA,23,24,23,24,24,23,24,24,23,24,25,26,27,27,27,27,27,27,26,26,25,25,25,24,25,27,12
,DOWNTOWN SES,24,24,24,24,24,24,24,24,24,24,23,22,22,22,23,23,23,23,23,23,23,23,23,24,23,24,00
,EL CAJON LES,24,24,24,24,24,25,24,24,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,24,24,24,25,26,25,25,25,25,26,25,26,26,26,26,26,26,26,25,26,10
,OTAY MESA DVN,27,26,27,27,27,27,27,27,27,27,26,26,25,25,24,24,25,25,25,25,25,26,26,26,26,27,00
,PENDLETON,26,26,26,26,26,25,25,25,25,25,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,26,00
11 PM2.5 µg/M3,ALPINE,4.8,2.9,2.3,1.1,-.1,.1,.2,-1.1,.1,.2,-1.0,-1.5,-1.8,-.9,.1,1.6,6.2,4.8,3.6,9.8,9.2,5.0,4.1,6.7,2.3,9.8,19
,DOWNTOWN SES,22.8,15.8,13.0,9.9,17.4,10.8,10.1,15.1,6.3,6.4,7.1,12.2,14.5,18.1,15.0,12.7,12.0,19.7,26.5,26.6,31.7,39.0,39.9,44.3,18.6,44.3,23
,EL CAJON LES,24.4,15.0,14.6,21.8,21.4,20.1,19.8,18.3,22.6,15.7,23.1,7.8,2.1,2.1,5.9,6.1,9.0,16.3,30.6,27.9,33.0,36.3,34.4,29.3,19.0,36.3,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,30.1,25.2,13.9,10.8,9.3,10.0,20.5,22.5,26.1,26.4,33.0,29.7,14.5,11.6,10.6,11.3,8.6,6.5,11.1,31.3,32.8,36.3,12.4,19.6,19.3,36.3,21
,PENDLETON,9.4,11.7,10.6,13.3,11.0,9.7,8.6,9.8,9.3,5.1,4.3,4.8,11.7,14.3,16.1,21.8,23.0,22.2,23.1,31.0,30.9,31.6,23.6,21.6,15.7,31.6,21
12 VWDR °,ALPINE,90,33,330,308,247,12,3,66,341,262,256,288,297,312,319,0,84,45,326,75,14,352,4,359,0,359,23
,CHULA VISTA,39,40,83,73,56,63,98,64,77,7,318,323,284,273,238,229,179,157,128,112,15,13,51,41,0,323,11
,DOWNTOWN SES,24,7,14,34,33,19,11,35,45,59,231,266,287,313,306,312,322,332,356,51,334,352,22,11,0,356,18
,EL CAJON LES,131,141,224,112,98,206,142,232,214,191,293,315,312,303,270,304,222,94,101,108,195,226,207,193,0,315,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,56,34,44,58,63,62,50,45,46,66,183,252,313,305,307,304,308,316,347,357,59,20,23,51,0,357,19
,OTAY MESA DVN,132,121,343,10,78,344,124,138,174,171,182,333,317,300,299,313,315,290,19,126,36,95,41,26,0,344,05
,PENDLETON,38,58,54,64,61,65,60,56,51,51,340,274,283,298,308,316,319,295,340,85,71,76,72,53,0,340,10
13 SIGTHETA °,ALPINE,34,41,33,26,35,27,21,24,60,34,47,35,31,21,23,34,58,59,22,20,20,28,57,42,35,60,08
,CHULA VISTA,15,23,15,15,20,23,20,34,47,31,54,45,23,21,19,20,17,17,13,24,14,32,24,20,24,54,10
,DOWNTOWN SES,34,43,30,25,15,16,61,39,35,50,50,24,23,20,19,17,24,25,24,40,40,36,17,25,31,61,06
,EL CAJON LES,47,31,56,21,35,34,47,27,39,64,38,61,40,32,20,16,25,54,36,33,28,46,43,35,38,64,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4,8,5,6,3,4,4,9,14,28,69,43,32,14,9,8,11,11,10,11,25,17,22,20,16,69,10
,OTAY MESA DVN,11,49,52,32,12,53,38,27,35,23,71,21,21,16,9,15,24,37,37,23,38,21,30,45,31,71,10
,PENDLETON,8,9,8,7,8,7,7,9,11,18,25,17,16,15,12,10,21,18,16,10,10,8,12,15,12,25,10
14 VWSP MPH,ALPINE,.7,.6,.6,1.7,.5,.7,1.1,1.2,.7,1.8,1.2,2.1,2.4,3.0,1.9,.8,.5,.4,1.5,1.7,2.1,1.4,.3,1.4,.0,3.0,13
,CHULA VISTA,1.7,1.3,1.6,1.6,1.1,1.3,1.4,1.0,.9,1.1,.9,1.5,3.5,3.6,3.1,2.4,1.9,2.0,1.8,2.3,1.4,.8,1.3,2.3,.0,3.6,13
,DOWNTOWN SES,1.6,1.0,1.2,1.1,1.3,2.5,.3,.3,1.3,1.1,1.6,3.2,3.7,4.2,3.4,4.3,3.2,2.3,2.1,.9,1.0,1.2,1.5,1.7,.0,4.3,15
,EL CAJON LES,.2,.5,.1,1.2,.2,.5,.4,.3,.8,.1,1.2,.9,1.8,2.5,1.8,2.2,1.0,.7,.7,1.0,.6,.2,.4,.2,.0,2.5,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,5.8,4.1,3.5,3.2,4.4,5.1,5.8,4.3,3.8,1.6,.9,1.9,3.0,6.0,6.3,6.2,5.4,4.1,3.7,3.1,1.7,1.5,1.8,1.5,.0,6.3,14
,OTAY MESA DVN,2.7,1.3,1.7,1.6,2.3,1.1,1.3,.6,.6,1.8,1.2,2.4,2.5,5.8,5.3,3.8,2.1,.1,1.3,3.6,1.3,1.9,1.3,2.7,.0,5.8,13
,PENDLETON,5.7,6.6,5.2,7.5,7.7,7.5,7.6,6.4,5.3,5.0,2.7,3.6,3.6,4.7,7.5,8.7,2.7,2.4,3.2,3.0,2.6,4.0,4.4,4.6,.0,8.7,15
15 SWSP MPH,ALPINE,.8,.8,.7,1.8,.7,.9,1.2,1.7,1.4,2.1,2.6,3.2,2.8,3.2,2.1,.9,.9,1.1,1.8,2.0,2.8,1.7,.7,1.9,1.7,3.2,11
,CHULA VISTA,1.9,1.4,1.8,1.6,1.2,1.3,1.5,1.3,1.2,1.3,1.4,2.4,3.9,3.8,3.4,2.6,2.1,2.1,1.8,2.4,1.5,.9,1.7,2.6,2.0,3.9,12
,DOWNTOWN SES,2.0,1.2,1.3,1.2,1.4,2.6,.6,.9,2.1,1.6,2.4,3.5,4.0,4.5,3.6,4.5,3.4,2.5,2.5,1.7,1.1,1.4,1.8,2.2,2.3,4.5,13
,EL CAJON LES,1.2,.9,.4,1.3,.6,.9,.6,.6,1.1,1.0,1.5,1.3,2.3,2.8,2.4,2.4,1.2,.9,1.3,1.8,1.6,.6,.6,1.5,1.3,2.8,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,5.9,4.2,3.6,3.3,4.4,5.2,5.8,4.4,3.9,3.1,2.2,2.7,3.6,6.1,6.4,6.3,5.5,4.2,4.3,3.5,1.9,2.0,2.4,2.2,4.0,6.4,14
,OTAY MESA DVN,2.8,1.4,1.8,1.9,3.3,1.2,1.6,1.2,.7,2.0,1.8,2.6,2.8,6.0,5.4,4.0,2.3,.1,1.3,4.1,1.9,2.2,1.8,3.9,2.4,6.0,13
,PENDLETON,5.7,6.6,5.2,7.5,7.8,7.5,7.7,6.5,5.4,5.3,3.3,3.7,3.8,4.9,7.7,8.8,2.9,2.6,4.0,3.1,2.7,4.1,4.5,5.0,5.3,8.8,15
16 AMBTEMP °F,ALPINE,54.1,54.7,53.8,51.8,50.9,50.3,51.0,52.9,56.6,60.1,63.9,64.9,65.9,65.5,63.6,62.2,60.7,59.8,58.9,57.4,57.4,58.8,58.2,57.1,57.9,65.9,12
,CARMEL MT RCH,44.7,43.4,42.1,41.9,41.7,42.6,42.1,43.9,48.3,55.1,60.7,,P,66.9,64.9,64.3,61.0,57.8,56.0,54.6,54.8,54.6,54.9,54.2,52.3,66.9,13
,CHULA VISTA,45.7,43.2,42.8,42.3,41.2,40.9,41.5,44.9,50.1,54.8,60.1,64.3,64.5,65.2,63.5,61.2,59.1,57.4,56.2,55.7,54.8,54.0,53.9,53.9,53.0,65.2,13
,DOWNTOWN SES,46.6,44.8,43.5,43.6,43.9,44.4,42.7,43.8,51.0,56.8,61.0,63.4,64.6,65.4,64.3,62.8,60.8,58.5,57.2,56.6,56.0,55.6,55.8,55.0,54.1,65.4,13
,EL CAJON LES,39.4,38.1,36.9,35.6,34.9,34.1,33.6,35.4,41.1,49.3,57.2,63.7,67.6,69.3,69.2,67.5,63.9,59.8,56.9,55.7,54.6,53.3,52.7,52.2,50.9,69.3,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,46.2,46.0,44.7,43.4,42.8,42.3,43.5,46.0,52.7,58.8,62.8,66.7,68.2,67.6,64.1,60.9,57.0,54.8,54.3,54.2,53.2,53.2,53.1,53.2,53.7,68.2,12
,OTAY MESA DVN,47.3,47.7,46.4,45.3,45.0,46.0,44.3,44.6,50.0,55.1,61.0,65.1,68.6,69.5,66.5,62.3,59.6,58.4,57.1,56.4,55.6,56.9,56.5,56.5,55.1,69.5,13
,PENDLETON,44.3,43.2,43.1,42.1,42.1,41.1,41.0,42.1,47.0,53.2,58.7,59.5,59.5,59.7,58.6,58.4,58.0,57.7,57.4,55.8,54.5,54.8,54.5,53.3,51.7,59.7,13
17 RELHUM %,ALPINE,21,21,19,18,15,18,18,15,15,15,12,12,12,14,18,19,22,24,22,24,22,18,20,22,18,24,17
,EL CAJON LES,77,79,84,88,89,91,91,89,76,51,33,21,17,17,18,24,34,44,54,65,69,72,73,74,60,91,05
,KEARNY MESA,75,72,72,73,69,69,61,58,46,36,29,23,26,32,45,57,79,86,91,88,85,87,82,78,63,91,18
18 PRES mmHg,EL CAJON LES,753,753,753,753,753,753,753,753,754,754,753,752,751,751,751,751,750,751,751,751,752,752,752,753,752,754,08
,KEARNY MESA,753,754,753,754,754,754,754,754,755,755,754,753,752,752,752,752,752,752,752,752,753,753,753,754,753,755,08
19 SOLAR W/M2,EL CAJON LES,-1,-1,0,-1,0,0,3,29,154,433,524,559,406,312,155,79,11,-1,0,1,1,1,2,1,111,559,11
,KEARNY MESA,0,0,0,0,0,0,4,102,298,475,593,613,435,287,163,87,15,0,0,0,0,0,0,0,128,613,11
25 NOY,EL CAJON LES,34.52,35.47,41.24,40.91,41.82,C,C,77.24,67.40,53.07,36.83,23.31,16.14,14.09,10.68,23.62,39.73,51.82,63.13,44.73,49.06,55.67,64.49,60.98,42.99,77.24,07
26 NOY-NO,EL CAJON LES,25.03,23.83,22.17,20.94,19.10,C,C,18.47,22.17,24.14,21.25,16.12,12.63,11.79,9.49,20.88,33.56,37.92,36.46,37.20,35.81,33.81,31.84,30.00,24.75,37.92,17
27 NO Trace,EL CAJON LES,9.48,11.64,19.07,19.97,22.72,C,C,58.77,45.23,28.93,15.58,7.18,3.51,2.30,1.18,2.74,6.16,13.89,26.67,7.52,13.25,21.86,32.65,30.98,18.24,58.77,07
28 SO2 Tr PPB,EL CAJON LES,.1,.1,C,C,C,.1,.2,.2,.3,.2,.1,.1,.1,.1,.0,.3,.2,.3,.4,.3,.3,.3,.3,.3,.2,.4,18
29 CO Tr PPB,EL CAJON LES,709.4,604.7,C,C,C,740.6,873.5,999.1,987.5,792.6,594.3,392.9,322.8,324.3,290.2,594.6,707.4,982.7,1187.3,895.9,995.9,1157.4,1256.7,1180.3,790.0,1256.7,22
BCarbon ug/m3,10TH AVE MARINE TERM,3.08,2.24,2.48,1.41,1.44,1.28,1.08,1.91,2.83,1.52,1.49,1.45,.86,.76,.90,.99,1.05,1.27,1.52,1.95,1.66,2.30,2.72,2.55,1.70,3.08,00
,ALPINE,.27,.28,.23,.19,.14,.18,.18,.17,.22,.56,.24,.24,.25,.26,.37,.38,.76,.92,.65,1.04,.52,.36,.42,.44,.39,1.04,19
,CHICANO PARK,2.85,1.96,1.81,1.57,1.62,2.58,3.00,2.28,1.69,1.14,2.02,2.06,1.48,1.62,1.58,1.71,1.55,1.35,1.41,2.77,2.08,2.22,3.04,3.01,2.02,3.04,22
,DOWNTOWN SES,2.70,2.16,1.76,1.41,1.51,1.62,1.58,2.08,.94,.79,1.19,1.95,1.44,1.50,1.50,1.90,1.20,1.47,1.47,1.84,2.13,2.34,2.32,2.80,1.73,2.80,23
,OCEANVIEW BLVD,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
,SAN YSIDRO,7.27,7.54,6.30,5.58,4.65,4.22,3.98,4.10,3.47,2.15,2.70,2.53,1.05,.82,.73,.57,.71,.98,.92,.93,1.89,2.60,2.38,3.18,2.97,7.54,01
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
