,CHULA VISTA,.027,.028,C,C,.023,.024,.024,.025,.030,.027,.033,.031,.018,.023,.027,.029,.031,.030,.034,.038,.035,.027,.032,.034,.029,.038,19
,DOWNTOWN SES,.036,.035,C,C,.023,.025,.024,.025,.025,.022,.031,.023,.020,.016,.021,.025,.038,.033,.034,.040,.037,.024,.015,.017,.027,.040,19
,EL CAJON LES,.022,.022,C,C,C,.019,.018,.019,.026,.026,.019,.015,.019,.019,.016,.016,.023,.032,.034,.035,.033,.034,.034,.033,.024,.035,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.037,.040,C,C,.035,.036,.032,.032,.024,.025,.026,.023,.021,.024,.020,.026,.031,.040,.045,.044,.044,.039,.027,.027,.032,.045,18
,OTAY MESA DVN,.030,.031,C,C,.026,.030,.032,.029,.034,.017,.041,.044,.029,.018,.022,.026,.026,.028,.030,.039,.045,.034,.036,.036,.031,.045,20
,PENDLETON,.018,.019,.021,.019,.017,.016,C,C,.011,.011,.011,.011,.017,.019,.029,.034,.042,.039,.030,.036,.047,.035,.026,.029,.024,.047,20
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.002,.001,.005,.004,.002,.001,.002,.001,.001,.002,.002,.001,.002,.001,.001,.001,.000,.000,.001,.005,08
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
,DOWNTOWN SES,.016,.015,C,C,.023,.028,.038,.062,.062,.019,.035,.012,.007,.005,.004,.003,.006,.002,.002,.007,.010,.001,.001,.000,.016,.062,07
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
,OTAY MESA DVN,.016,.007,C,C,.007,.019,.016,.021,.044,.013,.034,.021,.009,.005,.005,.004,.002,.001,.000,.044,.049,.016,.003,.010,.016,.049,20
,PENDLETON,.001,.001,.002,.001,.002,.003,C,C,.008,.009,.008,.004,.006,.007,.006,.006,.003,.000,.000,.001,.009,.002,.000,.004,.004,.009,09
06 CO PPM,CARMEL MT RCH,.9,.7,C,C,.6,.9,.8,1.0,.6,.4,.7,.7,.8,.8,.9,.9,1.0,1.1,1.1,1.2,1.1,.6,.6,.5,.8,1.2,19
10 INTMP °C,ALPINE,27,27,27,27,27,27,27,27,27,26,26,25,25,25,25,25,25,26,26,26,27,27,26,27,26,27,00
,CARMEL MT RCH,25,24,25,25,25,25,24,24,24,25,24,24,25,25,25,25,25,26,25,25,26,26,26,26,25,26,17
,CHULA VISTA,24,24,24,24,23,23,23,23,24,25,26,26,27,27,27,27,27,27,26,26,26,26,26,26,25,27,12
,DOWNTOWN SES,24,24,24,23,23,24,24,24,24,24,23,22,23,23,23,23,23,23,23,23,23,23,23,23,23,24,00
,EL CAJON LES,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,27,26,26,26,26,26,26,26,25,25,25,25,25,26,25,26,26,26,26,26,26,26,26,27,02
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,24,25,25,25,25,25,25,25,25,25,26,00
,PENDLETON,25,25,25,25,25,25,26,26,25,25,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,26,06
11 PM2.5 µg/M3,ALPINE,3.9,-.2,.0,1.7,.4,-.9,.4,5.8,3.8,-2.4,-4.7,-5.3,-3.1,.4,4.9,7.1,9.3,15.0,12.7,12.3,17.1,10.1,8.1,12.6,4.5,17.1,20
,DOWNTOWN SES,25.8,32.7,28.2,26.3,24.5,20.9,22.5,24.9,21.4,16.3,23.4,19.5,23.0,16.5,16.1,18.0,21.8,21.6,24.8,29.9,26.3,20.5,9.3,13.2,21.9,32.7,01
,EL CAJON LES,23.3,23.2,20.7,21.7,15.3,18.1,14.6,18.6,21.5,13.5,11.8,8.5,11.5,13.4,6.6,7.0,14.8,14.2,17.8,27.0,27.2,26.2,32.6,26.5,18.1,32.6,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,22.0,25.8,16.7,45.8,28.7,41.4,27.6,15.2,37.0,13.8,38.0,38.3,25.8,15.4,15.5,17.7,16.2,20.5,20.9,38.2,39.0,21.4,24.8,33.3,26.6,45.8,03
,PENDLETON,12.2,16.2,19.7,17.3,15.8,12.2,10.3,10.6,11.6,8.2,5.3,8.1,11.2,12.3,20.3,13.1,19.2,20.5,M,11.8,15.6,12.5,10.3,10.6,13.2,20.5,17
12 VWDR °,ALPINE,73,89,314,335,357,94,326,90,293,222,257,258,294,275,312,329,137,80,12,65,85,317,85,85,0,357,04
,CHULA VISTA,90,60,70,71,71,111,78,53,29,357,261,274,289,292,264,232,232,210,137,176,250,324,344,74,0,357,09
,DOWNTOWN SES,350,339,287,343,55,72,27,48,95,115,261,282,299,319,328,346,312,322,358,304,306,330,7,60,0,358,18
,EL CAJON LES,99,236,113,203,123,349,108,240,M,M,M,M,M,M,317,308,231,243,112,86,252,274,310,99,0,349,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,22,18,29,9,3,38,35,60,101,162,243,279,312,327,325,342,294,318,348,314,298,328,356,35,0,356,22
,OTAY MESA DVN,1,37,103,85,81,120,114,123,140,324,201,307,298,304,304,293,302,330,18,115,138,348,350,144,0,350,22
,PENDLETON,55,59,57,54,66,56,54,65,38,26,266,262,261,276,292,297,297,280,272,309,321,325,28,67,0,325,21
13 SIGTHETA °,ALPINE,41,31,46,15,43,50,49,17,48,39,27,31,28,45,21,37,28,39,40,40,50,34,17,32,35,50,05
,CHULA VISTA,21,20,25,53,59,34,47,51,31,49,22,18,22,28,19,17,18,32,21,27,22,17,19,44,30,59,04
,DOWNTOWN SES,14,16,55,63,47,39,49,36,22,54,32,19,26,41,24,33,21,17,23,32,23,22,22,28,32,63,03
,EL CAJON LES,36,27,30,28,27,38,48,25,M,M,M,M,M,M,18,33,20,25,64,48,44,39,36,14,33,64,18
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,10,10,12,9,31,29,31,25,18,29,17,12,14,11,12,8,9,11,15,7,9,14,16,16,31,05
,OTAY MESA DVN,50,29,33,32,27,30,25,30,43,19,40,24,10,14,12,10,15,28,23,25,23,20,25,36,26,50,00
,PENDLETON,9,8,7,7,7,8,10,11,14,25,15,15,14,16,18,18,14,20,18,27,11,46,43,12,16,46,21
14 VWSP MPH,ALPINE,.8,.6,.0,1.1,1.1,1.1,1.0,1.1,.2,1.4,3.3,3.2,2.9,2.2,3.0,1.6,1.1,.9,1.1,.8,1.0,1.6,.9,1.1,.0,3.3,10
,CHULA VISTA,.8,.7,.7,.4,.5,1.5,1.1,.5,.6,.5,3.3,4.4,4.4,2.8,3.5,1.9,2.0,1.0,1.3,1.1,1.4,2.8,.9,.8,.0,4.4,11
,DOWNTOWN SES,2.2,1.7,.3,1.1,.8,1.3,.9,1.1,2.3,.7,3.2,5.4,4.4,2.9,3.8,2.3,2.4,4.2,1.7,1.4,3.3,3.8,1.6,1.4,.0,5.4,11
,EL CAJON LES,.4,.6,1.1,.3,1.1,.2,.3,.4,M,M,M,M,M,M,3.8,2.5,.9,1.6,1.1,.8,.9,1.4,.9,1.3,.0,3.8,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,1.8,3.0,3.6,2.3,4.0,1.9,2.8,1.1,2.1,2.3,3.6,5.9,7.0,6.5,6.5,5.0,4.3,4.6,3.3,2.2,6.2,4.3,2.5,2.1,.0,7.0,12
,OTAY MESA DVN,1.8,1.1,1.2,1.1,1.4,2.3,2.3,1.6,.7,2.4,2.2,4.4,7.4,5.5,5.6,4.2,.7,1.6,2.1,1.8,1.7,3.5,2.2,2.9,.0,7.4,12
,PENDLETON,4.6,4.9,5.3,4.9,5.3,4.8,5.4,4.9,4.1,1.9,3.1,4.8,4.0,3.2,3.0,2.7,2.5,.8,1.0,.8,1.8,.5,1.1,2.4,.0,5.4,06
15 SWSP MPH,ALPINE,.8,.6,.0,1.2,1.3,1.2,1.1,1.2,.8,1.9,3.8,4.1,3.4,2.9,3.2,1.8,1.4,1.1,1.4,1.1,1.3,1.8,1.5,1.5,1.7,4.1,11
,CHULA VISTA,.9,.8,1.2,.5,.9,1.7,1.5,.9,.7,1.5,3.5,4.6,4.8,3.1,3.7,2.3,2.3,1.4,1.7,1.5,1.8,3.0,1.5,.9,1.9,4.8,12
,DOWNTOWN SES,2.3,1.8,.8,1.3,1.4,1.7,1.2,1.5,2.4,2.0,3.6,5.7,5.0,3.7,4.3,2.5,2.6,4.4,2.2,1.7,3.6,4.1,1.9,1.5,2.6,5.7,11
,EL CAJON LES,.9,.7,1.7,1.0,1.5,.9,.8,.5,M,M,M,M,M,M,4.0,2.7,1.0,1.9,1.3,1.0,1.2,2.0,1.5,1.5,1.5,4.0,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.0,3.1,3.6,2.5,4.1,2.0,3.3,1.6,2.8,2.6,4.1,6.1,7.3,6.8,6.6,5.1,4.4,4.9,3.8,3.0,6.3,4.4,2.9,2.2,4.0,7.3,12
,OTAY MESA DVN,2.0,1.5,1.6,1.7,1.8,2.5,2.7,1.9,.8,2.7,3.2,4.8,7.5,5.6,5.8,4.3,.8,2.1,2.8,2.3,2.2,3.9,2.6,3.3,2.9,7.5,12
,PENDLETON,4.7,5.0,5.4,4.9,5.4,4.9,5.5,5.0,4.4,3.1,3.3,5.0,4.2,3.4,3.2,2.8,2.6,1.0,1.5,.9,1.8,.6,1.4,2.5,3.4,5.5,06
16 AMBTEMP °F,ALPINE,56.6,56.8,56.9,57.2,56.8,56.2,56.8,56.4,60.7,64.2,65.7,66.0,63.7,63.9,63.3,61.3,60.6,59.6,58.3,58.1,58.7,57.8,56.0,55.9,59.5,66.0,11
,CARMEL MT RCH,52.3,51.4,50.6,50.9,51.0,50.9,49.9,51.2,54.0,60.0,64.8,66.0,63.7,63.4,63.3,63.0,62.6,59.4,58.6,59.0,57.9,56.3,56.4,55.8,57.2,66.0,11
,CHULA VISTA,52.2,52.0,51.4,51.5,50.5,50.8,50.0,50.2,54.7,60.7,63.7,62.7,61.6,64.0,63.8,63.0,61.4,59.8,58.9,58.2,57.8,58.6,58.4,58.1,57.3,64.0,13
,DOWNTOWN SES,54.2,54.0,53.0,53.7,52.5,52.3,51.6,52.1,55.5,60.2,63.4,63.0,62.3,64.9,65.5,65.1,64.1,60.7,60.2,60.0,59.5,59.0,58.9,58.8,58.5,65.5,14
,EL CAJON LES,49.9,49.6,49.0,49.0,48.5,48.3,46.7,46.7,51.2,58.0,64.0,68.3,67.8,68.1,67.9,66.8,65.3,62.8,60.8,59.3,58.4,58.6,58.0,56.9,57.5,68.3,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,51.0,51.7,52.8,51.7,52.0,51.7,51.6,51.1,55.7,60.9,64.8,65.6,63.3,63.6,63.8,64.2,62.6,58.9,57.9,57.6,57.1,57.3,57.2,57.3,57.6,65.6,11
,OTAY MESA DVN,54.0,53.5,53.1,53.4,53.1,52.7,52.6,53.6,56.3,60.0,64.9,66.0,62.8,64.3,64.4,62.3,60.5,59.0,57.9,59.1,58.4,56.0,56.3,56.0,57.9,66.0,11
,PENDLETON,51.0,50.5,50.1,50.2,49.1,48.6,49.0,48.1,52.9,58.2,60.4,60.7,61.0,61.6,60.2,59.8,59.4,59.2,58.8,58.2,58.4,58.5,58.8,57.5,55.8,61.6,13
17 RELHUM %,ALPINE,29,28,27,25,25,27,24,25,25,20,19,22,25,23,28,36,38,43,44,43,41,41,47,45,31,47,22
,EL CAJON LES,74,76,77,79,79,81,83,82,71,51,35,27,32,37,30,32,36,42,46,54,58,61,68,71,58,83,06
,KEARNY MESA,84,82,74,77,83,82,70,71,65,50,41,41,46,48,40,39,50,75,86,82,91,94,93,90,69,94,21
18 PRES mmHg,EL CAJON LES,752,752,751,751,751,751,752,752,752,752,751,751,750,749,749,749,749,749,749,749,749,750,751,750,750,752,00
,KEARNY MESA,753,753,753,753,752,752,753,753,753,753,753,752,751,751,750,750,750,750,750,750,751,752,752,752,752,753,00
19 SOLAR W/M2,EL CAJON LES,2,1,2,2,2,1,1,41,154,371,485,397,275,303,159,75,10,0,0,1,2,2,2,2,95,485,10
,KEARNY MESA,0,0,0,0,0,0,2,66,250,434,441,485,278,306,173,101,16,1,1,1,1,0,1,0,107,485,11
25 NOY,EL CAJON LES,54.92,50.59,46.39,46.63,44.84,C,C,63.54,M,M,M,M,M,M,18.48,18.33,23.68,32.27,34.94,44.23,46.05,40.92,37.03,42.28,40.32,63.54,07
26 NOY-NO,EL CAJON LES,26.14,24.38,22.39,22.62,20.99,C,C,20.69,M,M,M,M,M,M,16.13,16.85,22.27,29.86,33.12,35.58,34.39,34.15,36.06,34.88,26.90,36.06,22
27 NO Trace,EL CAJON LES,28.78,26.21,24.00,24.00,23.85,C,C,42.84,M,M,M,M,M,M,2.34,1.48,1.40,2.41,1.81,8.65,11.65,6.77,.97,7.39,13.40,42.84,07
28 SO2 Tr PPB,EL CAJON LES,.2,.2,C,C,C,.2,.2,.2,.3,.2,.1,.1,.2,.2,.2,.2,.2,.2,.2,.3,.3,.3,.6,.3,.2,.6,22
29 CO Tr PPB,EL CAJON LES,956.7,899.6,C,C,C,991.1,901.6,1068.3,1080.4,802.4,563.5,430.6,524.6,530.7,388.7,417.7,503.7,646.5,707.3,850.5,914.4,813.5,571.2,815.2,732.2,1080.4,08
BCarbon ug/m3,10TH AVE MARINE TERM,3.25,2.77,2.45,2.86,2.43,2.44,2.51,3.07,3.73,3.53,2.72,1.35,1.41,1.45,1.48,1.41,1.52,1.63,1.96,1.85,1.33,1.09,1.03,1.08,2.10,3.73,08
,ALPINE,.33,.27,.27,.32,.21,.34,.54,.28,.32,.34,.37,.27,.41,.34,.54,.95,1.08,1.32,1.30,1.42,1.03,.92,.97,.88,.63,1.42,19
,CHICANO PARK,2.90,2.72,2.89,2.33,2.52,2.96,2.98,3.43,3.29,2.60,3.32,1.57,1.62,1.67,1.70,1.41,2.23,1.79,2.00,2.30,2.03,1.21,.88,1.00,2.22,3.43,07
,DOWNTOWN SES,.17,.16,.16,.13,.12,.12,.12,.12,.10,.06,.11,.08,.06,.05,.06,.06,.08,.07,.05,.07,.08,.04,.02,.03,.09,.17,00
,OCEANVIEW BLVD,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
,SAN YSIDRO,4.75,5.12,5.16,3.72,3.45,3.18,3.65,7.39,12.68,10.16,5.44,2.22,1.06,.92,1.13,1.26,1.31,1.08,1.01,1.10,1.36,1.17,.75,.89,3.33,12.68,08
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
