,KEARNY MESA,.007,.006,C,C,.006,.010,.012,.014,.018,.009,.006,.003,.002,.002,.002,.002,.003,.005,.003,.003,.003,.002,.004,.003,.006,.018,08
,OTAY MESA DVN,.006,.003,C,C,.006,.012,.017,.022,.023,.023,.013,.007,M,C,C,C,C,C,C,C,<,<,<,<,.013,.023,08
,PENDLETON,.004,.003,C,C,.004,.005,.008,.006,.006,.006,.008,.003,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.003,.008,06
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.001,.001,.001,.000,.000,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
,DOWNTOWN SES,.001,.001,C,C,.001,.001,.003,.016,.012,.007,.003,.003,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.002,.016,07
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,<,C,C,C,<,<,<,<,<,<,<,,,,,,,,,,,,,,,C,C
,OTAY MESA DVN,.000,.000,C,C,.002,.001,.009,.029,.018,.018,.007,.002,M,C,C,C,C,C,C,C,.003,.000,.000,.000,.006,.029,07
,PENDLETON,.000,.000,C,C,.000,.000,.002,.002,.002,.002,.003,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.003,10
06 CO PPM,CARMEL MT RCH,.4,.5,C,C,.5,.7,.4,.3,.3,.2,C,.4,.5,.4,.4,.6,.6,.4,.4,.4,.3,.2,.2,.2,.4,.7,05
10 INTMP °C,ALPINE,26,26,26,27,26,26,26,26,26,26,26,26,26,26,27,27,27,27,26,26,26,26,26,26,26,27,03
,CARMEL MT RCH,22,23,23,23,23,23,23,22,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,10
,CHULA VISTA,24,23,24,23,23,24,24,24,23,23,23,24,24,24,24,25,25,24,24,23,23,23,23,23,24,25,15
,DOWNTOWN SES,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,00
,EL CAJON LES,24,24,24,24,24,24,24,25,24,24,24,26,28,27,23,24,23,24,24,24,24,24,24,24,24,28,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,24,24,25,25,26,26,26,25,25,25,24,24,24,23,23,23,23,25,26,11
,OTAY MESA DVN,27,27,27,27,26,27,27,27,27,26,26,26,26,26,26,26,25,25,26,26,26,26,26,26,26,27,00
,PENDLETON,26,26,26,26,26,26,26,26,26,25,25,25,24,24,24,25,25,25,25,25,25,25,25,25,25,26,00
11 PM2.5 µg/M3,ALPINE,1.0,-1.3,-3.1,-1.3,2.0,2.3,-1.0,-2.9,-1.9,.1,1.6,.7,1.4,1.4,-.5,.4,1.8,.2,-.9,1.5,-.4,-2.2,-1.4,-2.0,-.1,2.3,05
,DOWNTOWN SES,12.7,10.4,9.7,9.4,8.2,5.2,3.8,5.6,5.0,5.6,4.8,5.3,1.4,3.5,3.7,1.0,4.2,2.8,2.4,1.2,-.2,3.6,4.2,3.0,4.8,12.7,00
,EL CAJON LES,8.3,10.7,10.4,8.7,9.7,8.6,9.5,5.9,11.7,7.2,5.6,5.8,7.9,3.0,10.5,6.3,1.0,-.9,4.5,5.9,5.6,4.1,3.2,1.8,6.4,11.7,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,-.4,2.1,4.1,2.5,3.5,6.2,4.9,6.8,6.5,7.8,8.1,4.6,1.7,2.5,1.7,.9,.3,2.8,5.2,2.2,-.4,1.6,1.1,1.1,3.2,8.1,10
,PENDLETON,2.9,3.3,5.7,3.7,2.7,4.6,5.1,2.9,2.8,4.6,3.6,2.2,1.9,1.6,2.8,2.3,.3,1.6,2.2,-.6,-2.0,-1.1,.8,2.5,2.3,5.7,02
12 VWDR °,ALPINE,20,54,88,1,343,9,2,95,95,303,283,275,269,260,261,268,245,223,221,236,242,272,280,285,0,343,04
,CHULA VISTA,133,96,78,85,55,68,133,122,130,126,117,284,276,282,265,250,200,174,230,213,206,253,267,274,0,284,11
,DOWNTOWN SES,35,90,80,18,41,52,73,67,90,107,195,236,269,276,266,250,219,179,243,232,241,267,268,277,0,277,23
,EL CAJON LES,209,224,238,245,229,110,202,221,54,68,267,253,246,252,236,253,218,187,197,212,191,253,253,252,0,267,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,65,60,81,47,55,72,70,89,122,149,204,257,264,237,286,235,222,200,241,220,253,263,270,262,0,286,14
,OTAY MESA DVN,110,117,98,46,66,116,135,142,145,152,162,290,279,307,299,255,229,173,161,232,147,239,246,270,0,307,13
,PENDLETON,39,39,47,43,51,50,48,50,67,47,60,200,239,240,235,219,218,228,225,241,246,247,258,251,0,258,22
13 SIGTHETA °,ALPINE,12,23,26,15,16,13,37,18,37,58,34,30,29,28,32,31,28,22,26,28,31,30,26,24,27,58,09
,CHULA VISTA,40,44,23,44,35,29,20,12,21,17,56,24,24,24,25,20,19,14,21,21,23,18,19,22,26,56,10
,DOWNTOWN SES,17,49,39,52,37,19,30,32,27,25,53,35,27,30,27,24,21,18,21,19,23,20,20,23,29,53,10
,EL CAJON LES,33,61,58,60,50,70,47,43,64,55,47,44,24,20,25,20,22,16,18,21,20,19,22,19,37,70,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,9,8,9,14,28,10,6,10,21,17,43,<,18,21,13,18,14,14,12,14,17,10,8,7,15,43,10
,OTAY MESA DVN,19,16,51,32,57,30,13,14,14,15,31,55,19,13,16,20,14,13,14,35,19,22,11,14,23,57,04
,PENDLETON,8,8,11,9,8,10,11,11,11,15,37,21,15,14,14,14,14,12,13,12,12,12,12,12,13,37,10
14 VWSP MPH,ALPINE,1.4,1.0,1.1,.6,1.6,2.5,1.0,1.7,1.2,1.3,2.8,3.3,4.2,3.8,4.0,4.5,4.9,6.6,6.1,6.9,7.6,7.6,6.5,7.8,.0,7.8,23
,CHULA VISTA,.4,1.5,1.6,2.2,1.7,2.3,2.5,4.5,2.8,3.6,1.1,3.8,5.2,5.2,5.0,5.1,3.7,5.4,6.3,4.6,4.5,8.3,7.2,5.0,.0,8.3,21
,DOWNTOWN SES,3.7,.8,1.0,1.3,1.5,3.2,1.6,1.2,1.7,2.6,.9,3.7,5.4,4.0,4.7,5.7,5.2,7.0,7.5,7.2,6.7,5.9,5.2,2.9,.0,7.5,18
,EL CAJON LES,.3,.2,.5,.2,.5,.2,.3,.8,.4,.2,.3,1.3,3.8,6.3,5.5,5.9,4.7,6.3,4.7,4.7,6.6,5.4,5.0,4.9,.0,6.6,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,3.5,4.2,3.4,3.1,2.9,3.5,4.2,3.1,1.4,4.3,2.0,6.4,7.4,6.7,7.9,6.9,7.3,8.0,9.2,7.7,8.5,9.1,8.3,6.5,.0,9.2,18
,OTAY MESA DVN,1.4,2.2,1.0,.8,.5,1.0,2.7,4.2,3.1,3.8,3.1,1.7,6.9,7.7,7.1,7.0,4.6,5.3,5.6,4.6,4.5,5.1,6.4,5.3,.0,7.7,13
,PENDLETON,5.1,5.8,4.9,5.9,6.3,5.8,5.3,5.0,5.5,4.6,2.0,2.6,5.1,6.9,9.6,7.9,10.4,13.7,15.8,14.4,13.3,13.2,14.1,13.5,.0,15.8,18
15 SWSP MPH,ALPINE,1.4,1.2,1.2,.7,1.7,2.5,1.3,1.8,1.8,1.9,3.5,3.7,4.8,4.4,4.7,5.2,5.5,7.0,6.7,7.6,8.6,8.7,7.1,8.4,4.2,8.7,21
,CHULA VISTA,.8,1.9,1.8,2.9,2.2,2.6,2.7,4.5,2.9,3.7,2.3,4.2,5.7,5.7,5.5,5.4,4.2,5.6,7.5,5.1,5.8,8.8,7.7,5.6,4.4,8.8,21
,DOWNTOWN SES,3.9,1.9,1.4,2.0,2.6,3.3,2.1,1.7,1.9,2.8,2.4,4.4,6.2,5.3,5.3,6.2,5.7,7.4,8.0,7.6,7.4,6.2,5.6,3.2,4.4,8.0,18
,EL CAJON LES,.4,.4,.7,.5,1.0,1.1,.9,.9,.6,.9,1.0,2.1,4.1,7.2,6.0,6.4,5.1,6.6,5.0,5.0,7.1,5.7,5.3,5.2,3.3,7.2,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.6,4.3,3.5,3.3,3.1,3.7,4.2,3.2,1.7,4.5,3.0,6.8,8.1,7.7,8.2,7.3,7.6,8.3,9.5,7.9,9.1,9.3,8.4,6.6,6.0,9.5,18
,OTAY MESA DVN,1.5,2.3,2.5,1.0,1.3,1.9,2.8,4.4,3.2,4.0,3.3,2.6,7.5,8.0,7.3,7.8,4.8,5.6,5.8,5.7,4.7,7.5,6.6,5.5,4.5,8.0,13
,PENDLETON,5.2,5.9,5.1,6.0,6.4,5.9,5.4,5.1,5.7,4.9,2.3,3.1,5.3,7.2,9.9,8.3,11.0,14.2,16.2,14.7,13.6,13.5,14.4,13.8,8.5,16.2,18
16 AMBTEMP °F,ALPINE,41.0,40.7,40.4,41.2,41.7,41.6,41.6,40.6,42.7,44.1,44.6,44.9,46.2,45.4,45.6,45.3,45.3,44.3,43.8,43.8,45.0,45.4,45.5,45.7,43.6,46.2,12
,CARMEL MT RCH,44.2,43.9,43.4,42.9,43.3,43.6,42.4,43.4,46.5,50.0,52.0,53.1,53.1,53.1,53.0,53.0,52.3,51.0,48.9,49.6,50.3,51.2,51.1,51.4,48.6,53.1,11
,CHULA VISTA,44.9,46.0,45.7,45.5,46.1,46.5,46.7,47.6,49.6,52.2,54.3,55.2,55.3,54.3,55.4,55.0,54.0,53.4,53.9,52.4,53.1,55.1,54.6,53.6,51.3,55.4,14
,DOWNTOWN SES,47.9,47.2,45.7,46.5,47.3,47.6,46.9,47.0,49.0,51.8,55.0,55.8,54.9,55.1,55.9,55.6,55.1,54.3,54.3,54.4,54.8,55.1,54.1,53.7,51.9,55.9,14
,EL CAJON LES,41.5,41.1,40.3,40.0,41.2,42.4,41.7,42.5,45.1,47.6,51.5,53.0,54.0,53.6,54.5,54.4,53.4,52.1,50.2,49.9,50.6,51.3,51.7,52.0,48.2,54.5,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,45.4,44.7,43.8,45.0,46.4,45.5,44.3,45.5,48.0,51.1,53.0,54.6,54.0,54.5,54.1,54.2,53.6,53.2,51.6,52.2,52.4,52.9,52.6,52.8,50.2,54.6,11
,OTAY MESA DVN,46.0,44.4,43.9,43.6,43.8,44.2,45.0,44.8,47.2,49.5,51.5,52.3,54.1,52.4,52.4,53.9,51.5,50.7,50.9,49.3,49.8,51.0,51.3,51.1,48.9,54.1,12
,PENDLETON,45.6,45.3,44.5,44.4,44.4,43.7,43.0,44.3,46.9,49.7,52.4,56.5,57.3,58.2,55.7,54.7,54.0,53.5,53.8,55.0,55.2,56.0,56.2,55.5,51.1,58.2,13
17 RELHUM %,ALPINE,90,89,90,88,88,90,90,92,87,79,82,84,72,81,83,86,86,94,98,100,100,100,100,100,90,100,19
,EL CAJON LES,91,93,94,95,95,92,93,93,85,77,69,62,58,62,61,60,65,72,86,98,99,99,98,98,83,99,20
,KEARNY MESA,89,90,91,90,87,88,91,90,85,75,69,59,66,68,70,70,73,78,94,97,98,98,99,97,84,99,22
18 PRES mmHg,EL CAJON LES,752,751,751,751,751,751,751,751,751,751,751,751,750,749,749,749,749,748,748,748,748,748,748,747,750,752,00
,KEARNY MESA,753,752,752,752,752,752,752,752,752,752,752,752,751,751,750,750,750,749,749,749,749,749,749,748,751,753,00
19 SOLAR W/M2,EL CAJON LES,0,1,0,1,3,2,2,26,81,155,273,176,157,236,256,131,35,2,2,3,3,2,3,3,65,273,10
,KEARNY MESA,0,0,0,1,1,0,2,31,139,282,393,350,258,387,261,166,30,1,1,1,1,1,1,1,96,393,10
25 NOY,EL CAJON LES,16.46,22.45,15.14,18.62,22.20,C,C,31.10,31.25,16.25,M,5.99,M,M,3.47,4.14,3.81,4.62,6.01,4.28,2.95,3.36,3.33,3.06,11.49,31.25,08
26 NOY-NO,EL CAJON LES,13.77,15.35,11.39,12.38,13.29,C,C,12.96,14.57,11.35,M,4.86,M,M,2.79,3.32,3.43,3.97,5.61,4.04,2.80,3.27,3.21,2.96,7.64,15.35,01
27 NO Trace,EL CAJON LES,2.69,7.09,3.74,6.23,8.91,C,C,18.13,16.68,4.90,M,1.13,M,M,.67,.81,.38,.64,.39,.24,.14,.08,.11,.09,3.84,18.13,07
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.1,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.1,08
29 CO Tr PPB,EL CAJON LES,499.9,430.2,C,C,C,444.1,475.5,521.6,516.1,346.3,C,221.0,219.0,174.5,178.6,185.7,192.6,194.5,229.2,208.1,182.7,186.4,181.6,164.9,287.6,521.6,07
BCarbon ug/m3,10TH AVE MARINE TERM,1.41,1.47,1.51,.66,.50,.44,.60,.92,1.86,1.54,.80,.38,.11,.08,.10,.09,.11,.10,.09,.12,.07,.06,.04,.03,.55,1.86,08
,ALPINE,.04,.03,.04,.03,.04,.09,.10,.18,.11,.05,.06,.08,.09,.16,.10,.13,.14,.19,.23,.09,.02,.04,.04,<,.09,.23,18
,CHICANO PARK,1.05,.76,.89,.66,.51,.53,.96,1.18,1.23,1.12,.73,.56,.38,.38,.73,.49,.21,.16,.27,.11,.20,.64,.30,.33,.60,1.23,08
,DOWNTOWN SES,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
,OCEANVIEW BLVD,1.07,.81,.83,.63,.47,.47,.76,.90,.89,.80,.38,.41,.29,.18,.20,.16,.19,.41,.14,.08,.07,.25,.11,.11,.44,1.07,00
,SAN YSIDRO,1.86,6.50,4.97,2.70,2.12,1.72,1.46,1.63,1.47,2.61,1.41,.31,.13,.20,.08,.15,.32,.71,.40,.21,.19,.04,.05,.02,1.30,6.50,01
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.03,.03,.05,.04,.08,.01,.01,.08,22
