Current Date:,4/28/2020,11:08 PM
,,,,,,,,8 Hour Rolling Average Report
4/27/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.043,.043,.044,.044,.045,.047,.05,.053,.055,.057,.057,.056,.054,.051,.049,.047,.046,.045,.044,.045,.046,.048,.047,,0.048,0.057,09
,CHULA VISTA,.023,.021,.022,.025,.026,.029,.032,.035,.038,.039,.039,.038,.037,.036,.034,.032,.03,.029,.027,.026,.025,.023,.021,.019,0.029,0.039,09
,DOWNTOWN SES,.028,.026,.026,.028,.03,.032,.035,.036,.037,.038,.038,.037,.035,.034,.033,.032,.032,.032,.032,.031,.032,.029,.027,.025,0.031,0.038,09
,EL CAJON LES,,,,,,,,,,,,,.038,.036,.034,.03,.027,.023,.02,.018,.017,,,,0.027,0.038,12
,KEARNY MESA,.022,.025,.027,.03,.032,.035,.037,.039,.041,.042,.042,.04,.037,.033,.03,.026,.022,.018,.015,.013,.011,.012,.012,.014,0.027,0.042,09
,OTAY MESA DVN,.017,.017,.019,.023,.027,.031,.035,.039,.042,.044,.045,.043,.04,.037,.035,.032,.029,.027,.025,.024,.023,.022,.02,.018,0.029,0.045,10
,PENDLETON,.016,.016,.016,.02,.023,.027,.032,.036,.039,.04,.041,.041,.04,.037,.035,.032,.029,.026,.022,.02,.018,.016,.014,.013,0.027,0.041,10
