,DOWNTOWN SES,.001,C,C,.000,.002,.002,.007,.002,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.000,.001,.002,.000,.001,.002,.001,.007,06
,EL CAJON LES,P,.000,C,C,C,.003,.002,.002,.002,.002,.001,.002,.001,.001,.001,.001,.001,.002,.003,.003,.002,.002,.001,.001,.002,.003,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.001,C,C,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.000,.000,.001,.001,.000,.000,.000,.001,.000,.001,00
,OTAY MESA DVN,.001,C,C,.001,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.003,.002,.003,.002,.002,.001,.003,19
,PENDLETON,.000,C,C,.001,.000,.001,.000,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.001,.001,.000,.000,.000,.000,.000,.000,.001,03
04 NO PPM,ALPINE,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,CARMEL MT RCH,.000,C,C,.001,.001,.001,.002,.002,.002,.002,.003,.002,.002,.003,.005,.002,.003,.003,.003,.003,.002,.002,.001,.000,.002,.005,14
,CHULA VISTA,.001,C,C,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,00
,DOWNTOWN SES,.000,C,C,.000,.000,.000,.001,.000,.000,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
,EL CAJON LES,.001,.000,C,C,C,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,C,C,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,00
,OTAY MESA DVN,.000,C,C,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,00
,PENDLETON,.000,C,C,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,00
06 CO PPM,CARMEL MT RCH,.2,C,C,.2,.2,.3,.3,.3,.3,.3,.4,.3,.3,.3,.3,.3,.4,.4,.3,.3,.3,.2,.2,.1,.3,.4,10
10 INTMP °C,ALPINE,24,25,25,25,25,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,24,25,01
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,26,26,25,26,26,26,26,26,26,26,26,26,25,26,26,26,26,00
,CHULA VISTA,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,27,26,27,27,27,27,27,26,27,17
,DOWNTOWN SES,25,24,24,24,25,25,24,24,24,24,24,23,24,24,23,24,24,24,24,24,24,24,25,25,24,25,00
,EL CAJON LES,P,27,27,27,27,27,27,26,27,26,26,26,26,26,26,27,26,26,26,26,27,26,27,27,26,27,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,00
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,00
,PENDLETON,26,26,26,27,27,27,26,26,26,26,25,25,25,26,26,26,26,26,26,26,26,27,26,26,26,27,03
11 PM2.5 µg/M3,ALPINE,2.9,2.7,6.4,5.4,2.9,.2,.3,1.9,3.0,4.0,3.8,4.9,4.4,2.8,2.0,1.1,3.5,3.6,3.6,2.6,1.2,-.1,1.4,1.1,2.7,6.4,02
,DOWNTOWN SES,3.9,4.5,6.5,6.6,9.2,5.9,3.0,1.8,2.3,2.6,4.8,4.8,2.6,2.8,6.4,3.8,.2,2.8,3.6,2.5,.6,1.9,1.9,1.5,3.6,9.2,04
,EL CAJON LES,6.5,5.3,4.8,8.7,9.5,6.5,5.6,6.0,4.7,5.0,4.7,5.4,5.3,4.6,5.0,6.3,5.2,4.0,5.3,4.6,1.7,2.3,3.2,1.7,5.0,9.5,04
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,3.0,2.4,4.0,4.3,4.5,3.6,2.6,1.7,1.5,1.2,1.6,2.6,1.3,.1,3.9,2.7,4.0,3.4,1.6,-1.3,3.0,7.9,5.2,1.9,2.7,7.9,21
,PENDLETON,3.0,5.9,4.6,4.2,4.0,3.9,4.5,3.8,1.2,-.3,2.2,2.0,1.6,2.2,1.3,.9,1.1,.2,-.2,.1,-.9,-1.5,.1,1.7,1.9,5.9,01
12 VWDR °,ALPINE,254,276,271,323,193,258,190,229,243,258,251,233,244,244,240,228,197,153,144,224,227,198,177,215,0,323,03
,CHULA VISTA,296,298,321,40,277,287,273,249,242,254,248,261,256,257,255,252,241,244,238,234,229,222,223,232,0,321,02
,DOWNTOWN SES,295,300,329,344,299,298,260,255,234,232,227,242,225,234,235,228,232,240,212,229,215,213,225,244,0,344,03
,EL CAJON LES,P,247,269,263,281,287,268,265,266,217,237,221,228,223,204,214,221,218,224,228,192,215,205,185,0,287,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,277,267,279,266,289,286,251,242,240,229,230,241,232,239,230,237,235,242,234,232,220,206,239,210,0,289,04
,OTAY MESA DVN,335,1,330,20,30,255,253,265,265,271,260,277,276,286,285,297,281,306,296,257,223,221,201,202,0,335,00
,PENDLETON,224,222,214,215,211,213,230,238,255,258,228,239,216,207,221,210,231,224,204,205,201,201,229,230,0,258,09
13 SIGTHETA °,ALPINE,20,20,19,29,21,21,27,24,27,26,27,22,24,25,27,25,19,22,16,23,23,21,21,28,23,29,03
,CHULA VISTA,16,17,20,18,50,18,18,19,24,24,22,20,18,20,22,23,23,21,20,20,20,21,22,22,22,50,04
,DOWNTOWN SES,17,21,18,19,22,23,23,23,23,25,23,21,23,24,18,23,20,22,19,21,22,22,24,25,22,25,09
,EL CAJON LES,23,15,19,22,19,22,29,24,22,51,24,22,26,21,26,23,24,23,19,23,24,21,22,25,24,51,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,7,6,25,40,6,15,11,15,15,18,14,13,13,12,13,13,14,13,10,12,11,15,22,47,16,47,23
,OTAY MESA DVN,17,43,18,15,26,21,13,12,18,14,14,13,12,12,14,14,19,12,10,12,9,16,14,17,16,43,01
,PENDLETON,19,16,15,14,13,16,19,21,22,21,21,17,19,19,16,18,23,24,16,14,8,10,15,16,17,24,17
14 VWSP MPH,ALPINE,2.0,1.7,1.5,.5,.9,1.6,1.6,1.8,2.0,3.0,3.1,3.3,4.0,2.8,3.7,2.7,2.3,.9,1.3,3.6,3.5,3.1,3.8,2.3,.0,4.0,12
,CHULA VISTA,3.2,2.9,1.8,1.4,.4,3.5,3.4,4.5,4.7,5.6,6.9,7.2,7.9,6.1,6.7,6.0,4.5,3.8,3.5,3.9,3.5,2.9,2.7,3.3,.0,7.9,12
,DOWNTOWN SES,5.0,4.0,1.7,2.4,3.0,3.2,2.9,3.8,4.0,5.9,6.8,7.4,6.4,6.1,6.7,5.7,5.5,4.1,3.9,4.4,3.7,4.2,3.4,3.8,.0,7.4,11
,EL CAJON LES,P,1.9,2.2,1.2,.8,1.9,1.4,2.6,2.4,1.8,3.8,4.9,4.9,5.4,4.0,3.9,3.5,2.9,3.3,2.8,2.2,3.0,3.0,1.5,.0,5.4,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,4.2,4.5,1.6,.2,2.2,1.4,2.8,4.5,5.9,6.1,6.2,9.3,8.9,8.2,7.6,6.7,5.6,4.6,5.1,5.3,5.0,4.0,3.6,1.5,.0,9.3,11
,OTAY MESA DVN,2.1,.8,1.6,2.0,.4,2.1,3.9,5.7,5.4,6.9,7.7,9.3,8.8,7.6,7.1,4.8,3.3,4.2,5.2,2.9,2.3,2.5,3.5,1.7,.0,9.3,11
,PENDLETON,4.9,6.4,6.7,7.2,6.8,5.8,6.4,6.2,3.4,2.5,5.1,7.8,6.6,4.6,6.0,4.6,4.5,2.2,2.3,3.6,4.5,4.9,4.0,5.0,.0,7.8,11
15 SWSP MPH,ALPINE,2.2,1.8,1.5,.9,1.1,1.7,1.8,2.4,2.4,3.3,3.5,3.6,4.4,3.0,4.2,3.1,2.5,1.2,1.6,3.9,3.7,3.3,4.0,2.5,2.7,4.4,12
,CHULA VISTA,3.4,3.0,2.0,1.6,.8,3.7,3.8,4.8,5.1,6.1,7.4,7.6,8.2,6.5,7.1,6.5,4.9,4.1,3.8,4.2,3.8,3.1,3.1,3.6,4.5,8.2,12
,DOWNTOWN SES,5.2,4.3,1.8,2.5,3.2,3.5,3.2,4.1,4.7,6.5,7.5,8.0,7.0,6.6,7.0,6.2,5.8,4.4,4.1,4.7,4.1,4.9,3.7,4.2,4.9,8.0,11
,EL CAJON LES,P,1.9,2.4,1.2,.9,2.1,2.0,2.9,2.5,2.1,4.2,5.2,5.3,5.7,4.6,4.4,3.8,3.2,3.5,3.1,2.4,3.2,3.2,1.7,3.1,5.7,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.3,4.5,1.7,.4,2.2,1.6,2.8,4.6,6.2,6.4,6.5,9.5,9.1,8.3,8.0,7.0,5.8,4.7,5.2,5.5,5.1,4.2,4.0,1.8,5.0,9.5,11
,OTAY MESA DVN,2.6,1.2,1.8,2.1,.4,2.2,4.1,5.9,5.8,7.2,7.9,9.5,9.0,7.8,7.4,5.0,3.4,4.6,5.5,3.0,2.3,2.9,3.6,1.9,4.5,9.5,11
,PENDLETON,5.3,6.7,6.9,7.5,7.0,6.1,6.9,6.6,4.1,2.7,5.6,8.2,7.1,5.2,6.2,4.9,4.9,2.4,2.4,3.7,4.6,5.1,4.3,5.4,5.4,8.2,11
16 AMBTEMP °F,ALPINE,49.4,49.3,49.2,49.1,49.0,49.1,49.3,49.5,49.5,49.3,49.7,50.1,50.1,49.9,49.7,49.5,49.5,49.6,49.5,49.3,48.9,48.7,48.7,48.7,49.4,50.1,11
,CARMEL MT RCH,55.3,54.8,54.5,54.3,53.8,53.8,54.2,54.7,55.4,56.6,57.4,56.6,55.8,56.9,56.2,55.3,55.5,55.6,54.6,54.6,54.6,54.2,54.0,53.1,55.1,57.4,10
,CHULA VISTA,58.6,58.3,58.2,57.6,57.6,57.5,57.4,58.6,60.2,60.6,60.7,59.9,58.5,60.2,60.5,60.7,59.8,58.8,58.0,57.9,57.4,57.3,57.1,57.0,58.7,60.7,10
,DOWNTOWN SES,58.7,58.6,58.5,58.1,57.9,57.6,57.7,58.6,60.1,60.9,61.8,60.4,59.9,60.4,60.2,60.0,59.8,58.8,58.3,58.2,58.0,58.1,57.7,57.2,59.0,61.8,10
,EL CAJON LES,P,56.9,56.7,56.4,56.3,56.2,56.2,56.8,56.2,58.2,59.5,59.3,59.2,58.3,58.9,59.1,58.9,58.4,57.7,56.8,56.4,56.2,55.9,55.7,57.4,59.5,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,56.5,55.5,56.0,55.9,55.4,55.6,56.2,57.3,59.1,59.5,59.2,58.6,59.4,58.3,58.0,58.1,58.5,58.1,56.8,56.8,56.9,56.7,55.3,55.4,57.2,59.5,09
,OTAY MESA DVN,55.0,55.1,55.3,54.7,54.6,54.2,54.7,56.0,57.9,58.8,58.8,57.7,58.2,57.4,57.4,57.4,57.5,56.7,55.8,55.0,55.1,54.8,54.8,54.3,56.1,58.8,09
,PENDLETON,59.1,58.5,58.3,57.5,57.4,57.6,57.7,57.4,57.5,59.7,61.2,60.3,58.1,58.4,59.4,59.2,58.5,57.8,57.6,57.7,58.1,58.2,58.1,57.5,58.4,61.2,10
17 RELHUM %,ALPINE,98,98,98,98,98,97,98,97,97,98,98,98,97,97,98,98,98,97,96,97,98,98,98,98,98,98,00
,EL CAJON LES,P,84,85,85,85,86,87,85,89,77,70,73,73,76,73,71,73,75,77,82,86,87,87,89,81,89,08
,KEARNY MESA,90,92,90,90,91,92,89,83,74,73,74,80,75,81,81,82,79,80,85,86,86,86,93,92,84,93,22
18 PRES mmHg,EL CAJON LES,P,750,750,750,750,750,751,751,751,751,751,751,751,751,751,751,751,750,750,751,751,751,752,752,751,752,22
,KEARNY MESA,751,751,751,751,751,751,752,752,752,752,752,753,753,753,752,752,752,751,751,752,752,753,753,753,752,753,11
19 SOLAR W/M2,EL CAJON LES,P,2,2,2,2,6,43,79,99,168,185,156,204,167,122,144,77,18,3,2,2,2,2,2,65,204,12
,KEARNY MESA,0,0,0,0,0,9,53,126,311,250,179,207,312,210,115,186,105,47,4,0,0,0,0,0,88,312,12
25 NOY,EL CAJON LES,P,2.05,1.95,2.05,C,C,3.27,2.66,3.06,3.25,2.72,3.02,2.60,3.08,2.22,2.38,2.57,3.06,3.59,3.69,2.51,3.05,1.83,2.20,2.70,3.69,19
26 NOY-NO,EL CAJON LES,P,2.03,1.94,2.03,C,C,3.04,2.50,2.79,2.86,2.37,2.56,2.27,2.66,2.04,2.05,2.25,2.88,3.39,3.58,2.35,2.90,1.75,1.99,2.48,3.58,19
27 NO Trace,EL CAJON LES,P,.01,.00,.01,C,C,.22,.16,.27,.38,.34,.46,.32,.41,.18,.33,.31,.17,.19,.10,.15,.15,.08,.20,.21,.46,11
28 SO2 Tr PPB,EL CAJON LES,C,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,01
29 CO Tr PPB,EL CAJON LES,P,C,C,C,C,171.6,188.8,179.5,185.9,189.8,177.6,161.2,182.1,159.2,158.3,164.8,172.8,166.1,180.6,184.5,187.4,165.2,159.0,171.1,173.9,189.8,09
BCarbon ug/m3,DOWNTOWN SES,.08,.06,.06,.07,.08,.08,.13,.06,.05,.07,.07,.07,.08,.07,.05,.08,.10,.09,.15,.18,.25,.05,.15,.08,.09,.25,20
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
