,OTAY MESA DVN,.001,.001,C,C,.002,.003,.004,.002,.005,.007,.004,.002,M,.001,.001,.001,.001,.002,.002,.002,.002,.003,.004,.004,.003,.007,09
,PENDLETON,.001,.001,C,C,.007,.006,.006,.003,.002,.005,.001,.001,.001,.002,.000,.000,.000,.001,.000,.001,.008,.009,.003,.003,.003,.009,21
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.000,M,M,M,.001,M,M,M,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,10
,CARMEL MT RCH,.001,.000,C,C,.006,.012,.013,.013,.006,.010,.010,.008,.006,.009,.009,.008,.006,.005,.003,.003,.002,.001,.001,.001,.006,.013,06
,CHULA VISTA,.000,.000,C,C,.001,.001,.001,.001,M,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.001,.001,.001,04
,DOWNTOWN SES,.000,.000,C,C,.000,.000,.001,.003,.001,.000,.001,.000,.001,.003,.004,.005,.001,.000,.000,.000,.000,.000,.000,.000,.001,.005,15
,EL CAJON LES,.000,.000,C,C,C,.001,.001,.001,.001,M,M,M,M,M,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.001,.001,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.001,.001,.001,.001,.000,<,<,<,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
,OTAY MESA DVN,.000,.000,C,C,.000,.000,.000,.001,.002,.003,.001,.001,M,.001,.001,.001,.001,.000,.000,.000,.000,.001,.000,.000,.001,.003,09
,PENDLETON,.000,.000,C,C,.004,.000,.001,.001,.001,.004,.000,.001,.000,.003,.000,.000,.000,.000,.000,.000,.000,.001,.000,.000,.001,.004,04
06 CO PPM,CARMEL MT RCH,.2,.1,C,C,C,.4,.4,.4,.3,.3,.3,.4,.4,.5,.5,.4,.4,.4,.3,.3,.2,.2,.3,.3,.3,.5,13
10 INTMP °C,ALPINE,26,26,26,26,27,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,26,26,27,26,27,04
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,00
,CHULA VISTA,25,25,25,26,25,25,25,25,24,25,26,26,26,26,26,26,25,26,26,26,26,26,26,26,26,26,03
,DOWNTOWN SES,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,00
,EL CAJON LES,25,25,25,25,25,25,25,25,25,25,25,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,25,25,26,26,26,26,26,26,25,25,25,25,25,25,25,25,26,25,26,26,26,26,26,26,00
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,25,26,25,25,25,26,25,26,25,25,26,26,26,26,26,26,26,00
,PENDLETON,26,26,26,26,26,26,26,25,25,25,25,24,24,24,25,25,25,25,25,26,26,26,26,26,25,26,00
11 PM2.5 µg/M3,ALPINE,7.3,7.0,5.8,4.1,6.0,3.3,4.6,5.1,5.0,4.7,1.2,-.6,3.0,6.9,9.3,6.8,7.4,6.2,6.0,5.4,5.1,8.5,5.3,5.0,5.3,9.3,14
,DOWNTOWN SES,5.6,6.0,6.8,8.3,7.8,8.3,8.9,8.5,5.6,8.0,8.2,7.7,4.2,6.9,8.3,4.7,6.6,7.6,6.2,5.5,4.9,7.0,9.0,8.7,7.0,9.0,22
,EL CAJON LES,9.0,5.0,5.4,5.7,8.3,5.7,5.3,5.7,7.9,9.4,10.3,9.2,10.0,10.2,10.2,11.3,10.9,9.6,6.5,7.4,11.5,11.9,9.5,11.5,8.6,11.9,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,4.6,8.2,6.6,7.5,7.1,4.4,3.3,7.7,8.9,10.2,9.1,8.4,8.3,4.5,4.6,7.9,4.3,2.4,6.3,7.6,6.6,4.2,8.8,7.9,6.6,10.2,09
,PENDLETON,4.9,6.4,8.2,5.4,5.2,7.5,12.2,10.6,8.1,9.9,6.6,7.1,5.5,5.4,8.3,8.7,7.1,8.9,6.5,8.7,6.5,8.2,6.1,4.0,7.3,12.2,06
12 VWDR °,ALPINE,182,213,257,288,255,257,260,244,247,260,286,295,292,290,269,292,293,293,298,308,286,92,61,78,0,308,19
,CHULA VISTA,250,256,257,253,267,273,262,242,242,263,257,256,258,274,267,266,269,276,295,321,7,51,65,164,0,321,19
,DOWNTOWN SES,271,264,255,276,261,270,259,246,225,204,213,228,252,272,271,276,284,287,306,335,16,48,65,64,0,335,19
,EL CAJON LES,182,168,149,130,239,232,228,236,182,218,238,223,239,235,263,284,303,284,267,297,314,107,123,86,0,314,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,108,200,254,265,248,258,265,260,197,213,234,262,254,270,278,289,295,289,288,316,10,47,56,73,0,316,19
,OTAY MESA DVN,211,247,263,270,273,256,266,272,192,161,280,284,297,292,290,283,286,287,298,335,341,32,92,126,0,341,20
,PENDLETON,264,248,61,84,5,301,345,231,245,266,268,226,208,208,222,230,220,258,285,330,76,29,57,64,0,345,06
13 SIGTHETA °,ALPINE,21,29,29,40,25,24,26,26,27,28,41,30,27,32,30,25,24,23,25,24,36,19,43,21,28,43,22
,CHULA VISTA,18,18,16,16,19,21,20,26,27,28,23,21,20,21,21,20,20,18,16,18,18,17,20,60,22,60,23
,DOWNTOWN SES,24,20,22,20,21,19,26,34,33,21,22,24,30,27,21,22,24,26,22,23,24,16,24,16,23,34,07
,EL CAJON LES,17,40,31,21,20,18,20,25,39,52,56,29,24,27,34,23,22,19,19,18,46,12,22,38,28,56,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,14,21,10,9,10,10,13,23,29,36,20,17,16,20,17,16,15,12,10,9,13,9,7,20,16,36,09
,OTAY MESA DVN,14,11,13,20,19,11,12,37,32,51,36,22,20,20,17,13,14,12,19,16,13,24,17,10,20,51,09
,PENDLETON,21,28,61,30,43,29,47,18,17,15,14,12,4,4,7,14,7,16,18,21,21,16,19,56,22,61,02
14 VWSP MPH,ALPINE,2.0,1.9,1.5,.9,1.3,2.6,3.6,3.2,2.8,2.6,3.6,4.8,5.3,4.4,5.0,5.5,4.8,3.5,2.3,2.5,.6,1.6,.8,1.9,.0,5.5,15
,CHULA VISTA,3.6,4.3,4.9,3.4,4.0,3.9,4.2,3.3,3.6,5.0,6.8,7.5,7.8,8.0,8.3,8.9,7.7,6.8,6.4,5.0,3.0,2.9,2.1,.4,.0,8.9,15
,DOWNTOWN SES,3.4,4.5,3.7,4.1,4.2,4.1,3.4,3.0,3.8,5.9,6.9,7.3,6.4,7.7,7.7,7.7,7.0,5.5,5.0,3.6,1.9,2.7,1.3,.9,.0,7.7,13
,EL CAJON LES,3.3,1.5,1.4,1.5,3.0,2.8,3.2,3.1,2.8,1.6,2.7,5.6,5.6,5.5,4.9,6.0,6.5,5.2,4.9,4.6,1.2,1.2,1.2,1.2,.0,6.5,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,2.7,2.1,6.4,5.6,4.8,5.3,5.1,3.5,3.7,2.9,7.3,8.9,9.0,8.5,9.4,9.8,9.2,7.7,7.8,5.6,3.6,4.6,4.9,1.9,.0,9.8,15
,OTAY MESA DVN,2.3,3.8,4.1,1.8,2.9,3.7,4.9,3.0,2.0,3.0,6.1,8.2,8.8,8.5,9.5,11.7,10.1,8.4,5.1,3.5,3.9,1.6,1.6,3.0,.0,11.7,15
,PENDLETON,1.5,1.3,.5,1.2,1.4,1.4,1.8,2.8,3.9,4.8,5.4,6.1,6.8,7.9,7.5,6.3,5.1,4.8,3.7,2.2,2.4,3.1,4.7,1.2,.0,7.9,13
15 SWSP MPH,ALPINE,2.1,2.2,1.7,1.0,1.6,2.9,4.0,3.5,3.2,3.2,4.4,5.5,5.9,5.3,5.7,6.1,5.2,3.8,2.6,2.7,1.0,2.0,1.5,2.0,3.3,6.1,15
,CHULA VISTA,3.8,4.5,5.1,3.5,4.2,4.1,4.4,3.8,4.0,5.7,7.4,8.0,8.3,8.6,8.8,9.4,8.2,7.2,6.7,5.4,3.2,3.0,2.2,.8,5.4,9.4,15
,DOWNTOWN SES,3.7,4.8,4.0,4.4,4.5,4.4,3.9,3.7,4.3,6.4,7.5,8.1,7.3,8.7,8.6,8.4,7.6,6.1,5.6,4.0,2.1,2.8,1.5,1.0,5.1,8.7,13
,EL CAJON LES,3.4,1.8,1.6,1.8,3.3,3.0,3.5,3.4,3.3,3.0,3.9,6.4,6.4,6.2,5.9,6.6,7.1,5.6,5.1,5.0,1.5,1.3,1.3,1.4,3.8,7.1,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.8,3.2,6.7,5.6,4.8,5.4,5.3,3.9,4.1,3.8,7.7,9.4,9.7,9.0,9.8,10.2,9.5,7.9,8.0,5.8,4.0,4.7,5.0,2.0,6.2,10.2,15
,OTAY MESA DVN,2.4,3.9,4.3,2.0,3.1,3.8,5.0,3.6,3.1,4.4,7.1,8.8,9.4,9.0,9.9,12.0,10.4,8.6,5.4,3.9,4.0,2.9,2.0,3.1,5.5,12.0,15
,PENDLETON,1.6,1.4,1.0,2.1,1.6,1.6,2.3,3.0,4.0,4.9,5.5,6.7,6.8,7.9,7.6,6.5,5.2,5.1,4.0,2.6,2.7,3.4,4.9,1.8,3.9,7.9,13
16 AMBTEMP °F,ALPINE,50.7,50.6,50.6,50.7,50.8,51.0,50.9,50.9,51.1,53.6,58.6,59.7,60.4,61.8,62.3,62.2,61.3,59.2,57.7,56.0,53.7,52.8,54.1,54.8,55.2,62.3,14
,CARMEL MT RCH,57.0,57.2,57.1,57.0,56.5,56.5,57.0,58.6,61.3,63.3,63.5,64.3,64.8,65.4,65.8,64.9,63.6,62.0,58.9,57.4,56.9,57.0,56.4,55.3,59.9,65.8,14
,CHULA VISTA,59.6,59.4,59.0,58.6,58.7,58.2,59.1,60.4,61.6,63.7,65.1,65.6,66.8,67.0,65.9,64.9,63.9,62.7,61.5,60.6,59.9,59.3,59.1,57.6,61.6,67.0,13
,DOWNTOWN SES,60.2,59.8,59.7,59.4,59.4,58.9,59.6,60.5,62.1,63.3,64.4,65.6,66.9,65.9,65.6,65.0,64.2,63.2,61.6,60.7,60.5,59.9,59.3,58.7,61.9,66.9,12
,EL CAJON LES,57.8,57.6,57.3,57.0,57.1,57.0,57.6,58.9,61.6,64.0,66.5,66.5,67.1,68.2,68.8,68.8,67.6,65.3,62.4,59.7,58.7,57.1,56.1,55.5,61.4,68.8,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,58.6,59.0,58.4,57.1,57.5,57.7,58.4,59.5,61.4,63.5,64.2,64.7,64.6,66.0,66.1,65.1,63.5,61.9,59.1,58.2,58.0,56.1,55.8,55.7,60.4,66.1,14
,OTAY MESA DVN,56.2,56.1,55.9,55.7,55.3,55.4,56.0,57.6,59.4,63.3,64.9,64.2,65.6,66.6,66.2,64.9,62.7,60.8,58.7,58.2,57.7,57.4,56.8,56.0,59.7,66.6,13
,PENDLETON,60.4,60.0,60.0,59.9,59.7,59.6,60.0,61.5,62.8,63.0,63.9,64.2,64.6,65.1,64.9,64.3,63.6,62.3,61.4,61.0,60.6,58.3,59.1,58.5,61.6,65.1,13
17 RELHUM %,ALPINE,94,94,95,95,94,96,98,98,98,93,71,66,68,65,66,69,73,78,80,85,92,95,90,87,85,98,06
,EL CAJON LES,82,86,90,94,93,90,87,80,72,64,58,59,57,56,58,60,61,65,73,82,84,88,90,92,76,94,03
,KEARNY MESA,85,85,90,93,91,90,86,82,76,69,68,67,71,69,68,70,73,78,87,88,88,90,91,93,81,93,03
18 PRES mmHg,EL CAJON LES,751,751,751,751,751,751,751,752,752,752,752,752,752,751,751,750,750,750,751,752,752,752,752,752,751,752,07
,KEARNY MESA,752,752,752,752,752,752,752,753,753,753,753,753,753,752,752,752,752,752,752,753,753,753,753,752,752,753,07
19 SOLAR W/M2,EL CAJON LES,2,2,1,1,1,17,63,221,426,528,706,470,577,626,530,404,286,122,5,-1,-1,0,0,0,208,706,10
,KEARNY MESA,0,0,0,0,0,16,90,232,340,608,518,607,505,875,803,583,362,141,7,0,0,0,0,0,237,875,13
25 NOY,EL CAJON LES,2.57,2.55,2.17,2.14,2.65,C,C,4.21,5.29,2.85,4.07,4.66,4.22,3.47,3.17,3.46,3.93,3.22,3.58,3.63,5.32,5.37,5.61,5.31,3.79,5.61,22
26 NOY-NO,EL CAJON LES,2.49,2.49,2.16,2.12,2.55,C,C,3.48,4.06,2.44,3.35,3.87,3.61,2.94,2.77,3.02,3.49,2.96,3.43,3.51,5.04,5.34,5.58,5.25,3.45,5.58,22
27 NO Trace,EL CAJON LES,.07,.05,.00,.01,.09,C,C,.72,1.22,.41,.71,.78,.61,.52,.40,.43,.44,.25,.14,.12,.27,.02,.02,.06,.33,1.22,08
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,M,M,M,M,M,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,151.8,150.2,C,C,C,173.6,176.6,178.2,168.0,M,C,C,M,M,159.9,160.8,168.9,162.1,162.7,174.6,189.1,225.7,213.7,207.6,176.4,225.7,21
BCarbon ug/m3,DOWNTOWN SES,.04,.04,.04,.04,.04,.04,.04,.04,.04,.04,.04,.04,.04,.18,.19,.21,.16,.14,.17,.15,.19,.56,.40,.33,.13,.56,21
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
