,EL CAJON LES,.005,.004,C,C,C,.007,.006,.003,.003,.002,.002,.002,.002,.002,.002,.002,.003,.003,.002,.002,.002,.001,.002,.001,.003,.007,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.001,.002,C,C,.004,.010,.015,.004,.003,.003,.003,.001,.001,.001,.001,.001,.001,P,.001,.002,.002,.001,.001,.001,.003,.015,06
,OTAY MESA DVN,.002,.001,C,C,.007,.010,.007,.005,.005,.004,.002,.001,.002,.002,.001,.001,.001,.001,.001,.001,.001,.002,.001,.001,.003,.010,05
,PENDLETON,.003,.003,C,C,.005,.005,.004,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.005,04
04 NO PPM,ALPINE,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,CARMEL MT RCH,.002,.000,C,C,.003,.005,.004,.007,.003,.005,.004,.004,.004,.004,.004,.004,.004,.002,.002,.002,.001,.001,.000,.001,.003,.007,07
,CHULA VISTA,.000,.000,C,C,.000,.001,.002,.002,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,06
,DOWNTOWN SES,.000,.000,C,C,.000,.002,.005,.003,.001,.004,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.003,.002,.000,.001,.005,06
,EL CAJON LES,.000,.000,C,C,C,.001,.002,.002,.001,.001,.001,.001,.001,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.002,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.001,.009,.002,.001,.001,.001,.000,.000,.000,.000,.000,.000,P,.000,.000,.000,.000,.000,.000,.001,.009,06
,OTAY MESA DVN,.000,.000,C,C,.002,.005,.002,.004,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.005,05
,PENDLETON,.000,.000,C,C,.000,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
06 CO PPM,CARMEL MT RCH,.3,.2,C,C,C,.5,.2,.3,.3,.4,.3,.4,.4,.4,.4,.4,.3,.4,.3,.3,.2,.2,.2,.2,.3,.5,05
10 INTMP °C,ALPINE,23,23,23,23,23,23,23,22,22,23,23,23,23,24,24,24,24,25,25,25,25,25,25,25,24,25,17
,CARMEL MT RCH,26,26,26,26,27,26,26,26,26,26,25,25,25,25,25,25,25,25,26,26,26,26,26,25,26,27,04
,CHULA VISTA,22,22,22,22,22,22,22,22,25,26,26,26,26,26,26,26,25,25,26,25,25,25,25,25,24,26,09
,DOWNTOWN SES,25,25,25,25,25,25,25,24,24,24,23,23,23,23,23,23,24,23,24,24,24,24,24,24,24,25,00
,EL CAJON LES,27,27,27,27,27,27,27,26,27,26,26,26,26,26,26,26,26,26,26,26,26,26,27,26,26,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,P,26,26,26,26,26,26,26,26,00
,OTAY MESA DVN,25,24,24,25,24,24,24,24,24,25,25,26,26,26,26,26,26,25,25,26,26,26,26,26,25,26,11
,PENDLETON,26,26,26,26,26,26,26,26,26,25,25,25,24,25,25,25,25,25,26,26,26,26,26,26,26,26,00
11 PM2.5 µg/M3,ALPINE,-.2,.5,2.7,1.9,-1.2,.4,5.1,3.2,1.7,2.8,1.9,3.8,3.2,4.1,7.2,5.9,5.5,6.5,6.8,6.0,7.6,5.0,3.9,4.2,3.6,7.6,20
,DOWNTOWN SES,8.1,6.3,4.4,2.6,1.8,2.5,4.0,3.8,5.6,4.6,5.3,6.5,6.9,5.1,8.5,5.7,2.9,6.6,11.4,8.0,8.7,8.4,7.0,4.9,5.8,11.4,18
,EL CAJON LES,6.3,4.8,5.5,7.3,4.5,7.0,4.1,1.6,3.1,3.1,3.6,2.2,2.1,7.2,8.4,5.6,7.6,6.5,6.7,7.6,4.9,9.7,6.7,6.9,5.5,9.7,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,3.7,2.7,2.9,1.7,2.5,3.4,3.6,7.8,5.9,3.8,4.6,3.4,2.1,2.6,2.7,2.1,5.7,4.9,5.8,5.4,3.3,.7,3.0,6.1,3.7,7.8,07
,PENDLETON,5.3,3.4,1.6,2.5,1.6,1.6,1.9,-1.3,-2.1,-.6,.9,1.1,1.8,2.1,1.6,3.8,5.1,9.0,6.3,4.4,4.2,3.0,3.0,2.1,2.5,9.0,17
12 VWDR °,ALPINE,356,2,15,97,51,20,72,138,252,269,260,275,270,276,263,293,271,269,271,261,279,282,282,287,0,356,00
,CHULA VISTA,47,33,44,77,78,115,98,154,202,275,265,261,254,257,255,257,260,254,281,286,290,301,285,300,0,301,21
,DOWNTOWN SES,13,8,41,57,4,80,62,90,216,269,222,223,224,214,223,234,262,275,289,277,278,281,278,295,0,295,23
,EL CAJON LES,321,290,296,97,313,106,78,267,327,253,243,256,263,240,234,235,231,235,261,270,265,268,267,268,0,327,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,11,19,62,73,55,73,99,165,167,245,265,277,276,242,246,251,255,P,279,261,267,269,270,268,0,279,18
,OTAY MESA DVN,1,318,45,105,144,125,130,159,211,278,295,286,288,300,300,289,283,281,283,283,283,295,291,277,0,318,01
,PENDLETON,76,55,61,29,51,55,56,85,178,191,192,192,195,194,205,200,206,212,215,233,223,204,208,215,0,233,19
13 SIGTHETA °,ALPINE,10,13,20,19,18,19,46,20,34,35,36,30,26,27,30,25,24,23,22,24,20,21,24,24,25,46,06
,CHULA VISTA,22,16,15,18,42,20,22,46,50,49,35,23,21,22,22,22,22,22,19,19,18,26,20,19,25,50,08
,DOWNTOWN SES,16,15,15,16,26,34,23,29,36,58,26,24,26,23,23,20,25,18,23,19,15,21,21,26,24,58,09
,EL CAJON LES,15,26,39,13,42,31,36,61,44,49,44,37,25,57,29,24,22,20,21,18,17,17,20,16,30,61,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,9,10,13,7,19,18,20,35,51,59,32,22,26,24,27,17,15,10,9,8,8,10,14,9,20,59,09
,OTAY MESA DVN,31,24,20,19,18,48,21,30,41,53,19,17,17,23,26,19,14,12,10,11,11,11,10,13,22,53,09
,PENDLETON,11,14,14,24,11,14,14,21,17,8,7,2,3,3,6,5,6,5,14,19,16,12,15,16,12,24,03
14 VWSP MPH,ALPINE,.6,1.6,1.9,.6,1.3,.5,.5,1.5,2.0,3.5,3.8,5.1,4.8,4.4,4.0,4.4,3.9,4.5,3.9,3.2,2.7,2.9,2.3,2.5,.0,5.1,11
,CHULA VISTA,1.8,2.6,3.5,3.0,.9,1.9,2.7,1.0,1.6,2.4,4.2,7.0,6.4,7.0,6.3,6.6,6.6,5.6,5.0,5.0,4.0,3.5,3.2,3.3,.0,7.0,11
,DOWNTOWN SES,.9,3.0,3.1,2.4,1.3,1.1,1.4,1.7,2.4,1.3,5.2,6.4,6.7,7.3,6.4,7.2,5.5,6.3,4.6,4.3,4.8,3.4,3.7,2.5,.0,7.3,13
,EL CAJON LES,1.4,.9,.4,1.1,.7,.8,.7,.2,1.1,1.9,3.3,4.3,5.1,3.4,5.2,5.6,5.9,5.2,5.0,3.9,4.1,3.8,1.9,2.5,.0,5.9,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,4.5,5.0,4.2,3.5,1.9,1.7,1.2,1.3,1.5,1.6,3.7,8.8,6.2,7.3,6.1,8.1,8.1,P,6.9,5.6,4.8,3.2,3.8,3.8,.0,8.8,11
,OTAY MESA DVN,1.5,1.3,4.1,3.3,2.7,1.4,2.1,1.8,2.5,1.9,5.4,7.2,7.7,6.3,5.1,8.0,8.6,6.7,5.1,3.9,4.1,4.2,3.8,3.6,.0,8.6,16
,PENDLETON,5.5,4.9,4.1,4.6,3.9,4.0,3.5,2.7,3.3,5.2,5.7,6.8,7.3,7.5,7.0,7.5,7.7,5.3,5.5,4.6,4.5,5.3,4.1,5.4,.0,7.7,16
15 SWSP MPH,ALPINE,.6,1.6,2.1,.6,1.6,.8,1.0,2.0,2.9,4.1,4.6,5.7,5.3,4.9,4.9,4.8,4.4,4.9,4.2,3.5,2.9,3.1,2.5,2.8,3.2,5.7,11
,CHULA VISTA,2.0,2.7,3.6,3.2,1.4,2.0,2.9,1.3,2.6,3.1,5.0,7.5,6.8,7.5,6.8,7.2,7.2,6.0,5.3,5.2,4.2,3.8,3.4,3.5,4.3,7.5,11
,DOWNTOWN SES,.9,3.1,3.4,2.5,1.8,1.3,1.7,2.1,3.2,3.1,6.0,7.1,7.4,8.1,7.0,7.7,6.1,6.7,5.0,4.6,5.0,3.6,4.0,3.0,4.4,8.1,13
,EL CAJON LES,1.5,1.1,.7,1.1,.8,.9,.8,.8,2.4,3.4,4.3,5.1,5.6,4.7,6.1,6.2,6.5,5.6,5.4,4.1,4.3,3.9,2.1,2.6,3.3,6.5,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.6,5.1,4.6,3.6,2.1,1.7,1.2,1.6,3.3,3.2,4.3,9.4,6.9,8.2,6.8,8.5,8.4,P,7.0,5.8,4.9,3.3,4.0,3.9,4.9,9.4,11
,OTAY MESA DVN,1.7,1.7,4.5,3.9,2.9,1.6,2.1,2.9,3.2,3.9,5.7,7.6,8.1,6.7,5.8,8.5,8.9,6.9,5.2,3.9,4.2,4.3,3.9,3.7,4.7,8.9,16
,PENDLETON,5.6,5.0,4.2,5.1,4.0,4.1,3.6,3.4,3.4,5.3,5.8,6.8,7.3,7.5,7.0,7.5,7.7,5.3,5.8,4.9,4.7,5.5,4.2,5.8,5.4,7.7,16
16 AMBTEMP °F,ALPINE,45.9,45.7,45.6,45.0,44.5,44.9,46.2,47.6,51.1,52.5,53.4,54.9,55.4,56.8,57.6,57.3,58.1,56.0,53.5,52.2,51.3,50.8,50.4,49.7,51.1,58.1,16
,CARMEL MT RCH,49.0,48.7,48.4,48.2,48.0,48.1,48.8,52.2,55.3,56.5,58.6,60.1,62.3,62.8,62.7,64.3,62.1,58.9,56.9,56.4,55.9,55.7,55.6,55.4,55.5,64.3,15
,CHULA VISTA,51.8,51.8,51.5,51.8,50.7,49.8,51.7,55.6,58.3,60.3,62.8,63.6,63.7,64.6,64.6,64.0,62.9,61.3,60.0,59.5,59.1,59.0,59.0,58.7,58.2,64.6,13
,DOWNTOWN SES,53.3,52.5,51.9,51.5,50.5,49.7,51.3,55.1,57.8,60.3,61.4,61.8,62.4,63.3,63.3,63.2,62.8,61.1,59.8,59.2,59.0,59.3,59.2,59.2,57.9,63.3,13
,EL CAJON LES,50.8,50.5,50.1,49.4,48.5,48.3,48.7,52.8,57.4,59.4,61.4,62.2,63.4,64.9,65.5,65.6,64.3,62.4,60.0,58.9,58.1,57.3,57.3,57.2,57.3,65.6,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,51.6,50.8,50.5,49.7,49.6,49.2,50.3,54.4,57.5,59.2,60.4,62.0,62.5,63.4,63.3,63.6,62.8,P,58.1,57.0,56.1,57.1,57.3,57.1,56.7,63.6,15
,OTAY MESA DVN,50.6,50.5,50.4,50.5,49.4,49.6,50.7,53.7,57.1,58.0,59.1,60.4,61.2,62.0,62.8,63.3,62.2,59.3,57.1,56.9,56.6,56.6,56.2,55.5,56.2,63.3,15
,PENDLETON,51.6,51.8,51.3,50.5,50.1,49.1,51.1,55.3,58.8,60.3,61.5,62.8,63.4,63.5,63.6,63.5,62.8,61.1,59.5,59.4,59.5,59.4,59.4,59.4,57.9,63.6,14
17 RELHUM %,ALPINE,91,89,89,92,91,89,87,88,77,78,75,72,72,69,69,67,68,79,88,93,96,97,98,98,84,98,22
,EL CAJON LES,93,96,97,99,100,100,98,86,75,69,64,61,60,58,58,61,65,70,76,80,82,83,83,81,79,100,04
,KEARNY MESA,92,93,93,93,92,93,94,83,76,72,69,67,66,67,69,70,72,P,85,89,91,88,86,89,82,94,06
18 PRES mmHg,EL CAJON LES,748,748,748,748,748,748,749,749,749,749,749,749,749,749,748,748,748,749,749,749,750,750,750,750,749,750,20
,KEARNY MESA,749,749,749,749,749,749,750,750,750,750,750,750,750,750,750,750,750,P,750,751,751,751,751,751,750,751,19
19 SOLAR W/M2,EL CAJON LES,3,2,2,1,1,14,63,356,620,583,712,473,470,642,566,558,289,110,3,2,2,2,2,2,228,712,10
,KEARNY MESA,0,0,0,0,0,14,116,398,644,632,619,697,681,629,565,504,366,P,4,0,0,0,0,0,255,697,11
25 NOY,EL CAJON LES,5.75,4.54,4.80,5.12,6.92,C,C,4.83,4.41,3.26,3.51,3.93,3.73,3.35,3.61,3.91,4.62,4.11,3.41,3.49,3.44,2.50,3.17,2.21,4.02,6.92,04
26 NOY-NO,EL CAJON LES,5.72,4.52,4.69,5.10,6.31,C,C,2.92,2.97,2.50,2.77,3.14,3.06,2.96,3.05,3.32,4.04,3.72,3.10,3.29,3.33,2.43,3.04,2.11,3.54,6.31,04
27 NO Trace,EL CAJON LES,.02,.02,.10,.02,.60,C,C,1.90,1.44,.75,.74,.79,.67,.39,.56,.58,.58,.39,.30,.20,.11,.07,.12,.10,.47,1.90,07
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,235.1,206.2,C,C,C,236.9,258.1,193.7,204.5,189.6,216.3,199.5,187.9,192.2,188.6,190.4,194.0,190.2,192.7,186.5,190.5,183.6,185.2,142.1,198.2,258.1,06
BCarbon ug/m3,DOWNTOWN SES,.58,.34,.14,.17,.22,.32,.50,.40,.25,.36,.29,.26,.25,.18,.15,.18,.10,.15,.19,.23,.25,.32,.21,.14,.26,.58,00
RAINFALL,EL CAJON LES,.00,.01,.00,.00,.00,.01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.01,01
