,EL CAJON LES,.000,.000,C,C,C,.000,.000,.000,.000,M,M,M,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.000,.000,.000,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,09
,OTAY MESA DVN,.001,.001,C,C,.002,.003,.001,.005,.009,.010,.004,.002,.001,.002,.001,.001,.001,.001,.000,.000,.000,.000,.000,.001,.002,.010,09
,PENDLETON,.000,.000,C,C,.000,.000,.000,.001,.023,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.001,.000,.000,.000,.000,.001,.023,08
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.1,.2,.1,.1,.1,.2,.2,.1,.3,.3,.2,.2,.2,.2,.3,.3,.5,.4,.4,.2,.5,21
10 INTMP °C,ALPINE,26,25,26,26,26,25,25,26,27,27,27,26,25,26,25,26,26,25,25,24,24,24,24,23,25,27,08
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,00
,CHULA VISTA,23,23,23,23,23,23,23,22,22,22,22,22,22,23,23,22,22,22,22,22,22,22,22,22,22,23,00
,DOWNTOWN SES,25,25,25,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,EL CAJON LES,27,27,27,27,27,27,27,27,27,27,27,27,27,26,27,27,26,27,27,27,26,27,27,27,27,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,26,27,27,26,26,26,26,26,26,26,26,27,27,27,26,26,26,26,26,26,26,26,26,27,03
,OTAY MESA DVN,25,25,25,25,25,25,25,25,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,09
,PENDLETON,26,26,26,27,27,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,26,26,26,26,26,27,03
11 PM2.5 µg/M3,ALPINE,1.9,1.0,.8,.6,.6,.3,-1.0,5.0,5.6,4.7,4.0,1.1,-1.7,.0,-1.2,.2,3.1,4.5,2.4,-1.2,-.9,1.3,-.6,-2.0,1.1,5.6,08
,DOWNTOWN SES,4.4,1.4,1.3,3.5,2.3,.7,3.8,7.0,5.4,3.2,5.1,5.1,4.2,2.4,3.9,3.6,1.7,3.8,5.7,6.1,6.1,10.5,10.3,8.5,4.5,10.5,21
,EL CAJON LES,7.2,4.7,3.6,1.7,3.6,3.1,2.5,2.4,3.2,5.3,7.2,4.0,-.2,.7,2.0,3.8,10.4,8.2,5.7,15.6,11.4,12.9,11.2,8.1,5.7,15.6,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,1.2,3.1,2.2,.8,1.4,1.3,.6,4.8,3.9,-.5,-.7,2.8,7.5,5.3,3.3,3.5,3.5,2.8,1.9,.7,-.3,-.4,2.3,6.0,2.3,7.5,12
,PENDLETON,2.7,1.1,1.5,4.1,2.7,.8,1.2,1.0,4.0,2.3,-.3,-.1,.2,1.8,1.0,-.4,1.2,1.5,1.6,1.2,.1,-.3,.9,3.8,1.4,4.1,03
12 VWDR °,ALPINE,183,181,173,148,139,137,147,137,150,163,145,165,154,138,147,183,5,68,108,101,85,358,17,329,0,358,21
,CHULA VISTA,155,156,147,153,155,163,172,155,172,166,156,157,149,158,147,162,136,113,97,106,126,112,76,94,0,172,06
,DOWNTOWN SES,199,171,154,193,191,197,185,165,168,158,166,160,166,177,167,127,93,103,96,83,62,62,44,29,0,199,00
,EL CAJON LES,138,135,152,115,148,127,121,134,133,142,158,157,135,156,178,169,99,69,104,113,38,105,32,94,0,178,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,178,159,136,158,157,165,165,158,146,143,143,145,155,183,162,140,111,78,93,77,93,65,49,42,0,183,13
,OTAY MESA DVN,144,143,136,145,142,148,143,158,149,164,165,145,163,149,164,169,137,131,156,152,158,91,257,112,0,257,22
,PENDLETON,95,97,123,138,101,97,83,77,65,99,93,73,73,69,49,47,59,44,53,41,47,56,54,61,0,138,03
13 SIGTHETA °,ALPINE,20,16,14,11,12,12,12,13,14,14,15,15,14,12,16,46,42,42,18,15,17,30,13,41,20,46,15
,CHULA VISTA,17,17,14,22,14,17,19,15,25,24,17,17,17,16,20,57,16,15,15,17,16,41,20,20,20,57,15
,DOWNTOWN SES,24,28,19,24,15,18,16,18,18,20,17,21,18,15,18,23,27,17,15,19,19,14,20,43,20,43,23
,EL CAJON LES,15,17,19,12,25,14,17,18,17,19,21,18,22,19,16,20,26,16,24,38,54,43,46,33,24,54,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,45,17,12,12,13,17,12,13,14,11,11,11,14,23,13,10,11,9,9,13,14,13,9,10,14,45,00
,OTAY MESA DVN,13,15,13,13,13,15,14,14,15,13,13,14,14,14,16,17,13,14,20,46,27,41,42,36,19,46,19
,PENDLETON,27,14,16,19,13,13,12,17,16,20,17,15,41,17,16,15,16,17,14,15,12,13,14,11,17,41,12
14 VWSP MPH,ALPINE,4.9,5.2,4.6,5.1,6.2,6.9,5.5,5.8,6.6,6.1,5.8,6.1,6.7,6.6,5.5,1.3,1.4,1.3,3.5,3.7,2.1,1.8,2.7,.1,.0,6.9,05
,CHULA VISTA,3.1,4.7,3.7,4.1,3.5,4.7,4.6,5.0,4.3,3.8,4.9,5.2,6.5,7.1,4.1,1.7,4.9,6.3,4.5,2.3,2.6,1.8,1.8,1.3,.0,7.1,13
,DOWNTOWN SES,5.3,4.9,5.3,6.6,8.2,8.5,9.6,8.0,7.7,6.2,6.9,5.6,6.3,9.2,6.9,4.0,3.1,5.3,5.3,2.7,1.1,1.4,1.6,.6,.0,9.6,06
,EL CAJON LES,3.9,3.7,4.7,4.4,2.5,4.4,4.6,4.8,5.5,5.4,4.5,5.0,4.6,5.3,7.0,4.6,3.3,3.2,1.9,.9,.4,.6,.3,.4,.0,7.0,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,3.7,5.0,6.2,7.2,5.9,6.5,8.3,6.8,9.2,10.2,10.0,10.5,6.7,5.9,8.0,6.1,4.9,7.4,8.1,3.8,3.1,2.1,3.4,2.9,.0,10.5,11
,OTAY MESA DVN,6.5,6.6,8.2,7.9,10.8,6.5,8.6,8.8,8.2,8.5,9.0,5.8,5.8,8.1,6.3,6.5,6.4,6.7,4.9,1.7,4.4,1.0,1.1,.9,.0,10.8,04
,PENDLETON,3.5,5.2,5.8,5.1,6.1,7.0,6.5,5.3,5.5,5.1,5.7,7.1,4.0,6.0,6.3,6.9,6.1,4.7,4.2,3.8,4.6,3.7,3.7,3.5,.0,7.1,11
15 SWSP MPH,ALPINE,5.3,5.4,4.8,5.3,6.4,7.0,5.7,5.9,7.0,6.3,6.1,6.3,7.0,6.8,5.7,2.1,3.7,1.5,3.7,3.8,2.3,2.0,2.9,.4,4.7,7.0,05
,CHULA VISTA,3.4,5.0,3.9,4.7,3.7,5.0,4.9,5.2,4.9,4.1,5.2,5.4,6.8,7.4,4.4,3.0,5.1,6.6,4.7,2.4,2.7,2.3,2.0,1.4,4.3,7.4,13
,DOWNTOWN SES,5.9,5.4,5.7,7.3,8.5,9.0,10.0,8.4,8.2,6.6,7.2,6.0,6.6,9.5,7.4,4.3,3.6,5.6,5.5,2.9,1.1,1.6,1.8,.9,5.8,10.0,06
,EL CAJON LES,4.2,3.9,5.2,4.5,2.9,4.6,4.8,5.1,5.8,5.8,5.0,5.3,5.0,5.9,7.3,4.9,4.0,3.5,2.1,1.2,.7,.7,.3,.5,3.9,7.3,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.1,5.8,6.4,7.7,6.0,6.9,8.6,7.1,9.6,10.4,10.2,10.8,6.9,6.5,8.2,6.3,5.0,7.5,8.3,4.3,3.4,2.7,3.4,3.1,6.6,10.8,11
,OTAY MESA DVN,6.7,6.8,8.4,8.1,11.1,6.8,8.9,9.1,8.5,8.7,9.3,6.0,6.0,8.4,6.6,7.5,6.6,7.0,5.3,3.0,5.1,3.4,1.5,1.1,6.7,11.1,04
,PENDLETON,4.1,5.4,6.0,6.1,6.4,7.3,6.6,5.7,5.9,5.7,6.0,7.4,4.8,6.3,6.6,7.2,6.3,4.9,4.3,4.1,4.8,3.9,3.8,3.6,5.6,7.4,11
16 AMBTEMP °F,ALPINE,46.5,46.3,46.1,46.0,46.0,46.3,46.5,47.0,47.7,48.1,49.0,49.6,49.9,49.3,49.7,48.8,44.9,45.6,45.7,45.5,46.0,46.3,45.9,45.6,47.0,49.9,12
,CARMEL MT RCH,50.7,50.9,50.0,50.2,50.7,51.2,51.3,51.3,51.5,52.2,52.9,53.0,54.0,M,52.7,52.4,52.3,51.6,51.2,50.9,50.5,49.7,49.4,49.2,51.3,54.0,12
,CHULA VISTA,54.1,54.1,53.8,53.8,53.7,54.3,53.9,53.5,53.5,53.6,54.8,55.8,56.9,56.4,54.4,54.0,54.7,54.2,54.0,53.9,53.9,52.9,52.3,52.1,54.1,56.9,12
,DOWNTOWN SES,54.8,54.0,54.6,54.4,55.1,54.8,54.4,54.5,54.2,55.1,55.2,56.2,56.9,56.6,55.3,54.7,54.8,55.3,54.0,54.1,54.3,53.7,53.5,53.1,54.7,56.9,12
,EL CAJON LES,52.0,52.0,51.8,51.7,51.3,51.5,51.6,52.0,52.1,52.5,52.7,53.5,54.8,54.5,54.0,52.8,51.7,52.3,52.1,51.9,52.0,51.4,51.2,50.9,52.3,54.8,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,53.2,52.7,52.3,52.9,53.1,53.4,53.1,53.4,53.3,53.9,54.3,55.2,55.7,54.9,54.8,54.1,53.7,53.7,52.3,52.0,52.0,51.7,51.3,51.4,53.3,55.7,12
,OTAY MESA DVN,52.4,52.4,52.4,52.5,52.2,51.5,51.8,51.8,52.4,53.3,52.8,52.9,53.2,53.5,53.7,53.1,52.9,52.3,52.8,52.4,51.6,51.6,50.7,50.7,52.4,53.7,14
,PENDLETON,53.2,53.4,53.3,53.5,53.0,52.7,52.7,53.5,53.9,54.5,55.4,54.6,54.4,54.7,53.9,54.7,54.8,54.2,53.3,52.6,52.6,52.1,52.1,51.9,53.5,55.4,10
17 RELHUM %,ALPINE,98,97,97,97,97,96,96,97,97,97,96,95,94,95,93,94,94,94,91,88,83,82,86,91,94,98,00
,EL CAJON LES,98,97,96,97,97,97,98,98,98,97,98,97,94,95,96,97,95,94,90,92,93,95,94,93,96,98,00
,KEARNY MESA,97,96,97,96,97,97,96,97,97,97,96,95,92,95,94,96,95,94,93,92,94,92,91,90,95,97,00
18 PRES mmHg,EL CAJON LES,751,750,750,749,749,749,749,749,749,749,749,749,748,748,748,748,747,748,747,748,748,748,748,748,749,751,00
,KEARNY MESA,752,751,751,750,750,750,750,750,750,750,750,750,749,749,749,749,748,748,748,749,749,749,749,749,750,752,00
19 SOLAR W/M2,EL CAJON LES,3,3,3,2,3,7,24,50,45,104,104,214,229,145,146,33,39,39,3,2,3,2,2,2,50,229,12
,KEARNY MESA,0,0,0,0,0,4,28,17,54,137,104,339,156,75,101,47,50,43,2,0,0,0,0,0,48,339,11
25 NOY,EL CAJON LES,1.48,1.51,1.04,1.11,1.62,C,C,1.94,2.07,2.59,2.79,2.54,2.33,2.47,2.63,3.75,2.92,3.22,4.36,5.94,10.01,9.31,6.17,4.27,3.45,10.01,20
26 NOY-NO,EL CAJON LES,1.44,1.45,1.00,1.10,1.52,C,C,1.79,1.92,2.26,2.54,2.12,1.99,2.01,2.23,3.27,2.71,3.12,4.18,5.82,9.94,8.87,6.02,4.23,3.25,9.94,20
27 NO Trace,EL CAJON LES,.03,.06,.03,.00,.10,C,C,.15,.14,.32,.25,.42,.33,.46,.40,.47,.20,.09,.18,.11,.06,.43,.15,.03,.20,.47,15
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,M,M,M,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,159.6,155.2,C,C,C,146.8,157.5,152.2,150.3,M,C,C,146.5,178.1,182.9,202.4,198.6,199.8,273.4,335.6,338.8,347.1,303.4,230.2,214.3,347.1,21
BCarbon ug/m3,DOWNTOWN SES,.08,.06,.05,.10,.06,.06,.10,.10,.25,.20,.20,.12,.18,.16,.13,.23,.30,.35,.20,.25,.41,.61,.65,.56,.23,.65,22
RAINFALL,EL CAJON LES,.16,.07,.02,.08,.13,.07,.14,.19,.24,.21,.17,.05,.01,.16,.07,.17,.10,.00,.00,.00,.00,.00,.00,.00,.08,.24,08
