Current Date:,4/14/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
4/13/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.034,.035,C,C,.031,.033,.034,.035,.037,.036,.037,M,.036,.040,.042,.037,.037,.036,.035,.034,.031,.027,.030,.029,.034,.042,14
,CHULA VISTA,.031,.030,C,C,.030,.021,.016,M,M,M,M,.042,.041,.042,.041,.039,.037,.038,.036,.036,.034,.036,.026,.031,.033,.042,11
,DOWNTOWN SES,.029,.032,C,C,.023,.020,.019,.022,.032,.035,.039,.040,.042,.042,.040,.042,.041,.041,.041,.038,.035,.033,.034,.030,.034,.042,12
,EL CAJON LES,.029,.028,C,C,C,.026,.027,.030,.033,.035,.035,M,.040,.041,.039,.040,.039,.038,.037,.036,.029,.027,.030,.031,.033,.041,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.031,.030,C,C,.021,.020,.020,.028,.031,.034,.037,.038,M,M,M,.041,.041,.039,.038,.034,.027,.027,.018,.016,.030,.041,15
,OTAY MESA DVN,.028,.027,C,C,.027,.024,.029,.024,.025,.027,.034,.036,.038,.040,.041,.040,.038,.037,.037,.036,.033,.031,.032,.030,.032,.041,14
,PENDLETON,.035,.033,C,C,.022,.019,.018,.027,.033,.032,.038,.041,.041,.040,.039,.039,.040,.041,.040,.040,.039,.040,.039,.028,.034,.041,11
02 NOX PPM,ALPINE,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,CARMEL MT RCH,.005,.001,C,C,.002,.003,.003,.003,.024,.030,.038,.027,.021,.019,.019,.014,.014,.010,.008,.009,.014,.016,.008,.008,.013,.038,10
,CHULA VISTA,.001,.001,C,C,.002,.009,.023,M,M,M,M,.002,.003,.002,.002,.004,.006,.005,.006,.004,.004,.003,.008,.005,.005,.023,06
,DOWNTOWN SES,.003,.001,C,C,.006,.009,.011,.008,.007,.008,.004,.004,.001,.002,.004,.002,.002,.002,.002,.002,.004,.005,.003,.004,.004,.011,06
,EL CAJON LES,.001,.002,C,C,C,.002,.002,.001,.002,.002,.004,M,.002,.003,.004,.003,.003,.003,.002,.003,.006,.006,.004,.002,.003,.006,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.001,C,C,.007,.009,.012,.006,.005,.006,.005,.006,M,M,M,.001,.001,.001,.001,.002,.004,.006,.010,.006,.005,.012,06
,OTAY MESA DVN,.002,.001,C,C,.008,.019,.013,.011,.015,.013,.008,.006,.006,.004,.002,.002,.004,.002,.002,.003,.003,.005,.003,.003,.006,.019,05
,PENDLETON,.000,.001,C,C,.004,.007,.040,.007,.004,.006,.004,.002,.001,.001,.002,.002,.001,.000,.001,.001,.001,.001,.000,.005,.004,.040,06
03 NO2 PPM,ALPINE,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,CARMEL MT RCH,.004,.001,C,C,.001,.002,.003,.002,.012,.015,.020,.015,.011,.010,.010,.007,.008,.006,.005,.006,.009,.011,.006,.007,.008,.020,10
,CHULA VISTA,.000,.001,C,C,.002,.008,.016,M,M,M,M,.001,.002,.001,.001,.003,.005,.004,.005,.004,.003,.002,.008,.004,.004,.016,06
,DOWNTOWN SES,.003,.001,C,C,.006,.008,.009,.006,.005,.006,.003,.003,.000,.001,.003,.001,.002,.001,.001,.002,.003,.005,.003,.004,.003,.009,06
,EL CAJON LES,.001,.002,C,C,C,.002,.002,.001,.001,.001,.003,M,.002,.002,.003,.002,.002,.002,.002,.003,.006,.006,.004,.002,.002,.006,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.001,C,C,.006,.009,.011,.005,.004,.005,.004,.004,M,M,M,.001,.001,.001,.001,.002,.004,.006,.010,.006,.004,.011,06
,OTAY MESA DVN,.002,.001,C,C,.004,.011,.007,.009,.011,.010,.006,.005,.005,.003,.001,.002,.003,.002,.002,.003,.002,.004,.003,.003,.005,.011,05
,PENDLETON,.000,.001,C,C,.004,.006,.013,.004,.003,.004,.003,.001,.001,.001,.001,.001,.001,.000,.001,.001,.001,.001,.000,.005,.002,.013,06
04 NO PPM,ALPINE,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,CARMEL MT RCH,.002,.000,C,C,.000,.001,.001,.001,.012,.015,.018,.012,.009,.009,.009,.007,.006,.004,.003,.003,.005,.005,.003,.002,.006,.018,10
,CHULA VISTA,.001,.001,C,C,.001,.001,.007,M,M,M,M,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.001,.000,.001,.007,06
,DOWNTOWN SES,.000,.000,C,C,.000,.001,.002,.002,.001,.002,.001,.002,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.002,06
,EL CAJON LES,.000,.000,C,C,C,.000,.000,.000,.001,.001,.001,M,.000,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.001,.001,.001,.001,.001,.001,.001,M,M,M,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,05
,OTAY MESA DVN,.000,.000,C,C,.003,.008,.006,.002,.004,.003,.002,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.000,.000,.001,.008,05
,PENDLETON,.000,.000,C,C,.000,.001,.027,.003,.001,.002,.001,.000,.000,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.002,.027,06
06 CO PPM,CARMEL MT RCH,.2,.1,C,C,C,.1,.2,.2,.3,.3,C,.4,.4,.4,.5,.4,.4,.4,.3,.3,.3,.4,.3,.3,.3,.5,14
10 INTMP °C,ALPINE,23,23,23,23,23,23,23,23,23,23,22,23,22,23,24,24,24,25,25,25,25,25,25,25,24,25,17
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,25,25,25,25,26,25,26,26,26,26,26,26,26,26,26,26,26,00
,CHULA VISTA,27,27,27,27,27,27,24,M,25,27,26,26,25,25,25,26,26,26,26,26,26,26,26,26,26,27,00
,DOWNTOWN SES,24,24,24,25,24,24,25,25,25,25,24,24,24,23,24,24,24,24,24,24,24,24,25,24,24,25,03
,EL CAJON LES,26,27,27,27,27,27,27,26,26,27,26,26,26,26,26,26,26,26,27,26,27,27,27,27,27,27,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,26,26,26,26,26,26,26,27,26,25,26,26,26,25,26,26,26,26,26,26,26,26,26,27,09
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,00
,PENDLETON,27,27,27,27,27,27,26,26,25,25,25,24,24,25,25,25,25,25,26,26,26,26,26,26,26,27,00
11 PM2.5 µg/M3,ALPINE,.4,.9,1.6,3.6,1.9,2.2,2.2,.0,.2,.1,-2.1,7.7,5.8,5.8,3.7,10.1,10.5,10.2,6.2,4.5,4.4,4.6,5.4,1.6,3.8,10.5,16
,DOWNTOWN SES,1.5,1.0,-2.2,.0,2.5,2.7,2.2,5.2,4.7,9.2,6.8,4.1,3.0,2.3,1.2,1.3,4.9,6.9,7.8,5.9,4.1,5.4,6.0,4.8,3.8,9.2,09
,EL CAJON LES,1.8,4.1,2.7,-.6,1.6,2.8,2.8,3.3,3.1,2.7,4.5,2.6,.3,5.0,4.8,4.0,3.5,4.1,4.6,6.9,6.0,6.1,4.7,6.0,3.6,6.9,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,.9,.2,-.6,3.1,2.5,1.3,1.7,-.2,2.1,3.8,2.6,1.7,2.2,3.5,1.8,-.6,.9,3.6,3.1,2.8,5.9,5.5,3.3,1.1,2.1,5.9,20
,PENDLETON,2.5,1.6,1.4,.4,-1.7,-.1,.5,1.3,3.7,3.2,1.9,2.2,.5,6.1,9.1,6.1,6.0,4.1,4.5,5.9,6.0,5.7,3.2,3.5,3.2,9.1,14
12 VWDR °,ALPINE,176,186,197,187,212,246,223,145,183,242,238,269,228,303,300,305,298,283,284,307,351,281,291,299,0,351,20
,CHULA VISTA,223,218,259,132,141,127,105,M,198,194,184,227,214,262,281,289,294,295,303,331,323,332,8,0,0,332,21
,DOWNTOWN SES,266,212,188,107,83,85,88,104,161,166,174,197,201,228,284,306,304,308,313,322,316,341,346,337,0,346,22
,EL CAJON LES,197,250,251,232,152,126,80,152,192,213,211,196,189,218,262,279,301,293,294,314,271,241,319,328,0,328,23
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,232,175,136,129,106,111,106,118,154,152,150,178,215,231,281,296,298,289,297,317,321,332,11,28,0,332,21
,OTAY MESA DVN,189,194,157,217,123,112,124,230,155,221,252,264,269,247,280,298,301,278,287,307,295,321,327,334,0,334,23
,PENDLETON,197,147,134,77,78,54,69,78,49,216,230,234,222,231,286,298,293,285,285,297,296,290,288,323,0,323,23
13 SIGTHETA °,ALPINE,18,22,22,20,27,24,27,31,31,34,32,27,24,28,24,22,21,21,22,23,24,20,23,17,24,34,09
,CHULA VISTA,22,25,21,43,18,14,16,M,22,24,28,25,27,25,24,23,20,18,16,17,21,17,18,17,22,43,03
,DOWNTOWN SES,40,21,27,24,16,16,15,22,25,21,22,23,19,26,29,28,24,22,23,21,22,19,20,21,23,40,00
,EL CAJON LES,30,43,33,35,31,28,24,48,28,30,23,18,22,28,21,22,18,17,18,18,15,18,22,20,25,48,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,11,11,31,11,11,11,9,15,14,11,12,20,21,20,12,12,11,8,10,9,42,23,12,19,15,42,20
,OTAY MESA DVN,15,11,16,23,30,16,33,29,28,28,17,42,18,18,13,15,16,9,9,10,10,16,14,12,19,42,11
,PENDLETON,13,15,21,19,14,19,15,20,43,17,19,17,10,15,20,18,20,18,18,22,21,19,22,17,19,43,08
14 VWSP MPH,ALPINE,3.5,2.9,3.3,1.7,2.1,1.9,1.5,1.3,2.2,2.2,2.6,3.3,3.1,2.3,2.8,3.2,2.4,2.5,3.1,1.5,1.6,1.4,1.5,1.6,.0,3.5,00
,CHULA VISTA,3.2,2.4,3.9,.3,1.7,2.5,3.4,M,2.8,2.6,2.4,4.9,5.0,6.0,6.6,5.5,5.2,6.6,5.7,3.7,2.1,2.1,1.5,2.5,.0,6.6,14
,DOWNTOWN SES,2.2,4.2,1.9,.7,2.1,2.3,2.9,2.2,2.9,3.7,5.3,5.6,6.3,5.3,5.1,5.5,5.9,6.2,5.2,3.5,2.0,1.7,1.4,1.7,.0,6.3,12
,EL CAJON LES,1.7,1.2,.8,1.7,1.2,1.1,1.3,.9,3.4,3.2,4.7,5.4,3.6,3.2,4.5,4.3,5.4,4.9,4.5,3.2,2.7,2.0,2.3,2.8,.0,5.4,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,6.6,4.7,1.5,3.1,2.5,3.1,4.2,4.0,4.7,6.1,7.6,4.7,5.8,5.9,8.1,8.6,8.5,8.8,6.3,4.8,1.9,2.0,2.0,1.4,.0,8.8,17
,OTAY MESA DVN,3.5,3.6,3.1,2.1,1.4,2.1,2.0,1.9,2.4,2.6,5.5,4.0,5.5,6.3,6.8,5.9,4.5,7.4,6.7,4.7,4.6,4.0,3.6,4.2,.0,7.4,17
,PENDLETON,5.5,3.0,3.0,2.9,3.7,3.3,3.4,4.1,1.7,5.5,5.8,6.6,7.4,5.5,5.8,7.0,7.1,6.1,5.4,6.0,4.9,3.7,4.2,5.6,.0,7.4,12
15 SWSP MPH,ALPINE,3.7,3.1,3.6,1.9,2.7,2.1,1.7,1.8,2.9,2.6,3.3,3.8,3.5,2.9,3.0,3.5,2.6,2.7,3.4,1.7,1.8,1.5,1.6,1.7,2.6,3.8,11
,CHULA VISTA,3.6,2.8,4.1,1.0,1.9,2.6,3.5,M,3.1,3.0,2.9,5.5,5.5,6.6,7.1,5.9,5.5,6.9,6.0,3.9,2.2,2.3,1.5,2.7,3.9,7.1,14
,DOWNTOWN SES,2.6,4.6,2.2,.9,2.2,2.4,3.0,2.5,3.4,4.0,5.8,6.2,6.6,6.1,6.0,6.2,6.5,6.7,5.6,3.7,2.1,2.1,1.5,1.9,4.0,6.7,17
,EL CAJON LES,2.5,1.3,1.1,1.9,1.8,1.4,1.8,1.4,3.8,3.6,5.2,5.7,4.0,3.7,4.8,4.6,5.7,5.2,4.8,3.3,2.9,2.1,2.5,3.0,3.3,5.7,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,6.7,5.1,1.9,3.2,2.6,3.2,4.2,4.3,4.9,6.2,7.8,6.1,6.2,6.7,8.3,8.8,8.7,8.9,6.4,4.9,2.3,2.1,2.1,1.6,5.1,8.9,17
