,KEARNY MESA,.004,.003,C,C,.003,.005,.006,.005,.004,.004,.004,M,.003,.003,.005,.004,.005,.004,.004,.006,.007,.010,.014,.008,.005,.014,22
,OTAY MESA DVN,.003,.002,C,C,.002,.002,.002,.002,.002,.003,M,.005,.006,.007,.006,.007,.006,.006,.005,.007,.010,.009,.009,.011,.005,.011,23
,PENDLETON,.005,.012,C,C,.005,.006,.007,.004,.011,.006,.005,.004,.013,.007,.005,.001,.001,.001,.002,.011,.011,.008,.009,.008,.006,.013,12
03 NO2 PPM,ALPINE,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,CARMEL MT RCH,.007,.005,C,C,.011,.018,.018,.013,.010,M,.010,.011,.009,.010,.013,.011,.010,.009,.010,.016,.023,.021,.028,.018,.013,.028,22
,CHULA VISTA,.006,.004,C,C,.006,.008,.007,.006,.004,M,M,.006,.006,.007,.008,.009,.009,.009,.006,.004,.007,.011,.013,.012,.007,.013,22
,DOWNTOWN SES,.002,.004,C,C,.004,.007,.006,.004,.003,.003,.003,.004,.003,.003,.003,.003,.003,.004,.004,.007,.012,.016,.016,.016,.006,.016,21
,EL CAJON LES,.002,.002,C,C,C,.005,.008,.004,.002,.002,.003,M,M,M,M,M,.004,.004,.006,.009,.008,.008,.009,.009,.005,.009,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.004,.003,C,C,.003,.004,.004,.003,.003,.003,.003,M,.003,.003,.004,.003,.004,.003,.004,.006,.007,.010,.014,.008,.005,.014,22
,OTAY MESA DVN,.003,.002,C,C,.001,.001,.002,.001,.002,.002,M,.004,.004,.005,.005,.005,.005,.005,.005,.007,.009,.009,.009,.011,.005,.011,23
,PENDLETON,.005,.011,C,C,.004,.005,.005,.003,.006,.004,.003,.003,.007,.005,.003,.001,.001,.001,.002,.011,.011,.008,.008,.008,.005,.011,01
04 NO PPM,ALPINE,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,CARMEL MT RCH,.002,.000,C,C,.010,.019,.024,.013,.009,M,.009,.009,.007,.007,.008,.007,.005,.004,.003,.002,.002,.002,.004,.002,.007,.024,06
,CHULA VISTA,.000,.001,C,C,.001,.001,.002,.003,.002,M,M,.002,.002,.002,.002,.003,.002,.001,.000,.000,.000,.001,.001,.001,.001,.003,07
,DOWNTOWN SES,.000,.000,C,C,.000,.001,.002,.002,.001,.001,.001,.002,.001,.001,.001,.001,.001,.000,.000,.000,.001,.001,.001,.001,.001,.002,06
,EL CAJON LES,.000,.000,C,C,C,.000,.002,.002,.000,.001,.001,M,M,M,M,M,.001,.000,.000,.000,.000,.000,.000,.000,.000,.002,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.001,.001,.001,.001,.001,M,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
,OTAY MESA DVN,.000,.000,C,C,.001,.000,.001,.000,.001,.001,M,.001,.001,.002,.001,.001,.001,.001,.000,.000,.001,.001,.001,.001,.001,.002,13
,PENDLETON,.000,.001,C,C,.001,.001,.002,.001,.005,.002,.001,.001,.005,.002,.002,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.005,08
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.7,.7,.4,.4,M,.4,.4,.5,.4,.5,.5,.5,.4,.4,.5,.5,.6,.8,.5,.5,.8,22
10 INTMP °C,ALPINE,25,25,26,26,26,26,26,25,24,24,23,23,24,24,25,25,24,24,24,25,25,25,26,25,25,26,02
,CARMEL MT RCH,26,26,26,26,26,26,26,26,25,25,25,25,25,25,24,24,25,25,25,25,25,26,26,26,25,26,00
,CHULA VISTA,26,26,27,26,26,26,26,26,25,24,25,25,25,26,26,26,26,25,25,25,25,25,25,25,26,27,02
,DOWNTOWN SES,24,25,25,24,24,24,24,24,23,23,23,23,23,23,22,23,23,23,23,24,24,24,24,24,24,25,01
,EL CAJON LES,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,26,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,26,26,26,26,26,26,26,26,25,24,24,25,25,25,25,25,26,25,26,26,26,26,26,26,00
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,26,25,M,25,26,25,25,25,25,25,25,26,26,26,26,26,00
,PENDLETON,26,27,27,26,27,27,26,26,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,27,26,27,01
11 PM2.5 µg/M3,ALPINE,3.8,4.9,6.0,6.1,3.7,2.9,4.6,5.6,2.9,3.3,3.3,3.6,4.9,5.3,12.6,M,7.0,9.4,9.2,10.7,8.3,5.2,5.9,5.8,5.8,12.6,14
,DOWNTOWN SES,5.5,5.7,5.7,8.6,7.4,7.5,7.0,5.0,5.5,6.8,7.8,5.1,M,M,M,M,M,M,M,M,M,M,M,M,6.4,8.6,03
,EL CAJON LES,6.1,7.3,5.9,4.6,10.8,7.0,3.8,8.5,8.2,5.6,5.8,5.9,6.1,12.6,10.1,11.3,10.4,9.4,13.2,11.3,11.4,12.2,14.8,12.6,8.9,14.8,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,4.1,4.5,5.3,4.4,3.6,3.0,3.2,5.1,6.6,6.0,4.7,9.8,11.4,8.4,9.5,7.5,11.7,9.6,12.2,9.1,10.1,10.2,8.3,11.8,7.5,12.2,18
,PENDLETON,2.6,3.5,5.2,6.0,6.4,4.9,5.0,4.0,7.9,7.3,7.9,11.9,11.4,10.7,9.7,11.9,10.6,8.5,6.0,7.2,8.0,14.1,8.2,6.3,7.7,14.1,21
12 VWDR °,ALPINE,296,344,325,1,351,12,186,295,253,281,291,274,278,293,283,292,284,269,197,89,93,89,91,100,0,351,04
,CHULA VISTA,346,337,12,334,4,18,350,348,338,322,289,293,290,291,278,284,267,258,238,181,145,132,88,53,0,350,06
,DOWNTOWN SES,354,19,359,325,340,4,352,324,324,307,294,288,306,305,309,324,317,313,330,331,343,57,44,59,0,359,02
,EL CAJON LES,314,336,83,95,38,333,297,337,6,299,301,321,319,325,324,318,325,313,267,247,147,110,15,254,0,337,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,31,17,334,324,351,358,321,316,317,331,292,294,294,298,302,311,323,314,296,267,307,65,15,50,0,358,05
,OTAY MESA DVN,342,333,311,319,344,342,330,334,325,319,315,298,M,290,278,280,274,270,253,257,9,104,95,88,0,344,04
,PENDLETON,15,356,23,31,37,40,39,45,260,289,288,292,291,292,295,306,300,313,317,343,73,83,72,38,0,356,01
13 SIGTHETA °,ALPINE,21,32,30,20,26,32,34,37,50,30,27,27,32,31,28,24,23,30,27,43,15,22,20,27,29,50,08
,CHULA VISTA,17,24,17,15,18,20,21,24,25,30,22,23,17,18,19,18,17,18,21,19,14,14,33,46,21,46,23
,DOWNTOWN SES,17,16,18,20,18,19,20,23,37,34,25,23,22,21,21,23,22,23,26,22,20,20,18,12,22,37,08
,EL CAJON LES,22,24,32,34,15,23,31,29,42,45,49,48,35,21,19,18,18,27,21,21,28,36,44,29,30,49,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,12,8,56,12,11,12,12,13,22,28,17,15,14,14,14,15,13,9,15,27,38,48,14,7,19,56,02
,OTAY MESA DVN,12,14,12,14,14,12,25,15,17,22,27,15,M,17,14,13,17,10,18,47,27,41,13,29,19,47,19
,PENDLETON,15,13,12,39,14,11,11,32,22,18,23,19,20,19,20,16,19,15,12,15,20,17,24,35,19,39,03
14 VWSP MPH,ALPINE,1.7,1.4,1.0,.7,1.3,1.6,.5,2.0,1.8,3.0,4.2,4.9,4.4,4.5,5.0,5.1,4.7,2.6,.9,.9,2.7,3.1,2.7,1.3,.0,5.1,15
,CHULA VISTA,2.8,1.6,1.1,1.3,2.1,1.2,1.3,3.9,4.9,4.9,7.2,8.5,10.9,9.3,7.5,8.6,7.2,5.3,2.7,1.9,1.6,1.6,.3,1.0,.0,10.9,12
,DOWNTOWN SES,1.8,1.9,1.7,2.9,2.4,2.4,2.9,4.5,3.6,4.4,7.6,7.8,9.5,8.6,7.7,7.4,7.3,4.6,2.3,1.6,1.4,1.3,1.1,1.8,.0,9.5,12
,EL CAJON LES,2.1,1.2,.7,.3,1.2,.9,1.6,2.4,2.5,2.7,2.8,3.0,5.0,6.6,6.7,7.2,6.5,4.0,2.6,2.0,1.6,1.3,.2,.0,.0,7.2,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,2.1,2.4,.3,1.5,4.9,4.2,5.3,6.8,5.0,5.0,9.2,12.2,12.8,11.9,10.8,9.8,11.5,9.0,3.1,1.9,1.4,1.1,2.7,3.4,.0,12.8,12
,OTAY MESA DVN,5.1,3.3,3.0,3.1,3.2,3.1,2.0,5.0,7.4,6.6,4.9,8.7,M,9.2,9.6,9.0,5.6,5.0,1.9,.5,1.3,.9,1.7,1.1,.0,9.6,14
,PENDLETON,2.8,3.0,3.8,2.2,4.8,6.1,5.7,3.3,3.3,4.9,6.4,7.2,7.4,7.6,9.4,11.5,7.7,10.1,9.5,3.6,2.1,3.4,3.0,2.3,.0,11.5,15
15 SWSP MPH,ALPINE,1.8,1.7,1.1,.7,1.5,1.9,.9,2.3,2.5,3.5,4.7,5.6,5.2,5.1,5.5,5.6,5.1,3.0,1.3,1.7,2.8,3.4,2.9,1.5,3.0,5.6,11
,CHULA VISTA,2.9,1.7,1.2,1.5,2.2,1.3,1.4,4.2,5.4,5.6,7.7,9.1,11.3,9.8,8.0,9.1,7.5,5.5,3.1,2.0,1.7,1.7,.4,1.4,4.4,11.3,12
,DOWNTOWN SES,2.1,2.0,1.8,3.1,2.6,2.6,3.1,4.9,4.5,5.2,8.4,8.6,10.2,9.2,8.5,8.1,7.9,5.0,2.6,1.8,2.1,1.4,1.2,1.8,4.5,10.2,12
,EL CAJON LES,2.4,1.6,1.0,.4,1.2,.9,1.9,2.7,3.2,3.4,3.7,4.2,6.0,7.1,7.2,7.6,6.9,4.4,2.8,2.1,1.9,1.4,.6,.4,3.1,7.6,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.2,2.4,.4,1.6,5.0,4.3,5.4,7.1,5.6,5.8,9.6,12.6,13.2,12.2,11.2,10.3,11.7,9.2,3.4,2.0,2.5,1.6,2.9,3.5,6.1,13.2,12
,OTAY MESA DVN,5.3,3.4,3.1,3.2,3.4,3.3,2.3,5.2,7.9,7.0,5.4,9.0,M,9.6,9.8,9.2,5.8,5.1,2.0,1.0,1.6,1.4,2.2,1.3,4.7,9.8,14
,PENDLETON,3.1,3.1,3.9,2.5,5.0,6.2,5.8,3.7,3.5,5.2,7.0,7.6,7.9,8.1,10.0,11.9,8.2,10.5,9.8,3.8,2.5,3.5,3.4,3.1,5.8,11.9,15
16 AMBTEMP °F,ALPINE,50.1,49.6,49.4,49.4,49.3,48.1,49.1,52.1,55.4,60.0,63.9,67.6,70.1,71.6,71.8,70.8,69.5,67.5,64.4,61.7,59.8,59.8,60.6,59.4,59.6,71.8,14
,CARMEL MT RCH,54.5,54.6,54.8,55.0,54.9,55.0,55.5,57.0,59.1,62.1,66.1,67.9,68.0,68.7,69.0,67.5,65.6,63.8,61.5,60.3,58.5,57.9,58.0,57.4,60.5,69.0,14
,CHULA VISTA,57.8,57.4,57.3,57.3,57.5,57.8,58.4,61.1,63.4,66.0,67.2,68.3,68.5,69.5,71.1,69.5,68.1,65.5,62.3,60.9,59.9,59.2,58.8,57.7,62.5,71.1,14
,DOWNTOWN SES,57.8,57.4,57.8,58.0,58.2,58.2,58.6,60.5,62.4,64.7,65.5,66.6,67.2,68.5,69.9,69.4,67.5,66.2,64.5,63.4,62.2,61.2,59.8,59.2,62.7,69.9,14
,EL CAJON LES,56.0,56.3,56.1,56.0,56.2,56.2,57.6,59.4,62.7,65.6,68.8,72.9,75.2,75.8,75.8,75.7,73.9,70.6,67.2,63.9,61.4,59.7,58.6,57.1,64.1,75.8,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,54.8,55.8,56.1,56.7,56.7,56.2,57.5,59.4,61.2,63.8,65.6,65.7,65.5,65.9,66.5,66.4,65.4,63.9,61.5,60.3,58.2,57.6,57.2,56.8,60.6,66.5,14
,OTAY MESA DVN,55.5,55.6,55.4,55.4,55.5,55.8,56.9,58.7,60.3,63.2,66.2,67.9,M,70.4,71.3,70.2,67.2,63.8,58.6,58.2,58.1,57.8,58.0,58.0,60.8,71.3,14
,PENDLETON,55.9,56.1,54.9,55.1,53.9,52.6,54.2,58.1,60.2,61.7,62.8,63.4,63.5,64.0,64.2,63.8,63.4,62.4,61.1,60.5,59.8,59.1,58.4,56.8,59.4,64.2,14
17 RELHUM %,ALPINE,99,99,99,99,99,99,98,85,79,70,63,54,46,43,46,51,55,55,69,76,50,34,30,31,68,99,00
,EL CAJON LES,88,87,89,89,89,90,86,80,66,62,56,49,48,50,49,50,53,58,66,76,83,88,90,91,72,91,23
,KEARNY MESA,94,93,95,93,93,92,89,83,77,71,70,70,71,71,71,71,73,77,82,85,88,85,87,91,82,95,02
18 PRES mmHg,EL CAJON LES,752,752,752,752,752,752,752,753,752,752,752,751,751,750,750,750,750,750,750,751,751,752,751,751,751,753,07
,KEARNY MESA,753,753,753,753,753,753,753,754,754,753,753,753,752,752,751,751,751,751,751,752,752,753,753,752,752,754,07
19 SOLAR W/M2,EL CAJON LES,3,2,2,3,3,20,164,304,690,875,1010,1064,1041,951,791,584,341,107,1,-2,-2,-1,-1,0,331,1064,11
,KEARNY MESA,0,0,0,0,0,18,214,409,565,792,927,984,969,893,762,584,364,133,7,0,0,0,0,0,318,984,11
25 NOY,EL CAJON LES,2.83,3.17,2.95,3.24,4.88,C,C,6.26,3.12,4.32,4.73,4.66,4.85,5.21,5.76,6.45,6.81,6.19,7.80,10.40,8.65,9.62,10.48,10.17,6.02,10.48,22
26 NOY-NO,EL CAJON LES,2.81,3.14,2.95,3.22,4.87,C,C,4.71,2.59,3.40,3.89,4.03,4.25,4.55,5.13,5.50,6.11,5.84,7.61,10.16,8.60,9.59,10.34,9.95,5.60,10.34,22
27 NO Trace,EL CAJON LES,.01,.02,.00,.01,.01,C,C,1.54,.53,.92,.84,.63,.59,.66,.63,.95,.69,.34,.18,.23,.05,.02,.14,.21,.41,1.54,07
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.0,M,M,M,M,M,.1,.1,.0,.0,.0,.0,.0,.0,.0,.1,16
29 CO Tr PPB,EL CAJON LES,174.1,167.6,C,C,C,243.0,277.0,241.1,201.6,220.8,230.7,C,M,M,M,M,235.5,240.5,267.6,315.6,295.2,289.8,313.9,297.7,250.7,315.6,19
BCarbon ug/m3,DOWNTOWN SES,.13,.25,.17,.17,.17,.28,.28,.25,.22,.29,.31,.32,.32,.33,.37,.33,.30,.33,.32,.37,.50,.78,.73,.82,.35,.82,23
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
