Current Date:,4/30/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
4/29/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.048,.048,C,C,.047,.030,.028,M,M,.031,.037,.048,.058,.062,.066,.068,.059,.047,.041,.035,.030,.031,.027,.026,.043,.068,15
,CHULA VISTA,.017,.028,C,C,.028,.025,.023,.028,.027,.027,.032,.042,.050,.046,.050,.046,.042,.041,.039,.038,.038,.036,.037,.037,.035,.050,12
,DOWNTOWN SES,.031,.033,C,C,.036,.034,.031,.028,.025,.023,.034,.040,.043,.045,.046,.051,.045,.036,.042,.043,.041,.031,.040,.044,.037,.051,15
,EL CAJON LES,.018,.018,C,C,C,.021,.015,M,M,.030,.036,.039,.041,.048,.057,.052,.049,.043,.040,.035,.030,.027,.029,.037,.035,.057,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.038,.034,C,C,.020,.027,.024,.020,.020,.028,.035,.041,.051,.050,.050,.048,.044,.043,.043,.043,.039,.036,.037,.038,.036,.051,12
,OTAY MESA DVN,.021,.023,C,C,.019,.020,.021,.018,.024,.028,.032,.044,.056,.058,.056,.052,.045,.045,.040,.038,.035,.033,.033,.035,.035,.058,13
,PENDLETON,.031,.031,C,C,.039,.038,.036,.035,.035,.033,.038,.040,.035,.041,.043,.042,.044,.044,.045,.043,.042,.042,.043,.041,.039,.045,18
02 NOX PPM,ALPINE,.002,.002,C,C,.002,.011,.016,M,M,.006,.007,.006,.006,.007,.007,.009,.008,.007,.006,.007,.007,.008,.004,.004,.007,.016,06
,CARMEL MT RCH,.008,.005,C,C,.018,.020,.022,.018,.030,.025,.024,.025,.027,.023,.024,.022,.015,.011,.011,.009,.009,.009,.005,.005,.017,.030,08
,CHULA VISTA,.012,.006,C,C,.004,.006,.008,.005,.008,.009,.009,.007,.005,.004,.004,.003,.002,.003,.006,.006,.005,.006,.006,.005,.006,.012,00
,DOWNTOWN SES,.011,.009,C,C,.005,.005,.008,.011,.017,.022,.012,.010,.012,.006,.007,.005,.004,.010,.006,.004,.004,.015,.006,.002,.009,.022,09
,EL CAJON LES,.008,.007,C,C,C,.006,.006,M,M,.009,.010,.012,.016,.014,.010,.010,.009,.007,.006,.006,.006,.007,.006,.003,.008,.016,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.003,C,C,.013,.008,.009,.013,.018,.014,.010,.011,.005,.005,.004,.003,.006,.004,.003,.002,.004,.003,.003,.002,.007,.018,08
,OTAY MESA DVN,.008,.004,C,C,.006,.006,.007,.017,.010,.007,.007,.008,.006,.005,.004,.004,.003,.003,.002,.002,.003,.005,.004,.004,.006,.017,07
,PENDLETON,.004,.003,C,C,.003,.003,.005,.005,.006,.017,.012,.008,.018,.006,.003,.002,.001,.001,.001,.002,.003,.002,.001,.002,.005,.018,12
03 NO2 PPM,ALPINE,.002,.002,C,C,.002,.009,.012,M,M,.004,.005,.005,.005,.006,.006,.008,.007,.007,.005,.007,.007,.007,.004,.004,.006,.012,06
,CARMEL MT RCH,.006,.004,C,C,.010,.011,.013,.010,.014,.013,.013,.015,.017,.013,.014,.012,.008,.007,.007,.006,.006,.006,.004,.004,.010,.017,12
,CHULA VISTA,.011,.005,C,C,.004,.006,.007,.004,.007,.007,.007,.005,.004,.003,.003,.002,.002,.002,.005,.006,.005,.006,.006,.004,.005,.011,00
,DOWNTOWN SES,.011,.009,C,C,.005,.005,.008,.010,.015,.018,.010,.008,.010,.005,.006,.005,.003,.010,.006,.003,.004,.014,.006,.002,.008,.018,09
,EL CAJON LES,.008,.007,C,C,C,.006,.005,M,M,.007,.007,.009,.012,.011,.009,.008,.007,.006,.005,.006,.006,.006,.005,.003,.007,.012,12
