Current Date:,4/29/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
4/28/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.048,.049,C,C,.046,.043,M,M,.033,.038,.044,.055,.064,.071,.068,.067,.065,.061,.055,.047,.038,.036,.044,.045,.050,.071,13
,CHULA VISTA,.023,.021,C,C,.018,.017,.017,M,.020,.027,.040,.047,.045,.046,.046,.044,.043,.042,.041,.039,.038,.032,.032,.029,.033,.047,11
,DOWNTOWN SES,.036,.031,C,C,.018,.015,.017,.014,.015,.017,.033,.049,.047,.047,.046,.043,.043,.045,.041,.041,.030,.043,.041,.037,.034,.049,11
,EL CAJON LES,.013,.011,C,C,C,.009,M,M,M,M,M,M,M,M,M,.057,.054,.046,.035,.029,.026,.023,.020,.019,.028,.057,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.008,.008,C,C,.021,.019,.021,.023,.025,M,.038,.047,.053,.050,.048,.050,.049,.044,.037,.036,.034,.038,.042,.040,.034,.053,12
,OTAY MESA DVN,.022,.021,C,C,.015,.014,.015,.018,.024,.029,.039,M,.051,.049,.052,.050,.046,.043,.037,.034,.032,.033,.031,.025,.032,.052,14
,PENDLETON,.013,.013,C,C,.014,.010,.012,.024,.030,.035,.038,.042,.040,.039,.043,.046,.045,.046,.045,.045,.043,.037,.033,.034,.033,.046,15
02 NOX PPM,ALPINE,.002,.002,C,C,.002,.007,M,M,.010,.007,.004,.005,.006,.008,.006,.005,.004,.004,.005,.006,.010,.008,.005,.003,.005,.010,08
,CARMEL MT RCH,.010,.009,C,C,.037,.034,.035,.043,.040,.031,.023,.021,.023,.020,.027,.022,.017,.012,.014,.012,.007,.008,.009,.006,.021,.043,07
,CHULA VISTA,.005,.005,C,C,.006,.009,.008,M,.015,.012,.008,.005,.003,.003,.003,.003,.003,.002,.002,.002,.003,.007,.007,.011,.006,.015,08
,DOWNTOWN SES,.002,.004,C,C,.008,.012,.011,.016,.021,.030,.022,.005,.003,.004,.005,.006,.005,.004,.008,.005,.019,.003,.005,.006,.009,.030,09
,EL CAJON LES,.006,.006,C,C,C,.010,M,M,M,M,M,M,M,M,M,.006,.007,.009,.010,.011,.012,.011,.012,.010,.009,.012,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.014,.009,C,C,.006,.009,.010,.014,.016,M,.011,.007,.004,.003,.003,.003,.003,.003,.004,.004,.004,.003,.003,.003,.006,.016,08
,OTAY MESA DVN,.006,.003,C,C,.005,.004,.005,.007,.005,.007,.008,M,.004,.003,.003,.003,.003,.003,.003,.003,.003,.002,.003,.010,.004,.010,23
,PENDLETON,.009,.007,C,C,.006,.009,.024,.007,.005,.005,.003,.002,.007,.011,.004,.001,.001,.000,.002,.002,.002,.003,.005,.004,.005,.024,06
03 NO2 PPM,ALPINE,.002,.002,C,C,.002,.005,M,M,.007,.005,.003,.004,.005,.007,.005,.004,.004,.004,.004,.006,.009,.008,.004,.003,.005,.009,20
,CARMEL MT RCH,.009,.008,C,C,.012,.012,.012,.015,.016,.014,.011,.012,.013,.012,.016,.014,.010,.008,.009,.009,.005,.006,.007,.005,.011,.016,08
,CHULA VISTA,.004,.005,C,C,.005,.008,.007,M,.009,.008,.007,.004,.002,.002,.002,.002,.002,.002,.002,.002,.003,.007,.007,.010,.005,.010,23
,DOWNTOWN SES,.002,.004,C,C,.008,.011,.010,.013,.015,.016,.013,.004,.003,.003,.004,.005,.004,.004,.007,.005,.015,.003,.005,.006,.007,.016,09
,EL CAJON LES,.006,.006,C,C,C,.008,M,M,M,M,M,M,M,M,M,.005,.006,.008,.010,.010,.012,.011,.011,.010,.009,.012,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.013,.009,C,C,.006,.009,.009,.011,.012,M,.008,.006,.004,.002,.003,.003,.003,.003,.004,.003,.004,.003,.002,.003,.006,.013,00
,OTAY MESA DVN,.004,.002,C,C,.004,.003,.004,.005,.003,.005,.006,M,.003,.003,.002,.002,.003,.003,.003,.002,.002,.002,.002,.007,.003,.007,23
,PENDLETON,.009,.007,C,C,.006,.007,.010,.005,.004,.004,.003,.001,.004,.006,.002,.001,.001,.001,.002,.002,.002,.003,.005,.004,.004,.010,06
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,M,M,.003,.002,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.003,08
,CARMEL MT RCH,.002,.001,C,C,.025,.021,.023,.028,.024,.016,.011,.009,.010,.008,.011,.008,.007,.004,.005,.004,.002,.002,.002,.002,.010,.028,07
,CHULA VISTA,.001,.001,C,C,.001,.002,.001,M,.006,.004,.002,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.006,08
,DOWNTOWN SES,.000,.000,C,C,.000,.001,.001,.003,.007,.014,.008,.001,.001,.001,.001,.001,.001,.000,.000,.000,.004,.000,.000,.000,.002,.014,09
,EL CAJON LES,.000,.000,C,C,C,.002,M,M,M,M,M,M,M,M,M,.001,.001,.001,.001,.000,.000,.000,.000,.000,.001,.002,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.001,.000,C,C,.000,.001,.001,.002,.004,M,.003,.001,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.004,08
,OTAY MESA DVN,.002,.000,C,C,.000,.001,.001,.002,.002,.002,.002,M,.001,.001,.001,.001,.001,.001,.000,.000,.000,.001,.001,.003,.001,.003,23
,PENDLETON,.000,.000,C,C,.000,.001,.014,.001,.001,.002,.001,.000,.003,.005,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.014,06
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.6,.6,.5,.5,.5,.4,.4,.4,.4,.6,.5,.5,.4,.4,.3,.3,.3,.3,.3,.4,.6,05
