Current Date:,9/3/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
9/2/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.016,.012,C,C,.012,.014,.012,.016,.026,.036,.045,.059,.069,.072,.069,.062,.052,.046,.039,.033,.031,.027,.024,.020,.036,.072,13
,CHULA VISTA,.026,.019,C,C,.026,.030,.031,.031,.035,.038,.044,.047,.049,.043,.039,.037,.036,.036,.035,.034,.034,.036,.035,.034,.035,.049,12
,DOWNTOWN SES,.029,.032,C,C,.034,.035,.035,.033,.035,.040,.045,.048,.047,.041,.039,.037,.036,.039,.036,.037,.037,.038,.038,.037,.037,.048,11
,EL CAJON LES,.029,.027,.026,.025,.026,.025,.023,C,C,C,.050,.061,.064,.060,.053,.047,P,.040,.036,.034,.031,.027,.027,.027,.036,.064,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.033,.035,C,C,.036,.035,.037,.036,.040,.044,.048,.053,.051,.046,.044,.041,.042,.040,.041,.040,.040,.037,.035,.035,.040,.053,11
,OTAY MESA DVN,.023,.020,C,C,.019,M,M,M,M,M,M,M,.055,.054,.047,.042,.039,.037,.035,.033,.028,.032,.033,.028,.035,.055,12
,PENDLETON,.024,.019,C,C,.010,.009,.012,.019,.030,.038,.040,.040,.041,.038,.037,.036,.038,.038,.037,.037,.037,.028,.032,.038,.030,.041,12
02 NOX PPM,ALPINE,.008,.010,C,C,.011,.014,.019,.015,.007,.007,.005,.004,.004,.004,.004,.004,.004,.004,.005,.007,.006,.006,.007,.008,.007,.019,06
,CARMEL MT RCH,.006,.010,C,C,.016,.024,.030,.027,.025,.021,.023,.021,.020,.019,.022,.019,.016,.015,.014,.014,.014,.014,.009,.009,.018,.030,06
,CHULA VISTA,.003,.008,C,C,.004,.004,.004,.005,.006,.008,.004,.003,.003,.002,.002,.002,.002,.002,.002,.002,.002,.001,.002,.003,.003,.008,01
,DOWNTOWN SES,.004,.003,C,C,.003,.004,.005,.006,.006,.006,.005,.005,.004,.003,.002,.003,.003,.003,.005,.004,.003,.002,.002,.002,.004,.006,07
,EL CAJON LES,.003,.002,.004,.005,.003,.003,.004,C,C,C,.004,.011,.004,.004,.004,.004,P,.003,.003,.005,.004,.005,.004,.003,.004,.011,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.001,.001,C,C,.002,.003,.003,.004,.004,.005,.005,.004,.003,.003,.002,.002,.002,.002,.002,.003,.004,.004,.005,.003,.003,.005,09
,OTAY MESA DVN,.003,.003,C,C,.004,M,M,M,M,M,M,M,.004,.003,.003,.002,.002,.002,.002,.002,.004,.003,.002,.002,.003,.004,04
,PENDLETON,.008,.006,C,C,.011,.019,.013,.012,.007,.005,.004,.002,.008,.011,.009,.011,.003,.004,.004,.001,.002,.009,.006,.002,.007,.019,05
03 NO2 PPM,ALPINE,.007,.009,C,C,.009,.010,.012,.008,.004,.004,.004,.003,.003,.003,.003,.003,.003,.003,.004,.006,.005,.005,.006,.007,.006,.012,06
,CARMEL MT RCH,.005,.007,C,C,.010,.013,.016,.015,.014,.013,.014,.013,.012,.010,.011,.011,.009,.008,.009,.010,.010,.009,.007,.008,.011,.016,06
,CHULA VISTA,.003,.008,C,C,.004,.004,.004,.004,.005,.006,.003,.003,.003,.002,.002,.002,.002,.002,.002,.002,.002,.001,.002,.003,.003,.008,01
,DOWNTOWN SES,.004,.003,C,C,.003,.004,.004,.006,.005,.005,.004,.004,.003,.002,.002,.002,.002,.002,.004,.004,.002,.002,.002,.002,.003,.006,07
,EL CAJON LES,.002,.003,.004,.005,.003,.003,.004,C,C,C,.004,.011,.004,.004,.003,.003,.003,.003,.003,.005,.004,.005,.004,.003,.004,.011,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.001,.001,C,C,.002,.003,.003,.004,.004,.004,.004,.004,.003,.003,.002,.002,.002,.002,.002,.003,.004,.004,.005,.003,.003,.005,22
,OTAY MESA DVN,.003,.003,C,C,.004,M,M,M,M,M,M,M,.003,.003,.002,.002,.002,.002,.002,.002,.004,.003,.002,.002,.003,.004,04
,PENDLETON,.008,.006,C,C,.010,.016,.009,.007,.005,.003,.002,.002,.004,.004,.005,.006,.002,.003,.004,.002,.002,.009,.006,.002,.005,.016,05
04 NO PPM,ALPINE,.001,.001,C,C,.001,.004,.006,.007,.003,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.007,07
,CARMEL MT RCH,.001,.003,C,C,.006,.010,.014,.012,.011,.009,.009,.008,.008,.009,.010,.008,.007,.007,.005,.004,.004,.004,.002,.001,.007,.014,06
,CHULA VISTA,.000,.000,C,C,.000,.000,.000,.000,.001,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,09
,DOWNTOWN SES,.000,.000,C,C,.000,.000,.001,.001,.001,.001,.001,.001,.001,.001,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
,EL CAJON LES,.000,.000,.000,.000,.000,.000,.000,C,C,C,.001,.000,.000,.000,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.000,.000,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,08
,OTAY MESA DVN,.000,.000,C,C,.001,M,M,M,M,M,M,M,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,04
,PENDLETON,.000,.000,C,C,.001,.003,.004,.004,.002,.001,.002,.000,.003,.007,.005,.005,.001,.001,.000,.000,.000,.000,.000,.000,.002,.007,13
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.5,.6,.5,.4,.4,.5,.4,.5,.5,.5,.6,.5,.5,.4,.4,.4,.4,.4,.3,.4,.6,06
10 INTMP °C,ALPINE,26,26,26,26,26,26,26,25,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,26,00
,CARMEL MT RCH,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,00
,CHULA VISTA,25,25,25,25,26,25,25,25,25,26,26,25,25,25,25,25,25,25,25,25,25,25,26,26,25,26,04
,DOWNTOWN SES,26,26,26,26,26,26,25,24,24,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,26,00
,EL CAJON LES,27,27,27,27,27,27,27,27,27,27,26,26,27,26,26,26,P,27,27,27,27,27,27,27,27,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,27,27,27,27,26,26,27,26,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,27,26,27,00
,OTAY MESA DVN,26,26,26,26,26,26,26,25,25,25,25,25,24,24,24,24,24,24,24,25,25,25,25,25,25,26,00
,PENDLETON,26,26,26,26,26,26,26,25,25,25,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,26,00
11 PM2.5 µg/M3,ALPINE,9.0,8.8,6.6,4.9,5.3,5.5,8.5,7.6,5.3,9.7,9.0,10.3,6.6,15.4,15.2,9.2,19.3,14.2,14.1,12.2,10.7,9.9,9.1,9.8,9.8,19.3,16
,DOWNTOWN SES,7.3,5.8,6.2,6.7,6.3,7.9,9.0,11.0,9.0,9.8,12.3,11.8,9.9,11.5,9.1,6.2,6.6,8.6,6.6,8.2,9.1,8.0,8.7,8.7,8.5,12.3,10
,EL CAJON LES,6.7,5.7,5.4,5.4,7.8,7.2,6.0,7.7,10.2,9.5,9.3,14.0,11.8,13.1,10.8,10.0,11.6,8.8,9.9,6.8,6.7,9.0,7.9,5.6,8.6,14.0,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,4.4,7.6,7.8,7.2,11.5,9.6,12.0,14.3,8.7,8.3,12.2,16.8,13.5,11.5,11.1,10.4,8.2,8.8,11.7,8.7,9.5,8.5,8.2,8.1,9.9,16.8,11
,PENDLETON,2.7,7.7,10.2,8.1,6.4,11.0,8.8,11.1,11.9,11.8,9.9,12.3,8.3,10.2,8.2,10.8,10.7,7.9,11.6,8.7,7.7,8.0,9.6,7.3,9.2,12.3,11
12 VWDR °,ALPINE,50,252,160,191,161,39,247,344,325,323,347,333,349,348,341,340,17,16,337,313,322,353,287,206,0,353,21
,CHULA VISTA,341,29,17,18,6,15,14,4,336,271,270,268,274,268,273,274,275,284,268,244,235,236,270,265,0,341,00
,DOWNTOWN SES,337,352,356,327,336,357,2,341,309,284,283,284,283,280,285,287,289,292,307,287,240,224,236,138,0,357,05
,EL CAJON LES,11,12,15,8,27,42,70,63,9,20,322,318,350,332,326,326,329,333,331,309,290,288,293,238,0,350,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,330,337,343,325,342,334,354,320,341,332,289,302,307,300,302,297,298,290,282,284,298,298,149,147,0,354,06
,OTAY MESA DVN,22,7,349,6,25,0,17,349,310,315,302,287,284,285,286,282,278,275,273,274,264,271,322,350,0,350,23
,PENDLETON,6,26,30,28,23,6,19,328,290,290,289,286,285,286,288,293,288,294,305,319,305,0,11,286,0,328,07
13 SIGTHETA °,ALPINE,66,41,40,34,23,40,52,24,25,32,31,34,32,28,33,32,25,23,25,20,18,23,50,36,33,66,00
,CHULA VISTA,17,14,14,16,21,23,22,25,34,38,20,20,20,19,20,19,21,19,18,17,17,28,28,37,22,38,09
,DOWNTOWN SES,15,16,18,25,24,21,30,31,41,25,17,18,18,17,20,24,22,22,29,33,19,18,27,50,24,50,23
,EL CAJON LES,18,16,19,22,<,33,23,35,60,60,56,43,25,16,P,15,P,15,16,21,13,15,13,17,26,60,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,8,10,12,15,20,16,17,21,38,32,21,17,20,16,15,18,13,11,10,9,6,9,44,31,18,44,22
,OTAY MESA DVN,20,35,39,16,47,17,16,20,25,25,18,16,15,15,14,14,13,10,8,10,10,13,20,19,19,47,04
,PENDLETON,11,10,11,11,9,11,9,19,18,18,19,18,18,17,18,18,18,18,19,20,23,15,19,39,17,39,23
14 VWSP MPH,ALPINE,.2,.3,.3,.1,1.1,.4,.1,2.3,3.1,3.3,3.9,4.1,4.7,5.7,4.7,4.3,4.2,3.2,1.8,1.2,1.0,.9,.3,.6,.0,5.7,13
,CHULA VISTA,1.2,.8,.9,2.1,2.3,3.1,3.5,3.3,2.8,4.4,8.3,8.7,9.5,9.5,9.1,9.0,8.3,6.5,4.6,3.0,2.9,2.2,1.7,1.0,.0,9.5,12
,DOWNTOWN SES,2.1,2.9,2.3,2.4,2.6,3.3,2.9,2.9,3.2,5.5,9.4,9.7,10.0,10.5,8.9,7.5,7.4,5.9,3.4,2.2,3.2,3.2,1.7,1.1,.0,10.5,13
,EL CAJON LES,2.1,1.7,1.8,1.8,2.4,1.6,2.9,2.3,1.9,1.3,2.0,3.6,5.8,7.2,7.2,6.4,P,5.5,4.9,2.7,3.4,2.5,2.0,2.1,.0,7.2,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,4.7,5.7,5.8,4.6,3.4,3.8,4.8,4.9,3.6,4.8,9.3,9.3,9.1,10.4,10.3,8.7,9.4,7.5,5.1,2.9,2.4,2.7,.2,2.1,.0,10.4,13
