,OTAY MESA DVN,.005,C,C,.004,.004,.006,.007,.008,.009,.005,.004,.005,.004,.003,.003,.002,.002,.002,.003,.003,.002,.003,.002,.003,.004,.009,08
,PENDLETON,.001,C,C,.001,.002,.002,.003,<,P,,,,,,,P,.001,.000,.000,.001,.008,.007,.003,.005,.003,.008,20
03 NO2 PPM,ALPINE,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,CARMEL MT RCH,.004,C,C,.005,.005,.007,.005,.008,.008,.007,.007,.008,.010,.009,.011,.010,.010,.011,.008,.008,.008,.009,.007,.012,.008,.012,23
,CHULA VISTA,.007,C,C,.005,.003,.003,.003,.004,.004,.005,.005,.004,.002,.001,.001,.001,.001,.001,.002,.002,.002,.004,.008,.009,.004,.009,23
,DOWNTOWN SES,.005,C,C,.004,.004,.004,.005,.006,.007,.009,.006,.005,.003,.003,.002,.003,.004,.006,.009,.007,.008,.009,.009,.008,.006,.009,09
,EL CAJON LES,.004,C,C,C,.003,.003,.003,.003,.004,.004,.004,.004,.006,.005,.005,.004,.004,.003,.004,.005,.006,.006,.006,.006,.004,.006,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,C,C,.003,.003,.003,.003,.003,.004,.006,.005,.004,.004,.004,.003,.003,.002,.004,.005,.005,.005,.005,.006,.006,.004,.006,09
,OTAY MESA DVN,.005,C,C,.004,.005,.006,.007,.007,.007,.005,.004,.005,.004,.003,.002,.002,.002,.003,.003,.003,.002,.002,.002,.003,.004,.007,06
,PENDLETON,.001,C,C,.001,.002,.002,.002,<,P,,,,,,,P,.001,.001,.000,.001,.008,.008,.004,.006,.003,.008,20
04 NO PPM,ALPINE,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,CARMEL MT RCH,.001,C,C,.001,.001,.002,.002,.004,.005,.005,.004,.005,.005,.004,.004,.004,.004,.006,.004,.004,.003,.004,.002,.003,.004,.006,17
,CHULA VISTA,.000,C,C,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,00
,DOWNTOWN SES,.000,C,C,.000,.000,.000,.000,.001,.002,.004,.001,.001,.000,.000,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.004,09
,EL CAJON LES,.000,C,C,C,.000,.000,.000,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,C,C,.000,.000,.000,.000,.000,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,09
,OTAY MESA DVN,.000,C,C,.000,.000,.000,.000,.001,.002,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,08
,PENDLETON,.000,C,C,.000,.000,.000,.000,<,P,,,,,,,P,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,00
06 CO PPM,CARMEL MT RCH,.3,C,C,.3,.3,.4,.4,.5,.5,.5,.6,.6,.6,.7,.6,.6,.6,.6,.5,.5,.4,.5,.5,.5,.5,.7,13
10 INTMP °C,ALPINE,26,26,26,26,26,26,26,25,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,26,00
,CARMEL MT RCH,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,00
,CHULA VISTA,25,25,25,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,04
,DOWNTOWN SES,24,25,25,25,24,25,25,25,25,24,24,23,23,23,23,23,24,24,24,24,24,24,25,24,24,25,01
,EL CAJON LES,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,27,27,27,27,27,27,27,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,25,25,25,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,25,25,26,00
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,24,24,24,25,25,25,26,26,26,25,26,00
,PENDLETON,26,26,26,26,26,26,26,-35,-50,,,,,,,P,25,25,25,25,25,25,25,26,18,26,00
11 PM2.5 µg/M3,ALPINE,9.4,7.3,9.9,7.8,9.5,9.2,6.4,2.1,3.5,7.0,7.0,10.8,11.3,19.2,17.6,19.8,22.1,15.3,15.6,16.5,18.4,20.6,20.0,12.1,12.4,22.1,16
,DOWNTOWN SES,13.5,13.5,11.8,14.5,12.4,17.6,16.3,18.2,17.3,13.2,19.8,22.6,12.2,11.3,9.3,10.5,9.8,9.8,8.8,8.9,9.4,8.4,8.1,6.6,12.6,22.6,11
,EL CAJON LES,16.8,13.2,12.2,13.3,12.2,7.7,9.4,12.7,15.1,17.2,16.9,19.1,23.5,23.4,17.6,10.4,10.1,10.2,9.3,12.3,16.7,12.1,10.4,8.3,13.7,23.5,12
,ESCONDIDO,16.8,13.2,12.2,13.3,12.2,7.7,9.4,12.7,15.1,17.2,16.9,19.1,23.5,23.4,17.6,10.4,10.1,10.2,9.3,12.3,16.7,12.1,10.4,8.3,13.7,23.5,12
,OTAY MESA DVN,12.7,11.5,11.3,12.2,12.7,17.4,21.8,22.2,28.9,16.4,15.8,28.6,19.3,12.1,15.5,14.4,9.4,5.2,3.7,7.3,8.8,5.9,3.1,6.6,13.4,28.9,08
,PENDLETON,8.0,7.7,13.4,9.1,10.0,11.8,9.6,M,,,,,,,,M,7.2,8.1,7.8,8.6,8.4,12.9,7.2,7.8,9.1,13.4,02
12 VWDR °,ALPINE,215,358,161,145,126,108,63,259,343,342,356,350,332,322,358,351,17,23,48,211,100,44,20,57,0,358,01
,CHULA VISTA,34,41,62,99,88,76,100,185,220,250,267,246,257,256,250,259,248,253,263,297,312,333,17,47,0,333,21
,DOWNTOWN SES,195,203,238,115,22,68,23,37,231,231,234,202,209,204,209,217,220,219,227,237,11,2,348,6,0,348,22
,EL CAJON LES,179,151,176,160,158,151,164,167,242,348,297,312,305,313,297,289,275,272,269,263,329,334,52,149,0,348,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,148,78,92,113,137,69,338,334,241,264,253,236,234,236,232,225,232,242,280,303,309,326,19,20,0,338,06
,OTAY MESA DVN,351,21,344,337,338,333,326,351,310,292,294,297,282,288,286,289,291,314,321,337,341,359,5,35,0,359,21
,PENDLETON,151,168,185,205,22,24,49,51,0,,,,,,,P,226,223,239,312,11,22,34,51,0,312,19
13 SIGTHETA °,ALPINE,40,44,22,41,20,29,25,27,19,26,30,30,30,35,30,28,26,24,35,50,71,44,46,16,33,71,20
,CHULA VISTA,45,28,22,31,28,42,43,38,61,36,27,27,24,26,23,26,26,20,19,20,16,36,13,15,29,61,08
,DOWNTOWN SES,24,21,22,68,46,43,31,41,36,28,29,18,26,23,23,22,22,26,25,30,40,44,13,25,30,68,03
,EL CAJON LES,26,23,18,16,17,17,16,43,90,50,41,33,25,26,26,26,23,18,16,24,48,25,27,<,29,90,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,37,16,14,24,48,34,48,59,53,41,32,19,20,26,24,21,18,15,16,6,6,25,7,5,26,59,07
,OTAY MESA DVN,19,18,14,14,11,14,20,45,39,35,25,22,22,21,16,17,15,14,13,10,10,14,21,26,20,45,07
,PENDLETON,21,44,34,29,13,11,13,13,0,,,,,,,P,20,25,32,42,8,7,8,10,19,44,01
14 VWSP MPH,ALPINE,.2,.4,.8,.3,1.0,.5,.3,.6,2.7,3.5,3.7,4.2,4.3,4.4,4.2,4.2,3.3,2.0,1.0,.6,.7,.7,.9,2.1,.0,4.4,13
,CHULA VISTA,.7,1.2,2.4,1.6,1.6,1.0,.9,1.5,1.1,3.1,4.7,5.2,6.0,6.0,5.8,5.2,4.4,3.9,2.7,1.8,1.0,.4,.3,.7,.0,6.0,12
,DOWNTOWN SES,3.0,2.2,2.4,.6,.4,1.1,2.3,1.9,3.5,4.0,6.2,7.7,6.2,6.5,6.3,6.0,5.2,3.8,2.6,1.0,.8,.8,1.5,1.0,.0,7.7,11
,EL CAJON LES,2.3,2.1,2.6,3.0,2.9,2.8,3.4,1.7,.1,1.8,3.0,4.4,5.7,5.7,5.2,4.8,4.3,3.6,2.7,1.3,.8,1.4,.6,.9,.0,5.7,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,2.6,2.7,2.8,2.0,.7,1.7,2.1,.9,1.7,3.7,5.5,9.3,7.8,6.0,6.3,6.4,6.1,4.3,3.1,3.6,3.0,1.3,2.2,3.4,.0,9.3,11
,OTAY MESA DVN,2.5,2.0,3.4,2.7,3.5,3.2,3.7,.8,2.4,3.6,6.2,6.6,7.6,7.4,8.3,7.0,5.9,5.7,5.0,4.6,3.8,2.7,2.2,1.3,.0,8.3,14
,PENDLETON,2.5,1.5,1.6,.8,4.1,5.0,4.9,.9,.0,,,,,,,P,4.3,3.2,1.7,.7,1.6,2.9,3.2,3.2,.0,5.0,05
15 SWSP MPH,ALPINE,1.0,.6,.9,.9,1.3,.6,.8,1.3,2.9,3.9,4.1,4.7,5.0,5.4,4.8,4.8,3.7,2.1,1.5,1.0,1.4,1.0,1.3,2.2,2.4,5.4,13
,CHULA VISTA,1.3,1.6,2.6,1.9,2.0,1.8,1.3,1.9,1.8,3.8,5.2,5.7,6.4,6.6,6.3,5.7,4.9,4.2,3.0,1.9,1.0,.5,.3,.8,3.0,6.6,13
,DOWNTOWN SES,3.3,2.5,2.6,1.6,1.1,1.7,2.6,2.2,4.0,4.7,6.9,8.2,6.9,7.0,6.9,6.5,5.7,4.2,2.9,1.2,1.0,1.1,1.5,1.1,3.6,8.2,11
,EL CAJON LES,2.6,2.2,2.8,3.1,3.0,3.0,3.5,2.3,1.9,2.6,3.7,5.2,6.2,6.3,5.8,5.3,4.7,3.9,2.8,1.5,1.4,1.6,1.2,1.0,3.2,6.3,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.0,2.9,3.0,2.6,1.7,2.5,2.5,2.1,3.0,4.6,6.3,9.8,8.2,6.8,6.8,6.9,6.4,4.6,3.4,3.6,3.0,1.5,2.2,3.4,4.2,9.8,11
,OTAY MESA DVN,2.6,2.1,3.6,2.8,3.5,3.3,3.9,1.5,2.8,4.1,6.7,7.0,8.1,7.9,8.6,7.4,6.2,5.9,5.2,4.7,3.9,2.8,2.3,1.6,4.5,8.6,14
,PENDLETON,3.3,2.1,2.1,2.2,4.2,5.1,5.0,1.0,.0,,,,,,,P,4.6,3.5,1.9,1.1,1.7,2.9,3.2,3.3,2.8,5.1,05
16 AMBTEMP °F,ALPINE,62.6,64.9,64.1,63.6,67.9,70.1,70.1,74.5,73.8,75.1,76.5,79.1,81.2,80.6,78.7,77.6,74.9,71.0,68.1,66.7,66.7,68.2,68.8,70.6,71.5,81.2,12
,CARMEL MT RCH,64.5,63.9,63.6,63.6,63.8,63.7,63.4,64.0,66.3,69.9,72.9,75.3,77.4,77.2,78.6,76.9,74.1,69.0,66.2,65.0,64.6,64.4,63.9,63.3,68.1,78.6,14
,CHULA VISTA,65.6,65.6,65.4,65.2,64.7,64.4,64.5,65.5,67.4,70.3,70.9,71.8,72.4,72.3,71.9,71.2,70.1,68.1,67.4,67.2,67.0,66.6,65.8,65.1,67.8,72.4,12
,DOWNTOWN SES,66.1,65.8,65.5,65.5,65.7,65.9,66.1,66.7,67.4,68.8,70.5,70.1,70.7,71.0,70.8,70.4,69.3,68.1,67.5,67.2,67.4,67.2,66.9,66.3,67.8,71.0,13
,EL CAJON LES,65.5,65.2,64.8,64.4,63.7,63.6,63.3,65.3,69.9,74.5,77.7,80.7,80.4,80.3,79.7,78.1,75.7,71.5,69.0,67.5,67.1,66.6,65.9,64.1,70.2,80.7,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,65.8,65.3,65.1,64.7,64.5,64.6,64.7,65.9,68.6,72.7,75.6,75.8,75.4,75.6,75.0,73.7,71.9,69.5,67.2,66.0,65.5,64.8,63.9,63.5,68.6,75.8,11
,OTAY MESA DVN,63.0,62.6,62.2,61.7,61.5,61.6,61.5,62.0,65.8,71.2,74.7,75.3,77.2,76.7,75.6,73.7,72.3,69.0,66.6,65.2,64.4,64.1,63.9,63.7,67.3,77.2,12
,PENDLETON,67.8,67.6,67.5,67.2,66.7,66.1,66.4,-33.6,-58.0,,,,,,,P,70.0,69.0,68.4,68.0,67.2,66.1,65.4,64.9,53.9,70.0,16
17 RELHUM %,ALPINE,62,50,52,51,44,36,32,27,41,44,46,41,40,46,49,51,57,66,72,74,72,69,67,61,52,74,19
,EL CAJON LES,91,91,93,92,92,90,89,84,73,63,56,52,54,54,56,59,64,74,81,85,86,86,87,91,77,93,02
,KEARNY MESA,90,91,91,92,92,92,90,86,79,69,63,64,64,64,65,68,72,77,83,88,89,91,90,92,81,92,03
18 PRES mmHg,EL CAJON LES,746,746,746,746,746,746,746,747,747,747,747,746,746,746,745,745,745,746,746,746,746,746,747,746,746,747,07
,KEARNY MESA,747,747,747,747,747,747,747,748,748,748,748,748,747,747,747,746,747,747,747,747,747,747,748,747,747,748,07
19 SOLAR W/M2,EL CAJON LES,0,0,0,0,0,4,56,241,558,708,867,911,857,754,564,380,168,14,-4,-4,-3,-3,-3,-2,253,911,11
,KEARNY MESA,1,2,2,1,1,3,43,139,482,734,846,894,853,758,530,409,200,28,1,1,1,1,1,1,247,894,11
25 NOY,EL CAJON LES,5.03,4.67,4.82,4.47,C,C,3.40,4.01,5.65,5.60,5.31,5.71,7.72,7.81,6.87,6.31,5.89,4.40,4.32,5.54,6.39,6.16,6.35,6.66,5.59,7.81,13
26 NOY-NO,EL CAJON LES,5.04,4.67,4.81,4.47,C,C,3.20,3.41,4.48,4.80,4.75,5.32,7.26,7.36,6.45,5.84,4.87,4.19,4.18,5.28,6.29,6.11,6.32,6.63,5.26,7.36,13
27 NO Trace,EL CAJON LES,-.01,.00,.00,.00,C,C,.19,.59,1.17,.80,.55,.39,.46,.44,.42,.46,1.02,.21,.13,.25,.09,.04,.03,.03,.33,1.17,08
28 SO2 Tr PPB,EL CAJON LES,.0,C,C,C,.0,.0,.0,.0,.1,.1,.1,.1,.2,.2,.2,.1,.1,.0,.0,.0,.0,.0,.0,.0,.0,.2,12
29 CO Tr PPB,EL CAJON LES,262.8,C,C,C,249.4,251.0,268.0,265.5,287.4,314.5,320.5,321.7,345.7,332.4,278.8,237.1,217.9,214.6,240.1,237.3,269.5,250.1,245.7,248.8,269.4,345.7,12
BCarbon ug/m3,10TH AVE MARINE TERM,.50,.33,.37,.58,.82,.91,.94,.84,.69,.77,1.03,1.16,.48,.62,.31,.42,.40,.31,.22,.23,.22,.29,.55,.49,.56,1.16,11
,ALPINE,.41,.28,.30,.27,.25,.25,.26,.35,.47,.38,.38,.34,.41,.71,.79,.85,.73,.65,.50,.59,.72,.66,.62,.52,.49,.85,15
,CHICANO PARK,.53,.45,.56,.65,.74,.89,.67,.85,.85,.78,1.00,1.26,.49,.39,.23,.25,.26,.22,.26,.27,.29,.37,.70,.88,.58,1.26,11
,DOWNTOWN SES,.65,.56,.43,.58,.68,.68,.73,.76,1.18,.94,.97,1.23,.53,.37,.23,.22,.26,.21,.24,.28,.38,.49,.83,.92,.60,1.23,11
,OCEANVIEW BLVD,.55,.47,.48,.57,.60,.53,.50,.57,.68,.76,.91,1.11,.51,.35,.24,.20,.18,.17,.20,.27,.36,.43,.55,1.06,.51,1.11,11
,SAN YSIDRO,1.57,1.38,1.14,.79,.53,.61,1.05,1.03,1.23,2.08,1.52,.65,.30,.22,.18,.20,.42,.39,.51,.23,.22,.25,.29,.34,.71,2.08,09
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
