Current Date:,9/24/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
9/23/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.036,.036,C,C,.028,.025,.021,M,M,M,.032,.036,.041,.051,.054,.046,.038,.036,.031,.029,.030,.032,.034,.034,.035,.054,14
,CHULA VISTA,.011,.008,C,C,.002,.001,.002,.010,.022,.034,.036,.054,.058,.062,.057,.050,.046,.048,.044,.038,.033,.021,.017,.008,.030,.062,13
,DOWNTOWN SES,.026,.020,C,C,.020,.023,.022,.023,.026,.033,.038,.050,.056,.056,.055,.052,.049,.050,.045,.036,.032,.030,.029,.027,.036,.056,12
,EL CAJON LES,.012,.010,C,C,C,.003,.005,.012,.020,.032,.039,.037,.046,.046,.049,.041,.038,.033,.033,.024,.023,.020,.018,.014,.026,.049,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.016,.010,C,C,.008,.024,.021,.019,.027,.037,.042,.043,.038,.038,.045,.048,.052,.054,.044,.037,.028,.021,.017,.015,.031,.054,17
,OTAY MESA DVN,.016,.011,C,C,.009,.009,M,.014,M,C,C,C,.034,.047,.050,.056,.048,.043,.040,.038,.028,.018,.018,.017,.029,.056,15
,PENDLETON,.021,.013,C,C,.003,.004,.007,.017,.022,.030,.040,.044,.048,.051,.060,.056,.048,.047,.041,.038,.020,.018,.014,.009,.029,.060,14
02 NOX PPM,ALPINE,.003,.003,C,C,.004,.013,.015,M,M,M,.002,.003,.003,.003,.004,.004,.004,.004,.008,.008,.006,.005,.004,.004,.005,.015,06
,CARMEL MT RCH,.014,.017,C,C,.026,.030,.046,.056,.048,.054,.029,.022,.025,.021,.020,.019,.018,.017,.026,.023,.034,.026,.037,.021,.029,.056,07
,CHULA VISTA,.011,.008,C,C,.018,.032,.035,.029,.016,.014,.024,.012,.007,.005,.004,.004,.004,.005,.005,.006,.006,.012,.016,.019,.013,.035,06
,DOWNTOWN SES,.007,.010,C,C,.010,.010,.011,.012,.014,.018,.019,.012,.011,.007,.006,.006,.008,.007,.008,.012,.012,.012,.010,.009,.011,.019,10
,EL CAJON LES,.007,.009,C,C,C,.012,.018,.022,.023,.009,.008,.006,.004,.003,.004,.004,.005,.005,.005,.011,.011,.011,.012,.012,.010,.023,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,.008,C,C,.018,.008,.010,.013,.017,.011,.008,.008,.004,.004,.005,.004,.004,.004,.005,.008,.009,.014,.016,.016,.009,.018,04
,OTAY MESA DVN,.009,.013,C,C,.016,.016,M,.041,M,C,C,C,.003,.003,.003,.003,.005,.005,.005,.005,.014,.018,.018,.014,.011,.041,07
,PENDLETON,.005,.008,C,C,.016,.018,.017,.010,.009,.007,.003,.003,.004,.005,.007,.002,.001,.001,.002,.003,.017,.017,.024,.020,.009,.024,22
03 NO2 PPM,ALPINE,.002,.002,C,C,.002,.007,.008,M,M,M,.001,.002,.002,.002,.003,.003,.003,.003,.007,.007,.006,.004,.003,.003,.004,.008,06
,CARMEL MT RCH,.012,.015,C,C,.018,.017,.016,.022,.021,.027,.017,.012,.011,.010,.009,.010,.011,.013,.020,.018,.027,.023,.026,.018,.017,.027,09
,CHULA VISTA,.011,.008,C,C,.012,.015,.014,.014,.012,.011,.018,.011,.006,.005,.004,.004,.004,.005,.005,.006,.006,.013,.016,.019,.010,.019,23
,DOWNTOWN SES,.007,.009,C,C,.010,.009,.010,.010,.010,.014,.014,.010,.009,.006,.005,.005,.007,.007,.008,.012,.011,.011,.010,.009,.009,.014,09
,EL CAJON LES,.007,.008,C,C,C,.010,.012,.013,.015,.007,.007,.004,.004,.003,.003,.004,.004,.005,.005,.011,.011,.011,.011,.012,.008,.015,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,.008,C,C,.015,.008,.009,.010,.012,.009,.006,.006,.003,.003,.004,.003,.004,.004,.005,.008,.009,.014,.016,.015,.008,.016,22
,OTAY MESA DVN,.009,.013,C,C,.014,.014,M,.023,M,C,C,C,.003,.003,.002,.003,.005,.005,.005,.005,.011,.018,.017,.014,.010,.023,07
,PENDLETON,.005,.007,C,C,.011,.012,.011,.007,.006,.005,.003,.003,.004,.004,.006,.002,.002,.001,.002,.003,.016,.017,.021,.017,.008,.021,22
04 NO PPM,ALPINE,.001,.001,C,C,.001,.006,.007,M,M,M,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.007,06
,CARMEL MT RCH,.002,.003,C,C,.009,.013,.029,.033,.026,.027,.013,.010,.013,.012,.011,.009,.007,.004,.007,.005,.007,.003,.011,.003,.012,.033,07
,CHULA VISTA,.000,.000,C,C,.006,.017,.021,.014,.004,.003,.006,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.003,.021,06
,DOWNTOWN SES,.000,.000,C,C,.000,.001,.001,.003,.004,.004,.004,.002,.002,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.004,08
,EL CAJON LES,.000,.001,C,C,C,.002,.007,.009,.008,.002,.002,.001,.001,.000,.000,.001,.001,.001,.000,.000,.000,.000,.000,.000,.002,.009,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.003,.000,.001,.004,.005,.002,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.005,08
,OTAY MESA DVN,.000,.000,C,C,.001,.002,M,.017,M,C,C,C,.000,.000,.000,.000,.000,.000,.000,.000,.003,.000,.001,.000,.001,.017,07
,PENDLETON,.000,.000,C,C,.005,.005,.006,.003,.002,.002,.001,.000,.001,.001,.001,.000,.000,.000,.000,.000,.001,.000,.002,.003,.002,.006,06
06 CO PPM,CARMEL MT RCH,.4,.5,C,C,C,.6,.8,1.0,.8,.8,.6,.6,.5,.5,.6,.6,.7,.7,.9,.7,.9,.7,.8,.6,.7,1.0,07
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,25,25,24,23,23,23,23,23,23,24,23,24,24,24,24,25,25,24,25,00
,CARMEL MT RCH,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,00
,CHULA VISTA,26,25,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,25,26,00
,DOWNTOWN SES,25,24,25,25,24,25,25,25,24,24,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,25,00
,EL CAJON LES,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,25,25,24,24,24,24,24,24,23,24,25,25,25,26,26,25,26,00
,PENDLETON,26,26,26,26,26,26,26,26,25,25,24,24,24,24,24,25,25,25,25,25,25,26,26,26,25,26,00
11 PM2.5 µg/M3,ALPINE,4.9,3.3,6.4,4.8,6.0,5.5,7.2,4.1,-.1,-1.0,-.7,.5,.7,2.2,7.0,7.2,5.3,4.0,4.8,7.3,6.4,7.9,8.8,8.3,4.6,8.8,22
,DOWNTOWN SES,9.0,10.0,11.0,10.0,9.0,13.0,11.9,12.3,17.5,18.3,22.0,16.9,11.0,11.7,14.1,9.3,9.3,11.4,12.6,10.5,16.1,10.5,10.7,18.4,12.7,22.0,10
,EL CAJON LES,14.4,12.7,9.5,15.1,10.1,12.9,11.8,12.2,11.4,9.0,7.2,6.8,5.9,7.8,8.8,7.6,9.2,8.2,6.8,10.4,12.2,10.6,16.2,16.8,10.5,16.8,23
,ESCONDIDO,14.4,12.7,9.5,15.1,10.1,12.9,11.8,12.2,11.4,9.0,7.2,6.8,5.9,7.8,8.8,7.6,9.2,8.2,6.8,10.4,12.2,10.6,16.2,16.8,10.5,16.8,23
,OTAY MESA DVN,18.1,24.3,28.4,36.8,31.3,34.2,36.1,44.9,43.5,20.4,5.5,5.8,4.9,8.3,6.2,9.8,8.9,11.6,8.8,15.4,39.9,22.3,31.6,28.8,21.9,44.9,07
,PENDLETON,9.6,8.3,8.9,9.9,11.1,12.4,17.7,12.3,10.0,11.5,14.5,12.5,12.0,14.0,15.7,10.5,8.0,9.3,10.6,9.4,8.5,9.8,11.3,13.2,11.2,17.7,06
12 VWDR °,ALPINE,146,155,150,171,50,98,116,213,283,317,307,332,332,336,332,334,334,5,65,144,97,151,22,26,0,336,13
,CHULA VISTA,101,106,53,91,63,23,359,358,307,324,270,261,258,260,262,259,256,246,214,151,147,147,131,119,0,359,06
,DOWNTOWN SES,348,84,27,355,346,22,14,358,330,312,279,282,284,289,291,287,295,316,314,331,346,343,346,334,0,358,07
,EL CAJON LES,164,244,177,156,162,215,117,353,350,346,353,325,314,296,304,305,317,340,7,225,163,163,215,211,0,353,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,18,14,31,17,355,357,349,334,323,308,291,290,284,289,307,307,308,308,309,315,337,290,327,340,0,357,05
