Current Date:,9/24/2020,11:08 PM
,,,,,,,,8 Hour Rolling Average Report
9/23/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,,,,,,,,,.043,.042,.041,.041,.04,.039,.037,.034,.033,.032,.032,.033,.033,.035,.035,.035,0.036,0.043,08
,CHULA VISTA,.005,.007,.011,.015,.02,.027,.034,.041,.046,.049,.051,.052,.05,.047,.042,.037,.031,.026,.021,.017,.014,.009,.005,.003,0.027,0.052,11
,DOWNTOWN SES,.022,.022,.024,.026,.029,.033,.038,.042,.045,.048,.05,.051,.049,.046,.043,.04,.037,.034,.032,.03,.029,.024,.02,.016,0.034,0.051,11
,EL CAJON LES,,,,.018,.021,.024,.029,.035,.038,.041,.041,.04,.038,.035,.032,.028,.025,.022,.019,.017,.015,,,,0.028,0.041,09
,KEARNY MESA,.016,.018,.022,.025,.027,.031,.033,.036,.039,.042,.045,.045,.044,.043,.041,.037,.033,.029,.026,.023,.021,.017,.014,.012,0.029,0.045,10
,OTAY MESA DVN,,,,,,,,,,,.046,.045,.044,.043,.04,.036,.031,.026,.022,.02,.017,.014,.012,.011,0.029,0.046,10
,PENDLETON,.01,.011,.013,.017,.02,.026,.032,.039,.043,.047,.049,.049,.048,.045,.041,.035,.029,.025,.02,.018,.014,.013,.011,.01,0.027,0.049,10
