Current Date:,5/12/2023,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
5/11/2023
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.033,.032,C,C,.031,.032,.034,.035,.037,.041,.045,.048,.052,.055,.055,.054,.052,.049,.045,.041,.039,.037,.038,.037,.041,.055,13
,CHULA VISTA,.035,.039,C,C,.042,.043,.044,.044,.046,.047,.048,.049,.051,.050,.049,.048,.045,.043,.042,.042,.044,.044,.044,.045,.044,.051,12
,DOWNTOWN SES,.036,.030,C,C,.041,.041,.035,.034,.042,.044,.047,.048,.046,.045,.045,.043,.040,.041,.040,.039,.039,.041,.043,.042,.041,.048,11
,EL CAJON LES,.031,.036,C,C,C,.032,.032,.033,M,M,M,M,M,M,.049,.047,.045,.044,.041,.041,.041,.039,.038,.039,.039,.049,14
,KEARNY MESA,.033,.030,.040,.038,.038,.038,.040,.040,.042,.044,.047,M,.050,.049,.048,.047,.046,.044,.044,.043,.042,.042,.041,.041,.042,.050,12
,OTAY MESA DVN,.035,.037,C,C,.039,.038,.042,.042,.043,.046,.048,.051,.054,.054,.053,.052,.049,.047,.043,.043,.042,.041,.040,.042,.044,.054,12
,PENDLETON,.024,.025,C,C,.016,.019,.020,.027,.033,.039,.044,.044,.043,.045,.045,.045,.045,.044,.044,.044,.043,.034,.035,.028,.035,.045,13
03 NO2 PPB,ALPINE,2.7,2.6,C,C,2.9,3.0,3.2,1.7,1.4,1.5,1.3,1.1,1.3,1.3,1.8,1.8,1.8,2.2,2.4,2.6,2.4,3.3,2.2,1.8,2.1,3.3,21
,CARMEL MT RCH,6.3,6.7,C,C,16.1,19.5,19.1,16.0,17.3,19.5,C,C,C,C,C,C,9.2,10.0,9.5,10.4,10.8,12.2,6.9,6.9,12.2,19.5,05
,CHULA VISTA,3.5,1.6,C,C,1.7,2.3,2.6,3.4,2.2,2.2,2.0,2.1,2.7,2.5,2.0,1.8,2.0,2.5,3.0,2.9,1.6,1.8,1.7,1.6,2.2,3.5,00
,DOWNTOWN SES,3.4,6.3,C,C,2.6,3.3,11.4,12.2,3.6,3.6,2.8,1.9,1.9,1.6,1.7,2.7,5.1,4.0,4.9,5.7,6.0,3.7,2.2,3.1,4.2,12.2,07
,EL CAJON LES,2.8,1.9,C,C,C,2.3,3.1,4.1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,2.8,4.1,07
,KEARNY MESA,4.0,4.6,2.2,2.8,3.5,4.2,3.8,4.6,4.1,3.0,2.3,M,1.6,1.5,1.5,1.3,1.3,1.7,1.7,2.0,1.8,2.2,2.7,2.5,2.6,4.6,01
,OTAY MESA DVN,1.6,3.9,C,C,1.1,2.7,2.6,2.9,3.1,2.4,2.4,2.0,1.9,1.9,1.8,1.8,1.4,1.8,2.4,1.9,1.8,2.2,1.9,1.8,2.1,3.9,01
,PENDLETON,3.5,3.8,C,C,5.5,5.9,4.4,9.6,8.1,2.9,.8,.6,3.6,1.3,1.1,1.0,1.7,.6,.6,.6,.7,7.5,6.5,5.3,3.4,9.6,07
04 NO PPB,ALPINE,.0,.0,C,C,.0,.1,.3,.3,.3,.4,.2,.2,.2,.1,.3,.3,.2,.1,.0,.0,.0,.0,.0,.0,.1,.4,09
,OTAY MESA DVN,.0,.2,C,C,-.1,.0,.0,.0,.3,.3,.4,.3,.1,.2,.2,.2,.0,.0,.0,-.1,.0,.0,-.1,-.1,.0,.4,10
,PENDLETON,.0,.2,C,C,.4,.7,1.0,11.7,5.7,1.8,.1,.0,3.2,.6,.2,.2,.4,.0,.0,.0,.0,.0,.1,.0,1.1,11.7,07
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,.4,.6,.6,.5,.4,.4,C,C,C,C,C,C,C,.5,.5,.4,.4,.4,.3,.3,.4,.6,05
10 INTMP °C,ALPINE,25,25,25,26,25,25,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,03
,CARMEL MT RCH,26,26,26,27,27,27,27,27,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,03
,CHULA VISTA,27,27,27,27,27,27,27,26,27,24,23,23,25,26,27,27,27,27,27,27,27,27,27,27,26,27,00
,DOWNTOWN SES,26,26,26,26,26,26,26,26,26,26,26,26,25,26,26,25,25,25,25,26,26,26,26,26,26,26,00
,EL CAJON LES,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,27,27,27,27,00
,KEARNY MESA,23,23,23,23,23,23,23,23,23,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,25,10
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,27,26,26,27,00
,PENDLETON,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,00
11 PM2.5 µg/M3,ALPINE,9.8,10.4,10.5,10.5,10.4,10.5,10.4,10.0,10.1,9.7,9.0,9.4,9.4,9.4,9.0,9.2,9.1,9.0,8.8,8.8,9.5,10.6,11.3,12.0,9.8,12.0,23
,DOWNTOWN SES,7.6,8.1,8.0,7.4,7.5,7.8,8.0,8.7,8.1,8.3,8.6,8.4,7.6,7.6,7.6,7.9,8.4,8.4,8.3,8.8,8.9,9.2,9.4,9.9,8.2,9.9,23
,EL CAJON LES,7.0,7.3,7.4,7.5,7.4,7.2,7.6,8.0,8.0,8.6,8.6,9.1,8.8,8.2,7.6,7.4,7.7,7.6,7.6,7.9,8.2,8.8,8.9,9.2,7.9,9.2,23
