Current Date:,5/2/2023,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
5/1/2023
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.030,.029,C,C,.033,.034,.033,.036,C,C,C,C,C,C,.047,.045,.044,.043,.042,.040,.037,.037,.035,.034,.037,.047,14
,CHULA VISTA,.042,.045,C,C,.038,.035,.035,.036,.036,.040,.043,.044,.044,.044,.043,.044,.044,.041,.039,.038,.039,.039,.038,.038,.040,.045,01
,DOWNTOWN SES,.043,.044,C,C,.036,.033,.028,.033,.035,.038,.039,.041,.042,.043,.042,.041,.041,.039,.036,.035,.035,.035,.034,.037,.037,.044,01
,EL CAJON LES,.035,.036,C,C,C,.037,.035,.035,.036,.036,.039,.042,.044,.045,.044,.043,.043,.041,.039,.036,.036,.036,.036,.034,.038,.045,13
,KEARNY MESA,.041,.043,C,C,.038,.037,.034,.035,.035,.036,.041,.043,.044,.044,.045,.044,.044,.042,.041,.039,.038,.038,.039,.040,.040,.045,14
,OTAY MESA DVN,.040,.042,C,C,.040,.036,.036,M,M,,,,,M,M,.044,.045,.042,.039,.037,.037,.039,.038,.037,.039,.045,16
,PENDLETON,.045,.047,C,C,.041,.042,.040,.038,.038,.039,.040,.042,.043,.043,.041,.041,.040,.040,.039,.041,.042,.041,.041,.040,.041,.047,01
03 NO2 PPB,ALPINE,2.8,2.8,C,C,2.0,2.2,2.4,1.8,C,C,C,C,C,C,1.1,1.4,1.6,1.5,1.4,1.1,1.4,.9,1.1,1.1,1.6,2.8,00
,CARMEL MT RCH,4.6,5.7,C,C,3.0,4.0,6.5,14.6,19.4,15.2,13.5,16.2,12.6,11.1,11.2,11.7,9.7,9.0,12.4,5.4,7.8,8.7,6.1,3.1,9.6,19.4,08
,CHULA VISTA,1.9,1.3,C,C,4.4,6.4,5.8,4.8,3.8,2.6,1.3,1.2,1.1,1.2,1.4,1.1,1.2,1.2,1.2,1.1,1.3,1.2,1.4,1.3,2.1,6.4,05
,DOWNTOWN SES,2.1,1.8,C,C,4.6,6.1,11.4,5.8,3.1,2.6,2.4,1.3,1.6,1.7,1.7,1.9,1.6,1.7,2.3,2.6,2.8,2.3,3.9,2.6,3.0,11.4,06
,EL CAJON LES,2.4,2.0,C,C,C,1.9,2.9,4.2,3.7,2.7,2.6,1.6,1.7,1.6,1.8,2.0,1.5,1.7,1.8,2.0,1.5,1.1,1.4,1.5,2.0,4.2,07
,KEARNY MESA,2.0,1.6,C,C,4.7,5.4,7.0,6.1,5.5,3.1,1.9,1.8,1.8,1.5,1.2,1.2,1.7,1.4,1.5,1.2,1.4,1.5,1.0,1.0,2.5,7.0,06
,OTAY MESA DVN,2.3,2.4,C,C,5.3,7.0,7.2,M,M,,,,,M,M,-1.0,.2,1.6,2.9,2.9,2.5,2.3,2.5,2.4,2.8,7.2,06
,PENDLETON,.9,.6,C,C,2.8,2.0,3.2,2.5,2.5,1.5,3.0,1.6,1.1,.9,.8,.5,.5,.5,2.2,1.2,1.3,.6,.6,.6,1.4,3.2,06
04 NO PPB,ALPINE,.0,.0,C,C,.0,.0,.1,.1,C,C,C,C,C,C,.2,.3,.2,.0,.0,.0,.0,.0,.0,.0,.0,.3,15
,OTAY MESA DVN,.0,.0,C,C,1.8,1.2,.5,M,M,,,,,M,M,.5,.1,.0,-.1,-.1,-.1,-.1,-.1,-.1,.2,1.8,04
,PENDLETON,.0,.0,C,C,.0,.0,.1,.2,.5,.2,1.0,.5,.3,.2,.1,.0,.0,.0,.0,.0,.0,.0,.0,.0,.1,1.0,10
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,.2,.2,.2,.4,.4,.3,.3,.4,.4,.4,.4,.4,.4,.3,.4,.2,.3,.4,.2,.2,.3,.4,07
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,CARMEL MT RCH,26,26,26,27,27,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,26,26,26,26,27,03
,CHULA VISTA,23,23,23,23,23,24,23,23,23,24,25,26,27,26,26,26,26,25,25,24,24,24,24,23,24,27,12
,DOWNTOWN SES,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,26,26,26,26,26,26,26,26,26,26,00
,EL CAJON LES,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,00
,KEARNY MESA,25,24,25,25,25,25,25,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,27,27,27,27,27,27,27,26,P,,,,,P,27,26,26,26,26,26,27,27,27,27,27,27,00
,PENDLETON,27,27,27,27,27,27,26,26,26,27,26,26,26,26,26,26,26,26,26,26,27,26,27,26,26,27,00
11 PM2.5 µg/M3,ALPINE,7.1,6.8,5.2,5.7,6.4,7.9,12.0,9.7,8.3,7.3,5.4,5.9,7.8,7.7,7.7,7.2,7.0,6.5,5.8,5.0,4.6,4.3,4.3,4.4,6.6,12.0,06
,DOWNTOWN SES,8.9,8.4,9.3,8.6,6.8,5.8,5.5,6.4,5.3,6.2,8.0,9.9,8.6,8.2,7.3,6.4,5.9,5.0,4.5,5.4,5.6,5.5,5.2,5.1,6.7,9.9,11
