,PENDLETON,.0,.0,C,C,.0,.0,.1,5.8,6.0,2.4,.5,.0,.0,M,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.7,6.0,08
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,.4,.6,.5,.5,.4,.4,.5,.5,.5,.5,.5,.5,.5,.5,.4,.4,.4,.4,.3,.3,.4,.6,05
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,07
,CARMEL MT RCH,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,00
,CHULA VISTA,25,25,25,25,25,24,25,25,25,25,26,27,27,27,27,27,27,27,26,26,26,26,26,26,26,27,11
,DOWNTOWN SES,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,26,26,26,26,26,26,26,00
,EL CAJON LES,26,26,26,26,26,26,26,26,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,08
,KEARNY MESA,25,25,25,25,25,25,25,25,24,23,23,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,00
,PENDLETON,26,26,26,26,26,26,26,26,26,26,26,26,26,M,26,26,26,26,26,26,26,26,26,26,26,26,00
11 PM2.5 µg/M3,ALPINE,7.1,6.9,6.6,6.8,6.6,5.6,5.4,5.4,5.4,5.4,5.3,5.5,5.8,6.0,6.2,6.3,6.5,5.7,5.0,5.2,5.9,6.4,6.8,6.6,6.0,7.1,00
,DOWNTOWN SES,4.5,4.1,4.0,3.9,3.4,3.5,3.6,3.6,3.9,4.2,3.9,4.1,4.6,5.1,4.7,5.0,5.2,5.6,6.1,6.4,6.1,6.2,6.2,6.0,4.7,6.4,19
,EL CAJON LES,4.7,4.3,4.4,3.9,3.8,4.0,4.0,3.9,4.1,4.9,4.7,4.9,4.8,5.4,5.5,5.5,5.1,4.6,4.7,5.0,5.2,5.2,5.1,5.6,4.7,5.6,23
,OTAY MESA DVN,5.7,5.5,5.1,4.3,4.4,4.5,4.0,4.3,4.6,4.8,5.2,5.5,5.5,5.9,6.2,6.6,6.4,6.2,6.1,6.4,6.8,7.2,9.4,7.9,5.7,9.4,22
,PENDLETON,4.5,4.3,4.5,4.4,4.3,4.1,4.0,4.2,4.6,4.3,4.4,4.0,4.3,4.1,4.4,5.0,5.7,6.0,6.4,8.0,7.6,7.2,7.3,7.3,5.2,8.0,19
12 VWDR °,ALPINE,232,245,264,274,283,297,278,249,243,282,297,272,247,259,253,259,254,261,271,274,290,312,308,281,0,312,21
,CHULA VISTA,266,280,287,290,297,291,286,267,269,246,267,259,259,260,262,265,264,278,284,287,299,294,317,315,0,317,22
,DOWNTOWN SES,240,252,264,264,270,272,273,267,249,271,242,241,242,226,260,271,277,281,279,288,286,287,299,290,0,299,22
,EL CAJON LES,216,260,278,271,260,274,263,233,32,229,248,230,258,258,250,238,247,280,282,285,305,304,313,333,0,333,23
,KEARNY MESA,266,285,279,277,274,275,268,276,233,M,M,M,254,245,271,281,290,295,292,297,277,277,269,265,0,297,19
,OTAY MESA DVN,298,298,290,289,295,335,279,281,288,307,296,284,270,275,279,275,276,280,279,282,277,282,305,309,0,335,05
,PENDLETON,240,254,253,238,252,240,253,264,265,264,264,266,256,M,264,275,286,289,298,295,292,295,300,323,0,323,23
13 SIGTHETA °,ALPINE,28,29,21,26,23,22,25,30,33,51,50,57,38,35,33,36,28,28,27,25,25,21,20,30,31,57,11
,CHULA VISTA,20,20,19,19,19,21,26,20,29,34,29,24,22,24,26,25,20,21,18,18,24,19,20,19,22,34,09
,DOWNTOWN SES,23,20,25,25,20,32,31,31,27,31,28,23,23,23,28,27,26,22,18,20,18,19,24,26,25,32,05
,EL CAJON LES,24,24,25,20,19,24,44,43,55,54,47,46,26,26,29,30,25,22,19,19,18,17,21,27,29,55,08
,KEARNY MESA,11,8,9,8,8,10,21,21,65,M,M,M,26,22,32,20,15,13,9,8,6,12,22,16,17,65,08
,OTAY MESA DVN,16,16,11,11,20,25,21,21,30,27,33,38,20,20,17,13,15,15,11,10,11,12,12,13,18,38,11
,PENDLETON,14,12,15,20,22,20,19,20,16,16,15,14,11,M,15,15,16,16,13,14,15,15,16,20,16,22,04
14 VWSP MPH,ALPINE,1.8,1.8,2.2,1.5,1.6,2.6,2.5,2.7,2.8,2.5,3.3,3.2,5.5,6.3,5.6,5.2,5.5,4.6,3.4,2.5,2.0,2.7,2.4,1.9,.0,6.3,13
,CHULA VISTA,2.6,3.5,3.8,2.8,2.3,2.5,2.7,3.7,3.3,3.6,5.1,7.5,8.8,7.7,6.9,7.5,8.0,7.4,7.0,6.8,4.6,4.7,4.4,4.5,.0,8.8,12
,DOWNTOWN SES,3.6,3.8,2.7,3.0,3.3,2.9,3.0,3.0,4.2,3.3,5.1,6.8,7.7,7.7,6.3,6.8,6.5,6.9,6.6,6.5,6.5,5.6,4.5,4.3,.0,7.7,12
,EL CAJON LES,3.1,2.2,2.5,3.9,3.2,2.6,1.2,.9,1.0,2.5,4.2,5.1,6.8,7.9,6.0,6.2,6.3,5.4,6.1,5.3,4.1,3.8,2.8,2.3,.0,7.9,13
,KEARNY MESA,4.3,3.9,3.0,2.9,2.7,3.5,3.8,4.8,1.4,M,M,M,7.5,9.3,7.5,8.9,9.5,9.4,7.7,5.7,4.1,2.6,1.7,3.0,.0,9.5,16
,OTAY MESA DVN,3.1,3.5,5.3,4.3,2.5,1.4,2.9,4.0,4.6,4.5,5.6,6.1,10.3,9.8,9.1,10.8,9.4,8.0,7.5,6.2,6.1,5.2,5.2,4.6,.0,10.8,15
,PENDLETON,4.5,7.3,5.3,3.3,1.9,1.6,2.7,3.2,4.9,5.8,6.7,7.4,10.0,M,9.6,7.6,6.9,5.8,7.1,6.9,6.5,5.8,4.6,4.2,.0,10.0,12
15 SWSP MPH,ALPINE,2.1,2.1,2.3,1.6,1.7,2.8,2.8,3.1,3.6,3.6,4.3,4.9,6.6,7.4,6.7,6.3,6.5,5.2,3.8,2.8,2.3,2.9,2.6,2.3,3.8,7.4,13
,CHULA VISTA,2.8,3.8,4.0,3.0,2.4,2.7,3.0,4.0,3.9,4.2,5.8,8.2,9.5,8.5,7.6,8.2,8.4,7.9,7.3,7.1,5.0,4.9,4.6,4.7,5.5,9.5,12
,DOWNTOWN SES,3.8,4.0,3.1,3.3,3.5,3.3,3.5,3.5,4.7,4.5,5.6,7.3,8.3,8.3,7.3,7.5,7.6,7.4,7.0,6.9,6.8,5.9,4.9,4.8,5.5,8.3,12
,EL CAJON LES,3.3,2.5,2.9,4.1,3.3,2.7,1.5,1.9,1.9,3.5,5.3,6.3,7.4,8.9,6.8,7.1,7.2,6.0,6.5,5.6,4.5,4.0,3.0,2.5,4.5,8.9,13
,KEARNY MESA,4.5,3.9,3.0,2.9,2.8,3.5,4.0,5.1,2.9,M,M,M,8.9,10.1,8.7,9.5,9.9,9.7,7.8,5.8,4.2,2.7,1.7,3.1,5.5,10.1,13
,OTAY MESA DVN,3.3,3.6,5.5,4.4,2.7,2.0,3.1,4.4,5.2,5.0,6.6,7.7,10.9,10.4,9.7,11.1,9.8,8.2,7.6,6.3,6.2,5.4,5.3,4.8,6.2,11.1,15
,PENDLETON,4.6,7.5,5.5,3.6,2.1,1.7,2.9,3.4,5.1,5.9,6.9,7.6,10.1,M,9.9,7.9,7.1,6.1,7.3,7.1,6.7,6.0,4.8,4.4,5.8,10.1,12
16 AMBTEMP °F,ALPINE,51.3,51.0,50.8,50.6,50.2,50.0,50.6,51.7,53.7,56.3,59.3,62.3,65.2,65.1,64.0,63.3,61.8,60.7,57.2,54.2,52.9,52.1,52.0,52.0,55.8,65.2,12
,CARMEL MT RCH,56.8,56.2,55.9,56.0,56.5,57.0,57.7,59.5,60.6,61.7,63.9,66.3,66.6,67.2,66.6,66.2,65.4,63.7,60.6,58.3,57.5,57.1,57.5,57.6,60.5,67.2,13
,CHULA VISTA,60.6,60.0,59.6,59.6,59.6,59.9,60.3,60.7,61.5,64.2,65.4,67.4,67.3,66.6,66.3,67.1,66.5,64.6,62.7,62.0,61.8,61.7,61.5,61.3,62.8,67.4,11
,DOWNTOWN SES,60.0,59.5,59.5,59.5,59.4,59.4,59.9,60.5,61.8,63.0,63.7,64.6,65.1,66.0,66.4,65.9,65.0,63.9,62.3,61.5,61.2,61.0,61.0,60.6,62.1,66.4,14
,EL CAJON LES,59.2,59.0,58.8,58.4,58.2,58.5,59.5,60.6,61.5,63.9,66.6,68.3,69.7,69.6,69.6,69.5,68.6,67.1,63.7,61.0,60.4,60.4,60.7,60.9,63.1,69.7,12
,KEARNY MESA,58.7,58.2,58.1,58.1,58.1,58.3,59.3,60.2,61.6,62.0,64.3,65.4,66.4,66.1,66.9,66.8,65.5,63.5,60.7,58.9,58.2,59.4,60.1,59.6,61.4,66.9,14
,OTAY MESA DVN,57.5,57.4,57.0,56.3,56.4,56.8,57.7,58.8,60.5,61.1,64.3,66.2,66.9,65.5,65.0,64.5,63.8,61.8,59.9,59.0,58.8,58.8,59.2,59.0,60.5,66.9,12
,PENDLETON,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.0,65.5,64.7,63.8,62.7,61.8,61.5,61.1,61.0,60.6,62.9,66.0,14
17 RELHUM %,ALPINE,97,98,99,99,99,99,98,90,76,65,56,51,49,51,54,56,59,59,66,81,92,98,99,99,79,99,02
,EL CAJON LES,74,74,74,73,72,70,68,66,60,57,53,50,48,49,50,50,49,51,62,71,74,74,75,76,63,76,23
,KEARNY MESA,83,82,80,78,78,81,79,75,68,68,63,60,59,59,55,55,61,69,78,85,87,89,87,93,74,93,23
18 PRES mmHg,EL CAJON LES,748,748,747,747,747,748,748,748,748,748,748,748,748,748,748,747,747,747,748,748,748,749,749,748,748,749,21
,KEARNY MESA,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,750,750,750,750,749,750,20
19 SOLAR W/M2,EL CAJON LES,0,0,0,0,1,34,116,165,352,454,984,1063,1012,871,787,622,395,181,23,-3,-1,0,0,0,294,1063,11
,KEARNY MESA,1,1,1,1,3,60,151,227,249,244,628,820,917,1003,840,674,451,228,30,1,1,1,1,1,272,1003,13
20 UVRAD W/M2,EL CAJON LES,0,0,0,0,0,2,8,11,22,29,55,59,56,48,42,31,20,9,2,0,0,0,0,0,16,59,11
25 NOY,EL CAJON LES,1.47,1.26,1.19,.95,1.40,C,C,M,M,M,M,M,M,M,M,3.52,3.55,2.95,2.74,2.71,2.58,2.94,2.64,3.31,2.37,3.55,16
26 NOY-NO,EL CAJON LES,1.13,.99,.94,.67,.97,C,C,M,M,M,M,M,M,M,M,1.63,2.18,2.00,2.05,2.24,2.18,2.57,2.35,3.07,1.78,3.07,23
27 NO Trace,EL CAJON LES,.33,.27,.24,.28,.42,C,C,M,M,M,M,M,M,M,M,1.89,1.36,.95,.68,.47,.40,.37,.29,.24,.58,1.89,15
28 SO2 Tr PPB,EL CAJON LES,M,C,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
29 CO Tr PPB,EL CAJON LES,123.1,123.7,C,C,C,153.7,159.3,170.4,155.2,146.9,166.4,171.1,166.8,154.5,162.6,170.3,160.6,145.1,141.7,146.0,143.4,146.9,138.2,151.7,152.2,171.1,11
BCarbon ug/m3,10TH AVE MARINE TERM,<,<,.03,.04,.04,.17,.11,<,.14,<,.13,<,<,<,.11,.10,<,.15,.21,<,.13,.08,<,<,.11,.21,18
,BOSTON AVE,.09,.05,.06,.09,.10,.28,.37,.32,.31,.24,.22,.23,.17,.15,.16,.19,.17,.14,.18,.21,.39,.31,.18,.12,.20,.39,20
,CHICANO PARK,<,.04,.03,.09,.11,.17,<,.14,.18,.16,<,<,.10,<,.16,.17,<,.17,.20,<,<,.16,<,<,.13,.20,18
,DOWNTOWN SES,<,<,.06,.05,.05,.07,.09,.08,.12,<,<,<,.11,<,<,<,<,.12,.15,<,.17,.17,<,<,.10,.17,20
,OCEANVIEW BLVD,.07,.04,<,.08,<,.20,.22,.18,.21,<,.16,<,.16,<,<,.15,.15,.21,.19,.18,.21,<,.26,<,.17,.26,22
,SAN YSIDRO,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
PM10 STD,ALPINE,15.3,14.5,13.7,14.5,13.8,12.9,13.7,12.9,13.0,12.6,14.2,15.2,16.8,18.4,19.6,18.1,16.2,16.4,14.3,13.0,13.0,13.6,14.2,14.3,14.7,19.6,14
,DOWNTOWN SES,9.8,9.5,9.4,9.0,7.6,8.1,9.4,9.8,10.8,11.6,10.1,11.1,12.8,13.2,11.4,12.6,12.8,14.6,13.3,13.1,13.0,13.8,14.2,12.6,11.4,14.6,17
,EL CAJON LES,11.3,10.1,9.8,9.0,9.1,9.5,9.1,10.0,10.7,13.4,12.4,12.5,13.6,15.5,15.5,13.2,13.4,10.7,10.5,11.3,11.4,11.9,12.1,13.3,11.6,15.5,13
,OTAY MESA DVN,12.5,12.7,11.8,9.9,11.3,15.5,10.8,15.8,14.7,14.9,14.3,18.7,18.8,20.0,20.3,18.5,15.8,15.8,14.5,14.7,15.9,15.3,18.4,18.1,15.3,20.3,14
,PENDLETON,9.3,10.1,11.3,9.7,10.7,9.1,10.1,12.1,13.7,14.7,13.0,11.3,12.1,11.8,13.3,13.9,18.8,18.0,17.8,23.8,22.8,18.9,21.8,21.8,14.5,23.8,19
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
