Current Date:,7/21/2023,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
7/20/2023
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.042,.040,.036,.033,.033,.034,.035,.036,.050,.057,.066,.079,.084,.078,.072,.068,.064,.061,.058,.053,.048,.051,.052,.052,.053,.084,12
,CHULA VISTA,.021,.018,C,C,.006,.007,.010,.015,.024,.033,.038,.039,.035,.037,.038,.038,.036,.033,.029,.025,.022,.019,.019,.016,.025,.039,11
,DOWNTOWN SES,.022,.024,C,C,.016,.020,.017,.017,M,M,M,M,M,.039,.035,.032,,,,,,,,,.024,.039,13
,EL CAJON LES,.015,.015,C,C,C,.008,M,.021,M,.048,.066,.070,.059,.053,.056,.054,.048,.045,.043,.030,.023,.018,.013,.011,.036,.070,11
,KEARNY MESA,.011,.013,C,C,.023,.020,.020,.023,.034,.046,.046,.051,.052,.050,.048,.051,.048,.040,.032,.027,.023,.019,.020,.018,.032,.052,12
,OTAY MESA DVN,.018,.020,C,C,.013,.011,.015,.015,.033,.040,.053,.056,.050,.048,.051,.048,.044,.038,.034,.028,.025,.018,.021,.018,.031,.056,11
,PENDLETON,.013,.013,C,C,.014,.014,.013,.022,.027,.033,.035,.038,.034,.033,.034,.034,.036,.033,.030,.029,.028,.026,.013,.012,.025,.038,11
03 NO2 PPB,ALPINE,1.4,1.3,1.0,.9,1.6,3.2,3.6,8.1,3.2,2.1,3.2,2.9,3.2,2.7,2.4,2.1,2.3,2.3,3.0,5.1,6.3,3.9,2.5,1.8,2.9,8.1,07
,CARMEL MT RCH,14.3,16.3,C,C,18.5,18.2,19.3,23.7,21.3,17.6,15.3,13.2,15.8,16.4,13.1,11.4,11.5,12.7,11.7,14.8,15.5,19.1,18.8,14.2,16.0,23.7,07
,CHULA VISTA,5.5,4.9,C,C,13.6,12.7,12.8,11.8,9.2,5.4,3.3,2.1,1.7,1.6,2.1,2.4,2.9,4.0,4.5,5.9,8.3,7.2,6.4,6.1,6.1,13.6,04
,DOWNTOWN SES,4.8,3.3,C,C,7.3,5.6,7.8,13.3,M,M,M,M,M,4.6,4.7,6.3,,,,,,,,,6.4,13.3,07
,EL CAJON LES,7.6,7.7,C,C,C,7.2,M,10.3,M,11.0,5.6,6.3,5.1,4.3,4.7,4.5,4.8,4.9,5.5,9.2,9.8,11.3,12.6,11.7,7.5,12.6,22
,KEARNY MESA,11.4,10.1,C,C,3.1,5.0,7.4,6.7,5.7,4.8,3.9,3.3,3.1,3.2,2.8,3.4,2.4,3.0,3.5,6.8,8.1,9.1,7.0,6.3,5.4,11.4,00
,OTAY MESA DVN,6.9,4.1,C,C,10.8,12.8,8.9,22.7,9.1,9.7,4.6,2.7,2.1,2.4,2.3,2.6,2.4,3.3,4.8,4.8,5.9,8.1,9.2,9.2,6.7,22.7,07
,PENDLETON,10.5,9.7,C,C,9.2,9.0,8.8,6.6,3.7,1.7,2.0,1.0,6.3,3.3,1.5,.6,.5,1.1,.6,.5,.5,3.0,15.5,15.2,5.0,15.5,22
04 NO PPB,ALPINE,.0,.0,.0,.1,.1,.3,.6,2.4,.6,.2,.3,.2,.2,.2,.2,.1,.2,.1,.0,.0,.5,.0,.0,.0,.2,2.4,07
,OTAY MESA DVN,.2,.1,C,C,.5,5.3,5.5,24.1,3.7,3.1,1.0,.5,.4,.6,.4,.7,.5,.5,.2,.2,.1,.4,.4,.1,2.2,24.1,07
