06 CO PPM,CARMEL MT RCH,.3,.3,C,C,.9,.9,.7,.6,M,M,.5,C,M,.6,.5,.4,.5,.6,.5,.6,.5,.5,.3,.4,.5,.9,04
10 INTMP °C,ALPINE,24,25,25,25,25,25,25,24,M,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,25,01
,CARMEL MT RCH,27,27,27,27,27,27,27,27,27,26,26,26,27,26,26,26,26,26,26,26,26,26,26,26,26,27,00
,CHULA VISTA,26,26,26,26,26,26,27,27,27,26,27,27,27,26,26,27,27,27,26,26,26,26,27,26,26,27,06
,DOWNTOWN SES,25,25,25,25,25,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,05
,EL CAJON LES,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,27,26,27,27,27,00
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,25,25,25,24,24,24,24,25,25,25,25,25,26,26,25,26,00
,PENDLETON,25,25,25,25,25,25,25,25,25,26,26,27,27,27,26,25,25,25,25,25,25,25,25,25,25,27,11
11 PM2.5 µg/M3,ALPINE,6.1,6.6,5.4,3.9,2.8,3.2,3.5,3.7,3.8,5.1,4.8,4.3,4.2,4.4,4.1,3.8,3.5,3.4,3.3,3.7,4.4,5.0,5.1,4.3,4.2,6.6,01
,CARMEL MT RCH,4.0,4.8,5.2,5.3,5.4,6.1,6.1,6.2,6.7,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,5.5,6.7,08
,CHULA VISTA,5.8,6.2,6.0,6.1,7.1,7.7,8.1,8.7,9.6,9.9,8.4,10.4,11.2,9.1,7.9,7.8,7.1,6.9,7.3,6.6,6.0,7.3,8.7,9.2,7.8,11.2,12
,DOWNTOWN SES,6.0,5.7,5.6,5.4,5.1,5.4,5.4,5.6,6.7,6.6,6.7,8.0,6.9,5.9,5.5,4.8,4.7,5.4,5.6,5.2,6.2,7.3,9.6,8.0,6.1,9.6,22
,EL CAJON LES,8.6,8.4,8.5,8.2,8.4,8.4,8.1,8.4,8.3,6.7,5.9,6.1,6.5,5.6,5.3,5.3,4.9,4.4,4.7,4.6,4.7,6.3,7.7,7.2,6.7,8.6,00
,KEARNY MESA,7.3,6.0,7.3,6.4,7.7,9.2,7.7,6.8,7.1,7.2,M,M,M,6.2,5.6,4.9,3.9,4.0,5.0,6.2,5.7,6.5,7.3,6.8,6.4,9.2,05
,OTAY MESA DVN,14.8,21.5,19.4,23.8,23.6,27.9,20.3,17.2,17.2,14.1,10.0,8.7,9.6,8.0,6.6,6.7,6.6,6.8,7.5,7.9,8.0,8.4,7.9,19.5,13.4,27.9,05
,PENDLETON,5.4,5.1,5.1,5.2,5.2,5.5,6.2,8.8,8.5,7.9,7.6,8.0,8.0,8.1,7.7,5.4,5.2,5.8,5.9,6.5,7.5,7.0,7.5,6.7,6.6,8.8,07
12 VWDR °,ALPINE,87,88,83,99,50,316,225,239,M,292,276,295,290,290,272,276,273,255,261,257,105,111,91,58,0,316,05
,CHULA VISTA,159,134,348,14,12,308,293,265,263,254,261,255,266,254,256,249,257,262,253,242,245,223,183,181,0,348,02
,DOWNTOWN SES,334,333,344,333,336,335,305,299,245,275,278,284,286,278,270,273,282,274,300,304,299,322,339,340,0,344,02
,EL CAJON LES,91,89,107,94,56,129,36,271,260,283,222,250,247,257,249,240,244,254,256,321,314,170,143,91,0,321,19
,KEARNY MESA,4,7,3,358,324,337,340,337,281,296,292,300,322,306,303,305,310,306,303,295,301,302,299,323,0,358,03
,OTAY MESA DVN,51,82,97,117,7,52,284,243,302,295,291,289,285,293,292,292,293,292,300,315,319,298,345,11,0,345,22
,PENDLETON,9,23,30,23,24,11,315,271,266,272,267,267,271,277,275,271,259,248,260,275,304,304,288,299,0,315,06
13 SIGTHETA °,ALPINE,50,18,15,35,37,26,29,24,M,31,29,33,34,29,30,29,29,29,26,49,23,16,14,16,28,50,00
,CHULA VISTA,13,14,58,29,21,51,40,48,40,25,22,21,20,19,21,19,22,23,20,17,17,19,16,14,25,58,02
,DOWNTOWN SES,16,42,13,13,11,18,28,38,24,20,21,21,21,21,15,16,20,22,22,22,20,20,16,23,21,42,01
,EL CAJON LES,20,18,17,17,41,38,35,74,46,43,42,35,26,23,23,21,22,23,22,25,21,25,20,34,30,74,07
,KEARNY MESA,6,11,10,6,6,9,16,34,45,30,22,17,15,15,15,15,11,10,11,8,7,7,8,21,15,45,08
,OTAY MESA DVN,32,42,27,8,19,18,37,60,30,15,13,11,14,11,13,14,11,12,12,13,18,21,20,22,21,60,07
,PENDLETON,22,9,10,9,9,12,19,15,15,15,16,15,P,16,16,15,16,14,16,16,17,15,27,26,16,27,22
14 VWSP MPH,ALPINE,.3,1.1,.2,.2,.2,.0,.6,2.9,M,4.0,4.5,4.3,4.4,5.4,5.1,5.7,4.8,3.9,2.6,.3,.3,1.2,1.0,.3,.0,5.7,15
,CHULA VISTA,1.3,.7,.2,.1,.3,.1,.9,1.4,2.4,4.0,4.9,6.4,6.7,7.4,6.9,6.7,5.8,4.6,3.8,2.6,3.1,2.0,2.1,1.7,.0,7.4,13
,DOWNTOWN SES,1.8,1.0,2.2,2.1,3.2,2.9,2.4,2.5,4.1,5.1,5.6,7.6,8.3,7.9,9.4,8.6,6.8,4.7,4.3,3.5,4.3,3.5,1.7,2.2,.0,9.4,14
,EL CAJON LES,.6,.9,.6,.9,.0,.3,.6,.5,1.6,2.8,3.0,4.5,6.7,7.4,7.1,7.2,6.0,4.9,4.0,2.2,1.2,1.2,1.3,.7,.0,7.4,13
,KEARNY MESA,2.8,2.6,2.8,3.1,3.2,3.7,4.2,2.9,2.7,4.6,6.9,8.9,10.4,10.9,11.4,9.8,10.8,8.5,5.3,4.1,5.5,3.8,3.1,1.0,.0,11.4,14
,OTAY MESA DVN,1.0,.5,1.6,3.0,2.5,1.2,1.0,1.0,2.9,7.1,9.4,11.1,11.1,11.4,10.6,9.3,9.4,7.9,5.8,4.1,2.5,1.5,1.6,1.0,.0,11.4,13
,PENDLETON,1.8,3.1,2.7,3.5,2.8,2.2,2.4,3.9,5.0,5.2,6.0,6.6,6.9,6.5,6.6,6.1,5.2,5.0,3.9,3.1,3.4,2.2,1.2,1.1,.0,6.9,12
15 SWSP MPH,ALPINE,.3,1.2,.2,.2,.3,.0,.9,3.1,M,4.5,5.1,4.8,5.2,6.0,5.8,6.3,5.4,4.3,2.9,.6,.3,1.3,1.1,.3,2.6,6.3,15
,CHULA VISTA,1.4,.8,.3,.1,.4,.1,1.2,1.7,2.8,4.3,5.2,6.9,7.1,7.8,7.3,7.1,6.2,5.0,4.0,2.7,3.3,2.1,2.2,1.8,3.4,7.8,13
,DOWNTOWN SES,1.8,1.1,2.3,2.2,3.3,3.0,2.8,2.9,4.5,5.4,5.9,8.2,9.1,8.6,9.7,9.0,7.2,5.0,4.8,3.8,4.6,3.7,1.8,2.3,4.7,9.7,14
,EL CAJON LES,.6,1.0,.6,1.1,.2,.4,.7,1.1,2.5,3.5,3.7,5.5,7.4,8.1,7.9,7.7,6.4,5.4,4.4,2.5,1.5,1.5,1.5,.8,3.2,8.1,13
,KEARNY MESA,2.9,2.7,2.9,3.3,3.2,3.8,4.3,3.5,3.6,5.4,7.4,9.3,10.8,11.5,11.9,10.4,11.2,8.6,5.4,4.2,5.6,3.8,3.1,1.3,5.8,11.9,14
,OTAY MESA DVN,1.6,.8,1.7,3.0,2.7,1.7,1.2,1.8,3.2,7.3,9.7,11.3,11.4,11.6,10.9,9.6,9.7,8.0,5.9,4.3,2.6,1.9,1.8,1.1,5.2,11.6,13
,PENDLETON,2.2,3.1,2.8,3.6,2.9,2.3,2.6,4.0,5.2,5.4,6.2,6.9,7.1,6.8,6.8,6.3,5.4,5.1,4.1,3.3,3.5,2.3,1.4,1.3,4.2,7.1,12
16 AMBTEMP °F,ALPINE,73.2,73.8,74.6,74.6,74.5,75.3,77.3,79.7,M,84.0,86.2,88.0,90.0,90.7,90.3,87.9,85.8,83.3,79.5,76.1,74.7,73.5,73.5,74.2,80.0,90.7,13
,CARMEL MT RCH,70.4,70.0,69.9,69.6,69.8,69.8,72.4,77.1,81.8,85.7,87.7,88.8,88.8,88.3,87.7,86.2,84.1,81.7,78.6,74.6,70.8,70.2,68.6,68.5,77.5,88.8,11
,CHULA VISTA,69.1,68.9,68.9,68.6,68.7,69.3,72.1,75.6,78.6,80.7,82.2,82.7,82.6,82.2,80.8,80.1,78.9,78.1,75.7,74.4,71.9,69.7,68.9,68.1,74.9,82.7,11
,DOWNTOWN SES,70.7,70.7,70.2,69.6,69.0,69.0,71.3,74.5,77.2,79.4,81.5,81.2,80.7,80.3,79.0,79.2,78.4,77.9,75.6,74.3,70.8,69.3,69.6,69.1,74.5,81.5,10
,EL CAJON LES,73.1,71.7,70.9,70.7,70.5,70.9,74.8,79.5,85.0,88.7,91.5,93.8,94.1,94.7,93.6,91.0,89.7,87.2,83.6,81.6,80.2,76.6,73.5,72.1,81.6,94.7,13
,KEARNY MESA,69.7,68.1,66.9,67.0,66.4,67.8,71.0,75.5,81.7,86.1,88.8,89.2,89.0,87.1,84.7,83.8,81.9,80.0,76.4,73.3,69.8,67.7,67.0,66.5,76.1,89.2,11
,OTAY MESA DVN,68.8,69.6,69.4,69.5,70.2,70.5,74.5,78.9,82.1,85.0,87.1,87.7,87.0,84.6,83.4,81.6,80.0,78.7,75.8,71.6,69.8,68.0,67.0,67.5,76.2,87.7,11
,PENDLETON,67.2,66.4,65.8,65.0,65.6,66.2,67.9,68.5,69.1,69.6,70.9,71.6,72.2,72.1,71.8,71.6,71.8,71.0,69.7,68.7,68.1,67.7,67.4,67.3,68.9,72.2,12
17 RELHUM %,ALPINE,30,30,28,23,27,24,29,25,M,22,29,26,24,24,23,26,26,23,22,22,27,30,30,30,26,30,00
,EL CAJON LES,54,57,57,46,45,46,39,33,28,21,21,26,25,21,21,19,18,17,22,20,22,35,51,51,33,57,01
,KEARNY MESA,58,55,53,58,84,90,83,67,45,36,27,25,24,28,29,28,21,26,43,47,67,87,94,93,53,94,22
18 PRES mmHg,EL CAJON LES,748,748,748,748,748,748,748,748,748,748,748,747,747,747,746,746,746,746,746,747,747,747,747,747,747,748,00
,KEARNY MESA,750,749,749,749,749,749,749,750,750,749,749,749,749,748,748,748,748,748,748,748,749,749,749,749,749,750,00
19 SOLAR W/M2,EL CAJON LES,-2,-1,-1,-1,2,54,239,437,612,755,897,954,955,893,775,609,412,213,39,-3,-3,-3,-3,-2,326,955,12
,KEARNY MESA,1,1,1,1,4,95,296,509,706,853,982,1031,1025,965,846,679,480,257,69,1,1,1,1,1,367,1031,11
20 UVRAD W/M2,EL CAJON LES,0,0,0,0,0,4,13,24,34,43,50,53,53,49,41,32,21,10,2,0,0,0,0,0,18,53,11
25 NOY,EL CAJON LES,11.60,10.13,9.85,4.97,6.03,C,C,10.08,13.81,8.88,6.33,4.86,4.33,3.95,3.64,3.44,3.76,4.14,4.02,6.03,8.72,8.46,11.89,11.89,7.30,13.81,08
26 NOY-NO,EL CAJON LES,11.50,10.04,9.76,4.91,5.80,C,C,7.66,10.69,7.00,5.17,4.00,3.34,2.97,2.60,2.52,2.79,2.97,3.30,5.49,8.27,8.31,11.80,11.82,6.48,11.82,23
27 NO Trace,EL CAJON LES,.09,.09,.09,.06,.22,C,C,2.42,3.11,1.87,1.16,.85,.99,.98,1.04,.92,.97,1.16,.71,.54,.45,.15,.09,.07,.81,3.11,08
28 SO2 Tr PPB,EL CAJON LES,M,C,C,C,C,M,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
29 CO Tr PPB,EL CAJON LES,286.3,271.1,C,C,C,290.3,268.6,C,354.9,259.5,223.5,206.5,181.8,154.8,148.6,142.5,148.7,162.6,179.1,177.0,201.0,251.6,280.4,257.6,222.3,354.9,08
BCarbon ug/m3,10TH AVE MARINE TERM,.51,.68,.55,1.08,.28,.34,.39,.74,.51,<,<,<,<,<,.44,.27,<,.38,.77,.58,.55,.57,<,.23,.52,1.08,03
,BOSTON AVE,.49,.41,.41,.51,.58,.64,.64,.97,.97,.65,.51,.59,.60,.48,.33,.33,.31,.36,.55,.60,.57,.73,.91,.87,.58,.97,07
,CHICANO PARK,.57,<,.67,.38,.59,<,.53,1.08,.92,<,<,.65,.75,.55,.38,.33,<,.50,.68,<,.71,.73,.87,<,.64,1.08,07
,DOWNTOWN SES,.44,.34,.40,.30,.31,.36,.36,.50,1.01,.97,.95,.60,.55,.36,.25,.28,.33,.43,.53,.54,.43,.47,.63,.53,.49,1.01,08
,OCEANVIEW BLVD,.45,.38,.46,.69,.76,<,<,.51,<,.93,<,.69,.53,<,.36,.35,<,.43,<,.44,<,.42,.47,.76,.54,.93,09
,SAN YSIDRO,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
PM10 STD,ALPINE,14.9,18.6,13.9,12.0,8.5,9.7,13.6,17.1,13.3,18.5,15.0,16.1,16.9,20.1,19.1,16.6,12.7,12.4,12.5,13.2,14.9,17.5,17.1,14.2,14.9,20.1,13
,CARMEL MT RCH,10.3,12.8,14.1,14.3,15.1,19.8,16.7,19.0,18.9,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,15.6,19.8,05
,CHULA VISTA,13.2,14.5,14.7,15.4,17.1,18.2,20.1,21.2,28.8,28.2,26.3,26.8,31.1,26.6,21.6,19.3,18.8,18.0,20.6,19.0,17.2,17.8,19.0,19.8,20.5,31.1,12
,DOWNTOWN SES,12.5,12.1,11.8,11.2,11.2,12.8,14.2,15.2,21.8,21.9,22.2,25.0,24.5,21.3,19.5,14.5,12.6,13.3,13.9,14.3,17.0,15.0,17.4,17.1,16.3,25.0,11
,EL CAJON LES,20.0,19.5,19.9,24.7,21.8,19.4,24.5,23.7,30.3,22.1,20.0,19.4,22.5,23.7,21.7,23.0,19.2,13.0,13.9,12.9,12.3,16.5,21.1,19.5,20.1,30.3,08
,KEARNY MESA,37.2,19.9,45.5,29.2,47.2,67.9,36.1,25.7,28.9,27.8,M,M,M,29.4,23.3,13.1,11.5,10.1,11.8,18.5,15.8,17.3,15.9,15.3,26.0,67.9,05
,OTAY MESA DVN,59.2,100.3,81.3,80.1,125.5,180.9,79.4,73.3,61.4,66.8,60.4,48.0,61.6,32.6,28.2,24.3,25.1,24.5,28.4,24.8,23.9,26.4,25.4,139.8,61.7,180.9,05
,PENDLETON,11.5,10.3,10.1,11.8,11.2,11.8,17.0,31.3,23.0,19.2,18.9,20.4,23.5,22.1,22.3,14.8,12.6,12.6,14.4,18.1,23.8,23.6,22.5,18.3,17.7,31.3,07
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
