Current Date:,6/21/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
6/20/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.030,.028,C,C,.030,.031,.030,.032,.035,.037,.040,.046,.055,.053,.049,.048,.045,.039,.031,.029,.029,.028,.030,.029,.036,.055,12
,CHULA VISTA,.040,.040,C,C,.039,.037,.036,.037,.037,.038,.037,.034,.033,.033,.031,.030,.028,.029,.029,.028,.029,.030,.029,.029,.033,.040,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.036,.035,C,C,C,.031,.032,.032,.034,.038,.041,.048,.045,M,.043,.038,.034,.030,.029,.029,.029,.029,.028,.029,.034,.048,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.039,.035,C,C,.030,.031,.031,.031,.032,.035,.037,.040,.041,.039,.038,.033,.030,.028,.028,.027,.027,.027,.028,.027,.032,.041,12
,OTAY MESA DVN,.035,.035,C,C,.034,.033,.031,.027,.030,.034,.040,.077,M,M,M,M,M,M,M,M,M,M,M,M,.037,.077,11
,PENDLETON,.039,.038,C,C,.037,.036,.035,.036,.035,.036,.039,.040,.039,.038,.033,.032,.031,.029,.028,.028,.030,.030,.029,.029,.033,.040,11
02 NOX PPM,ALPINE,.004,.003,C,C,.003,.004,.005,.005,.005,.004,.004,.003,.003,.002,.002,.002,.003,.004,.004,.004,.003,.003,.002,.002,.003,.005,06
,CARMEL MT RCH,.009,.006,C,C,C,.038,.046,.054,.045,.048,.046,.032,.031,.037,.026,.016,.016,.018,.017,.017,.021,.017,.011,.009,.027,.054,07
,CHULA VISTA,.001,.001,C,C,.001,.002,.003,.002,.002,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.001,.003,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.003,.003,C,C,C,.005,.005,.005,.005,.004,.004,.003,.002,M,.002,.004,.003,.003,.004,.003,.003,.002,.001,.001,.003,.005,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.002,.004,C,C,.007,.007,.006,.007,.008,.004,.005,.004,.003,.003,.002,.002,.003,.002,.002,.002,.003,.003,.002,.002,.004,.008,08
,OTAY MESA DVN,.003,.003,C,C,.004,.004,.006,.010,.009,.008,.005,.081,M,M,M,M,M,M,M,M,M,M,M,M,.013,.081,11
,PENDLETON,.001,.001,C,C,.001,.002,.002,.001,.002,.004,.002,.001,.001,.003,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.004,09
03 NO2 PPM,ALPINE,.004,.003,C,C,.003,.004,.005,.004,.004,.003,.003,.003,.003,.002,.002,.002,.002,.003,.004,.004,.003,.003,.002,.002,.003,.005,06
,CARMEL MT RCH,.006,.005,C,C,C,.017,.020,.025,.021,.023,.022,.018,.017,.019,.013,.007,.008,.008,.008,.008,.010,.009,.006,.006,.013,.025,07
,CHULA VISTA,.001,.001,C,C,.001,.002,.003,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.001,.003,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.003,.003,C,C,C,.005,.005,.004,.004,.003,.003,.003,.002,M,.002,.002,.002,.002,.003,.003,.003,.002,.001,.001,.003,.005,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.002,.004,C,C,.007,.006,.006,.007,.007,.004,.004,.003,.003,.002,.002,.002,.002,.002,.002,.003,.003,.003,.002,.002,.004,.007,04
,OTAY MESA DVN,.003,.002,C,C,.003,.003,.005,.008,.007,.006,.002,.001,M,M,M,M,M,M,M,M,M,M,M,M,.004,.008,07
,PENDLETON,.001,.001,C,C,.001,.001,.001,.001,.002,.003,.001,.001,.001,.002,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.003,09
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
,CARMEL MT RCH,.003,.002,C,C,C,.021,.026,.029,.024,.025,.024,.015,.015,.018,.013,.008,.008,.010,.009,.009,.011,.008,.005,.004,.014,.029,07
,CHULA VISTA,.000,.000,C,C,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,00
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.000,.000,.001,.001,.001,.001,.001,.001,M,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.001,.001,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.000,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,07
,OTAY MESA DVN,.001,.001,C,C,.001,.001,.001,.002,.002,.002,.002,.079,M,M,M,M,M,M,M,M,M,M,M,M,.009,.079,11
,PENDLETON,.000,.000,C,C,.000,.000,.000,.000,.001,.001,.001,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,08
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.5,.5,.5,.4,.4,.4,.3,.4,.5,.4,.3,.3,.4,.4,.3,.3,.3,.2,.2,.4,.5,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,25,26,25,25,26,26,25,25,24,24,23,23,24,24,24,24,24,24,24,24,24,25,25,25,25,26,01
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,00
,CHULA VISTA,25,25,25,26,25,25,25,25,25,25,24,25,25,25,25,25,25,24,25,25,25,25,25,24,25,26,03
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,24,25,22
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,27,26,26,26,26,25,25,25,26,26,26,26,27,27,27,26,27,00
