Current Date:,6/18/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
6/17/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.031,.030,C,C,.025,.025,.023,.025,.028,.029,M,M,M,.038,.039,.039,.038,.034,.031,.029,.028,.026,.025,.025,.029,.039,14
,CHULA VISTA,.032,.035,C,C,.034,.034,.034,.034,.035,.036,.037,.038,.037,.034,.033,.032,.032,.031,.033,.033,.032,.032,.032,.031,.033,.038,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.032,.033,C,C,C,.029,.028,.028,.028,.029,.034,.037,.040,.039,.037,.035,.032,.030,.028,.027,.027,.027,.027,.027,.031,.040,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.035,.034,C,C,.028,.026,.027,.028,.030,.031,.034,.038,.039,.036,.035,M,M,.028,.027,.027,.027,.027,.027,.027,.030,.039,12
,OTAY MESA DVN,.024,.025,C,C,.024,.024,.027,M,M,.030,.028,.029,.031,.034,.032,.030,.030,.029,.028,.028,.028,.027,.026,.026,.028,.034,13
,PENDLETON,.041,.041,C,C,.036,.037,.035,.030,.034,.036,.038,.036,.033,.033,.033,.034,.033,.029,.032,.032,.033,.033,.033,.033,.034,.041,00
02 NOX PPM,ALPINE,.003,.002,C,C,.003,.003,.004,.004,.004,.005,M,M,M,.003,.004,.004,.006,.006,.006,.006,.005,.004,.004,.004,.004,.006,16
,CARMEL MT RCH,.010,.010,C,C,C,.033,.042,.044,.039,M,M,M,M,M,M,.025,.021,.023,.016,.015,.016,.013,.009,.010,.022,.044,07
,CHULA VISTA,.002,.001,C,C,.001,.002,.003,.003,.002,.002,.002,.001,.001,.001,.001,.001,.001,.002,.002,.002,.001,.001,.001,.002,.002,.003,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.002,.002,C,C,C,.003,.004,.006,.004,.006,.005,.004,.004,.003,.003,.005,.006,.006,.006,.006,.005,.005,.005,.005,.005,.006,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.002,.002,C,C,.004,.007,.008,.008,.007,.007,.008,.006,.004,.004,.004,M,M,.006,.006,.006,.007,.005,.006,.005,.006,.008,06
,OTAY MESA DVN,.006,.005,C,C,.004,.006,.005,M,M,.007,.012,.014,.011,.009,.005,.004,.004,.004,.003,.003,.004,.004,.004,.004,.006,.014,11
,PENDLETON,.001,.001,C,C,.004,.001,.007,.034,.018,.005,.001,.001,.005,.003,.002,.000,.000,.020,.000,.000,.002,.002,.002,.001,.005,.034,07
03 NO2 PPM,ALPINE,.003,.002,C,C,.003,.003,.004,.003,.003,.004,M,M,M,.003,.003,.004,.005,.005,.006,.006,.005,.004,.004,.004,.004,.006,18
,CARMEL MT RCH,.008,.007,C,C,C,.016,.018,.020,.016,M,M,M,M,M,M,.013,.011,.011,.009,.008,.009,.007,.006,.007,.011,.020,07
,CHULA VISTA,.002,.001,C,C,.001,.002,.003,.003,.002,.002,.002,.001,.001,.001,.001,.001,.001,.001,.002,.002,.001,.001,.001,.002,.002,.003,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.002,.002,C,C,C,.003,.004,.004,.003,.005,.004,.003,.003,.003,.003,.004,.005,.005,.006,.006,.005,.005,.005,.004,.004,.006,18
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.002,.002,C,C,.004,.007,.007,.007,.006,.006,.006,.005,.003,.003,.003,M,M,.005,.006,.006,.007,.005,.006,.005,.005,.007,05
,OTAY MESA DVN,.005,.004,C,C,.003,.005,.004,M,M,.005,.010,.011,.009,.007,.003,.003,.003,.003,.002,.002,.003,.003,.003,.003,.005,.011,11
