,EL CAJON LES,122,358,356,189,179,138,113,188,279,257,207,239,259,251,254,240,231,236,240,218,207,200,226,243,226,358,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,282,332,321,317,283,314,336,302,276,272,240,237,268,247,259,278,267,268,274,274,257,201,231,211,273,336,06
,OTAY MESA DVN,19,29,42,67,326,312,324,336,284,282,293,297,287,277,277,270,272,291,292,302,329,4,360,353,247,360,22
,PENDLETON,,,,,,,,,,,,P,262,268,272,273,267,269,276,234,197,201,223,206,246,276,18
13 SIGTHETA °,ALPINE,27,40,68,24,54,40,45,34,41,33,39,31,30,32,33,30,30,27,24,25,25,25,28,31,34,68,02
,CHULA VISTA,46,25,28,47,66,23,23,24,20,19,26,23,22,22,18,19,20,22,21,23,25,31,24,26,27,66,04
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,36,37,24,53,20,28,34,60,72,34,55,37,33,29,26,23,22,19,22,24,16,19,20,19,32,72,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,17,42,30,49,21,17,34,26,39,31,21,23,15,17,16,15,15,14,11,15,17,14,14,16,22,49,03
,OTAY MESA DVN,24,17,20,17,26,19,30,37,21,22,28,28,17,18,18,17,14,14,12,14,33,19,13,13,20,37,07
,PENDLETON,,,,,,,,,,,,P,12,13,13,15,12,11,16,25,19,20,17,25,17,25,19
14 VWSP MPH,ALPINE,1.4,.8,.5,1.3,.7,.9,.3,2.3,2.4,3.9,3.8,4.1,5.0,4.8,5.0,5.3,4.5,4.1,3.8,2.8,2.4,1.7,1.4,1.4,2.7,5.3,15
,CHULA VISTA,.8,2.1,2.3,1.4,1.3,2.6,2.7,3.8,3.9,4.9,3.9,5.4,5.8,6.0,6.0,5.4,4.9,4.2,4.1,2.9,2.0,1.6,2.3,2.2,3.4,6.0,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.5,2.1,1.9,.6,2.5,1.6,2.2,1.0,.9,2.8,3.1,4.4,5.4,5.2,6.5,6.9,5.6,5.7,5.0,4.1,3.7,2.8,2.7,3.1,3.3,6.9,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.5,2.2,1.5,1.9,3.1,3.3,2.2,3.1,2.4,3.1,5.9,5.9,7.5,9.2,9.6,7.5,6.3,6.1,6.6,3.7,2.9,3.4,3.8,3.0,4.5,9.6,14
,OTAY MESA DVN,3.3,4.4,3.4,3.4,1.7,3.7,2.8,2.4,2.9,4.9,4.6,5.8,9.5,8.9,7.8,6.3,6.5,6.2,6.3,4.7,1.8,1.5,2.1,3.0,4.5,9.5,12
,PENDLETON,,,,,,,,,,,,P,5.5,5.2,4.7,4.6,4.6,4.1,3.8,2.4,3.4,3.4,3.3,2.6,4.0,5.5,12
15 SWSP MPH,ALPINE,1.6,1.1,1.3,1.5,1.2,1.7,2.0,2.7,3.1,4.5,4.7,5.2,5.8,5.8,5.7,6.0,5.2,4.6,4.1,3.0,2.7,1.9,1.7,1.6,3.3,6.0,15
,CHULA VISTA,1.2,2.3,2.6,2.0,1.8,2.8,3.0,4.1,4.2,5.2,4.3,5.8,6.3,6.4,6.4,5.8,5.2,4.5,4.3,3.2,2.2,1.9,2.5,2.6,3.8,6.4,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.9,2.5,2.4,1.6,2.7,1.9,2.5,1.7,1.7,3.5,4.0,5.6,6.3,5.9,7.3,7.5,6.1,6.0,5.3,4.5,3.9,3.0,2.9,3.2,3.9,7.5,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.8,2.9,2.7,2.5,3.5,3.4,2.6,3.5,3.2,4.0,6.3,6.5,8.1,9.6,10.2,7.8,6.5,6.2,6.7,3.8,3.3,3.5,3.9,3.2,4.9,10.2,14
,OTAY MESA DVN,3.7,4.7,3.7,3.6,3.3,3.9,3.3,2.7,3.7,5.3,5.1,6.6,9.9,9.4,8.2,6.6,6.7,6.4,6.5,4.8,2.1,1.6,2.2,3.1,4.9,9.9,12
,PENDLETON,,,,,,,,,,,,P,5.6,5.3,4.9,4.8,4.7,4.2,4.1,3.1,3.6,3.6,3.5,2.8,4.2,5.6,12
16 AMBTEMP °F,ALPINE,56.2,56.1,56.0,55.6,55.3,55.7,56.5,59.3,63.2,68.3,71.7,73.5,75.3,75.1,76.1,74.1,70.3,65.9,62.0,60.1,59.4,58.8,58.8,58.8,63.4,76.1,14
,CARMEL MT RCH,61.8,61.7,61.7,61.6,61.5,61.3,61.3,61.9,62.4,64.2,66.7,70.2,70.3,72.3,69.9,66.8,64.7,63.5,62.7,61.9,61.9,61.3,60.6,60.0,63.8,72.3,13
,CHULA VISTA,63.1,63.2,63.3,63.2,63.1,63.2,63.6,64.0,64.5,64.5,65.5,66.3,66.6,65.5,65.4,64.8,64.2,63.8,63.4,62.9,62.8,63.0,63.0,62.6,64.0,66.6,12
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,63.7,63.8,63.4,63.0,62.8,63.2,63.6,64.3,65.7,67.6,70.8,72.2,72.7,73.1,73.5,71.7,68.7,66.4,65.1,63.9,62.9,62.0,61.9,61.4,66.1,73.5,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,63.4,63.4,63.4,63.5,63.2,62.9,63.0,63.5,64.6,65.8,66.6,68.3,68.3,69.3,66.9,65.8,65.2,64.6,63.7,62.1,61.7,62.1,62.2,62.0,64.4,69.3,13
,OTAY MESA DVN,62.5,62.4,62.2,62.2,62.2,62.4,62.8,63.3,64.4,65.3,66.7,69.5,70.1,70.0,66.3,66.0,64.7,63.9,63.1,61.6,60.9,60.9,60.8,60.7,64.0,70.1,12
,PENDLETON,,,,,,,,,,,,P,66.6,65.9,66.2,65.8,65.4,65.0,65.3,65.3,65.1,64.6,64.5,64.0,65.3,66.6,12
17 RELHUM %,ALPINE,95,96,97,97,97,97,96,89,77,66,60,57,53,54,53,57,64,74,83,88,91,93,94,95,80,97,02
,EL CAJON LES,77,78,78,80,81,80,78,77,74,70,64,62,61,60,60,63,69,74,76,80,85,90,90,91,75,91,23
,KEARNY MESA,82,82,82,82,84,85,85,85,82,78,78,74,74,71,77,79,80,82,84,91,93,91,90,89,83,93,20
18 PRES mmHg,KEARNY MESA,744,744,744,743,744,744,744,744,744,744,744,744,744,744,744,743,743,743,744,744,744,744,744,744,744,744,00
19 SOLAR W/M2,KEARNY MESA,0,0,0,0,1,16,41,88,160,248,426,544,548,820,384,218,107,45,9,0,0,0,0,0,152,820,13
28 SO2 Tr PPB,EL CAJON LES,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,.1,.1,.1,.1,.1,.0,.0,.0,.0,.0,.0,.0,.0,.0,.1,11
29 CO Tr PPB,EL CAJON LES,164.8,C,C,C,143.0,158.3,169.9,181.0,193.9,206.0,200.3,207.3,218.1,198.1,192.8,187.0,186.7,188.9,185.7,193.1,176.2,187.3,174.3,181.2,185.4,218.1,12
