,EL CAJON LES,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,27,27,00
,KEARNY MESA,23,22,24,22,24,22,24,22,23,23,24,25,25,25,25,25,<,25,25,25,24,25,25,25,24,25,11
,OTAY MESA DVN,24,24,24,24,24,24,26,25,24,24,24,25,25,25,25,25,25,25,25,24,24,24,24,24,24,26,06
,PENDLETON,26,26,26,27,27,26,26,26,25,24,24,24,25,24,24,24,25,25,25,25,26,26,26,25,25,27,03
,SAN YSIDRO,23,23,23,23,24,24,23,23,23,23,24,24,25,25,24,24,23,25,25,24,24,23,23,23,24,25,12
11 PM2.5 µg/M3,ALPINE,2.1,2.0,2.0,1.6,1.4,1.4,1.3,1.4,1.7,1.8,1.7,1.8,1.5,1.4,2.1,2.8,3.0,3.2,3.3,2.8,3.0,2.6,2.7,2.5,2.1,3.3,18
,CARMEL MT RCH,2.9,2.7,2.7,2.8,2.7,3.1,3.2,3.4,3.4,3.3,2.9,3.2,3.7,3.4,3.5,3.6,3.5,3.8,5.0,6.2,5.4,4.8,4.6,3.9,3.6,6.2,19
,CHULA VISTA,5.3,4.6,4.2,3.7,3.7,3.4,3.6,4.0,3.8,4.2,3.6,5.0,4.7,5.2,5.4,4.0,4.5,6.8,7.6,8.2,7.5,7.2,8.2,5.9,5.1,8.2,19
,DOWNTOWN SES,6.1,4.7,3.7,4.0,3.9,3.7,4.0,3.9,3.5,6.5,5.2,3.9,3.8,3.9,3.4,3.7,3.8,4.3,6.4,7.9,6.3,7.8,7.5,7.1,4.9,7.9,19
,EL CAJON LES,6.9,7.1,5.8,5.7,5.4,5.5,5.9,9.1,6.2,4.4,2.0,2.4,2.8,M,2.5,2.9,3.4,4.5,6.6,7.0,5.7,6.7,5.3,6.4,5.2,9.1,07
,KEARNY MESA,3.6,3.4,3.0,2.9,2.8,2.6,2.6,2.7,3.2,3.1,3.2,3.1,3.2,3.9,3.7,3.5,<,4.6,4.5,4.2,3.8,4.5,4.3,4.4,3.5,4.6,17
,OTAY MESA DVN,9.8,12.9,6.6,5.8,4.6,16.1,35.6,18.7,23.1,27.0,13.4,5.1,3.2,3.7,3.6,3.4,3.6,6.7,9.8,19.1,14.0,8.5,11.3,11.6,11.5,35.6,06
,PENDLETON,2.8,2.7,2.7,2.4,2.5,2.7,3.0,3.1,3.3,3.9,4.2,3.7,3.5,3.8,5.3,5.4,6.4,6.2,5.4,4.5,4.5,4.9,4.5,4.0,3.9,6.4,16
,SAN YSIDRO,18.3,13.7,10.5,11.3,9.9,11.9,19.0,36.4,24.9,15.5,5.2,6.1,3.1,3.5,3.8,3.8,5.0,7.1,9.8,13.0,12.2,25.1,47.8,66.1,15.9,66.1,23
12 VWDR °,ALPINE,240,320,5,267,104,92,337,170,205,315,289,304,341,13,316,307,288,116,113,34,58,6,90,18,0,341,12
,CHULA VISTA,80,74,77,76,77,66,65,95,42,314,278,268,273,269,274,298,303,338,106,97,100,98,96,94,0,338,17
,DOWNTOWN SES,14,25,20,154,80,33,41,63,297,211,221,245,274,287,301,312,325,336,17,24,346,50,40,44,0,346,20
,EL CAJON LES,168,228,108,135,194,112,207,238,310,216,254,220,255,272,273,292,276,133,111,107,86,110,125,202,0,310,08
,KEARNY MESA,63,2,28,35,65,63,62,47,12,24,325,M,285,276,290,304,310,313,93,48,56,80,69,57,0,325,10
,OTAY MESA DVN,29,31,27,46,95,76,94,81,165,161,249,292,286,302,303,318,338,4,124,114,117,50,74,100,0,338,16
,PENDLETON,35,29,17,46,55,70,66,30,7,326,266,276,284,302,308,310,315,322,341,10,57,78,41,64,0,341,18
13 SIGTHETA °,ALPINE,71,66,46,66,56,53,43,32,28,33,34,35,33,49,43,27,24,29,22,26,28,17,26,35,38,71,00
,CHULA VISTA,31,53,28,21,24,31,38,29,32,53,45,26,17,19,22,21,19,26,25,13,17,16,13,18,27,53,01
,DOWNTOWN SES,58,29,31,39,54,50,52,55,40,25,21,23,18,19,23,26,27,49,33,28,20,17,36,48,34,58,00
,EL CAJON LES,71,61,46,72,57,54,62,69,68,54,43,40,28,22,20,20,22,50,19,25,44,30,27,36,43,72,03
,KEARNY MESA,50,21,16,20,8,7,9,15,22,54,39,M,17,14,13,12,10,16,43,32,9,8,16,9,20,54,09
,OTAY MESA DVN,40,12,14,32,52,44,40,32,32,16,37,30,18,13,12,15,9,27,28,12,7,32,26,54,26,54,23
,PENDLETON,12,14,24,22,32,12,18,19,40,25,20,17,16,14,13,11,12,11,12,12,20,15,12,12,17,40,08
14 VWSP MPH,ALPINE,.5,.3,.4,.2,.3,.8,.3,1.2,2.1,2.8,3.3,4.5,5.0,3.0,3.7,4.3,2.1,.8,1.7,1.3,.8,1.6,.9,.5,.0,5.0,12
,CHULA VISTA,1.2,1.3,1.4,1.6,2.0,2.0,1.8,2.2,1.6,.8,2.2,4.7,6.8,5.9,5.7,5.6,2.6,.5,.7,1.8,2.6,3.2,4.1,2.2,.0,6.8,12
,DOWNTOWN SES,1.9,2.2,1.8,.2,.3,1.5,1.4,1.6,.7,2.7,4.0,5.5,6.9,7.6,6.6,4.7,3.3,1.3,.4,.7,1.9,2.3,1.5,1.2,.0,7.6,13
,EL CAJON LES,.2,.0,1.2,.4,.1,.9,.4,.1,.7,.5,2.0,2.2,4.6,8.3,7.8,5.4,3.6,.8,1.6,1.3,1.2,1.1,.5,.2,.0,8.3,13
,KEARNY MESA,.8,3.3,2.6,2.9,5.4,4.4,5.0,4.6,4.2,1.7,3.8,M,10.7,11.1,10.0,8.2,6.3,2.9,1.4,2.3,3.9,4.2,4.4,5.5,.0,11.1,13
,OTAY MESA DVN,2.3,4.2,3.8,3.3,1.5,1.1,1.2,1.1,2.9,4.1,2.6,5.7,9.0,10.9,9.7,7.6,8.3,1.2,2.0,3.8,5.0,1.6,.9,.5,.0,10.9,13
,PENDLETON,4.3,2.8,2.9,5.3,3.1,8.1,6.7,3.3,4.3,3.7,3.6,4.4,4.9,7.1,7.9,9.3,8.2,8.8,6.1,5.3,3.0,6.4,5.5,9.4,.0,9.4,23
15 SWSP MPH,ALPINE,1.4,1.0,1.3,1.3,.9,1.3,.6,1.5,2.6,3.3,4.0,5.2,6.1,3.9,4.7,4.8,2.5,1.0,1.8,1.5,1.0,1.7,1.0,1.0,2.3,6.1,12
,CHULA VISTA,1.7,2.0,1.7,1.7,2.2,2.3,2.3,2.5,3.0,1.5,2.7,5.2,7.1,6.3,6.1,6.0,2.8,1.5,1.0,1.9,2.7,3.3,4.2,2.4,3.1,7.1,12
,DOWNTOWN SES,2.0,2.6,2.3,.4,1.0,1.7,2.0,2.2,1.8,3.0,4.2,6.1,7.3,8.0,7.1,5.2,3.7,1.6,.7,1.2,2.2,2.4,1.7,1.4,3.0,8.0,13
,EL CAJON LES,1.3,.3,1.3,.9,.6,1.3,.9,.7,1.1,.9,2.5,3.1,5.4,8.9,8.3,5.9,3.8,1.3,1.7,1.6,1.4,1.3,1.3,.6,2.4,8.9,13
,KEARNY MESA,1.5,3.5,2.9,3.2,5.5,4.4,5.1,5.0,4.6,3.0,4.4,M,11.1,11.4,10.2,8.3,<,3.4,2.2,2.4,4.0,4.2,4.6,5.6,5.0,11.4,13
,OTAY MESA DVN,2.5,4.3,4.0,3.6,1.9,1.3,1.8,1.8,3.1,4.3,3.6,6.4,9.4,11.3,9.9,7.9,8.5,2.9,2.2,3.9,5.1,3.1,2.5,1.4,4.4,11.3,13
,PENDLETON,4.5,2.9,3.5,5.5,3.9,8.2,7.6,3.6,4.6,5.4,3.8,4.6,5.1,7.3,8.1,9.5,8.4,9.0,6.4,5.4,3.3,6.6,5.9,10.2,6.0,10.2,23
16 AMBTEMP °F,ALPINE,59.0,56.1,55.4,56.5,55.5,55.7,57.3,60.0,63.4,65.3,68.6,70.2,72.5,73.3,71.4,68.5,64.6,61.2,59.1,58.8,59.0,58.9,57.7,58.1,61.9,73.3,13
,CARMEL MT RCH,59.6,57.9,57.1,55.5,56.6,55.3,56.1,57.5,63.1,68.9,73.2,75.2,75.9,74.1,72.7,72.3,70.3,66.8,63.6,61.6,60.0,58.7,56.6,54.9,63.5,75.9,12
,CHULA VISTA,54.5,52.7,51.6,51.0,50.7,50.7,52.0,58.0,64.0,69.3,72.7,74.6,72.9,72.9,72.3,72.3,70.9,66.7,63.3,61.3,60.9,59.4,58.6,55.5,62.0,74.6,11
,DOWNTOWN SES,57.4,56.5,56.0,52.5,51.8,52.1,52.5,59.5,65.6,69.4,72.7,74.6,74.2,72.8,72.3,72.0,70.8,67.9,65.4,63.2,62.2,60.4,57.7,56.1,63.2,74.6,11
,EL CAJON LES,49.3,47.6,45.4,44.3,43.3,42.2,42.4,48.8,58.3,67.0,73.3,76.5,78.0,77.7,76.6,74.2,71.1,65.8,60.5,58.5,56.9,54.3,51.5,49.3,58.9,78.0,12
,KEARNY MESA,56.5,53.9,56.4,54.6,55.1,53.2,55.1,62.6,68.6,72.6,75.2,76.8,77.1,74.7,72.6,72.0,<,65.7,62.0,60.2,59.2,56.6,55.7,55.3,63.1,77.1,12
,OTAY MESA DVN,60.9,60.8,59.8,59.1,58.0,57.6,56.5,59.9,64.7,69.1,73.0,74.9,75.3,73.7,72.4,72.3,68.6,66.1,63.0,61.7,60.6,59.1,58.2,56.1,64.2,75.3,12
,PENDLETON,60.2,57.4,57.2,60.8,58.1,57.4,57.5,59.9,67.1,68.9,66.5,66.4,67.1,68.7,69.2,69.3,67.2,66.8,65.2,64.5,61.8,58.9,54.7,55.4,62.8,69.3,15
,SAN YSIDRO,53.4,51.2,49.9,48.6,48.9,48.4,49.3,57.9,65.7,71.6,75.2,76.1,75.8,73.2,72.0,72.0,68.4,63.8,61.2,59.9,58.5,56.2,54.8,53.8,61.1,76.1,11
17 RELHUM %,ALPINE,14,16,17,15,15,15,14,14,14,14,12,11,8,7,12,20,23,26,27,22,25,22,22,20,17,27,18
,EL CAJON LES,64,67,67,69,69,69,68,53,35,22,13,13,14,13,13,18,22,28,35,38,37,39,41,45,40,69,03
,KEARNY MESA,27,28,23,25,25,27,26,21,15,14,12,12,11,20,26,29,<,34,38,36,32,37,37,35,26,38,18
18 PRES mmHg,EL CAJON LES,750,750,750,750,750,750,751,751,751,751,751,750,749,749,749,749,749,749,750,750,750,750,750,750,750,751,06
,KEARNY MESA,751,751,750,750,751,751,751,752,752,752,751,751,750,750,750,750,<,750,750,750,751,751,751,751,751,752,07
19 SOLAR W/M2,EL CAJON LES,-2,-3,-3,-2,-2,-2,12,38,124,522,642,649,625,542,397,207,29,-7,-5,-3,-3,-3,-3,-3,156,649,11
,KEARNY MESA,0,0,0,0,0,0,40,225,430,594,695,729,697,592,440,246,<,-1,0,0,0,0,0,0,204,729,11
20 UVRAD W/M2,EL CAJON LES,0,0,0,0,0,0,2,7,14,28,33,35,32,27,19,9,2,0,0,0,0,0,0,0,9,35,11
25 NOY,EL CAJON LES,21.73,21.17,16.56,16.17,19.25,C,C,32.67,32.01,19.33,4.46,5.86,6.56,5.57,4.75,6.53,6.85,15.31,22.17,18.67,12.45,12.03,12.64,15.57,14.92,32.67,07
26 NOY-NO,EL CAJON LES,20.12,19.95,15.91,15.34,17.59,C,C,18.03,18.25,12.66,3.28,4.45,5.14,4.40,3.84,5.52,6.31,14.46,21.54,18.23,12.00,11.52,11.71,14.95,12.50,21.54,18
27 NO Trace,EL CAJON LES,1.60,1.22,.64,.83,1.66,C,C,14.63,13.76,6.67,1.18,1.41,1.42,1.17,.91,1.01,.53,.85,.62,.43,.44,.50,.93,.61,2.41,14.63,07
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.1,.1,.0,M,M,M,.0,.1,.1,.1,.1,.1,.1,.1,.0,.0,.1,.0,.1,07
29 CO Tr PPB,EL CAJON LES,455.6,433.8,C,C,C,418.4,585.9,570.4,586.2,412.8,C,C,M,165.5,154.5,186.8,238.3,359.2,416.4,403.5,339.8,332.7,304.9,387.3,375.1,586.2,08
BCarbon ug/m3,10TH AVE MARINE TERM,.94,1.07,1.29,.93,.68,.66,.97,1.08,3.11,<,<,<,.82,.39,.37,.51,.65,.71,1.12,1.17,1.90,1.58,1.66,1.36,1.09,3.11,08
,BOSTON AVE,.95,.81,1.17,.60,.73,1.56,1.98,1.99,1.56,1.95,1.14,.83,.66,.53,.66,.56,.65,.75,1.10,1.50,2.18,2.38,2.04,1.31,1.23,2.38,21
,CHICANO PARK,<,.36,.80,<,.46,.86,1.15,1.17,1.29,<,1.08,.84,<,<,.40,<,.52,.45,.83,.98,<,1.64,<,.93,.86,1.64,21
,DOWNTOWN SES,.46,.48,.15,<,.21,<,<,<,<,1.86,<,.64,.43,<,.30,.28,.34,.45,.85,.86,<,.98,1.20,1.05,.66,1.86,09
,OCEANVIEW BLVD,.41,<,.72,<,.41,<,<,1.35,1.08,.66,.97,.68,.50,<,.34,.25,.42,.67,<,1.38,1.62,1.59,1.57,1.13,.88,1.62,20
,SAN YSIDRO,<,2.14,1.83,2.18,2.01,2.67,3.74,7.76,<,2.36,.78,.73,.27,.27,.21,.21,.36,.60,.85,<,1.99,5.10,<,13.06,2.46,13.06,23
PM10 STD,ALPINE,10.3,9.7,7.8,7.4,6.5,6.9,5.5,7.3,8.1,8.9,10.0,11.3,7.7,5.3,13.9,18.1,17.8,18.9,15.3,14.6,13.0,12.1,12.4,12.1,10.8,18.9,17
,CARMEL MT RCH,13.1,12.0,11.3,12.3,11.0,15.3,16.3,17.5,16.7,17.5,16.0,26.4,43.8,39.7,35.1,30.9,24.9,22.8,22.3,25.0,24.4,21.5,19.3,16.6,21.3,43.8,12
,CHULA VISTA,21.5,18.2,16.4,14.3,15.9,14.1,17.5,26.0,23.8,27.0,19.5,28.5,27.6,28.4,29.9,22.6,27.3,30.4,29.5,30.9,38.3,37.2,41.8,26.2,25.5,41.8,22
,DOWNTOWN SES,25.0,20.0,16.3,16.6,14.6,15.6,16.2,20.8,20.8,38.8,36.4,26.2,30.5,35.2,28.1,22.9,23.2,20.4,25.2,25.8,23.7,26.8,27.2,26.7,24.2,38.8,09
,EL CAJON LES,28.2,31.7,24.4,21.8,17.2,19.3,21.3,60.4,36.1,21.4,12.3,14.0,18.3,M,18.8,20.4,20.4,30.7,30.9,31.8,28.4,25.5,21.0,21.7,25.0,60.4,07
,KEARNY MESA,20.8,17.3,14.4,15.6,14.0,11.0,11.4,15.1,25.3,24.5,31.4,21.4,26.8,40.0,29.0,26.2,<,31.9,21.8,20.4,18.8,22.4,20.1,19.2,21.6,40.0,13
,OTAY MESA DVN,89.7,138.6,53.8,37.5,29.2,171.4,325.3,206.7,255.3,340.1,118.2,44.0,27.0,41.5,37.0,28.3,27.3,84.1,101.1,127.7,110.7,63.1,81.0,86.2,109.3,340.1,09
,PENDLETON,13.3,14.2,13.3,9.1,12.9,14.4,23.1,23.4,29.1,32.6,31.5,22.0,19.0,27.5,33.9,27.9,33.9,34.6,27.1,26.5,25.9,28.3,24.6,21.1,23.7,34.6,17
,SAN YSIDRO,67.0,50.6,40.9,50.4,41.8,54.1,76.9,147.0,124.4,84.2,32.8,36.3,17.4,22.0,28.8,25.0,31.0,45.1,43.8,59.1,46.0,107.1,179.7,197.3,67.0,197.3,23
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
