Current Date:,11/30/2023,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
11/29/2023
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.047,.048,C,C,.044,.043,.039,.039,.041,.042,.045,.045,.043,.044,.044,.044,.039,.035,.036,.033,.032,.032,.036,.037,.040,.048,01
,CHULA VISTA,.019,.015,C,C,.009,.010,.014,.011,.006,,.033,.039,.040,.042,.040,.045,.039,.036,.033,.023,.018,.021,.021,.019,.025,.045,15
,DOWNTOWN SES,.003,.010,C,C,.007,.013,.015,.011,.009,.020,.029,.031,.033,.036,.034,.040,.037,.034,.030,.023,.027,.015,.006,.014,.021,.040,15
,EL CAJON LES,.003,.002,C,C,C,.002,.002,.003,.004,M,.036,.039,.038,.042,.041,.038,.039,.035,.030,.024,.017,.008,.014,.020,.021,.042,13
,KEARNY MESA,.025,.026,C,C,.019,.019,.017,.020,.016,.031,.039,.041,.042,.043,.042,.042,.039,.033,.033,.018,.014,.007,.010,.022,.027,.043,13
,OTAY MESA DVN,.034,.016,C,C,.021,.018,.007,.004,.005,.016,M,M,.044,.044,.043,.042,.041,.037,.036,.035,.035,.026,.027,.028,.027,.044,12
,PENDLETON,.021,.021,C,C,.016,.017,.013,M,M,M,M,M,M,M,.038,.039,.042,.042,.028,.019,.022,.019,.014,.018,.024,.042,16
03 NO2 PPB,ALPINE,1.0,.9,C,C,1.4,2.8,4.9,2.9,2.0,2.4,1.4,1.6,3.2,3.3,2.6,3.0,3.8,6.4,4.3,6.4,6.9,5.3,3.1,1.8,3.2,6.9,20
,CARMEL MT RCH,30.0,27.2,C,C,33.8,32.3,33.0,24.1,18.9,8.7,14.5,13.3,12.9,14.9,15.5,12.4,12.1,14.8,19.8,20.1,15.8,24.1,18.6,6.7,19.2,33.8,04
,CHULA VISTA,14.9,17.9,C,C,22.1,21.1,17.6,20.8,29.1,,12.1,8.6,7.1,4.2,4.8,3.5,4.9,6.3,5.5,9.6,14.5,12.8,11.8,9.6,12.3,29.1,08
,DOWNTOWN SES,24.9,18.0,C,C,19.5,18.4,17.5,22.7,25.3,17.7,11.6,14.9,13.4,9.3,9.8,6.2,5.8,8.6,10.3,17.2,10.7,16.1,23.6,14.9,15.2,25.3,08
,EL CAJON LES,20.5,20.0,C,C,C,17.5,17.5,18.6,21.4,M,5.8,5.0,6.0,2.4,3.1,4.9,4.2,6.7,9.5,11.4,12.8,16.5,11.8,7.3,11.1,21.4,08
,KEARNY MESA,9.4,7.5,C,C,14.8,14.2,15.9,13.3,18.9,7.4,5.0,4.4,3.5,2.6,3.2,2.9,5.2,8.9,9.6,19.6,20.1,23.1,18.9,10.3,10.8,23.1,21
,OTAY MESA DVN,6.4,23.6,C,C,13.0,13.4,27.5,34.1,33.8,25.3,M,M,3.2,1.9,2.6,2.9,2.3,4.1,4.1,3.4,3.2,7.9,3.8,5.7,11.1,34.1,07
,PENDLETON,9.6,9.1,C,C,9.8,9.5,14.0,M,M,M,M,M,M,M,10.4,7.3,1.3,1.6,12.5,18.5,14.7,13.8,12.8,9.5,10.2,18.5,19
,SAN YSIDRO,32.3,30.0,C,C,27.1,28.7,28.7,29.1,31.5,32.8,24.1,10.0,7.1,7.1,7.0,10.9,13.4,14.5,18.1,14.0,12.2,13.2,11.5,10.0,18.7,32.8,09
04 NO PPB,ALPINE,.0,.0,C,C,.0,.3,.7,.5,.3,.4,.1,.2,.3,.5,.1,.1,.1,.0,.0,.1,.0,.0,.0,.0,.1,.7,06
,OTAY MESA DVN,.4,3.9,C,C,.3,.8,14.9,49.7,43.9,25.2,M,M,.5,.4,.4,.5,.3,.6,.3,.4,.3,.4,.3,.2,7.1,49.7,07
,PENDLETON,.8,.1,C,C,.6,1.2,3.7,M,M,M,M,M,M,M,5.8,4.4,.0,.0,.1,.2,.1,.2,.8,.4,1.2,5.8,14
06 CO PPM,CARMEL MT RCH,.6,.4,C,C,.6,.8,.8,.4,.4,.3,.4,.4,.4,.4,.5,.5,.4,C,.6,.6,.5,.5,.5,.2,.5,.8,05
,SAN YSIDRO,1.0,.9,C,C,1.0,.7,.9,1.0,1.1,.9,.6,.3,.3,M,.3,.4,C,.5,.5,.5,.3,.4,.4,.3,.6,1.1,08
07 H2S PPB,SAN YSIDRO,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.6,2.4,.6,.1,.3,.0,.1,2.4,19
10 INTMP °C,ALPINE,25,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,01
,CARMEL MT RCH,25,25,24,24,25,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,24,25,00
,CHULA VISTA,24,24,23,24,24,24,24,23,23,,25,26,26,26,26,26,26,26,26,26,26,26,25,25,25,26,11
,DOWNTOWN SES,26,26,26,26,26,26,26,26,26,26,25,25,26,26,26,25,25,26,26,26,26,26,26,26,26,26,00
,EL CAJON LES,26,26,26,26,26,26,26,26,26,45,30,26,26,26,26,26,26,26,26,26,26,26,26,26,27,45,09
,KEARNY MESA,24,24,24,24,24,23,23,23,23,24,25,24,23,23,24,24,25,25,25,25,25,25,25,25,24,25,10
,OTAY MESA DVN,24,26,26,25,26,25,26,25,26,26,25,25,25,25,25,25,25,24,24,25,24,24,24,25,25,26,01
,PENDLETON,24,24,24,24,23,24,23,23,23,25,25,25,25,24,25,25,25,25,25,25,26,26,26,26,25,26,20
,SAN YSIDRO,23,23,23,23,23,23,23,23,23,23,23,23,24,25,24,24,25,24,24,24,23,23,23,22,23,25,13
11 PM2.5 µg/M3,ALPINE,2.6,2.5,2.6,2.8,2.6,2.8,3.0,3.6,3.1,3.0,M,M,3.3,3.1,2.8,2.9,4.6,5.7,6.0,12.2,7.4,6.7,5.5,4.8,4.2,12.2,19
,CARMEL MT RCH,5.2,5.6,5.6,6.0,5.4,5.1,5.0,6.0,6.7,5.5,4.2,3.5,3.4,3.4,3.2,3.0,3.1,3.4,3.6,4.2,5.5,5.4,7.3,4.9,4.7,7.3,22
,CHULA VISTA,5.5,6.7,5.0,8.8,19.8,12.9,6.2,9.8,12.7,,8.6,6.8,6.5,4.8,4.9,5.1,4.2,4.2,4.9,8.9,6.2,4.7,3.9,5.4,7.2,19.8,04
,DOWNTOWN SES,9.4,7.0,5.5,5.2,5.2,4.7,4.7,5.2,6.3,7.7,7.3,9.3,7.6,5.8,4.4,5.4,3.8,3.8,4.1,4.3,4.8,5.9,8.3,6.3,5.9,9.4,00
,EL CAJON LES,9.1,8.1,7.7,7.7,7.4,7.3,7.7,8.3,8.9,9.7,5.2,3.8,4.0,2.9,3.1,3.7,3.8,3.9,5.2,6.5,9.1,11.8,9.2,7.0,6.7,11.8,21
,KEARNY MESA,5.0,4.6,4.3,4.1,4.2,4.6,4.8,4.7,4.7,4.3,4.2,3.8,3.0,3.2,3.7,3.2,3.5,3.9,3.7,4.0,4.7,5.5,5.9,3.9,4.2,5.9,22
,OTAY MESA DVN,5.1,9.0,12.5,25.1,19.9,21.9,19.5,20.9,15.8,21.1,9.4,4.4,3.6,3.4,3.7,4.0,3.4,3.8,4.2,4.8,4.3,5.0,5.2,4.6,9.7,25.1,03
,PENDLETON,4.9,5.3,5.0,4.5,5.0,4.5,5.1,4.6,4.7,5.7,8.0,6.6,5.2,3.6,3.5,3.4,3.8,4.3,4.8,4.8,4.3,5.2,6.0,5.9,4.9,8.0,10
,SAN YSIDRO,38.2,48.6,40.7,29.4,23.5,32.1,32.1,32.1,31.5,27.5,19.5,7.2,4.2,4.2,4.1,4.0,3.6,4.3,6.5,6.7,4.0,3.6,4.6,4.1,17.3,48.6,01
12 VWDR °,ALPINE,97,99,107,350,341,47,24,34,336,292,281,302,293,285,282,287,304,295,309,298,294,279,267,212,0,350,03
,CHULA VISTA,79,63,86,47,75,70,95,99,101,,230,261,261,261,284,250,274,276,261,141,334,48,118,137,0,334,20
,DOWNTOWN SES,19,50,49,66,63,49,50,59,125,119,207,227,232,222,218,227,254,250,239,212,317,79,82,116,0,317,20
,EL CAJON LES,248,220,230,126,152,230,244,242,243,40,309,331,263,258,247,243,267,259,246,209,111,133,83,128,0,331,11
,KEARNY MESA,55,60,61,60,63,65,76,77,117,152,225,M,M,M,M,275,273,273,266,132,97,129,142,187,0,275,15
,OTAY MESA DVN,25,36,91,163,121,125,131,144,153,163,328,300,292,290,296,278,271,299,336,28,360,352,65,151,0,360,20
,PENDLETON,57,60,51,66,61,52,62,58,65,90,199,214,229,223,234,244,259,261,4,38,50,55,57,75,0,261,17
13 SIGTHETA °,ALPINE,38,23,18,22,19,53,12,32,41,39,31,28,25,26,28,26,25,25,23,22,25,28,25,21,27,53,05
,CHULA VISTA,30,13,17,26,27,52,32,16,19,,60,24,20,20,32,21,17,19,24,12,28,22,33,17,25,60,10
,DOWNTOWN SES,57,50,28,50,24,18,14,36,24,25,27,26,22,27,20,19,25,25,29,25,20,35,23,43,29,57,00
,EL CAJON LES,50,54,63,41,44,28,27,24,32,47,63,41,20,22,24,23,19,17,21,14,21,52,49,43,35,63,02
,KEARNY MESA,4,5,5,6,7,7,8,11,19,30,35,M,M,M,M,12,9,5,6,29,11,16,19,55,15,55,23
,OTAY MESA DVN,28,61,28,61,14,26,9,13,12,15,41,23,11,14,13,21,9,11,14,12,31,24,38,35,24,61,01
,PENDLETON,7,10,8,7,8,8,11,10,11,32,17,13,11,13,11,13,15,12,21,9,12,15,12,9,12,32,09
14 VWSP MPH,ALPINE,.3,.8,.9,.4,.8,.4,1.0,1.5,1.0,1.8,3.4,5.0,5.5,6.0,4.9,5.2,2.8,2.3,2.1,1.6,.8,.7,1.0,.9,.0,6.0,13
,CHULA VISTA,.7,1.4,2.2,1.5,2.0,.3,3.8,2.6,1.8,,.7,4.7,3.8,3.9,2.3,5.3,3.9,2.2,.5,.2,.5,1.2,1.6,2.6,.0,5.3,15
,DOWNTOWN SES,.9,1.7,1.7,.2,1.9,3.0,4.5,2.3,2.2,3.6,3.6,4.9,4.3,4.7,3.6,5.3,3.8,3.5,1.7,2.3,1.6,1.1,2.0,1.7,.0,5.3,15
,EL CAJON LES,.4,.2,.1,.3,.1,.3,.5,.6,.7,.5,.4,1.7,7.1,6.7,5.5,6.1,4.8,3.9,1.8,1.3,1.1,.5,1.0,1.0,.0,7.1,12
,KEARNY MESA,4.3,4.6,4.5,4.2,3.9,4.2,3.8,2.6,1.8,3.3,4.1,M,M,M,M,9.2,6.1,4.4,2.6,.3,2.4,2.5,1.9,.7,.0,9.2,15
,OTAY MESA DVN,1.8,.4,.3,.4,2.5,1.2,2.7,3.5,3.9,5.4,1.5,7.7,10.1,7.6,6.8,5.9,6.8,3.4,2.0,2.7,1.0,1.3,.4,1.6,.0,10.1,12
,PENDLETON,6.5,5.4,7.0,6.5,6.2,7.0,5.3,5.3,5.6,2.7,3.6,6.1,8.8,6.5,6.0,4.7,3.8,5.5,2.4,2.6,2.4,3.4,3.4,4.1,.0,8.8,12
15 SWSP MPH,ALPINE,.5,.8,.9,.7,1.0,.6,1.0,1.7,1.4,2.4,4.1,5.5,6.0,6.7,5.5,5.8,3.1,2.5,2.2,1.7,.9,.8,1.1,1.0,2.4,6.7,13
,CHULA VISTA,.8,1.4,2.3,1.7,2.3,.5,4.0,2.7,1.8,,2.3,5.1,4.1,4.1,2.7,5.7,4.1,2.3,.7,.2,1.0,1.3,1.9,2.7,2.4,5.7,15
,DOWNTOWN SES,1.4,1.9,1.9,.8,2.0,3.1,4.6,2.7,2.5,3.9,4.2,5.7,4.7,5.2,3.8,6.1,4.2,3.9,1.9,2.5,2.4,1.2,2.3,2.5,3.1,6.1,15
,EL CAJON LES,.5,.5,.1,.5,.1,.4,.6,.6,.8,.7,1.8,2.3,7.5,7.2,6.1,6.9,5.1,4.1,2.2,1.4,1.4,.7,1.2,1.4,2.3,7.5,12
,KEARNY MESA,4.3,4.6,4.5,4.2,3.9,4.2,3.8,2.7,2.0,3.8,5.1,M,M,M,M,9.6,6.2,4.4,2.6,1.6,2.5,2.7,2.2,1.6,3.8,9.6,15
,OTAY MESA DVN,2.1,1.1,1.6,.7,2.6,1.9,2.7,3.7,4.0,5.7,4.6,8.4,10.4,7.9,7.0,6.6,7.0,3.4,2.2,2.8,1.6,1.9,1.1,2.0,3.9,10.4,12
,PENDLETON,6.5,5.5,7.0,6.5,6.3,7.0,5.4,5.4,5.8,3.4,3.8,6.2,9.0,6.7,6.1,4.8,3.9,5.8,2.7,2.7,2.5,3.8,3.7,4.2,5.2,9.0,12
16 AMBTEMP °F,ALPINE,51.8,51.9,51.4,50.8,49.6,49.1,48.9,50.8,52.5,53.9,56.1,57.2,56.2,56.2,55.1,54.5,51.4,51.2,50.9,50.8,50.7,50.7,50.5,50.5,52.2,57.2,11
,CARMEL MT RCH,49.7,48.3,47.2,48.1,49.1,49.2,49.8,51.9,55.0,60.3,61.4,62.3,62.5,62.3,61.9,60.9,59.2,58.0,58.0,57.1,56.1,55.7,55.1,54.8,55.6,62.5,12
,CHULA VISTA,51.7,50.8,50.6,50.1,50.8,50.5,51.7,53.9,56.8,,65.3,65.6,63.5,63.4,62.6,64.6,62.3,61.6,60.7,59.6,59.8,58.7,58.3,58.0,57.9,65.6,11
,DOWNTOWN SES,51.4,51.3,50.9,49.4,50.0,52.3,53.1,54.6,56.7,61.5,64.9,63.6,63.0,63.1,62.4,63.8,61.9,61.3,60.7,60.4,58.6,58.3,58.0,57.6,57.9,64.9,10
,EL CAJON LES,45.9,44.8,43.8,42.8,43.0,43.5,44.1,46.9,50.1,58.5,62.9,63.5,63.1,63.6,63.8,62.3,61.0,59.8,59.0,58.1,55.8,54.8,56.0,55.9,54.3,63.8,14
