Current Date:,11/8/2023,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
11/7/2023
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.046,.038,C,C,.035,.028,.030,.033,.037,.039,.041,.045,.049,.050,.049,.045,.041,.039,.037,.036,.034,.034,.035,.037,.039,.050,13
,CHULA VISTA,.013,.014,C,C,.004,.005,.006,.008,.019,.034,.039,.040,.040,.042,.041,.040,.038,.036,.035,.033,.030,.019,.005,.007,.024,.042,13
,DOWNTOWN SES,.022,.020,C,C,.011,.016,.011,.013,.017,.032,.036,.038,.039,.040,.037,.037,.036,.034,.034,.036,.035,.027,.013,.006,.026,.040,13
,EL CAJON LES,.009,.010,C,C,C,.018,.023,.023,.028,.036,.038,.041,.042,.042,.042,.039,.037,.033,.030,.032,.027,.026,.019,.016,.029,.042,12
,KEARNY MESA,.019,.024,.018,.014,.014,.010,.010,.017,.029,.032,.038,.043,.043,.044,.042,.040,.037,.032,.035,.040,.037,.026,.014,.017,.028,.044,13
,OTAY MESA DVN,.010,.006,C,C,.007,.003,.004,.009,.025,.033,.038,.044,.045,.044,.043,.041,.039,.037,.035,.035,.028,.028,.027,.027,.027,.045,12
,PENDLETON,,,,,,,,,,,,,P,P,P,.041,.042,.043,.039,.032,.019,.013,.021,.022,.030,.043,17
03 NO2 PPB,ALPINE,2.4,4.0,C,C,4.2,7.7,5.3,4.9,2.2,2.3,1.8,1.8,2.1,2.8,2.8,3.3,3.9,4.1,4.2,4.6,4.6,3.6,3.3,2.0,3.5,7.7,05
,CARMEL MT RCH,8.0,7.2,C,C,6.7,7.4,9.3,9.8,7.3,17.0,16.1,15.6,13.7,14.4,14.8,12.8,12.5,11.4,11.4,11.1,13.1,19.2,18.6,8.7,12.0,19.2,21
,CHULA VISTA,11.4,8.1,C,C,12.0,20.2,18.1,19.7,16.1,5.9,3.5,1.9,1.7,1.8,1.8,2.6,3.3,3.9,5.2,6.1,5.7,10.5,20.4,16.5,8.9,20.4,22
,DOWNTOWN SES,9.4,9.0,C,C,10.2,8.0,13.4,14.0,16.2,7.5,5.5,2.8,2.9,2.9,4.5,3.7,3.5,5.3,6.5,4.4,5.1,11.1,19.1,25.0,8.6,25.0,23
