,EL CAJON LES,7.3,7.3,C,C,C,8.9,7.6,5.7,10.4,M,M,M,M,M,M,M,M,M,M,13.3,12.0,14.5,15.9,14.2,10.6,15.9,22
,KEARNY MESA,9.1,6.2,5.1,8.3,10.5,11.1,13.6,5.3,2.6,3.2,2.6,2.3,3.0,3.1,2.7,3.1,5.6,7.7,18.6,15.6,14.4,7.5,12.1,9.2,7.6,18.6,18
,OTAY MESA DVN,7.5,12.2,C,C,9.9,18.5,18.7,21.7,9.7,1.3,1.3,1.8,4.0,5.6,5.1,4.6,7.6,11.6,19.9,43.2,25.8,31.6,30.4,10.2,13.7,43.2,19
,PENDLETON,4.4,4.3,C,C,6.3,5.8,8.7,M,M,4.2,M,2.9,2.4,7.5,5.7,3.3,3.2,9.2,12.4,4.6,3.7,4.0,6.0,5.2,5.4,12.4,18
,SAN YSIDRO,13.5,7.8,C,C,19.2,20.0,18.6,24.1,29.5,6.1,6.4,M,M,M,M,8.8,12.2,21.0,32.3,30.9,39.4,41.2,37.8,31.6,22.2,41.2,21
04 NO PPB,ALPINE,.0,.0,C,C,.0,.2,.4,.3,.2,.3,.4,.3,.2,.1,.2,.1,.0,.0,.1,.1,.0,.0,.0,.0,.1,.4,06
,OTAY MESA DVN,.9,.6,C,C,.7,4.0,9.0,20.3,6.9,.5,.4,.6,1.2,1.5,1.3,.9,.6,.4,1.7,3.8,1.7,1.5,.6,.4,2.7,20.3,07
,PENDLETON,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
06 CO PPM,CARMEL MT RCH,.3,.4,C,C,.4,.4,.8,.8,.6,.6,.4,.4,.5,.5,.6,.5,.4,.5,.4,.3,.2,.5,.5,.7,.5,.8,06
,SAN YSIDRO,.4,.2,C,C,.6,.9,.7,.9,.8,.3,.3,C,M,M,M,.3,.4,.7,.8,.7,.9,1.3,1.5,1.6,.7,1.6,23
10 INTMP °C,ALPINE,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,00
,CARMEL MT RCH,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,24,25,00
,CHULA VISTA,23,23,24,23,24,24,23,24,24,26,26,26,25,26,26,26,26,26,25,24,24,24,23,24,25,26,09
,DOWNTOWN SES,26,26,26,26,25,26,26,26,25,25,25,24,24,24,24,24,24,25,25,25,25,25,25,25,25,26,00
,EL CAJON LES,26,26,26,26,26,26,26,26,27,27,26,26,26,26,26,<,26,26,26,26,26,26,26,26,26,27,08
,KEARNY MESA,23,23,23,22,22,24,23,22,23,23,24,25,24,24,25,24,24,25,24,24,24,24,23,23,24,25,11
,OTAY MESA DVN,25,24,25,25,24,24,25,25,25,25,25,25,25,25,25,25,24,24,24,24,25,25,25,25,25,25,00
,PENDLETON,26,26,26,26,26,26,26,24,23,M,24,25,24,23,24,24,25,25,25,25,26,26,26,26,25,26,00
,SAN YSIDRO,23,23,23,23,23,23,23,23,23,23,23,24,25,25,26,24,23,25,25,24,24,23,23,23,24,26,14
11 PM2.5 µg/M3,ALPINE,6.3,5.9,6.0,6.1,5.5,5.1,5.5,5.4,4.9,4.8,4.5,4.7,4.6,4.1,4.4,5.2,5.3,5.6,4.7,3.3,3.7,3.0,2.7,2.0,4.7,6.3,00
,CARMEL MT RCH,6.4,6.1,6.4,5.9,5.8,6.2,6.5,6.9,6.2,6.5,6.8,5.8,6.5,7.3,7.2,7.1,5.3,5.3,7.3,6.1,4.5,3.7,3.5,3.4,5.9,7.3,13
,CHULA VISTA,6.5,6.0,5.8,5.9,6.4,7.0,10.4,6.4,9.0,8.8,7.9,12.6,11.4,10.0,9.1,8.8,9.1,10.4,11.7,7.7,8.3,8.0,7.2,6.2,8.3,12.6,11
,DOWNTOWN SES,8.7,8.5,10.0,8.1,8.3,7.4,8.0,8.5,9.7,7.3,7.7,9.8,9.8,8.8,8.0,8.5,6.7,5.4,6.2,7.4,8.2,8.7,8.4,6.4,8.1,10.0,02
,EL CAJON LES,7.4,6.8,7.6,8.2,7.4,7.8,7.2,6.5,8.5,7.6,6.0,5.8,5.3,5.7,5.5,<,6.3,6.7,7.2,7.6,8.8,8.1,7.9,6.1,7.0,8.8,20
,KEARNY MESA,5.9,6.0,6.1,6.3,6.4,6.2,5.9,6.0,6.1,6.6,7.1,6.9,7.1,7.5,7.0,7.4,6.3,5.7,5.7,5.7,6.1,5.4,4.8,4.1,6.1,7.5,13
,OTAY MESA DVN,21.4,16.4,16.9,16.7,16.1,18.9,23.5,22.1,13.2,6.3,5.6,6.1,7.8,10.6,8.3,7.0,7.0,9.1,15.1,25.6,19.0,17.5,16.3,8.4,13.9,25.6,19
,PENDLETON,7.0,7.4,7.2,7.3,7.3,7.5,7.4,6.8,6.6,6.3,7.8,M,M,M,M,11.3,7.1,7.4,5.1,3.4,3.0,3.0,3.0,3.2,6.2,11.3,15
,SAN YSIDRO,8.6,7.6,7.8,15.9,23.9,34.8,28.5,31.4,32.7,11.6,9.2,11.4,11.4,10.7,9.6,8.8,9.0,9.9,12.1,8.9,14.0,21.2,29.5,24.3,16.3,34.8,05
12 VWDR °,ALPINE,70,11,30,95,94,34,23,346,313,308,280,286,284,311,309,298,261,153,131,356,320,82,80,73,0,356,19
,CHULA VISTA,89,91,71,104,68,97,61,56,17,354,328,274,267,287,305,296,296,26,11,99,96,58,94,85,0,354,09
,DOWNTOWN SES,55,44,39,28,41,28,51,36,27,359,331,274,274,290,290,301,321,58,44,3,54,27,4,19,0,359,09
,EL CAJON LES,171,126,244,234,155,133,86,55,354,272,317,297,284,296,307,311,283,192,100,97,99,117,210,106,0,354,08
,KEARNY MESA,90,55,70,88,60,48,67,60,7,330,332,314,307,304,310,307,315,326,92,78,74,49,56,41,0,332,10
,OTAY MESA DVN,10,80,90,112,348,102,72,204,317,332,317,311,296,295,306,305,301,300,108,99,1,356,350,344,0,356,21
,PENDLETON,45,65,64,64,57,54,71,63,70,M,259,282,292,294,304,315,325,335,27,38,45,47,60,68,0,335,17
13 SIGTHETA °,ALPINE,22,14,39,21,53,30,12,30,23,42,34,30,29,32,26,26,24,22,32,52,53,44,46,59,33,59,23
,CHULA VISTA,20,33,27,40,24,27,26,40,26,36,35,22,18,19,20,17,20,26,51,16,18,28,37,22,27,51,18
,DOWNTOWN SES,16,23,11,52,30,22,18,16,39,42,53,33,17,21,22,26,31,39,57,63,19,32,17,37,31,63,19
,EL CAJON LES,34,29,61,51,25,37,56,29,74,57,52,59,42,30,20,<,19,38,39,37,51,72,53,23,43,74,08
,KEARNY MESA,9,7,9,28,7,15,9,11,35,23,27,27,20,12,11,11,11,17,15,10,12,9,10,22,15,35,08
,OTAY MESA DVN,25,8,10,25,45,17,50,31,22,20,21,21,19,12,13,11,12,26,25,13,46,65,73,26,27,73,22
,PENDLETON,11,14,15,10,13,11,10,12,14,M,25,16,14,15,15,10,13,15,22,12,12,12,15,24,14,25,10
14 VWSP MPH,ALPINE,.6,.7,.4,1.5,.7,1.1,2.1,1.2,2.7,2.3,3.4,4.3,5.0,4.4,5.5,4.2,2.0,2.2,3.3,1.1,.6,2.4,2.4,2.1,.0,5.5,14
,CHULA VISTA,.8,1.4,1.4,2.0,1.3,1.7,1.0,2.1,2.2,2.2,3.7,5.9,7.0,8.2,7.6,6.8,3.1,1.2,.4,1.7,2.8,1.5,1.1,1.7,.0,8.2,13
,DOWNTOWN SES,2.0,1.5,2.3,1.1,1.8,1.7,2.1,3.6,1.8,2.4,2.3,5.3,7.1,8.6,6.7,4.8,3.7,1.2,1.0,.8,2.4,2.3,2.2,1.9,.0,8.6,13
,EL CAJON LES,.5,.3,.5,.5,.7,.3,.5,1.0,.4,1.1,2.0,1.7,3.2,6.2,7.5,7.2,4.4,1.7,1.6,1.2,.6,.7,.3,1.5,.0,7.5,14
,KEARNY MESA,2.7,3.9,3.4,2.1,3.8,3.1,3.7,4.0,2.4,5.3,4.6,5.8,8.9,12.3,13.5,11.2,8.1,5.1,2.6,3.1,3.1,4.6,4.3,2.4,.0,13.5,14
,OTAY MESA DVN,1.9,2.2,2.4,.9,.5,.6,.4,.6,3.6,5.4,6.0,7.0,9.1,11.2,11.1,9.1,5.0,.4,2.3,3.3,1.9,1.3,1.3,1.6,.0,11.2,13
,PENDLETON,6.3,5.1,5.1,5.3,4.9,6.3,7.3,6.6,6.0,M,5.1,4.8,5.7,6.1,8.3,14.9,11.1,6.2,5.3,11.3,9.4,10.0,7.7,4.9,.0,14.9,15
15 SWSP MPH,ALPINE,.9,.7,.8,1.7,.9,1.3,2.2,1.5,2.9,2.9,3.9,4.9,5.9,5.0,6.1,4.6,2.5,2.6,3.6,1.6,1.9,3.0,3.0,3.2,2.8,6.1,14
,CHULA VISTA,.8,1.6,1.5,2.1,1.6,1.8,1.3,2.3,2.4,3.0,4.4,6.3,7.4,8.9,8.0,7.1,3.4,1.5,.6,1.8,3.0,1.6,1.4,1.9,3.2,8.9,13
,DOWNTOWN SES,2.1,1.6,2.3,1.7,2.2,1.8,2.3,3.7,2.4,3.5,3.5,6.0,7.4,9.2,7.3,5.2,4.2,1.8,1.1,1.4,2.5,2.7,2.3,2.1,3.3,9.2,13
,EL CAJON LES,1.0,.4,.6,.9,1.0,1.0,1.2,1.3,1.0,1.9,2.8,2.7,4.3,6.9,8.1,<,4.7,2.1,1.8,1.5,1.2,1.0,.5,1.6,2.2,8.1,14
,KEARNY MESA,2.9,4.0,3.5,3.0,4.0,3.2,3.8,4.1,3.1,5.7,5.1,6.6,9.4,12.6,13.8,11.4,8.3,5.4,2.7,3.2,3.1,4.7,4.5,2.6,5.4,13.8,14
,OTAY MESA DVN,2.2,2.2,2.5,1.1,1.0,.6,1.4,1.3,3.9,5.8,6.5,7.5,9.6,11.5,11.4,9.3,5.2,2.4,2.4,3.6,2.7,2.3,2.4,2.0,4.2,11.5,13
,PENDLETON,6.4,5.5,5.4,5.3,5.0,6.6,7.4,6.7,6.2,M,5.6,4.9,5.8,6.3,8.6,15.1,11.4,6.3,5.8,11.6,9.7,10.3,8.0,5.6,7.4,15.1,15
16 AMBTEMP °F,ALPINE,52.5,52.5,51.9,50.8,50.4,50.9,51.7,54.4,56.4,59.9,63.8,67.1,69.4,70.4,70.1,67.8,65.1,61.0,59.1,60.2,59.5,61.6,61.4,61.2,59.5,70.4,13
,CARMEL MT RCH,56.3,55.6,54.1,53.8,53.6,52.9,53.5,56.3,60.0,63.1,67.1,71.5,72.5,71.0,71.1,69.7,67.0,64.7,62.6,62.0,63.6,63.1,62.8,62.0,62.1,72.5,12
,CHULA VISTA,58.1,57.4,56.5,55.9,54.6,54.3,54.2,58.0,62.2,65.3,68.7,70.1,71.4,72.3,71.0,69.4,68.2,67.5,64.9,62.6,62.1,60.0,56.9,55.9,62.4,72.3,13
,DOWNTOWN SES,59.2,57.8,57.5,56.1,55.5,55.2,55.1,59.3,63.5,66.6,69.5,70.8,M,69.5,69.6,69.6,69.3,67.5,66.0,63.3,62.5,60.9,59.7,58.9,62.7,70.8,11
,EL CAJON LES,56.6,55.5,54.1,52.8,51.5,50.5,50.8,55.0,59.3,64.3,67.9,71.9,75.3,76.4,75.3,<,69.3,65.7,63.2,60.5,58.3,55.4,53.1,51.1,60.6,76.4,13
,KEARNY MESA,54.9,55.6,55.3,54.6,54.0,54.5,53.5,58.3,62.5,65.7,68.4,71.5,73.2,70.6,69.9,68.9,67.3,65.3,61.0,59.9,59.3,62.4,58.7,60.6,61.9,73.2,12
,OTAY MESA DVN,56.5,57.3,56.5,55.7,54.4,54.0,53.9,57.2,60.8,64.1,67.3,70.2,72.2,71.6,71.8,70.4,67.4,64.1,62.5,61.1,61.0,60.9,61.1,60.4,62.2,72.2,12
,PENDLETON,57.3,56.5,55.6,55.6,55.2,54.6,53.4,55.9,59.9,M,65.4,64.6,65.0,66.3,68.3,69.1,67.5,67.0,67.8,69.9,68.9,66.7,64.9,60.9,62.4,69.9,19
,SAN YSIDRO,57.9,56.4,56.1,55.5,55.0,54.8,55.0,59.3,62.9,66.7,69.8,71.4,71.3,71.8,71.1,69.8,67.5,65.5,63.5,61.5,60.2,58.8,57.8,55.0,62.3,71.8,13
17 RELHUM %,ALPINE,92,95,96,97,88,81,83,80,69,56,50,45,37,32,33,39,44,49,36,22,23,14,13,12,54,97,03
,EL CAJON LES,93,93,95,96,96,97,94,85,76,66,57,44,37,34,34,<,44,51,54,57,58,58,58,56,67,97,05
,KEARNY MESA,97,96,99,100,100,98,98,91,78,65,55,46,40,46,48,55,52,49,56,58,60,42,40,27,67,100,03
18 PRES mmHg,EL CAJON LES,750,750,750,750,750,750,751,751,751,751,750,749,749,748,748,<,749,749,749,750,750,750,750,750,750,751,06
,KEARNY MESA,750,750,750,750,751,751,751,752,752,752,751,751,750,749,749,750,750,750,750,750,751,751,751,751,751,752,07
19 SOLAR W/M2,EL CAJON LES,-2,-2,-2,-2,-2,-2,15,53,150,461,621,657,620,523,381,<,28,-5,-4,-3,-3,-3,-3,-3,151,657,11
,KEARNY MESA,0,0,0,0,0,0,44,201,371,565,679,711,678,577,427,233,49,0,0,0,0,0,0,0,189,711,11
20 UVRAD W/M2,EL CAJON LES,0,0,0,0,0,0,2,8,13,27,34,35,33,27,19,<,2,0,0,0,0,0,0,0,9,35,11
25 NOY,EL CAJON LES,8.86,9.27,7.62,7.20,6.98,C,C,9.54,20.29,11.38,4.76,4.29,4.82,5.06,5.81,<,5.84,8.99,12.24,14.32,11.96,14.44,17.98,16.04,9.89,20.29,08
26 NOY-NO,EL CAJON LES,8.48,8.36,7.02,6.68,6.27,C,C,6.39,11.43,7.67,3.56,3.45,3.99,4.26,4.89,<,5.32,8.55,11.89,13.63,11.40,12.96,16.91,15.59,8.50,16.91,22
27 NO Trace,EL CAJON LES,.37,.90,.60,.52,.70,C,C,3.14,8.86,3.71,1.20,.84,.82,.79,.92,<,.52,.43,.34,.69,.55,1.47,1.06,.45,1.37,8.86,08
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,M,M,M,M,M,M,M,M,M,M,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,300.6,275.9,C,C,C,316.4,352.3,272.9,438.6,M,C,C,M,M,M,M,C,C,M,356.5,352.3,393.6,423.4,371.5,350.3,438.6,08
BCarbon ug/m3,10TH AVE MARINE TERM,1.08,.80,.99,.98,1.18,.51,<,.72,1.52,<,.43,<,<,<,.23,.38,.43,<,.47,<,1.18,1.40,1.79,1.07,.89,1.79,22
,BOSTON AVE,.85,.87,.59,.61,.85,1.28,1.34,1.05,.66,.40,.55,.72,.46,.61,.63,.59,.56,.55,1.15,2.93,1.82,1.55,1.23,.99,.95,2.93,19
,CHICANO PARK,<,<,<,<,<,<,<,<,<,<,<,.31,.33,.31,.38,.36,.38,.38,.66,.91,1.37,1.29,.95,.80,.65,1.37,20
,DOWNTOWN SES,.50,.44,.41,.35,.36,.38,.61,.41,.38,.18,.23,.44,.41,.34,.28,.32,<,.23,.45,.99,.93,.90,.81,.48,.47,.99,19
,OCEANVIEW BLVD,.66,<,<,.55,.56,.53,.71,.56,.33,.18,.22,<,<,.39,.29,<,.29,.58,.54,.90,1.04,1.18,1.23,.78,.61,1.23,22
,SAN YSIDRO,.45,.29,.52,1.74,3.60,4.46,<,3.60,3.32,.58,<,.51,<,.43,.35,.38,.46,.55,.93,.69,1.87,<,5.60,4.74,1.75,5.60,22
PM10 STD,ALPINE,13.1,11.8,11.7,12.4,10.7,10.4,11.5,11.2,10.1,12.4,13.6,16.5,19.3,18.5,21.6,29.0,26.6,29.9,25.2,22.0,21.0,20.1,15.8,9.0,16.8,29.9,17
,CARMEL MT RCH,14.8,14.2,15.2,15.5,14.9,22.9,20.3,17.9,17.4,17.7,19.5,19.9,28.8,39.2,39.1,37.1,26.4,22.7,25.4,23.7,23.5,20.1,17.1,17.9,22.1,39.2,13
,CHULA VISTA,14.7,13.2,12.5,11.5,14.2,16.5,22.2,14.6,20.7,21.0,22.4,44.7,39.5,37.0,37.7,32.0,33.6,33.5,35.4,24.7,32.6,33.0,26.5,27.0,25.8,44.7,11
,DOWNTOWN SES,20.7,18.3,21.1,17.7,17.6,16.8,17.1,18.9,22.5,20.2,23.3,32.7,35.0,41.4,33.6,33.0,32.0,22.4,21.4,29.8,27.4,34.5,32.2,27.9,25.7,41.4,13
,EL CAJON LES,16.2,14.5,19.3,19.2,14.4,16.0,16.0,17.4,26.4,23.1,18.9,17.4,17.7,22.4,25.4,<,33.7,32.1,36.5,33.1,39.5,32.8,30.2,27.5,23.9,39.5,20
,KEARNY MESA,13.7,14.1,13.8,13.5,13.9,12.6,11.3,12.3,16.5,19.7,21.6,22.8,29.7,30.8,33.7,35.6,28.3,28.5,21.9,22.1,25.1,27.5,30.1,24.4,21.8,35.6,15
,OTAY MESA DVN,233.2,51.4,39.0,44.7,64.4,75.6,153.9,80.8,37.1,15.9,15.4,22.1,32.7,45.5,42.5,32.8,30.2,52.9,134.3,165.9,136.9,104.5,101.5,54.5,73.6,233.2,00
,PENDLETON,14.2,16.7,15.8,16.4,15.0,14.9,14.6,14.7,14.9,16.2,34.4,M,M,M,M,93.0,36.5,38.8,34.7,32.9,26.9,22.1,19.0,19.4,25.5,93.0,15
,SAN YSIDRO,21.9,19.2,21.9,56.4,48.9,65.4,56.9,83.5,97.2,29.7,23.1,32.1,38.7,34.7,39.6,32.6,34.9,45.8,54.2,31.8,51.5,81.3,107.4,83.3,49.6,107.4,22
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
