Current Date:,11/7/2023,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
11/6/2023
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.052,.054,C,C,.048,.048,.040,.032,.037,.051,.051,.061,.071,.072,.074,.068,.062,.046,.040,.036,.044,.040,.038,.043,.050,.074,14
,CHULA VISTA,.004,.007,C,C,.004,.000,.001,.008,.015,.022,.045,.055,.048,.043,.041,.038,.035,.027,.020,.017,.001,.000,.005,.017,.020,.055,11
,DOWNTOWN SES,.005,.013,C,C,.026,.019,.005,.012,.034,.041,.046,.046,.042,.037,.033,.031,.029,.027,.027,.021,.022,.023,.008,.011,.025,.046,10
,EL CAJON LES,.009,.013,C,C,C,.005,.004,M,.020,.027,.049,.057,.066,.066,.062,.051,.035,.024,.018,.016,.012,.007,.008,.008,.027,.066,12
,KEARNY MESA,.023,.021,C,C,.012,.014,.007,.018,.025,.039,.052,.060,.056,.056,.050,.040,.036,.032,.030,.014,.012,.009,.017,.016,.029,.060,11
,OTAY MESA DVN,.026,.023,C,C,.026,.018,.015,.011,.016,.032,.049,.067,.069,.060,.059,.049,.040,.030,.026,.025,.008,.017,.026,.026,.032,.069,12
,PENDLETON,,,P,.032,.030,.025,.013,.022,P,,P,.054,.056,.052,.047,.045,.049,.052,.040,,,,,,.039,.056,12
03 NO2 PPB,ALPINE,.7,.6,C,C,.5,.8,3.0,6.6,5.3,3.4,2.5,3.2,4.0,5.3,4.0,3.8,5.5,14.1,12.4,12.6,6.3,5.9,5.4,3.6,4.9,14.1,17
,CARMEL MT RCH,21.4,12.3,C,C,24.2,25.9,35.4,32.6,34.8,34.3,35.5,23.1,19.6,17.8,25.5,16.7,15.2,20.1,21.8,24.9,24.3,18.0,11.1,9.5,22.9,35.5,10
,CHULA VISTA,16.4,15.8,C,C,15.1,17.8,20.1,18.8,19.3,22.9,15.3,5.4,3.3,3.8,4.1,4.6,3.7,7.1,9.4,11.8,23.3,24.8,21.3,12.5,13.4,24.8,21
,DOWNTOWN SES,26.1,16.7,C,C,5.2,11.1,17.9,22.0,13.8,9.9,12.4,10.2,10.6,10.7,13.0,11.1,13.1,14.3,11.6,13.3,12.6,10.8,20.0,19.4,13.9,26.1,00
,EL CAJON LES,19.7,15.8,C,C,C,15.3,15.7,M,20.0,21.8,13.7,10.8,7.4,5.7,4.4,7.0,11.5,14.3,13.5,11.2,11.9,16.3,12.4,10.4,12.9,21.8,09
,KEARNY MESA,10.7,15.3,C,C,16.6,16.9,23.9,12.9,12.7,9.5,7.9,5.7,4.2,3.3,2.9,3.7,5.7,7.2,9.5,19.8,19.8,21.4,13.6,9.5,11.4,23.9,06
,OTAY MESA DVN,19.2,19.8,C,C,14.9,22.7,28.2,34.2,40.0,28.2,13.7,6.9,4.9,3.5,3.5,3.9,3.9,4.5,5.3,5.1,22.2,12.1,5.7,5.7,14.0,40.0,08
,PENDLETON,,,P,4.8,6.8,8.7,16.5,15.0,P,,P,2.7,2.1,4.4,4.0,1.4,1.5,1.9,1.9,,,,,,5.5,16.5,06
,SAN YSIDRO,19.2,19.0,C,C,16.8,18.0,17.5,18.8,13.0,9.0,5.4,5.6,3.8,4.3,4.4,5.1,8.4,14.7,13.4,15.9,16.8,21.4,21.4,18.6,13.2,21.4,21
04 NO PPB,ALPINE,.0,.0,C,C,.0,.0,2.1,1.8,1.6,.6,.4,.3,.4,.6,.3,.2,.0,.2,.9,.2,.0,.0,.0,.0,.4,2.1,06
,OTAY MESA DVN,.4,.4,C,C,.4,1.3,4.9,32.0,47.3,11.8,4.1,1.4,.9,.7,.8,.8,.5,.5,.8,.5,2.3,1.7,.5,.4,5.2,47.3,08
,PENDLETON,,,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,M,M,,,,,,,M,M
