Current Date:,4/12/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
4/11/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.041,.041,C,C,.041,.042,.038,.040,.047,.051,.057,.062,.063,.060,.059,.059,.054,.042,.042,.039,.038,.039,.040,.039,.047,.063,12
,CHULA VISTA,.021,.009,C,C,.004,.005,.025,.039,.039,.042,.044,.039,.037,.038,.041,.043,.045,.038,.043,.043,.043,.046,.046,.045,.035,.046,21
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.022,.019,C,C,C,.006,.010,.026,.038,.045,.056,.058,.053,.051,.052,.053,.043,.045,.042,.042,.042,.042,.041,.042,.039,.058,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.034,.032,C,C,.005,.008,.010,.021,.028,.042,.048,.048,M,M,M,.043,.047,.046,.045,.047,.043,.046,.040,.039,.035,.048,10
,OTAY MESA DVN,.034,.033,C,C,.018,.022,.031,.032,.037,.042,.052,.051,.041,.045,.047,.047,.044,.044,.038,.043,.042,.041,.045,.041,.039,.052,10
,PENDLETON,.032,C,C,.018,.014,.009,.022,M,M,M,M,.039,.041,.043,.048,.048,.046,.046,.048,.046,.044,.045,.046,.049,.038,.049,23
02 NOX PPM,ALPINE,.002,.001,C,C,.002,.006,.007,.006,.004,.002,.001,.002,.003,.002,.002,.001,.003,.005,.003,.004,.004,.003,.001,.001,.003,.007,06
,CARMEL MT RCH,.013,.015,C,C,C,.060,.034,M,M,M,M,.031,.032,.036,.032,.024,.014,.021,.017,.014,.006,.011,.006,.006,.022,.060,05
,CHULA VISTA,.012,.022,C,C,.021,.024,.015,.006,.005,.005,.004,.003,.003,.003,.004,.004,.004,.003,.004,.003,.002,.003,.002,.002,.007,.024,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.010,.010,C,C,C,.022,.030,.015,.015,.012,.005,.003,.003,.003,.004,.004,.004,.002,.004,.003,.001,.000,.003,.001,.007,.030,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.011,.011,C,C,.041,.029,.039,.028,.024,.017,.014,.005,M,M,M,.005,.002,.003,.001,.000,.004,.002,.004,.005,.013,.041,04
,OTAY MESA DVN,.008,.007,C,C,.018,.012,.007,.008,.008,.009,.009,.004,.001,.001,.001,.005,.002,.001,.001,.001,.001,.001,.001,.001,.005,.018,04
,PENDLETON,.009,C,C,.019,.029,.039,.016,M,M,M,M,.002,.002,.003,.002,.002,.002,.005,.002,.004,.005,.005,.004,.002,.008,.039,05
03 NO2 PPM,ALPINE,.002,.001,C,C,.002,.004,.005,.005,.003,.002,.001,.002,.002,.002,.002,.001,.003,.004,.003,.004,.003,.003,.001,.001,.003,.005,06
,CARMEL MT RCH,.012,.014,C,C,C,.032,.022,M,M,M,M,.017,.016,.019,.018,.014,.008,.012,.011,.009,.005,.008,.005,.006,.013,.032,05
,CHULA VISTA,.010,.020,C,C,.017,.018,.012,.004,.003,.003,.003,.001,.001,.002,.002,.003,.002,.002,.002,.001,.001,.001,.001,.001,.005,.020,01
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.010,.010,C,C,C,.018,.017,.010,.011,.009,.004,.002,.002,.002,.002,.003,.003,.002,.004,.002,.001,.000,.003,.001,.006,.018,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.011,.011,C,C,.033,.025,.024,.018,.016,.013,.011,.004,M,M,M,.003,.002,.002,.001,.000,.004,.002,.004,.005,.010,.033,04
,OTAY MESA DVN,.008,.007,C,C,.017,.011,.006,.006,.006,.007,.008,.003,.000,.001,.001,.003,.002,.001,.001,.001,.001,.001,.001,.001,.004,.017,04
,PENDLETON,.008,C,C,.016,.024,.026,.013,M,M,M,M,.001,.001,.001,.001,.001,.001,.003,.001,.003,.004,.004,.003,.001,.006,.026,05
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.002,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.002,06
,CARMEL MT RCH,.001,.000,C,C,C,.028,.012,M,M,M,M,.013,.016,.018,.014,.010,.006,.009,.006,.005,.001,.004,.001,.001,.009,.028,05
,CHULA VISTA,.001,.002,C,C,.004,.006,.002,.002,.002,.002,.002,.001,.001,.002,.002,.002,.002,.001,.001,.001,.001,.001,.001,.001,.002,.006,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.004,.014,.005,.004,.003,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.002,.014,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.008,.005,.016,.010,.008,.004,.003,.001,M,M,M,.001,.001,.000,.000,.000,.000,.000,.000,.000,.003,.016,06
,OTAY MESA DVN,.000,.000,C,C,.001,.001,.001,.002,.002,.002,.002,.001,.001,.001,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.002,07
,PENDLETON,.001,C,C,.003,.005,.013,.004,M,M,M,M,.001,.001,.001,.001,.001,.001,.003,.001,.001,.001,.001,.001,.001,.002,.013,05
06 CO PPM,CARMEL MT RCH,.4,.4,C,C,C,1.0,.7,M,M,M,M,.5,.6,.7,.7,.7,.5,.7,.5,.5,.3,.4,.3,.3,.5,1.0,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,25,26,26,26,26,26,26,25,24,24,24,24,24,24,24,24,24,24,25,25,26,25,26,26,24,26,01
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,26,26,25,26,25,25,25,25,26,26,26,26,26,26,26,26,26,00
,CHULA VISTA,25,25,25,25,25,25,25,25,25,25,25,24,24,25,25,25,25,25,25,24,25,25,25,25,25,25,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,26,26,26,26,26,26,26,26,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,26,25,25,26,25,26,25,25,M,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,26,01
,OTAY MESA DVN,24,24,24,24,25,24,24,25,24,24,24,24,24,24,24,23,23,23,23,24,24,24,24,24,24,25,04
,PENDLETON,27,27,27,26,26,26,26,26,26,26,26,25,25,25,25,26,26,26,27,27,27,27,27,27,26,27,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,7.9,7.3,8.3,5.3,4.8,3.2,1.5,4.9,3.9,4.1,5.9,4.5,8.6,11.0,9.3,7.7,8.1,6.5,7.8,5.3,7.2,10.3,7.1,6.7,6.5,11.0,13
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,17.1,9.3,12.0,14.5,11.5,11.9,12.5,19.4,25.4,21.3,15.6,12.7,9.7,12.8,7.7,6.6,11.7,10.9,8.9,11.5,10.2,15.9,8.5,7.1,12.6,25.4,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,17.1,14.8,44.4,48.7,22.6,23.4,12.6,17.7,17.5,25.2,21.7,20.5,5.9,6.3,6.8,12.5,13.6,9.0,5.1,9.6,11.2,9.5,6.1,3.0,16.0,48.7,03
,PENDLETON,22.1,18.9,27.9,23.8,19.3,24.9,29.1,24.1,23.2,26.7,22.1,19.3,18.0,16.7,20.5,19.5,20.3,20.0,15.6,16.6,19.0,17.9,19.8,17.0,20.9,29.1,06
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,71,70,97,99,110,113,323,175,284,214,241,264,252,265,260,237,251,259,259,257,220,199,232,130,203,323,06
,CHULA VISTA,82,118,128,79,231,129,137,192,222,230,242,257,269,252,219,266,271,277,278,279,211,279,254,226,214,279,19
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,112,114,111,99,243,120,111,215,337,251,231,239,237,260,217,230,259,258,258,265,224,216,217,174,208,337,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,38,102,121,278,295,317,130,181,192,M,199,249,247,286,221,250,288,292,293,275,242,264,128,202,221,317,05
,OTAY MESA DVN,347,24,125,115,63,318,0,264,286,278,238,277,295,280,257,266,283,284,276,257,228,223,268,195,227,347,00
,PENDLETON,65,44,57,53,37,55,87,99,190,190,232,250,237,206,215,239,241,260,248,127,119,145,145,220,157,260,17
13 SIGTHETA °,ALPINE,50,54,17,18,10,16,43,47,32,45,33,31,28,33,38,30,27,26,40,26,31,26,24,44,32,54,01
,CHULA VISTA,42,29,59,37,47,45,41,51,40,34,27,19,23,27,40,23,19,21,25,22,29,20,17,24,32,59,02
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,48,33,56,26,36,60,31,44,47,48,27,22,23,28,28,23,17,23,22,17,32,20,22,15,31,60,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
