Current Date:,4/20/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
4/19/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.043,.045,C,C,.043,.042,.042,.045,.045,.042,.042,.046,.052,.056,.060,.056,.053,.050,.048,.044,.043,.040,.038,.030,.045,.060,14
,CHULA VISTA,.044,.044,C,C,.042,.040,.042,M,M,M,M,M,.050,.051,.050,.049,.047,.044,.042,.041,.038,.028,.018,.018,.040,.051,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.048,.046,C,C,C,.031,.037,.044,.043,.041,.040,.051,.053,.057,.056,.053,.052,.048,.046,.044,.039,.035,.030,.032,.044,.057,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.039,.038,C,C,.037,.032,.040,.043,.042,.039,.044,.049,.051,.056,.051,.051,.049,.046,.044,.040,.035,.029,.022,.025,.041,.056,13
,OTAY MESA DVN,.042,.042,C,C,.042,.041,.042,M,M,.042,.038,.048,.054,.054,.056,.054,.050,.047,.044,.042,.039,.037,.036,.033,.044,.056,14
,PENDLETON,.047,.046,C,C,.035,.033,.040,.044,.037,.038,.042,.044,.045,.047,.048,.047,.046,.044,.045,.044,.032,.025,.027,.025,.040,.048,14
02 NOX PPM,ALPINE,.002,.001,C,C,.001,.002,.002,.002,.003,.003,.001,.002,.002,.001,.001,.002,.002,.002,.002,.002,.001,.001,.001,.003,.002,.003,08
,CARMEL MT RCH,.010,.006,C,C,C,.036,.034,.027,M,.029,.037,.026,.019,.023,.024,.015,.016,.015,.017,.015,.021,.017,.012,.012,.021,.037,10
,CHULA VISTA,.002,.002,C,C,.003,.004,.004,M,M,M,M,M,.003,.003,.003,.002,.003,.003,.004,.004,.004,.007,.017,.017,.005,.017,22
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.009,.008,.002,.003,.003,.003,.001,.000,.000,.000,.001,.001,.001,.001,.002,.004,.004,.004,.002,.002,.009,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.002,.003,C,C,.005,.011,.007,.003,.003,.003,.003,.002,.001,.001,.001,.001,.001,.001,.001,.002,.006,.008,.010,.007,.004,.011,05
,OTAY MESA DVN,.001,.001,C,C,.001,.002,.002,M,M,.002,.003,.001,.000,M,.000,.000,.000,.000,.001,.000,.002,.001,.002,.004,.001,.004,23
,PENDLETON,.002,.001,C,C,.011,.011,.007,.002,.011,.007,.004,.003,.006,.005,.004,.005,.003,.003,.002,.001,.010,.017,.012,.011,.006,.017,21
03 NO2 PPM,ALPINE,.002,.001,C,C,.001,.002,.002,.001,.002,.003,.001,.002,.001,.001,.001,.001,.002,.002,.002,.002,.001,.001,.001,.003,.002,.003,09
,CARMEL MT RCH,.008,.004,C,C,C,.019,.017,.014,M,.015,.019,.013,.009,.012,.012,.008,.009,.008,.010,.010,.015,.015,.011,.011,.012,.019,05
,CHULA VISTA,.001,.000,C,C,.002,.003,.003,M,M,M,M,M,.001,.001,.001,.001,.001,.001,.002,.002,.002,.006,.015,.016,.003,.016,23
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.008,.006,.001,.002,.002,.002,.000,-.001,.000,.000,.000,.000,.001,.001,.001,.004,.004,.004,.002,.002,.008,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.002,.003,C,C,.005,.010,.006,.002,.002,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.002,.006,.008,.010,.007,.003,.010,05
,OTAY MESA DVN,.001,.001,C,C,.001,.002,.001,M,M,.001,.002,.000,.000,M,.000,.000,.000,.000,.000,.000,.002,.001,.002,.004,.001,.004,23
,PENDLETON,.001,.001,C,C,.010,.009,.005,.001,.007,.005,.002,.002,.003,.002,.002,.003,.002,.002,.001,.001,.009,.016,.011,.010,.005,.016,21
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.000,.000,.001,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,08
,CARMEL MT RCH,.002,.001,C,C,C,.017,.016,.013,M,.014,.018,.012,.010,.011,.011,.007,.007,.007,.007,.005,.006,.003,.001,.001,.008,.018,10
,CHULA VISTA,.001,.001,C,C,.001,.001,.002,M,M,M,M,M,.001,.002,.002,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.002,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.001,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.001,.002,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.001,05
,OTAY MESA DVN,.000,.000,C,C,.000,.000,.000,M,M,.001,.001,.000,.000,M,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,09
,PENDLETON,.001,.001,C,C,.001,.001,.002,.001,.004,.002,.002,.001,.003,.003,.002,.002,.001,.001,.001,.001,.001,.001,.001,.002,.002,.004,08
06 CO PPM,CARMEL MT RCH,.4,.3,C,C,C,.7,.6,.5,M,.3,.4,.4,.4,.4,.4,.3,.4,.5,.5,.4,.4,.4,.3,.4,.4,.7,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,26,26,26,26,26,26,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,25,25,26,00
,CARMEL MT RCH,26,26,27,26,26,27,26,26,26,26,26,26,25,26,25,25,25,26,26,26,26,27,27,27,26,27,02
,CHULA VISTA,24,24,24,24,24,23,25,24,25,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,10
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,27,26,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,27,26,27,27,27,27,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,25,25,00
,OTAY MESA DVN,25,25,25,25,24,24,24,25,25,25,24,25,25,24,24,24,24,24,24,24,24,24,24,24,24,25,00
,PENDLETON,26,26,26,26,26,25,25,26,26,25,26,26,26,26,26,26,26,27,27,27,26,26,26,25,26,27,17
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,3.6,7.6,4.7,.8,2.8,4.3,4.5,5.4,5.3,2.6,2.6,2.9,4.8,3.3,2.3,3.9,9.4,5.7,3.2,2.5,.2,-1.1,.0,1.0,3.4,9.4,16
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,12.1,9.1,7.6,6.4,8.2,5.3,6.3,9.5,9.9,7.6,5.1,6.4,5.5,4.5,4.3,4.6,2.9,3.9,4.5,6.7,7.8,6.2,4.8,12.7,6.7,12.7,23
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,7.1,7.8,5.7,4.2,4.9,4.2,4.6,6.4,7.5,4.4,2.9,M,4.4,5.9,7.8,4.3,1.4,2.1,5.4,5.2,3.0,2.1,4.7,4.2,4.7,7.8,01
,PENDLETON,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,149,240,268,275,260,265,255,239,231,269,295,241,253,264,272,262,253,253,273,283,288,309,83,101,245,309,21
,CHULA VISTA,287,292,303,300,290,276,280,239,226,245,220,265,267,267,271,261,262,262,267,287,256,146,115,109,250,303,02
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,267,266,269,262,220,201,229,215,230,272,236,243,272,267,263,260,258,259,269,259,228,107,111,125,233,272,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,270,275,285,278,266,266,271,262,278,282,259,273,279,281,280,271,275,275,283,274,240,78,96,109,250,285,02
,OTAY MESA DVN,289,277,291,299,296,277,268,259,230,254,237,269,269,264,267,265,263,274,271,293,124,74,96,99,242,299,03
,PENDLETON,241,254,305,323,274,309,250,243,308,57,190,215,223,243,254,261,252,254,260,264,128,105,100,72,224,323,03
13 SIGTHETA °,ALPINE,18,26,24,21,26,27,27,26,32,25,24,34,27,29,27,31,26,29,26,21,29,34,16,18,26,34,11
,CHULA VISTA,20,19,19,16,19,22,21,29,25,20,26,25,18,23,20,22,19,22,20,25,29,43,11,11,22,43,21
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,19,19,17,20,29,25,32,32,32,22,27,25,23,25,23,29,23,21,18,19,39,42,20,24,25,42,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4,7,7,8,6,10,14,32,17,18,18,12,17,17,18,18,14,13,13,15,47,22,14,9,15,47,20
,OTAY MESA DVN,22,11,11,12,11,11,13,21,43,15,14,19,16,15,17,18,16,13,8,29,24,21,6,7,16,43,08
,PENDLETON,13,10,18,11,21,22,25,16,19,31,21,20,16,14,14,11,13,11,14,20,26,14,15,12,17,31,09
14 VWSP MPH,ALPINE,2.2,2.0,4.5,4.9,3.5,3.4,3.5,4.5,4.6,5.6,5.5,4.3,7.0,7.4,7.3,6.6,6.4,5.9,3.9,4.2,2.3,.7,1.4,1.8,4.3,7.4,13
,CHULA VISTA,4.1,5.8,6.7,6.7,4.0,4.3,5.0,3.8,4.0,5.7,4.3,8.4,11.0,10.0,9.4,8.7,7.8,6.1,5.2,2.9,1.3,.7,2.4,3.0,5.5,11.0,12
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,3.3,4.6,6.5,3.3,.8,1.0,2.2,4.0,4.5,5.4,3.8,6.7,9.7,9.2,8.4,6.6,6.9,5.8,6.2,4.4,1.2,1.0,2.0,2.1,4.6,9.7,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,7.4,8.9,8.3,6.2,4.8,5.4,6.1,5.4,8.0,5.4,8.7,14.1,14.2,13.1,11.5,10.6,11.1,9.5,6.2,4.1,1.0,2.6,2.8,2.8,7.4,14.2,12
,OTAY MESA DVN,3.2,5.4,7.2,5.9,4.7,4.5,5.2,5.1,4.4,12.1,6.6,10.8,13.4,14.7,12.9,11.5,10.8,9.2,7.0,3.7,.7,1.8,3.4,4.9,7.0,14.7,13
,PENDLETON,7.4,8.7,5.2,4.4,4.2,2.6,2.9,3.4,3.0,1.8,4.1,5.5,6.8,6.7,6.7,6.8,7.2,6.2,3.8,2.2,1.8,3.1,3.1,4.0,4.7,8.7,01
15 SWSP MPH,ALPINE,2.4,2.7,5.0,5.2,3.8,3.8,3.9,5.2,5.8,6.2,6.0,5.3,7.9,8.6,8.1,7.5,7.1,6.6,4.8,4.5,2.6,1.3,1.5,1.9,4.9,8.6,13
,CHULA VISTA,4.3,6.2,7.1,6.9,4.2,4.6,5.2,4.5,4.9,6.4,5.1,9.1,11.7,10.9,9.9,9.3,8.3,6.6,5.6,3.1,1.9,.9,2.4,3.1,5.9,11.7,12
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,3.5,4.9,6.8,3.5,.9,1.2,2.5,4.6,5.4,5.9,4.4,7.4,10.4,10.0,9.0,7.4,7.6,6.1,6.6,4.7,1.3,1.0,2.2,2.4,5.0,10.4,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,7.4,9.0,8.4,6.3,4.9,5.5,6.3,6.5,8.9,5.9,9.4,14.4,14.9,13.7,12.1,11.3,11.4,9.8,6.4,4.3,3.1,2.8,2.9,3.0,7.9,14.9,12
,OTAY MESA DVN,3.5,5.5,7.4,6.0,4.8,4.6,5.3,5.4,5.6,12.6,7.4,11.4,14.0,15.2,13.5,12.1,11.3,9.5,7.2,4.1,1.7,1.9,3.4,4.9,7.4,15.2,13
,PENDLETON,7.7,8.8,5.9,4.5,4.7,3.5,3.2,3.6,3.9,3.1,5.0,5.8,7.0,6.9,6.9,6.9,7.4,6.3,3.9,2.4,2.0,3.2,3.2,4.3,5.0,8.8,01
16 AMBTEMP °F,ALPINE,48.0,47.8,46.9,45.5,45.0,44.8,45.1,47.4,49.9,47.2,46.2,48.8,51.5,53.6,54.7,53.8,52.3,51.2,49.0,47.2,46.1,45.2,44.8,43.5,48.1,54.7,14
,CARMEL MT RCH,51.7,51.4,50.9,50.5,50.6,51.3,52.8,54.5,55.0,52.4,54.6,58.4,59.0,60.3,61.1,60.2,58.3,55.5,53.8,52.4,51.6,50.6,49.7,48.9,54.0,61.1,14
,CHULA VISTA,55.7,55.4,54.6,53.9,53.5,54.0,56.2,59.3,59.8,54.2,56.9,60.8,62.5,63.4,62.6,61.9,60.6,58.6,55.5,54.8,53.7,52.4,51.4,50.9,56.8,63.4,13
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
