Current Date:,4/11/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,26,26,26,26,26,26,26,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,25,25,25,25,25,26,25,25,25,25,24,24,24,24,24,25,25,25,25,25,25,25,25,25,26,00
,OTAY MESA DVN,24,24,24,24,25,25,24,25,24,24,24,23,23,23,23,23,23,22,23,23,23,24,24,24,24,25,04
,PENDLETON,27,26,26,27,26,26,26,27,26,26,25,25,25,25,25,25,25,26,26,26,27,27,27,27,26,27,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,6.8,6.7,8.1,7.9,4.1,2.6,6.0,9.1,5.6,3.5,6.2,6.6,5.3,5.0,M,7.0,4.1,7.3,9.3,11.6,6.7,11.5,9.9,10.1,7.0,11.6,19
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,11.7,15.0,12.0,16.8,13.3,12.2,13.0,14.8,16.1,11.7,10.0,12.9,13.8,M,11.2,10.2,12.5,25.5,17.1,12.3,17.4,13.0,18.1,15.2,14.1,25.5,17
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,57.9,55.1,36.4,28.1,46.2,32.5,32.7,30.1,20.9,14.8,15.0,19.4,10.1,M,M,17.3,16.3,19.0,8.4,10.7,20.1,14.8,28.5,21.2,25.2,57.9,00
,PENDLETON,19.2,21.5,25.0,20.0,27.9,22.6,26.1,18.9,24.6,25.7,27.4,22.5,23.7,26.1,23.1,16.6,21.4,25.2,21.0,27.2,22.4,21.9,19.9,20.8,22.9,27.9,04
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,96,85,84,60,75,93,89,109,198,276,296,274,270,273,274,281,272,282,11,84,353,24,89,349,179,353,20
,CHULA VISTA,106,125,121,98,98,26,21,23,358,M,242,267,258,250,251,256,242,243,249,288,4,136,176,243,177,358,08
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,116,267,202,134,186,250,252,278,279,298,252,268,260,258,255,256,263,188,186,246,241,122,117,239,226,298,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,357,349,254,74,48,44,7,349,239,293,243,242,270,275,278,287,310,295,265,319,339,62,279,311,241,357,00
,OTAY MESA DVN,239,269,331,346,98,111,80,303,250,290,284,284,283,280,287,282,291,275,286,328,345,351,119,10,251,351,21
,PENDLETON,29,41,3,40,60,52,57,35,302,274,256,256,244,249,253,245,241,264,175,144,65,16,65,50,142,302,08
13 SIGTHETA °,ALPINE,14,15,13,19,15,17,16,17,30,37,29,29,30,31,26,26,24,23,37,15,21,19,23,55,24,55,23
,CHULA VISTA,38,31,42,26,17,27,26,25,27,M,22,28,20,18,20,21,22,19,18,21,41,43,34,59,28,59,23
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,52,30,48,40,61,31,21,31,43,31,25,33,26,22,22,22,20,21,31,20,43,39,49,27,33,61,04
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,32,6,20,27,15,20,9,29,53,20,29,30,19,18,20,15,14,11,13,13,15,14,27,53,22,53,08
,OTAY MESA DVN,35,58,31,22,17,9,27,40,47,30,12,18,14,13,14,13,13,15,35,12,12,17,48,43,25,58,01
,PENDLETON,9,12,14,13,15,16,24,19,21,14,14,13,13,12,13,15,13,17,16,37,25,16,13,11,16,37,19
14 VWSP MPH,ALPINE,2.8,2.2,2.4,.9,1.6,2.6,2.1,1.9,1.8,3.1,5.4,5.6,5.7,6.3,7.3,6.9,6.2,4.2,.2,1.5,2.3,1.2,3.0,1.1,3.3,7.3,14
,CHULA VISTA,.7,.5,.4,1.3,2.4,1.8,.9,1.7,2.5,M,4.5,3.8,5.8,7.1,6.5,6.7,4.2,3.9,2.8,.4,.5,1.4,.8,.3,2.6,7.1,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.2,.7,.2,1.3,.3,1.0,.8,.1,.4,2.1,5.2,3.8,6.3,7.1,7.0,6.4,5.9,3.6,1.8,2.5,1.2,1.2,1.0,1.3,2.6,7.1,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.1,4.7,1.1,3.0,2.5,2.0,3.3,2.1,1.5,6.7,4.4,5.4,7.8,8.4,8.2,10.3,6.4,3.7,4.6,4.0,3.5,4.2,.5,2.5,4.3,10.3,15
,OTAY MESA DVN,.2,.2,2.4,4.0,3.6,4.9,1.3,.2,1.1,4.3,9.7,5.5,8.8,9.9,8.6,7.7,8.0,3.9,1.8,3.6,4.3,4.3,5.6,1.8,4.4,9.9,13
,PENDLETON,7.1,3.9,4.1,3.8,4.1,3.6,2.8,2.6,3.0,3.2,3.1,3.8,5.0,4.2,5.1,5.0,4.4,2.3,2.1,1.4,1.3,2.3,2.6,4.0,3.5,7.1,00
15 SWSP MPH,ALPINE,3.0,2.3,2.5,2.2,1.8,2.7,2.2,2.1,2.8,3.7,6.2,6.3,6.5,7.2,8.0,7.7,6.7,4.6,1.1,1.6,2.5,2.3,3.3,1.9,3.8,8.0,14
,CHULA VISTA,1.0,.6,.6,1.5,2.5,2.1,1.2,1.9,2.7,M,4.8,4.2,6.1,7.4,6.9,7.1,4.6,4.1,2.9,.8,.9,1.6,1.5,.5,2.9,7.4,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.3,.8,.5,2.8,.9,1.2,.8,.1,.5,2.3,5.8,4.4,7.0,7.7,7.6,6.8,6.2,4.2,2.1,2.7,2.8,1.8,1.6,1.5,3.0,7.7,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.4,4.8,4.1,3.5,2.8,2.4,3.4,2.4,2.9,7.4,5.5,6.1,8.3,8.8,8.7,10.8,6.6,3.8,4.9,4.4,3.7,4.7,2.9,3.1,5.0,10.8,15
,OTAY MESA DVN,.4,.4,2.5,4.4,4.5,4.9,2.2,.9,1.9,4.7,9.9,5.9,9.0,10.2,8.8,7.9,8.3,4.3,2.3,3.7,4.5,5.0,6.0,3.4,4.8,10.2,13
,PENDLETON,7.2,4.0,4.4,4.1,4.1,3.7,3.0,3.0,3.5,3.4,3.1,3.9,5.1,4.3,5.3,5.2,4.5,2.4,2.3,2.2,2.2,2.6,2.7,4.2,3.8,7.2,00
16 AMBTEMP °F,ALPINE,69.8,73.4,72.9,72.0,70.8,71.2,72.7,76.8,82.2,83.8,85.5,85.9,87.0,87.1,86.7,85.2,82.5,78.4,75.0,72.5,70.3,67.4,67.0,67.1,76.8,87.1,13
,CARMEL MT RCH,63.4,62.5,61.8,59.8,59.9,62.8,63.3,69.4,77.0,81.4,84.0,87.8,88.4,89.3,89.5,86.5,80.8,78.5,72.6,66.2,66.0,64.3,63.2,61.8,72.5,89.5,14
,CHULA VISTA,56.9,55.4,54.3,55.8,55.6,54.9,57.2,69.8,78.1,82.2,81.1,83.6,82.0,81.4,77.0,74.9,73.3,71.0,66.2,64.6,63.7,62.1,60.4,59.2,67.5,83.6,11
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,60.8,59.3,58.1,56.5,56.0,55.4,57.8,64.6,74.3,84.4,87.2,90.3,92.4,92.6,92.0,90.0,85.9,80.2,75.7,71.8,68.2,65.6,64.3,62.4,72.7,92.6,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,60.3,61.1,59.8,57.9,58.8,60.9,64.5,73.3,80.5,82.3,84.4,87.9,89.1,89.1,88.3,83.3,78.7,77.0,70.7,66.7,65.8,63.0,61.8,60.4,71.9,89.1,12
,OTAY MESA DVN,65.7,64.7,63.1,60.2,59.6,61.3,62.9,72.3,81.5,87.1,82.7,86.8,88.0,86.9,83.9,81.5,75.1,73.5,69.3,65.5,63.8,63.7,64.2,62.8,71.9,88.0,12
,PENDLETON,58.9,56.8,56.9,57.3,56.2,55.3,57.1,64.9,71.4,74.1,78.7,79.6,77.3,78.9,76.6,74.7,72.4,68.3,64.9,64.1,63.1,60.1,59.9,58.3,66.1,79.6,11
17 RELHUM %,ALPINE,15,11,13,16,17,16,17,21,12,11,11,10,10,9,10,15,20,29,32,33,35,41,38,43,20,43,23
,EL CAJON LES,58,61,69,69,67,63,62,51,31,19,17,12,11,9,10,15,21,40,51,59,59,67,69,71,44,71,23
,KEARNY MESA,72,70,72,79,72,57,45,30,22,25,19,13,15,13,14,27,35,39,50,48,47,51,52,59,43,79,03
18 PRES mmHg,KEARNY MESA,748,748,748,748,748,748,749,749,749,749,749,749,748,748,748,748,748,748,748,748,748,748,748,748,748,749,06
19 SOLAR W/M2,KEARNY MESA,-2,-2,-2,-2,-2,19,127,413,624,789,915,977,962,887,748,559,350,114,1,-2,-2,-3,-3,-2,311,977,11
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.1,.2,.3,.2,.2,.2,.2,.4,.2,.2,.2,.2,.2,.2,.2,.2,.1,.1,.0,.1,.4,12
29 CO Tr PPB,EL CAJON LES,334.2,356.2,C,C,C,457.9,654.1,825.6,651.7,479.6,503.3,830.9,708.8,333.4,228.0,262.1,279.6,311.6,313.1,393.1,393.5,327.2,302.8,324.0,441.4,830.9,11
