Current Date:,4/15/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
4/14/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
,OTAY MESA DVN,.000,.000,C,C,.000,.000,.001,.001,.003,.002,.002,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.003,08
,PENDLETON,.001,.001,C,C,.001,.001,.002,.003,.003,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.003,07
06 CO PPM,CARMEL MT RCH,.7,.8,C,C,C,1.2,1.3,1.8,.9,.4,.5,.8,.7,.7,.7,.7,.7,.7,.9,1.0,1.0,.9,1.1,.7,.9,1.8,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,27,27,27,27,26,27,26,24,24,24,24,24,24,24,24,24,24,24,24,25,25,26,26,26,25,27,00
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,00
,CHULA VISTA,24,23,25,24,24,24,24,25,25,25,25,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,02
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,24,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,25,25,25,25,25,25,25,25,25,24,24,24,23,23,23,23,23,23,23,23,24,24,24,24,24,25,00
,PENDLETON,25,24,24,24,24,23,23,24,25,26,25,25,25,25,25,26,26,26,27,26,27,27,26,26,25,27,18
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,4.8,6.0,6.1,5.8,7.0,5.6,8.0,7.8,4.4,4.8,8.1,6.3,4.4,3.1,2.3,7.4,7.5,5.2,5.8,7.3,6.8,9.0,11.1,9.3,6.4,11.1,22
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,9.7,13.1,9.3,9.9,10.4,9.8,11.7,8.0,7.8,9.3,8.5,5.5,6.3,6.9,8.0,10.4,7.3,10.5,9.7,7.8,20.0,15.9,9.7,16.4,10.0,20.0,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,13.0,13.4,17.6,5.8,7.7,8.9,15.1,13.8,11.1,12.7,7.1,4.2,10.7,8.3,5.2,5.1,14.3,10.8,9.0,6.6,10.9,14.9,16.2,10.7,10.5,17.6,02
,PENDLETON,M,M,M,985.0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,985.0,985.0,03
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,272,14,129,33,360,50,125,303,308,307,301,295,305,328,288,286,271,280,311,6,18,91,97,92,203,360,04
,CHULA VISTA,78,70,94,67,72,74,86,133,241,253,296,290,279,282,301,292,289,296,349,14,46,90,49,93,172,349,18
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,118,258,195,122,155,171,185,278,304,356,284,264,295,275,307,292,305,289,298,305,93,91,102,104,227,356,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,88,71,25,62,59,69,61,87,145,208,200,243,290,291,304,312,314,321,333,26,40,347,353,29,178,353,22
,OTAY MESA DVN,30,77,68,21,55,15,85,199,217,162,289,296,287,266,279,281,279,293,326,336,339,58,107,356,197,356,23
,PENDLETON,45,52,16,45,48,55,47,22,263,271,280,290,287,300,300,310,305,309,311,319,315,337,14,68,192,337,21
13 SIGTHETA °,ALPINE,45,43,53,27,15,21,42,36,20,29,30,55,45,55,26,25,24,23,22,16,18,35,22,11,31,55,11
,CHULA VISTA,36,52,33,39,47,44,47,27,67,40,23,23,20,21,22,18,18,18,17,16,17,17,45,38,31,67,08
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,52,50,44,40,44,51,68,46,40,53,51,59,65,28,20,20,16,19,15,40,43,43,51,38,42,68,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,20,15,31,38,10,10,12,26,50,32,46,26,18,16,12,11,14,9,14,12,17,14,15,13,20,50,08
,OTAY MESA DVN,48,56,53,32,46,56,62,66,34,50,52,28,20,11,12,11,11,12,10,12,16,33,10,28,32,66,07
,PENDLETON,11,10,46,11,26,26,15,42,19,12,14,17,16,15,15,10,12,11,12,11,18,12,13,22,17,46,02
14 VWSP MPH,ALPINE,.1,1.0,1.2,1.2,3.1,1.6,.6,.5,4.3,3.6,4.8,3.5,4.2,2.6,7.2,8.0,6.9,4.8,2.1,2.0,2.0,1.4,1.0,1.6,2.9,8.0,15
,CHULA VISTA,1.4,1.5,2.4,1.1,1.6,1.1,1.3,1.8,.8,2.5,5.8,6.1,7.9,8.6,9.3,9.4,7.6,5.1,4.0,2.2,.8,1.2,.9,.8,3.6,9.4,15
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.1,.3,.3,.2,.6,.3,.1,.0,1.6,1.0,2.7,2.6,2.9,6.5,9.2,9.0,9.8,6.0,3.1,1.0,.1,1.0,1.6,1.4,2.6,9.8,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.5,4.8,2.8,3.0,4.8,4.8,4.8,2.6,2.2,4.1,4.0,6.9,10.3,11.3,14.0,13.6,10.5,9.4,3.0,3.0,2.9,3.7,2.4,2.4,5.6,14.0,14
