Current Date:,4/3/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
4/2/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.037,.035,C,C,.033,.031,.031,.031,.035,.040,.046,.050,.053,.051,.050,.048,.045,.044,.042,.040,.038,.037,.037,.037,.040,.053,12
,CHULA VISTA,.033,.037,C,C,.044,.040,.034,.036,.035,.036,.041,.043,.043,.041,.041,.041,.040,.040,.039,.041,.042,.041,.041,.041,.039,.044,04
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.036,.034,C,C,C,.037,.039,.042,.039,,<,.045,.046,.047,.045,.045,.044,.042,.040,.040,.040,.040,.043,.042,.041,.047,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.041,.040,C,C,.042,.043,.040,.039,.038,.038,.044,.047,.046,.046,.045,.043,.042,.041,.041,.040,.039,.039,.041,.042,.041,.047,11
,OTAY MESA DVN,.034,.037,C,C,.040,.036,.040,.046,.045,.044,.042,.042,.046,.044,.042,.042,.040,.040,.038,.037,.035,.037,.039,.041,.040,.046,07
,PENDLETON,,,,,,,,,,,,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
02 NOX PPM,ALPINE,.002,.002,C,C,.002,.003,.003,.004,.003,.003,.002,.002,.003,.006,.003,.002,.002,.002,.003,.003,.003,.003,.002,.002,.003,.006,13
,CARMEL MT RCH,.004,.003,C,C,C,.003,.006,.006,.005,M,.019,.041,.044,.039,.027,.024,.021,.022,.018,.018,.017,.014,.013,.010,.018,.044,12
,CHULA VISTA,.008,.005,C,C,.005,.007,.012,.011,.013,.012,.006,.004,.003,.002,.003,.003,.003,.003,.002,.002,.002,.002,.002,.002,.005,.013,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.001,.000,C,C,C,.002,.003,.001,.001,,<,.007,.004,.002,.002,.002,.002,.002,.003,.002,.001,.001,.000,.000,.002,.007,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.002,.002,C,C,.005,.006,.007,.009,.010,.011,.006,.003,.003,.003,.003,.002,.003,.002,.002,.003,.003,.002,.002,.002,.004,.011,09
,OTAY MESA DVN,.005,.004,C,C,.003,.006,.006,.003,.004,.005,.007,.006,.004,.004,.003,.003,.002,.002,.002,.003,.005,.004,.002,.002,.004,.007,10
,PENDLETON,,,,,,,,,,,,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
03 NO2 PPM,ALPINE,.002,.002,C,C,.002,.002,.003,.003,.002,.002,.002,.002,.002,.005,.003,.002,.002,.002,.003,.003,.003,.003,.002,.002,.002,.005,13
,CARMEL MT RCH,.003,.003,C,C,C,.003,.005,.005,.004,M,.011,.022,.024,.020,.014,.014,.012,.013,.012,.011,.012,.010,.010,.008,.011,.024,12
,CHULA VISTA,.007,.004,C,C,.004,.006,.010,.009,.010,.010,.004,.003,.001,.001,.002,.002,.002,.002,.001,.001,.001,.001,.001,.001,.004,.010,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.001,.000,C,C,C,.002,.002,.001,.001,,<,.005,.003,.001,.001,.001,.001,.002,.002,.002,.001,.001,.000,.000,.001,.005,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.002,.002,C,C,.005,.006,.007,.008,.008,.009,.005,.003,.003,.002,.002,.002,.002,.002,.002,.003,.003,.002,.002,.002,.004,.009,09
,OTAY MESA DVN,.004,.004,C,C,.003,.005,.005,.003,.003,.004,.005,.005,.003,.003,.002,.002,.002,.001,.001,.002,.004,.003,.002,.001,.003,.005,05
,PENDLETON,,,,,,,,,,,,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.001,.001,.000,.000,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,05
,CARMEL MT RCH,.000,.000,C,C,C,.000,.001,.001,.001,M,.009,.018,.021,.019,.013,.011,.009,.009,.006,.007,.005,.004,.003,.002,.007,.021,12
,CHULA VISTA,.001,.001,C,C,.002,.002,.002,.002,.002,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,04
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.000,.000,.000,.000,,<,.002,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.002,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.000,.001,.001,.002,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,09
,OTAY MESA DVN,.000,.000,C,C,.000,.000,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
,PENDLETON,,,,,,,,,,,,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.2,.3,.2,.2,M,.3,.5,.6,.6,.5,.6,.6,.6,.5,.4,.4,.4,.4,.3,.4,.6,12
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,26,26,26,27,27,26,26,26,26,26,25,24,24,25,25,24,25,25,26,26,26,26,26,26,25,27,03
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,00
,CHULA VISTA,26,26,26,26,26,26,26,26,26,26,26,25,25,25,24,25,25,25,25,26,26,26,25,26,26,26,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,26,26,26,26,26,26,26,25,,<,26,25,25,25,25,25,25,25,25,25,25,25,25,25,26,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,26,26,26,26,26,26,25,26,26,26,00
,OTAY MESA DVN,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,00
,PENDLETON,,,,,,,,,,,,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,14.1,12.5,18.8,10.1,12.3,14.6,13.3,10.4,9.0,8.0,8.0,13.3,14.9,9.1,11.9,8.0,8.5,7.7,10.7,11.1,9.6,10.9,8.5,9.3,11.0,18.8,02
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,17.5,15.9,14.4,11.7,15.1,13.2,13.8,8.8,6.7,12.9,14.0,16.3,12.7,10.8,7.2,5.0,7.6,9.5,8.0,4.5,3.9,8.5,8.3,12.5,10.7,17.5,00
,PENDLETON,,,,,,,,,,,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,322,28,318,205,167,128,123,151,183,217,246,257,255,256,267,250,240,238,258,258,298,254,267,264,227,322,00
,CHULA VISTA,116,118,135,157,183,145,132,138,143,183,203,216,235,251,259,253,262,252,240,240,223,194,223,190,195,262,16
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,126,96,126,109,110,140,132,125,113,,<,227,236,256,241,222,227,226,249,237,221,194,212,212,184,256,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,111,92,142,146,143,141,150,146,167,182,189,209,228,241,240,233,230,223,217,213,173,254,186,148,184,254,21
,OTAY MESA DVN,328,68,168,161,142,120,108,111,112,135,178,205,231,235,258,264,279,305,271,250,203,187,174,156,194,328,00
,PENDLETON,,,,,,,,,,,,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
13 SIGTHETA °,ALPINE,51,61,56,40,40,17,19,39,40,42,42,39,34,29,30,27,23,24,26,24,25,32,21,23,34,61,01
,CHULA VISTA,13,15,16,18,18,17,17,17,20,22,30,27,20,19,21,22,23,22,22,20,22,20,21,18,20,30,10
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,14,13,20,15,18,23,16,19,22,,27,28,25,21,22,22,24,23,24,36,29,21,19,24,22,36,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,11,11,12,12,10,12,15,13,20,21,15,16,15,15,17,14,14,14,20,26,15,19,21,10,15,26,19
,OTAY MESA DVN,16,21,27,19,13,10,9,12,13,21,29,24,24,19,11,16,15,17,11,12,17,13,13,16,17,29,10
,PENDLETON,,,,,,,,,,,,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
14 VWSP MPH,ALPINE,1.2,.4,1.1,1.4,1.7,2.6,2.8,1.6,1.8,2.9,4.3,4.2,5.4,5.7,4.2,4.3,4.2,3.5,2.7,3.1,2.2,2.2,2.5,1.8,2.8,5.7,13
,CHULA VISTA,2.3,2.9,3.1,3.4,3.9,3.4,4.4,4.0,3.6,3.8,4.1,6.4,9.0,8.7,6.5,4.7,4.4,3.6,3.8,3.8,2.8,2.4,2.8,2.7,4.2,9.0,12
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.4,3.3,2.7,3.2,2.4,2.3,3.2,3.6,3.9,,<,5.1,6.0,6.5,5.8,5.6,4.5,4.2,3.3,2.5,2.3,2.8,2.4,2.1,3.6,6.5,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.2,3.7,4.0,4.8,6.7,5.1,5.1,5.9,5.9,6.3,7.4,7.8,8.5,8.6,6.8,6.9,6.1,5.7,4.2,2.3,3.8,3.4,2.0,3.6,5.4,8.6,13
,OTAY MESA DVN,1.7,1.7,3.0,4.8,5.1,7.8,7.9,6.8,5.9,5.9,5.0,6.7,8.4,8.9,10.8,6.9,5.5,4.3,4.9,5.2,2.5,5.0,3.3,2.5,5.4,10.8,14
,PENDLETON,,,,,,,,,,,,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
15 SWSP MPH,ALPINE,1.9,1.3,1.5,1.8,2.2,2.8,3.0,2.1,2.7,4.0,5.3,5.3,6.4,6.6,4.8,4.9,4.6,3.8,3.0,3.4,2.5,2.5,2.6,2.0,3.4,6.6,13
,CHULA VISTA,2.3,3.0,3.2,3.6,4.1,3.7,4.6,4.2,3.9,4.0,4.8,7.3,9.6,9.2,7.0,5.1,4.7,3.9,4.1,4.1,3.1,2.6,3.0,2.8,4.5,9.6,12
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.5,3.4,2.9,3.3,2.6,2.5,3.3,3.9,4.2,,<,5.7,6.7,6.9,6.3,6.0,4.9,4.7,3.7,3.0,2.6,3.0,2.7,2.2,4.0,6.9,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.3,3.8,4.1,4.9,6.8,5.2,5.3,6.1,6.3,6.8,7.8,8.3,9.0,8.9,7.2,7.3,6.3,5.9,4.5,3.2,4.0,3.6,2.9,3.6,5.7,9.0,12
,OTAY MESA DVN,2.2,2.1,3.5,5.2,5.3,8.0,8.0,7.0,6.2,6.3,5.7,7.3,9.2,9.5,11.1,7.2,5.7,4.6,5.0,5.9,2.9,5.2,3.5,2.7,5.8,11.1,14
,PENDLETON,,,,,,,,,,,,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
16 AMBTEMP °F,ALPINE,49.1,48.8,48.3,48.2,48.0,48.0,48.4,49.0,50.7,54.1,57.4,59.2,61.1,60.1,57.4,56.5,55.6,54.2,53.4,52.5,51.9,51.4,51.0,50.9,52.7,61.1,12
,CARMEL MT RCH,55.5,55.6,55.5,55.5,56.0,56.0,56.2,57.1,58.1,59.5,61.3,62.2,63.2,63.1,61.5,60.8,59.1,58.6,57.8,57.3,57.2,57.0,56.7,56.5,58.2,63.2,12
,CHULA VISTA,57.8,58.2,58.3,58.4,58.3,58.4,58.7,59.4,60.7,61.5,62.7,64.7,65.4,64.4,62.1,61.5,60.5,59.9,59.5,59.3,59.0,58.8,58.6,58.5,60.2,65.4,12
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,55.6,55.9,56.0,56.2,56.2,56.5,56.8,57.6,58.9,,<,63.6,64.2,63.5,62.7,62.2,61.7,60.4,59.4,59.0,58.5,58.2,57.9,57.9,59.0,64.2,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,58.0,58.1,58.4,58.5,58.5,58.8,59.2,60.0,60.9,61.8,62.2,62.8,62.6,61.6,61.5,60.9,60.1,59.6,59.5,59.5,59.5,58.8,58.8,58.6,59.9,62.8,11
,OTAY MESA DVN,55.3,55.6,55.7,55.3,55.5,55.6,55.8,56.7,57.6,59.2,61.1,63.2,66.2,66.0,61.8,60.1,59.0,58.1,57.5,57.0,57.1,56.9,56.8,56.8,58.3,66.2,12
,PENDLETON,,,,,,,,,,,,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
17 RELHUM %,ALPINE,100,100,100,100,100,99,94,90,83,74,67,65,62,67,75,79,82,85,87,90,91,92,93,92,86,100,00
,EL CAJON LES,84,82,81,80,80,78,74,71,68,,<,60,61,64,66,65,66,69,71,71,71,73,74,75,72,84,00
,KEARNY MESA,81,80,78,78,75,74,73,71,69,70,69,67,70,73,74,73,74,71,71,72,72,78,77,78,74,81,00
18 PRES mmHg,KEARNY MESA,746,745,745,745,745,745,746,746,746,746,746,745,745,745,745,745,745,745,746,746,746,746,746,746,746,746,00
19 SOLAR W/M2,KEARNY MESA,-2,-2,-2,-2,-1,19,42,131,242,297,303,354,285,267,195,133,59,-1,-2,-2,-2,-2,-2,-2,96,354,11
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,,<,.0,.1,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.1,12
29 CO Tr PPB,EL CAJON LES,202.3,203.7,C,C,C,194.4,193.0,174.8,183.3,,C,245.2,218.8,187.6,199.1,194.0,206.2,192.6,206.6,198.2,180.4,182.0,169.8,185.5,195.6,245.2,11
