Current Date:,4/25/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
4/24/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.054,.053,C,C,.053,.048,.043,.045,.047,.051,.051,.058,.057,.063,.067,.063,.060,.053,.047,.044,.035,.034,.038,.032,.049,.067,14
,CHULA VISTA,.034,.030,C,C,.031,.030,.028,.029,.032,.034,.040,M,.049,.051,.036,.052,.047,.044,.044,.041,.042,.044,.043,.045,.039,.052,15
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.023,.017,C,C,C,.019,.020,.020,.023,.028,.040,.045,.056,.058,.059,.056,.053,.047,.041,.036,.033,.029,.034,.039,.036,.059,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.017,.013,C,C,.022,.021,.021,.020,.022,.025,.039,.051,M,.051,.053,.054,.049,.048,.041,.035,.033,.034,.022,.033,.033,.054,15
,OTAY MESA DVN,.026,.017,C,C,.019,.015,.018,.022,M,.032,.044,.054,.056,.055,.058,.057,.053,.050,.046,.042,.038,.038,.038,.036,.038,.058,14
,PENDLETON,,,,,,,,,,P,.015,P,<,M,.049,.050,.050,.048,.046,.046,.047,.042,.045,.048,.044,.050,15
02 NOX PPM,ALPINE,.001,.001,C,C,.003,.010,.009,.009,.008,.005,.005,.005,.010,.006,.003,.003,.003,.007,.008,.007,.011,.009,.006,.008,.006,.011,20
,CARMEL MT RCH,.013,.014,C,C,C,.011,.036,.033,.029,.039,.042,M,.034,.028,.028,.022,.022,.020,.021,.023,.023,.018,.018,.011,.024,.042,10
,CHULA VISTA,.004,.005,C,C,.006,.006,.008,.009,.010,.012,.012,M,.003,M,M,.004,.003,.004,.005,.004,.003,.002,.003,.003,.006,.012,09
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.004,.004,C,C,C,.005,.006,.011,.015,.020,.014,.012,.007,.007,.005,.006,.007,.006,.006,.007,.008,.009,.004,.001,.008,.020,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,.008,C,C,.008,.010,.010,.013,.020,.027,.016,.003,M,.004,.005,.004,.003,.003,.004,.008,.007,.005,.010,.005,.009,.027,09
,OTAY MESA DVN,.002,.008,C,C,.005,.009,.009,.008,M,.014,.009,.004,.004,.003,.003,.003,.003,.002,.002,.003,.004,.003,.002,.003,.005,.014,09
,PENDLETON,,,,,,,,,,P,.033,P,<,M,.006,.002,.002,.001,.002,.001,.001,.005,.003,.001,.005,.033,10
03 NO2 PPM,ALPINE,.001,.001,C,C,.002,.007,.007,.006,.006,.004,.004,.004,.008,.005,.002,.003,.002,.007,.008,.007,.011,.009,.006,.007,.005,.011,20
,CARMEL MT RCH,.010,.011,C,C,C,.009,.017,.017,.015,.020,.023,M,.019,.015,.016,.013,.013,.013,.014,.015,.015,.014,.013,.009,.015,.023,10
,CHULA VISTA,.003,.004,C,C,.004,.005,.006,.007,.007,.008,.008,M,.002,M,M,.003,.002,.003,.004,.003,.002,.001,.002,.002,.004,.008,09
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.004,.004,C,C,C,.005,.005,.007,.009,.012,.010,.009,.005,.005,.003,.004,.005,.005,.005,.007,.008,.009,.004,.001,.006,.012,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,.007,C,C,.008,.009,.009,.010,.013,.017,.011,.003,M,.003,.004,.003,.002,.003,.004,.008,.006,.005,.010,.004,.007,.017,09
,OTAY MESA DVN,.002,.008,C,C,.005,.008,.008,.006,M,.008,.006,.003,.003,.002,.002,.003,.002,.002,.002,.003,.004,.003,.002,.002,.004,.008,01
,PENDLETON,,,,,,,,,,P,.031,P,<,M,.003,.001,.001,.001,.002,.001,.001,.004,.003,.001,.004,.031,10
04 NO PPM,ALPINE,.000,.000,C,C,.000,.003,.002,.002,.002,.001,.001,.001,.002,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.003,05
,CARMEL MT RCH,.003,.003,C,C,C,.001,.019,.017,.014,.019,.019,M,.015,.013,.013,.009,.008,.007,.007,.008,.008,.005,.004,.002,.010,.019,06
,CHULA VISTA,.001,.001,C,C,.001,.001,.002,.002,.003,.004,.004,M,.001,M,M,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.004,09
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.000,.001,.004,.006,.007,.004,.004,.002,.002,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.002,.007,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.001,C,C,.000,.001,.001,.003,.008,.011,.005,.001,M,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.002,.011,09
,OTAY MESA DVN,.000,.000,C,C,.000,.001,.002,.002,M,.006,.002,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.006,09
,PENDLETON,,,,,,,,,,P,.002,P,<,M,.003,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.003,14
06 CO PPM,CARMEL MT RCH,.4,.3,C,C,C,.3,.6,.5,.4,.6,.6,M,.4,.5,.5,.5,.5,.5,.5,.5,.4,.4,.4,.3,.5,.6,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,26,26,26,26,26,26,26,25,24,24,23,24,24,24,24,24,24,24,25,25,25,26,26,26,24,26,00
,CARMEL MT RCH,26,26,26,27,27,26,26,26,26,26,26,25,25,25,25,25,25,26,26,26,26,26,26,26,26,27,03
,CHULA VISTA,25,25,25,25,25,25,25,25,25,25,24,23,25,25,25,25,25,25,25,25,25,25,26,26,25,26,22
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,27,27,26,27,26,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,25,25,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,00
,OTAY MESA DVN,24,25,25,25,24,24,24,24,25,25,24,24,24,24,24,24,24,23,23,24,24,24,24,25,24,25,01
,PENDLETON,,,,,,,,,,P,-50,P,<,M,26,26,26,26,27,27,26,26,26,26,19,27,18
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,9.5,6.9,7.5,4.7,10.6,7.1,8.2,6.0,2.8,7.1,6.8,6.6,19.8,16.5,12.2,14.2,12.0,11.9,12.8,14.0,16.9,15.6,14.5,15.0,10.8,19.8,12
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,13.7,12.1,13.6,13.0,12.4,13.4,15.2,21.4,25.7,25.1,27.6,22.0,19.7,20.3,16.0,16.4,13.5,12.1,14.5,16.3,9.2,16.2,7.7,12.7,16.2,27.6,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,6.1,21.6,29.6,11.4,12.6,17.2,18.1,11.2,26.2,30.9,25.4,M,24.4,18.4,17.2,19.7,17.5,21.1,15.5,9.0,9.5,13.7,10.4,16.2,17.5,30.9,09
,PENDLETON,,,,,,,,,,8.9,14.1,M,M,13.7,13.3,8.6,12.4,9.1,7.1,8.9,9.3,10.8,10.4,12.8,10.7,14.1,10
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,356,50,96,101,319,17,247,133,245,273,303,288,295,292,282,280,286,246,282,51,49,65,90,303,206,356,00
,CHULA VISTA,36,185,200,186,159,110,248,158,274,276,257,263,264,267,271,251,269,264,258,255,250,228,207,246,224,276,09
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,110,90,110,163,187,83,98,188,290,298,268,233,246,252,255,262,247,263,232,190,188,192,198,218,203,298,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,44,348,58,346,55,92,295,118,211,240,252,234,264,269,305,296,293,302,298,296,285,283,286,240,238,348,01
,OTAY MESA DVN,8,138,136,328,6,18,59,310,282,286,276,286,283,286,288,277,287,291,293,282,294,310,290,351,236,351,23
,PENDLETON,,,,,,,,,,P,1,P,<,M,259,266,262,232,212,195,195,104,163,166,187,266,15
13 SIGTHETA °,ALPINE,36,20,16,16,29,21,39,25,38,30,28,26,26,28,28,27,29,23,35,42,64,39,26,53,31,64,20
,CHULA VISTA,34,46,53,27,30,34,47,52,41,35,23,23,22,30,25,22,20,29,18,19,18,25,33,37,31,53,02
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,17,32,33,42,30,43,72,73,67,52,58,21,24,24,29,28,23,17,49,16,25,18,27,56,37,73,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,20,32,26,17,24,19,67,52,54,53,27,14,26,21,22,16,16,13,11,11,10,42,49,56,29,67,06
,OTAY MESA DVN,19,19,24,19,32,37,22,59,19,26,23,14,15,15,19,12,12,18,21,22,30,23,34,20,23,59,07
,PENDLETON,,,,,,,,,,0,0,P,<,M,13,12,16,23,28,19,24,20,23,24,17,28,18
14 VWSP MPH,ALPINE,1.0,1.0,1.9,1.5,.2,1.0,.8,1.0,2.4,4.0,4.6,6.4,6.3,5.5,5.9,5.3,4.5,3.3,1.5,.9,.3,.9,1.5,.5,2.6,6.4,11
,CHULA VISTA,1.7,.5,.9,1.7,1.9,.9,1.6,1.0,2.6,3.2,7.0,6.4,6.6,5.0,5.7,7.0,6.8,3.5,4.2,3.4,2.8,2.1,1.5,1.7,3.3,7.0,10
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.0,.4,.2,.4,1.9,1.3,.0,.4,.8,1.8,2.3,7.5,5.5,6.3,4.6,4.8,6.2,5.6,1.9,3.0,3.2,3.4,2.1,1.1,2.7,7.5,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.2,2.4,1.1,1.9,1.3,2.8,.3,1.2,1.5,2.6,6.6,10.6,6.5,8.3,7.7,8.7,8.2,6.0,4.9,4.6,4.5,1.7,.5,.7,4.0,10.6,11
,OTAY MESA DVN,2.3,1.3,.9,2.2,1.8,1.8,2.1,1.4,4.5,4.7,8.0,9.9,10.2,9.9,7.8,11.1,9.6,6.3,5.6,3.1,1.9,2.4,2.0,2.7,4.7,11.1,15
,PENDLETON,,,,,,,,,,P,.1,P,<,M,6.3,5.4,4.4,3.7,2.2,2.2,2.3,2.5,3.4,2.6,3.2,6.3,14
15 SWSP MPH,ALPINE,1.4,1.6,2.0,1.6,.8,1.4,1.3,1.6,2.8,4.6,5.1,7.2,7.0,6.2,6.5,6.0,5.1,3.5,1.9,1.7,1.3,1.9,2.2,1.6,3.2,7.2,11
,CHULA VISTA,2.1,1.5,1.4,1.9,2.3,1.8,1.8,1.8,3.1,3.7,7.5,7.0,7.1,5.6,6.3,7.6,7.2,3.9,4.4,3.7,2.9,2.6,1.6,2.3,3.8,7.6,15
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.0,.4,.3,.6,2.0,1.6,1.2,.8,1.1,2.3,2.9,8.4,6.1,6.9,5.3,5.4,7.1,5.8,2.5,3.2,3.5,3.7,2.5,1.6,3.1,8.4,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.3,2.6,1.2,2.0,1.6,3.0,1.6,2.3,2.8,3.7,7.4,11.0,7.3,9.3,8.3,9.0,8.5,6.2,5.0,4.9,4.6,2.1,1.4,1.8,4.6,11.0,11
,OTAY MESA DVN,3.0,1.5,1.2,2.6,2.1,2.1,2.4,2.1,4.9,5.2,8.8,10.2,10.6,10.3,8.3,11.4,9.8,6.8,6.2,3.4,2.4,3.2,2.4,3.1,5.2,11.4,15
,PENDLETON,,,,,,,,,,P,.1,P,<,M,6.5,5.6,4.7,3.9,2.5,2.5,2.7,2.6,4.1,3.2,3.5,6.5,14
16 AMBTEMP °F,ALPINE,63.1,62.3,62.8,63.0,61.6,60.9,63.0,67.0,70.1,73.0,74.5,75.7,73.3,74.7,75.3,74.6,72.5,66.8,64.1,63.2,61.3,59.2,58.8,56.4,66.6,75.7,11
,CARMEL MT RCH,53.1,53.4,52.3,51.9,52.4,52.4,53.2,55.4,61.2,67.4,72.5,72.1,73.2,72.5,72.3,71.7,67.7,62.3,59.0,57.3,55.2,53.5,52.7,52.9,60.3,73.2,12
,CHULA VISTA,57.5,56.7,56.5,56.9,56.8,56.6,57.5,59.4,63.7,65.8,66.8,65.4,67.2,68.3,68.8,66.9,65.0,63.7,59.9,57.6,57.0,57.7,56.6,57.4,61.1,68.8,14
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,55.9,54.8,53.8,52.8,53.7,53.7,53.9,56.2,62.2,68.5,74.2,72.7,73.5,76.5,76.5,77.7,74.2,68.7,65.4,63.0,59.2,57.2,55.8,55.9,63.2,77.7,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,55.2,53.0,52.9,54.7,55.7,55.5,55.5,57.3,61.4,66.6,70.8,67.9,69.8,69.4,70.9,67.9,64.9,62.1,58.8,56.3,54.9,54.8,54.3,55.6,60.3,70.9,14
,OTAY MESA DVN,53.1,53.5,52.9,50.8,52.5,52.2,52.3,54.6,59.9,66.6,70.9,67.1,69.4,66.9,70.8,68.9,64.1,62.2,59.8,56.3,54.4,54.2,53.8,53.3,59.2,70.9,10
,PENDLETON,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,-57.0,P,<,M,66.3,65.3,64.5,63.7,62.1,61.6,61.5,61.4,62.0,62.0,27.3,66.3,14
17 RELHUM %,ALPINE,42,43,32,30,32,38,34,27,25,24,23,19,38,33,28,31,26,52,60,57,62,66,54,61,39,66,21
,EL CAJON LES,91,91,86,93,96,98,96,89,72,59,46,49,40,37,36,29,43,53,61,67,78,83,88,89,70,98,05
,KEARNY MESA,92,94,94,95,98,98,98,93,81,66,53,59,53,55,48,56,65,72,80,87,91,93,91,91,79,98,04
18 PRES mmHg,KEARNY MESA,748,748,748,748,748,749,749,749,749,749,749,749,749,749,748,748,748,748,749,749,749,750,750,750,749,750,21
19 SOLAR W/M2,KEARNY MESA,-3,-2,-2,-2,-2,11,56,171,584,785,939,1013,961,914,789,599,373,149,8,-2,-2,-2,-2,-2,305,1013,11
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.1,.1,.1,.2,.2,.2,.1,.1,.1,.1,.1,.0,.0,.0,.0,.0,.0,.2,11
29 CO Tr PPB,EL CAJON LES,221.7,243.7,C,C,C,268.2,288.1,345.5,405.3,478.4,423.4,294.7,250.0,259.0,237.8,238.9,261.7,267.2,265.3,301.9,264.6,267.3,219.6,193.2,285.5,478.4,09
