Current Date:,4/2/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
4/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.037,C,C,.050,.044,.048,.045,.034,.035,.039,.044,.051,.061,.062,.060,.059,.056,.052,.044,.040,.037,.033,.035,.037,.045,.062,13
,CHULA VISTA,.035,C,C,.032,.032,.031,.033,.034,.037,.043,.046,.047,.047,.047,.046,.045,.044,.043,.044,.045,.044,.038,.031,.031,.039,.047,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.029,C,C,C,.025,.028,.025,.028,.030,.035,.046,.055,.055,.056,.055,.053,.050,.047,.044,.042,.040,.039,.037,.030,.040,.056,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.037,C,C,.027,.033,.031,.032,.032,.033,.037,<,.049,.051,.050,.048,.047,.046,.043,.043,.044,.038,.038,.030,.038,.039,.051,12
,OTAY MESA DVN,.036,C,C,.027,.028,.028,.028,.031,.033,.037,.046,.052,.051,.049,.049,.048,.046,.044,.042,.042,.041,.040,.035,.031,.039,.052,11
,PENDLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 NOX PPM,ALPINE,.005,C,C,.001,.002,.001,.001,.007,.004,.003,.002,.003,.004,.003,.003,.002,.002,.003,.005,.005,.005,.005,.004,.002,.003,.007,07
,CARMEL MT RCH,.006,C,C,C,.004,.005,.003,.008,.004,.007,.016,.013,.014,.014,.013,.011,.011,.012,.012,.014,.007,.004,.016,.010,.010,.016,10
,CHULA VISTA,.006,C,C,.006,.005,.006,.005,.007,.006,.005,.005,.003,.003,.002,.002,.002,.002,.002,.002,.002,.002,.004,.008,.007,.004,.008,22
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.003,C,C,C,.003,.002,.003,.003,.003,.003,.005,.004,.002,.002,.001,.001,.001,.001,.002,.003,.002,.002,.002,.003,.002,.005,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.001,C,C,.003,.003,.004,.004,.004,.005,.005,<,.003,.001,.001,.001,.001,.001,.002,.002,.002,.005,.005,.007,.003,.003,.007,22
,OTAY MESA DVN,.003,C,C,.004,.004,.004,.003,.003,.003,.003,.003,.003,.002,.002,.001,.002,.002,.001,.001,.001,.001,.001,.002,.005,.002,.005,23
,PENDLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 NO2 PPM,ALPINE,.005,C,C,.001,.002,.001,.001,.005,.003,.002,.002,.003,.003,.002,.002,.002,.002,.003,.005,.005,.005,.005,.004,.002,.003,.005,00
