Current Date:,4/6/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
4/5/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.050,.052,C,C,.050,.051,.049,.032,.028,.036,.042,.053,.062,.060,.067,.064,.058,.051,.042,.035,.036,.030,.020,.024,.045,.067,14
,CHULA VISTA,.037,.037,C,C,.036,.036,.035,.035,.038,.042,.047,.051,.050,.051,.050,.046,.041,.040,.039,.039,.039,.036,.036,.041,.041,.051,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.037,.035,C,C,C,.028,.026,.031,.035,.039,.046,.047,.057,.060,.057,.054,.050,.046,.046,.038,.031,.031,.031,.034,.040,.060,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.042,.041,C,C,.039,.037,.037,.035,.036,.036,.038,.050,.055,.053,.051,.049,.050,.046,.039,.033,.034,.035,.030,.033,.040,.055,12
,OTAY MESA DVN,.033,.032,C,C,.031,.033,.030,.024,.030,.038,.046,.055,.057,.057,.055,.053,.048,.043,.039,.037,.037,.035,.036,.034,.040,.057,12
,PENDLETON,.045,C,C,.042,.041,.042,M,M,M,M,M,M,M,M,.048,.047,.044,.043,.043,.043,.042,.042,.035,.038,.042,.048,14
02 NOX PPM,ALPINE,.003,.002,C,C,.004,.003,.003,.018,.015,.008,.006,.006,.006,.010,.006,.005,.005,.006,.007,.010,.007,.008,.012,.008,.007,.018,07
,CARMEL MT RCH,.005,.006,C,C,C,.008,.009,.008,.022,.023,.031,.030,.032,.037,.027,.029,.023,.019,.024,.018,.016,.024,.020,.012,.020,.037,13
,CHULA VISTA,.004,.004,C,C,.005,.005,.007,.008,.008,.007,.006,.005,.004,.004,.005,.004,.004,.004,.004,.004,.003,.003,.003,.002,.005,.008,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.001,.001,C,C,C,.002,.002,.002,.003,.005,.007,.014,.009,.006,.004,.004,.005,.005,.006,.008,.007,.006,.004,.002,.005,.014,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.001,.001,C,C,.003,.003,.004,.005,.007,.013,.015,.008,.005,.005,.003,.005,.004,.003,.005,.006,.005,.005,.006,.005,.005,.015,10
,OTAY MESA DVN,.003,.002,C,C,.004,.003,.005,.012,.010,.006,.007,.005,M,.004,.003,.003,.003,.004,.002,.003,.002,.002,.002,.003,.004,.012,07
,PENDLETON,.002,C,C,.003,.004,.003,M,M,M,M,M,M,M,M,.006,.002,.003,.001,.001,.002,.002,.002,.006,.005,.003,.006,14
03 NO2 PPM,ALPINE,.003,.002,C,C,.004,.003,.002,.013,.009,.006,.005,.005,.005,.008,.005,.004,.005,.005,.007,.010,.007,.008,.012,.008,.006,.013,07
,CARMEL MT RCH,.004,.005,C,C,C,.006,.007,.006,.012,.014,.017,.016,.019,.021,.015,.017,.014,.013,.015,.012,.012,.017,.014,.009,.013,.021,13
,CHULA VISTA,.003,.003,C,C,.004,.004,.006,.006,.006,.005,.004,.004,.003,.002,.004,.003,.003,.003,.003,.003,.002,.002,.002,.001,.003,.006,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.001,.001,C,C,C,.002,.002,.001,.002,.003,.005,.010,.007,.004,.003,.003,.004,.004,.006,.007,.007,.006,.004,.002,.004,.010,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.001,.001,C,C,.003,.003,.004,.005,.006,.009,.011,.006,.004,.004,.002,.004,.003,.003,.005,.006,.005,.005,.006,.005,.005,.011,10
,OTAY MESA DVN,.002,.002,C,C,.004,.002,.005,.009,.007,.005,.006,.004,M,.003,.002,.002,.003,.003,.002,.002,.002,.002,.002,.003,.003,.009,07
,PENDLETON,.002,C,C,.003,.003,.003,M,M,M,M,M,M,M,M,.003,.001,.001,.000,.000,.001,.001,.001,.005,.003,.002,.005,22
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.001,.005,.006,.003,.002,.001,.001,.002,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.006,08
,CARMEL MT RCH,.001,.001,C,C,C,.001,.002,.002,.010,.009,.014,.014,.013,.016,.012,.011,.010,.007,.009,.006,.005,.007,.006,.003,.008,.016,13
,CHULA VISTA,.001,.001,C,C,.001,.001,.001,.001,.002,.002,.002,.002,.001,.001,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.000,.000,.001,.001,.002,.002,.004,.002,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.004,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.000,.000,.001,.004,.004,.002,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.004,09
,OTAY MESA DVN,.000,.000,C,C,.000,.000,.001,.002,.003,.002,.002,.001,M,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.003,08
,PENDLETON,.000,C,C,.000,.000,.000,M,M,M,M,M,M,M,M,.003,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.003,14
06 CO PPM,CARMEL MT RCH,.3,.3,C,C,C,.3,.3,.3,.4,.4,.6,.6,.6,.7,.6,.6,.7,.7,.7,.5,.5,.6,.4,.4,.5,.7,13
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,26,26,26,27,27,27,26,25,24,24,24,24,24,24,24,24,24,24,25,25,26,26,26,26,25,27,03
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,00
,CHULA VISTA,26,25,26,26,25,26,25,26,25,25,25,25,24,25,25,25,25,25,25,25,25,25,25,26,25,26,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,26,26,26,26,26,26,00
