Current Date:,1/8/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
1/7/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.044,.045,C,C,.044,.042,.042,.040,.032,.038,.042,.044,.041,.042,.036,.031,.029,.028,.026,.031,.031,.031,.034,.035,.036,.045,01
,CHULA VISTA,.030,.018,C,C,.019,.012,.003,.006,.012,M,M,.031,.038,.042,.043,.042,.039,.030,.016,.002,.001,.002,.004,.008,.019,.043,14
,DOWNTOWN SES,.025,.020,C,C,.025,.021,.008,.011,.016,.017,.020,.022,.032,.041,.042,.044,.042,.030,.024,.013,.006,.002,.002,.004,.021,.044,15
,EL CAJON LES,.001,.001,C,C,C,.001,.001,.002,.005,.011,.016,.027,.031,.028,.030,.033,.030,.024,.009,.002,.002,.001,.001,.001,.012,.033,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.034,.033,C,C,.033,.026,.012,.022,.029,.034,.035,M,M,.035,.035,.039,.031,.012,.007,.010,.006,.015,.015,.014,.023,.039,15
,OTAY MESA DVN,.037,.037,C,C,.034,.027,.031,M,M,.034,.034,M,.031,.039,.041,.043,.039,.036,.031,.014,.016,.010,.004,.003,.028,.043,15
,PENDLETON,.029,.029,C,C,.028,.025,.025,.026,.025,.024,.023,.023,.025,.024,.025,.023,.018,.025,.027,.008,.008,.012,.014,.015,.021,.029,00
02 NOX PPM,ALPINE,.000,.000,C,C,.001,.002,.008,.004,.011,.006,.002,.001,.004,.006,.018,.021,.019,.019,.016,.014,.011,.010,.007,.005,.008,.021,15
,CARMEL MT RCH,.026,.033,C,C,.047,.078,.097,.100,.105,.063,.078,.046,.032,.028,.032,.032,.031,.057,.069,.064,.079,.047,.037,.027,.055,.105,08
,CHULA VISTA,.008,.014,C,C,.015,.024,.047,.056,.049,M,M,.017,.008,.005,.004,.006,.008,.014,.022,.051,.055,.046,.034,.026,.025,.056,07
,DOWNTOWN SES,.011,.014,C,C,.012,.016,.041,.041,.036,.054,.050,.044,.015,.006,.006,.005,.007,.017,.021,.031,.041,.048,.045,.035,.027,.054,09
,EL CAJON LES,.042,.041,C,C,C,.044,.066,.085,.073,.061,.052,.030,.024,.031,.022,.014,.015,.017,.029,.036,.049,.053,.050,.053,.042,.085,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.004,.004,C,C,.006,.014,.032,.018,.013,.009,.014,M,M,.016,.015,.010,.018,.036,.040,.031,.036,.022,.018,.015,.019,.040,18
,OTAY MESA DVN,.006,.005,C,C,.013,.031,.016,M,M,.018,.012,M,.022,.012,.009,.008,.006,.007,.013,.033,.031,.035,.049,.069,.021,.069,23
,PENDLETON,.005,.005,C,C,.008,.009,.010,.010,.012,.013,.021,.024,.018,.019,.017,.018,.023,.012,.011,.034,.032,.024,.015,.013,.016,.034,19
03 NO2 PPM,ALPINE,.000,.000,C,C,.001,.002,.004,.003,.008,.004,.002,.001,.003,.005,.014,.017,.017,.018,.016,.013,.011,.010,.007,.005,.007,.018,17
,CARMEL MT RCH,.022,.027,C,C,.033,.041,.044,.040,.040,.031,.035,.022,.016,.015,.016,.018,.020,.037,.041,.038,.039,.032,.029,.023,.030,.044,06
,CHULA VISTA,.008,.014,C,C,.015,.023,.034,.035,.027,M,M,.012,.007,.004,.004,.005,.008,.013,.021,.037,.032,.031,.028,.025,.019,.037,19
,DOWNTOWN SES,.011,.013,C,C,.011,.015,.028,.027,.022,.025,.028,.026,.010,.005,.005,.004,.006,.016,.020,.027,.032,.034,.029,.027,.019,.034,21
,EL CAJON LES,.025,.024,C,C,C,.021,.024,.026,.028,.028,.028,.021,.017,.021,.017,.012,.014,.016,.025,.029,.028,.029,.025,.023,.023,.029,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
