Current Date:,1/24/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
1/23/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.039,.041,C,C,.041,.040,.040,.038,.036,.038,.036,M,M,M,M,M,.036,.027,.028,.031,.031,.034,.035,.038,.035,.041,01
,CHULA VISTA,.018,.017,.007,.002,.003,.001,.002,.003,.007,.018,.021,.022,.026,.029,.032,.032,.026,.015,.007,.001,.001,.001,.001,.001,.012,.032,14
,DOWNTOWN SES,.006,.012,C,C,.004,.002,.001,.002,.005,.015,.016,.020,.026,.023,.032,.032,.032,.021,.012,.004,.010,.002,.001,.001,.012,.032,14
,EL CAJON LES,.001,.001,C,C,C,.001,.001,.001,M,M,M,.028,.033,.038,M,.037,.032,.030,.015,.003,.005,.003,.001,.001,.013,.038,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.020,.019,C,C,.005,.003,.002,.007,.015,.023,.030,.034,.032,.028,.031,.034,.027,.019,.006,.009,.007,.005,.011,.009,.017,.034,11
,OTAY MESA DVN,.014,.017,C,C,.015,.018,.004,.011,.008,.026,.038,.040,.042,.035,.036,.035,.031,.022,.012,.003,.006,.011,.013,.014,.020,.042,12
,PENDLETON,.011,.013,C,C,.013,.007,.005,.007,.008,.016,.019,.023,.026,M,.033,.030,.042,.042,.044,.035,.018,.017,.022,.016,.021,.044,18
02 NOX PPM,ALPINE,.002,.001,C,C,.001,.002,.002,.005,.005,.004,.005,M,M,M,M,M,.009,.014,.011,.010,.007,.004,.003,.002,.005,.014,17
,CARMEL MT RCH,.032,.015,C,C,.024,.013,.051,.060,.106,.041,.024,.039,.031,.031,.039,.033,.032,.039,.063,.055,.063,.049,.039,.039,.042,.106,08
,CHULA VISTA,.007,.006,.011,.020,.021,.034,.040,.042,.044,.016,.019,.028,.029,.020,.020,.021,.024,.031,.034,.048,.050,.053,.051,.042,.030,.053,21
,DOWNTOWN SES,.022,.012,C,C,.017,.027,.048,.052,.073,.037,.039,.033,.025,.031,.019,.020,.018,.025,.034,.042,.029,.041,.051,.065,.035,.073,08
,EL CAJON LES,.019,.018,C,C,C,.032,.046,.066,.085,M,M,.019,.017,.012,M,.010,.016,.016,.024,.035,.028,.035,.039,.036,.031,.085,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,.006,C,C,.019,.024,.035,.024,.022,.021,.014,.016,.017,.019,.021,.016,.022,.026,.042,.025,.027,.028,.019,.018,.021,.042,18
,OTAY MESA DVN,.018,.012,C,C,.013,.012,.042,.030,.060,.008,.003,.003,.004,.015,.013,.013,.016,.021,.038,.078,.043,.026,.020,.021,.023,.078,19
,PENDLETON,.012,.006,C,C,.011,.019,.020,.030,.029,.026,.034,.023,.018,M,.018,.025,.007,.007,.003,.006,.019,.017,.011,.012,.017,.034,10
03 NO2 PPM,ALPINE,.002,.001,C,C,.001,.002,.002,.003,.004,.003,.004,M,M,M,M,M,.009,.014,.011,.009,.007,.004,.003,.002,.005,.014,17
,CARMEL MT RCH,.020,.011,C,C,.015,.010,.024,.026,.032,.017,.014,.019,.015,.017,.021,.019,.021,.029,.039,.034,.036,.033,.030,.026,.023,.039,18
,CHULA VISTA,.007,.006,.011,.016,.015,.018,.020,.019,.019,.010,.012,.017,.019,.014,.015,.016,.021,.029,.033,.034,.031,.028,.027,.023,.019,.034,19
,DOWNTOWN SES,.018,.011,C,C,.013,.016,.019,.020,.029,.019,.021,.019,.017,.020,.014,.016,.016,.023,.031,.035,.027,.032,.030,.029,.022,.035,19
,EL CAJON LES,.014,.012,C,C,C,.011,.011,.014,M,M,M,.013,.012,.009,M,.008,.014,.016,.023,.028,.023,.023,.023,.022,.016,.028,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,.006,C,C,.015,.016,.019,.015,.014,.014,.010,.012,.012,.013,.016,.013,.020,.025,.034,.024,.025,.026,.018,.017,.017,.034,18
,OTAY MESA DVN,.013,.010,C,C,.012,.009,.026,.021,.025,.005,.002,.002,.003,.011,.010,.011,.015,.020,.027,.045,.035,.024,.019,.019,.017,.045,19
,PENDLETON,.009,.005,C,C,.010,.015,.015,.016,.013,.015,.019,.014,.012,M,.013,.018,.006,.007,.003,.006,.018,.017,.011,.012,.012,.019,10
