Current Date:,1/28/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
1/27/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.034,.031,C,C,.026,.026,.037,.031,.034,.030,.035,.037,.036,.039,.045,.047,.045,.040,.032,.038,.038,.042,.041,.040,.036,.047,15
,CHULA VISTA,.031,.033,.029,.032,.021,.013,.017,.016,.016,.026,.027,.033,.041,.045,.043,.039,.036,.031,.027,.017,.003,.007,.009,.011,.025,.045,13
,DOWNTOWN SES,.042,.040,C,C,.022,.017,.014,.011,.020,.028,M,M,M,.043,.045,.043,.037,.039,.042,.030,.017,.005,.002,.002,.026,.045,14
,EL CAJON LES,.025,.031,C,C,C,.030,.021,.016,.018,.020,.031,.036,.039,.041,.045,.047,.042,.029,.025,.014,.011,.009,.004,.001,.025,.047,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.029,.037,C,C,.021,.017,.012,.014,.024,.031,.036,.039,.042,.045,.047,.043,.041,.035,.036,.030,.015,.018,.015,.017,.029,.047,14
,OTAY MESA DVN,.039,.035,C,C,.026,.027,.021,.016,.007,.024,.035,.037,.042,.046,.046,.043,.039,.036,.026,.019,.017,.007,.010,.005,.027,.046,13
,PENDLETON,.023,.025,.020,.015,.013,.011,.009,.008,.016,.029,.035,.039,.045,.046,.046,.048,.049,.046,.035,.026,.020,.025,.018,.012,.027,.049,16
02 NOX PPM,ALPINE,.003,.003,C,C,.004,.003,.004,.008,.008,.010,.007,.005,.006,.006,.004,.004,.006,.008,.012,.007,.005,.002,.002,.001,.005,.012,18
,CARMEL MT RCH,.003,.005,C,C,.012,.005,.013,.041,.025,.043,.030,.028,.031,.025,.025,.029,.025,.024,.033,.037,.022,.028,.018,.017,.024,.043,09
,CHULA VISTA,.009,.008,.008,.007,.012,.022,.015,.019,.019,.012,.019,.018,.012,.009,.014,.018,.017,.018,.019,.024,.037,.028,.021,.018,.017,.037,20
,DOWNTOWN SES,.006,.006,C,C,.013,.019,.026,.035,.022,.015,M,M,M,.012,.011,.011,.014,.011,.010,.019,.028,.037,.041,.040,.020,.041,22
,EL CAJON LES,.009,.005,C,C,C,.004,.006,.010,.013,.017,.009,.008,.009,.010,.010,.010,.013,.020,.019,.022,.021,.019,.023,.027,.014,.027,23
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,.005,C,C,.018,.018,.024,.024,.051,.011,.008,.009,.010,.008,.007,.009,.009,.010,.009,.013,.019,.016,.016,.015,.014,.051,08
,OTAY MESA DVN,.005,.007,C,C,.013,.009,.013,.024,.063,.020,.007,.007,.008,.010,.010,.013,.014,.012,.016,.022,.018,.035,.031,.048,.018,.063,08
