Current Date:,6/4/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
6/3/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.046,.032,C,C,.033,.031,.026,.021,.038,.044,.052,.053,.076,.081,.084,.076,.074,.061,.043,.038,.032,.027,.023,.032,.046,.084,14
,CHULA VISTA,.007,.003,C,C,.014,.016,.020,.024,.031,.035,.040,.042,.044,.043,.038,.038,.039,.039,.039,.038,.038,.040,.041,.040,.032,.044,12
,DOWNTOWN SES,.011,.008,C,C,.021,.026,.024,.029,.036,.036,.047,.058,.054,.047,.038,.037,.032,.034,.036,.039,.043,.045,.046,.041,.035,.058,11
,EL CAJON LES,.015,.012,C,C,C,.008,.018,.026,.034,.046,.057,.073,.076,.076,.060,.052,.045,.042,.038,.035,.035,.035,.034,.031,.040,.076,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.012,.011,C,C,.021,.024,.027,.033,.044,.055,.056,.062,.069,.067,.061,.044,.043,.039,.035,.034,.036,.037,.035,.037,.040,.069,12
,OTAY MESA DVN,.013,.023,.015,.020,.010,.013,.015,.022,.026,.040,.054,.059,.064,.065,.059,.056,.052,.045,.039,.037,.037,.038,.035,.031,.036,.065,13
,PENDLETON,.011,.012,C,C,.018,.021,.021,.023,.029,.031,.037,.040,.043,.044,.036,.036,.035,.033,.035,.034,.035,.035,.036,.037,.031,.044,13
02 NOX PPM,ALPINE,.002,.001,C,C,.001,.003,.016,.020,.007,.005,.004,.003,.004,.005,.005,.005,.005,.006,.008,.007,.007,.009,.009,.006,.006,.020,07
,CARMEL MT RCH,.012,.009,C,C,.021,.032,.044,M,M,M,M,M,M,.025,.026,.027,.019,.016,.013,.012,.011,.011,.010,.009,.019,.044,06
,CHULA VISTA,.011,.014,C,C,.008,.007,.008,.008,.009,.012,.010,.008,.006,.003,.003,.002,.002,.001,.002,.006,.006,.004,.003,.002,.006,.014,01
,DOWNTOWN SES,.011,.013,C,C,.005,.005,.009,.009,.010,.016,.011,.008,.006,.006,.004,.004,.008,.004,.004,.005,.005,.004,.003,.006,.007,.016,09
,EL CAJON LES,.009,.011,C,C,C,.013,.010,.008,.009,.007,.006,.009,.006,.006,.006,.007,.006,.004,.004,.004,.004,.003,.003,.003,.007,.013,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,.008,C,C,.004,.005,.006,.007,.008,.006,.007,.006,.005,.005,.006,.003,.004,.002,.003,.004,.003,.003,.006,.004,.005,.008,01
,OTAY MESA DVN,.015,.010,.018,.008,.009,.010,.011,.011,.017,.009,.007,.006,.005,.004,.004,.003,.003,.003,.004,.003,.003,.003,.003,.002,.007,.018,02
,PENDLETON,.007,.006,C,C,.005,.005,.009,.009,.007,.010,.008,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.004,.010,09
03 NO2 PPM,ALPINE,.002,.000,C,C,.001,.002,.008,.012,.005,.004,.003,.002,.004,.004,.005,.004,.004,.006,.007,.006,.007,.009,.009,.006,.005,.012,07
,CARMEL MT RCH,.010,.008,C,C,.010,.014,.020,M,M,M,M,M,M,.017,.017,.018,.011,.009,.008,.008,.007,.007,.007,.007,.011,.020,06
,CHULA VISTA,.011,.013,C,C,.007,.006,.006,.006,.007,.009,.008,.006,.005,.003,.002,.002,.002,.001,.002,.006,.006,.004,.003,.003,.005,.013,01
,DOWNTOWN SES,.010,.012,C,C,.004,.004,.007,.006,.008,.012,.009,.007,.005,.005,.003,.003,.006,.004,.004,.005,.005,.004,.003,.006,.006,.012,01
,EL CAJON LES,.008,.011,C,C,C,.010,.007,.006,.007,.006,.006,.007,.006,.006,.005,.006,.005,.003,.003,.004,.004,.003,.003,.003,.006,.011,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,.008,C,C,.004,.004,.005,.005,.007,.005,.006,.006,.005,.004,.005,.003,.003,.002,.002,.004,.003,.003,.005,.004,.005,.008,01
,OTAY MESA DVN,.014,.009,.016,.007,.008,.008,.007,.007,.010,.007,.006,.005,.004,.003,.003,.002,.003,.003,.003,.003,.002,.003,.002,.002,.006,.016,02
,PENDLETON,.007,.006,C,C,.005,.005,.007,.006,.005,.006,.006,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.003,.007,00
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.008,.008,.002,.001,.001,.000,.000,.000,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.001,.008,06
,CARMEL MT RCH,.002,.002,C,C,.011,.018,.025,M,M,M,M,M,M,.009,.009,.010,.008,.007,.004,.005,.004,.004,.002,.002,.008,.025,06
,CHULA VISTA,.000,.001,C,C,.000,.001,.002,.002,.002,.003,.003,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.003,09
,DOWNTOWN SES,.000,.001,C,C,.000,.001,.002,.002,.002,.004,.002,.001,.001,.001,.001,.001,.002,.000,.000,.000,.000,.000,.000,.000,.001,.004,09
,EL CAJON LES,.001,.000,C,C,C,.003,.003,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.003,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.001,.001,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.002,07
,OTAY MESA DVN,.001,.001,.002,.001,.001,.002,.004,.003,.006,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.006,08
,PENDLETON,.000,.000,C,C,.000,.000,.002,.003,.002,.003,.002,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.003,07
06 CO PPM,CARMEL MT RCH,.3,.3,C,C,C,.7,.6,M,M,M,C,C,M,.6,.6,.7,.5,.4,.4,.3,.3,.3,.3,.3,.4,.7,05
10 INTMP °C,ALPINE,24,24,25,25,25,24,24,24,23,23,23,23,23,23,23,24,24,24,23,23,24,24,24,24,24,25,02
,CARMEL MT RCH,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,00
,CHULA VISTA,25,25,24,25,25,25,24,25,25,25,24,24,24,24,25,24,25,24,24,25,25,25,25,24,25,25,00
,DOWNTOWN SES,25,25,25,25,24,25,25,24,24,24,24,24,24,23,23,23,23,24,24,24,24,24,25,24,24,25,00
,EL CAJON LES,27,27,27,27,27,27,27,27,27,27,26,27,26,26,26,26,26,26,26,27,27,27,27,27,27,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,00
,OTAY MESA DVN,26,26,26,26,26,25,26,26,26,26,26,25,24,25,25,25,25,25,25,25,25,25,25,26,25,26,00
,PENDLETON,26,26,26,26,26,25,25,25,25,25,25,24,24,24,25,25,25,25,25,25,26,26,26,26,25,26,00
11 PM2.5 µg/M3,ALPINE,10.8,6.1,1.9,3.1,7.0,4.8,2.1,6.4,7.2,7.6,6.2,7.2,16.2,14.5,16.2,16.4,16.7,18.5,16.2,14.9,17.1,12.8,14.9,14.3,10.7,18.5,17
,DOWNTOWN SES,9.0,12.7,12.0,7.7,7.8,11.8,12.8,13.7,14.8,15.5,13.7,15.3,12.6,12.8,11.5,13.7,16.9,16.2,23.7,13.2,15.4,12.4,13.1,17.6,13.5,23.7,18
,EL CAJON LES,4.3,4.2,3.5,8.3,5.7,7.6,7.9,8.4,5.3,7.4,8.1,8.4,8.4,10.4,6.6,3.8,4.0,8.2,8.4,8.0,8.6,6.8,7.0,6.1,6.8,10.4,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,27.8,21.5,36.3,16.6,12.6,9.9,17.3,19.2,20.1,16.8,14.4,13.3,14.7,18.6,13.3,17.1,18.5,16.2,21.8,17.0,11.1,18.1,11.0,8.5,17.1,36.3,02
,PENDLETON,13.7,10.5,14.3,11.2,10.8,11.9,19.3,19.5,14.3,18.0,14.2,14.2,18.1,14.2,16.4,16.7,14.9,15.5,15.1,16.0,11.0,16.1,15.9,13.6,14.8,19.5,07
12 VWDR °,ALPINE,53,308,188,358,244,220,263,258,246,285,279,286,304,286,249,268,300,308,316,333,283,122,342,95,0,358,03
,CHULA VISTA,201,3,8,307,335,341,16,10,355,252,251,244,253,247,243,251,247,242,247,249,258,248,296,266,0,355,08
,DOWNTOWN SES,227,331,328,321,330,353,8,344,313,229,274,284,277,246,207,200,212,204,204,208,213,202,224,218,0,353,05
,EL CAJON LES,190,87,200,202,170,350,334,339,277,304,237,237,M,243,204,208,217,219,201,195,194,185,184,184,0,350,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,314,279,310,303,328,347,352,343,345,319,257,282,279,272,257,229,217,198,201,204,212,155,134,146,0,352,06
,OTAY MESA DVN,128,112,102,344,316,314,343,269,272,303,298,304,302,300,300,302,311,313,314,331,339,343,348,345,0,348,22
,PENDLETON,13,323,322,321,316,226,166,163,204,267,280,244,242,235,217,208,193,181,178,195,182,175,170,148,0,323,01
13 SIGTHETA °,ALPINE,22,27,60,26,36,44,35,29,28,32,32,29,26,26,26,29,30,22,18,22,43,43,48,58,33,60,02
,CHULA VISTA,49,42,54,55,30,22,25,37,53,35,22,21,23,19,21,26,20,21,19,19,19,22,30,39,30,55,03
,DOWNTOWN SES,28,45,18,21,24,23,28,33,43,28,17,20,20,24,22,20,19,22,21,21,22,26,25,21,25,45,01
,EL CAJON LES,43,42,44,70,60,58,48,65,62,62,63,33,M,26,22,21,20,19,16,16,15,24,16,20,38,70,03
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,10,55,19,15,14,15,18,19,23,41,29,17,16,19,19,18,17,13,15,15,18,27,16,35,21,55,01
,OTAY MESA DVN,12,45,32,26,39,29,33,68,48,22,19,12,14,15,15,17,15,14,13,11,8,8,12,14,23,68,07
,PENDLETON,33,27,21,20,20,46,62,43,32,17,17,14,15,17,20,19,20,15,17,19,21,18,18,21,24,62,06
14 VWSP MPH,ALPINE,.4,.8,.4,.1,.0,.0,.0,.9,2.3,2.9,3.9,4.4,5.4,6.0,5.9,5.1,3.9,3.8,2.0,.6,.3,.4,.4,1.1,.0,6.0,13
,CHULA VISTA,.7,.7,.7,.7,1.6,2.9,2.9,2.6,1.3,4.7,6.2,6.6,6.8,7.4,6.7,6.6,7.4,6.7,5.3,4.7,4.8,2.5,2.6,1.6,.0,7.4,13
,DOWNTOWN SES,.8,1.2,3.6,3.7,4.2,3.1,3.0,2.3,2.1,4.5,6.8,6.9,7.1,6.6,7.9,8.2,7.9,6.3,5.5,5.4,4.4,3.0,3.2,2.6,.0,8.2,15
,EL CAJON LES,.6,.3,.7,.7,.3,.6,1.7,.7,.9,1.5,2.3,5.3,M,6.5,7.7,6.5,5.9,5.2,4.4,4.2,3.5,2.6,2.2,1.4,.0,7.7,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,3.3,1.5,4.2,4.7,5.8,5.9,5.2,5.7,4.5,3.6,7.1,9.2,8.4,8.2,7.7,8.1,8.3,8.0,6.0,5.6,4.5,3.2,3.6,.3,.0,9.2,11
,OTAY MESA DVN,2.6,1.5,.3,2.7,2.2,1.6,1.6,.6,1.0,4.3,6.6,9.4,8.6,8.4,7.7,7.3,8.2,7.8,6.2,6.2,7.7,7.0,4.5,3.3,.0,9.4,11
,PENDLETON,2.4,1.9,2.6,3.8,3.3,.9,.9,1.6,4.2,3.4,4.4,5.3,6.9,6.2,5.8,6.6,6.5,7.1,5.9,5.2,4.3,4.5,4.7,4.0,.0,7.1,17
15 SWSP MPH,ALPINE,.4,1.1,1.2,.1,.0,.0,.0,.9,2.5,3.4,4.6,5.1,5.9,6.8,6.7,5.8,4.5,4.1,2.1,.7,.8,.9,.9,1.3,2.5,6.8,13
,CHULA VISTA,.8,1.2,1.1,1.1,1.9,3.3,3.2,3.0,2.3,5.2,6.7,7.1,7.4,7.8,7.1,7.2,7.9,7.1,5.5,5.0,5.1,2.7,3.0,2.0,4.4,7.9,16
,DOWNTOWN SES,1.0,1.9,3.8,4.0,4.5,3.4,3.4,2.8,3.2,5.8,7.1,7.3,7.6,7.3,8.7,8.7,8.4,6.7,5.9,5.8,4.8,3.6,3.5,2.9,5.1,8.7,14
,EL CAJON LES,1.2,.9,1.3,1.1,1.1,1.0,2.3,1.7,2.0,2.5,3.4,6.1,7.2,7.0,8.3,6.9,6.4,5.5,4.6,4.4,3.6,2.7,2.3,1.6,3.5,8.3,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.7,2.2,4.4,4.9,6.0,6.2,5.5,6.0,4.8,4.4,8.4,9.6,8.8,8.8,8.6,8.6,8.8,8.2,6.2,5.8,4.7,3.5,3.7,1.7,6.0,9.6,11
,OTAY MESA DVN,2.7,1.7,1.5,3.0,2.8,2.1,2.3,1.5,3.2,4.6,7.0,9.6,8.9,8.6,8.0,7.5,8.6,8.1,6.4,6.4,7.8,7.0,4.6,3.4,5.3,9.6,11
,PENDLETON,3.7,2.3,2.8,4.0,3.5,1.3,1.7,2.7,4.8,3.7,4.7,5.5,7.1,6.6,6.1,6.9,6.8,7.3,6.2,5.5,4.7,4.7,4.9,4.5,4.7,7.3,17
16 AMBTEMP °F,ALPINE,76.9,78.5,75.7,75.6,75.2,75.3,78.3,77.9,81.9,85.3,87.6,89.5,89.4,88.3,86.0,83.4,81.8,77.8,72.7,69.4,67.0,65.8,66.1,66.5,78.0,89.5,11
,CARMEL MT RCH,66.5,66.1,65.1,62.8,62.1,62.7,65.8,70.6,75.6,82.4,86.0,83.2,84.3,84.3,84.1,83.6,80.7,76.4,70.5,65.6,63.7,63.3,62.8,62.7,72.1,86.0,10
,CHULA VISTA,66.0,65.6,65.0,64.2,63.8,64.0,66.0,70.5,75.7,78.3,75.7,74.9,74.8,74.3,73.7,73.3,71.0,68.4,66.3,65.1,64.6,64.0,64.1,63.7,68.9,78.3,09
,DOWNTOWN SES,66.9,66.5,65.7,65.2,64.3,65.1,67.7,71.6,76.5,78.4,76.6,76.0,75.8,75.9,73.1,70.5,68.6,66.9,65.9,64.9,64.6,64.6,64.2,63.9,69.1,78.4,09
