Current Date:,6/18/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
6/17/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.023,.022,C,C,.021,.020,.022,.021,.023,.027,.035,.043,.051,.053,.051,.050,.046,.043,.037,.030,.026,.023,.017,.014,.031,.053,13
,CHULA VISTA,.026,.027,C,C,.029,.029,.027,.027,.028,.032,.035,.035,.034,.033,.032,.033,.032,.031,.030,.030,.029,.028,.026,.025,.029,.035,10
,DOWNTOWN SES,.028,.028,C,C,.029,.026,.027,.029,.030,.034,.036,.036,.034,.033,.033,.034,.033,.032,.031,.030,.027,.028,.032,.031,.030,.036,10
,EL CAJON LES,.023,.023,.024,.026,.027,.028,.028,.027,.028,M,M,.042,.044,.043,.041,.038,.036,.033,.030,.025,.026,.025,.024,.024,.030,.044,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.027,.026,C,C,.028,.026,.028,.029,.030,.032,.035,.040,.038,.037,.036,.035,.034,.032,.030,.028,.028,.025,.020,.027,.030,.040,11
,OTAY MESA DVN,.024,.024,C,C,.028,.025,.023,.025,.026,.030,.036,.043,.045,.040,.038,.037,.037,.034,.031,.030,.029,.027,.026,.024,.031,.045,12
,PENDLETON,.027,.029,C,C,.030,.025,.027,.029,.032,.034,.034,.034,.035,.032,.033,.032,.032,.032,.030,.030,.030,.030,.030,.027,.030,.035,12
02 NOX PPM,ALPINE,.003,.003,C,C,.003,.003,.004,.004,.004,.004,.003,.003,.003,.003,.003,.003,.004,.004,.005,.006,.006,.006,.008,.009,.004,.009,23
,CARMEL MT RCH,.005,.006,C,C,.004,.003,.003,.004,.007,.025,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.007,.025,09
,CHULA VISTA,.002,.001,C,C,.002,.003,.005,.004,.006,.003,.002,.002,.002,.002,.002,.002,.002,.001,.001,.001,.001,.002,.002,.003,.002,.006,08
,DOWNTOWN SES,.002,.002,C,C,.002,.005,.007,.004,.005,.004,.002,.002,.002,.002,.002,.002,.002,.002,.001,.002,.004,.003,.001,.002,.003,.007,06
,EL CAJON LES,.003,.003,.002,.001,.001,.002,.003,.003,.004,M,M,.003,.003,.003,.003,.003,.003,.003,.004,.005,.004,.003,.003,.002,.003,.005,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.001,.002,C,C,.003,.005,.004,.004,.005,.004,.005,.003,.002,.002,.002,.002,.001,.001,.001,.003,.003,.004,.006,.003,.003,.006,22
,OTAY MESA DVN,.004,.003,C,C,.003,.005,.009,.007,.007,.008,.009,.009,.007,.003,.002,.003,.002,.002,.002,.002,.002,.002,.003,.003,.004,.009,06
,PENDLETON,.001,.001,C,C,.001,.004,.004,.003,.001,.001,.001,.001,.001,.004,.001,.001,.000,.000,.000,.000,.000,.000,.001,.002,.001,.004,05
03 NO2 PPM,ALPINE,.003,.002,C,C,.002,.003,.003,.003,.003,.003,.003,.002,.003,.003,.002,.003,.003,.003,.005,.005,.006,.005,.008,.008,.004,.008,22
,CARMEL MT RCH,.004,.005,C,C,.003,.002,.003,.003,.005,.013,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.005,.013,09
,CHULA VISTA,.001,.001,C,C,.002,.002,.005,.004,.004,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.002,.003,.002,.005,06
,DOWNTOWN SES,.002,.002,C,C,.002,.005,.006,.003,.004,.003,.002,.001,.001,.001,.001,.001,.001,.001,.001,.002,.004,.003,.001,.002,.002,.006,06
,EL CAJON LES,.003,.003,.002,.001,.001,.001,.002,.003,.003,M,M,.002,.002,.003,.002,.002,.002,.003,.003,.005,.004,.003,.002,.002,.002,.005,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.001,.002,C,C,.003,.005,.004,.004,.004,.003,.003,.002,.002,.002,.001,.001,.001,.001,.001,.003,.003,.004,.006,.003,.003,.006,22
,OTAY MESA DVN,.004,.003,C,C,.002,.005,.008,.006,.006,.005,.006,.007,.005,.002,.002,.002,.002,.002,.001,.001,.002,.002,.002,.003,.004,.008,06
,PENDLETON,.001,.001,C,C,.001,.004,.003,.002,.001,.001,.001,.001,.001,.002,.001,.001,.000,.000,.000,.000,.000,.000,.001,.002,.001,.004,05
04 NO PPM,ALPINE,.000,.000,C,C,.001,.001,.001,.001,.001,.001,.001,.000,.001,.000,.000,.000,.001,.001,.001,.000,.000,.000,.000,.000,.001,.001,04
,CARMEL MT RCH,.001,.001,C,C,.001,.000,.001,.001,.003,.012,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.003,.012,09
,CHULA VISTA,.000,.000,C,C,.000,.000,.001,.001,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.002,08
,DOWNTOWN SES,.000,.000,C,C,.000,.000,.001,.001,.001,.001,.001,.000,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
,EL CAJON LES,.000,.000,.000,.000,.000,.000,.000,.000,.001,M,M,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.001,.001,.001,.001,.001,.001,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
,OTAY MESA DVN,.000,.000,C,C,.000,.000,.001,.001,.002,.003,.003,.002,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.003,09
,PENDLETON,.000,.000,C,C,.000,.000,.000,.001,.000,.000,.000,.000,.000,.002,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,13
06 CO PPM,CARMEL MT RCH,.1,.1,C,C,C,.1,.1,.2,.2,.3,C,C,M,M,M,M,C,C,M,M,M,M,C,C,.2,.3,09
10 INTMP °C,ALPINE,25,25,25,26,25,25,25,25,26,26,25,25,25,24,23,23,23,24,24,24,25,25,25,26,25,26,03
,CARMEL MT RCH,25,25,25,25,25,25,25,25,24,25,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,00
,CHULA VISTA,29,29,29,29,29,29,29,29,28,28,28,29,30,30,30,30,30,30,29,28,28,27,27,26,29,30,12
,DOWNTOWN SES,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,25,24,25,25,25,25,25,00
,EL CAJON LES,28,28,28,28,28,28,28,28,28,27,26,27,27,27,27,26,26,26,26,26,27,27,27,27,27,28,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,26,26,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,04
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,25,25,25,24,24,25,25,25,25,25,26,26,25,26,25,26,00
,PENDLETON,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,00
11 PM2.5 µg/M3,ALPINE,8.8,5.7,6.5,9.3,7.7,6.3,9.1,14.4,11.6,8.4,6.5,8.3,6.9,9.8,7.7,8.2,7.8,11.6,10.3,8.1,7.9,9.3,11.0,13.0,8.9,14.4,07
,DOWNTOWN SES,4.9,5.5,7.5,6.1,5.5,4.6,4.4,2.3,1.7,4.9,7.0,9.5,7.1,10.3,7.7,7.5,7.8,6.8,9.2,5.8,12.3,8.1,7.7,10.9,6.8,12.3,20
,EL CAJON LES,11.6,12.1,9.1,10.2,9.2,8.8,7.6,9.7,11.3,12.5,11.3,14.3,12.3,13.7,13.6,10.4,11.9,10.1,10.5,10.0,11.3,10.3,8.3,8.9,10.7,14.3,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,11.3,8.3,7.6,7.8,6.8,9.8,8.2,8.0,10.8,8.1,M,M,9.7,7.6,12.6,13.4,9.5,11.5,9.6,9.7,7.6,7.0,9.0,12.6,9.3,13.4,15
,PENDLETON,5.9,10.2,12.4,8.7,6.9,7.6,6.3,5.8,6.8,8.7,M,M,11.4,11.7,9.2,9.2,9.0,10.0,9.8,7.9,6.4,8.2,9.5,10.2,8.7,12.4,02
12 VWDR °,ALPINE,212,221,205,207,153,130,102,126,151,213,229,262,242,270,247,253,267,295,308,315,322,101,113,184,0,322,20
,CHULA VISTA,185,191,160,154,155,160,177,190,187,236,261,261,255,257,256,254,258,253,247,239,198,183,180,198,0,261,10
,DOWNTOWN SES,152,170,157,161,151,174,176,177,199,213,215,223,217,229,230,217,211,217,214,214,209,184,204,195,0,230,14
,EL CAJON LES,168,194,199,199,196,189,182,173,187,166,184,216,205,223,229,217,217,214,221,215,209,180,179,167,0,229,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,169,184,145,142,162,150,147,162,153,179,194,225,236,240,231,235,246,239,238,222,196,157,152,146,0,246,16
,OTAY MESA DVN,190,204,208,205,195,194,214,198,178,194,,,,,,,,,,,,,,,0,214,06
,PENDLETON,175,179,170,167,172,146,154,161,207,215,215,229,229,229,232,228,220,205,210,189,170,164,167,140,0,232,14
13 SIGTHETA °,ALPINE,38,34,45,22,19,34,25,39,43,63,41,46,37,42,32,32,29,26,21,18,17,31,29,41,34,63,09
,CHULA VISTA,18,23,17,16,17,16,24,23,24,28,24,22,23,25,25,25,21,21,22,23,21,17,16,23,21,28,09
,DOWNTOWN SES,22,24,22,20,22,18,16,18,22,25,24,23,26,30,26,26,24,21,21,21,24,27,25,25,23,30,13
,EL CAJON LES,20,22,23,20,20,22,28,29,38,67,49,34,32,29,24,21,20,22,17,19,20,16,17,23,26,67,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,16,16,14,10,13,15,16,17,17,20,25,30,20,19,22,18,17,19,15,13,13,9,19,19,17,30,11
,OTAY MESA DVN,25,12,13,11,13,12,18,19,31,41,41,24,26,15,20,14,14,14,13,14,11,11,7,9,18,41,09
,PENDLETON,17,16,17,16,16,16,15,15,17,15,20,21,20,20,22,20,19,21,18,24,19,16,21,53,20,53,23
