,PENDLETON,.9,1.0,C,C,1.0,1.6,3.8,3.2,3.0,3.2,7.2,3.2,5.2,1.1,.9,.8,2.0,.7,.7,.6,.6,.6,1.3,1.3,1.9,7.2,10
,SAN YSIDRO,3.8,3.9,C,C,8.7,8.5,9.3,13.6,13.8,6.7,5.6,5.2,4.4,5.3,5.5,4.2,5.2,6.0,5.7,5.0,6.3,7.1,8.2,7.4,6.7,13.8,08
06 CO PPM,CARMEL MT RCH,.2,.3,C,C,.3,.2,.3,.3,.4,.5,.5,.5,.5,.4,.3,.3,.4,.5,.5,.5,.5,.4,.3,.3,.4,.5,09
,SAN YSIDRO,.2,.2,C,C,.3,.3,.3,.4,.5,.3,.3,.2,.3,.3,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.3,.5,08
07 H2S PPB,SAN YSIDRO,1.8,3.9,3.4,5.4,4.2,.1,2.4,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,1.1,1.9,4.0,1.7,1.2,5.4,03
10 INTMP °C,ALPINE,24,24,24,24,24,24,24,24,24,P,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,00
,CARMEL MT RCH,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,00
,CHULA VISTA,25,25,25,25,25,25,25,25,25,24,24,P,,,,P,25,25,25,25,25,25,25,25,25,25,00
,DOWNTOWN SES,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,EL CAJON LES,25,25,26,26,25,25,25,25,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,02
,KEARNY MESA,25,25,25,25,25,26,26,25,26,25,25,25,25,25,25,25,25,25,25,26,25,25,25,25,25,26,05
,OTAY MESA DVN,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,24,24,00
,PENDLETON,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,00
,SAN YSIDRO,25,25,25,25,25,24,24,24,24,24,25,26,25,25,25,25,25,26,27,25,25,25,25,25,25,27,18
11 PM2.5 µg/M3,ALPINE,7.8,8.9,9.6,8.3,6.7,6.5,7.7,10.6,9.8,P,12.8,11.7,13.1,14.4,13.1,12.0,9.2,9.5,9.2,7.7,7.4,8.0,9.1,10.7,9.7,14.4,13
,CARMEL MT RCH,8.1,8.0,8.5,9.7,11.2,11.9,10.2,9.5,8.7,11.8,11.3,11.4,9.8,8.4,6.6,7.3,5.8,5.0,3.5,3.6,3.9,4.1,4.8,5.0,7.8,11.9,05
,CHULA VISTA,11.3,15.9,10.9,8.7,7.0,5.5,5.3,6.8,12.2,8.5,7.3,P,,,,P,4.0,3.3,3.6,3.4,3.6,4.2,7.1,8.6,7.2,15.9,01
,DOWNTOWN SES,6.1,6.6,7.8,9.0,4.9,3.6,3.7,4.7,7.7,8.5,7.8,6.0,5.6,4.5,5.1,4.0,4.5,3.7,2.7,2.7,3.0,3.4,4.2,3.7,5.1,9.0,03
,EL CAJON LES,8.8,10.0,11.4,11.5,12.2,9.8,7.6,7.1,8.3,10.0,12.0,14.8,12.3,9.8,7.0,6.9,7.1,5.3,4.4,4.3,4.4,4.8,5.4,6.0,8.3,14.8,11
,KEARNY MESA,8.9,8.3,7.6,7.0,5.2,5.9,5.0,4.8,6.4,8.8,14.3,13.8,11.1,10.1,6.6,5.4,5.6,4.2,3.7,3.6,4.0,5.9,5.9,5.4,6.9,14.3,10
,OTAY MESA DVN,17.9,26.0,23.1,18.4,16.5,13.7,16.5,23.0,27.4,31.2,28.1,17.5,14.1,11.0,10.2,11.1,8.8,7.4,6.0,5.7,6.1,6.9,8.0,10.2,15.2,31.2,09
,PENDLETON,4.7,4.8,4.8,5.2,4.7,4.9,4.2,2.9,3.2,4.6,4.1,3.2,3.5,3.2,4.4,4.0,3.5,3.3,3.0,3.0,2.9,3.5,3.9,3.5,3.8,5.2,03
,SAN YSIDRO,16.3,11.3,8.5,7.7,7.4,7.5,7.5,14.0,17.6,11.0,8.2,6.4,6.2,7.0,7.1,4.9,4.7,4.4,3.5,3.6,4.2,6.7,9.4,11.9,8.2,17.6,08
12 VWDR °,ALPINE,244,139,139,172,343,72,104,107,106,M,M,287,292,277,288,320,314,323,329,343,340,270,33,311,0,343,04
,CHULA VISTA,268,263,252,214,203,218,229,215,243,264,255,P,,,,P,250,251,253,265,246,234,243,248,0,268,00
,DOWNTOWN SES,221,224,211,206,221,212,195,191,206,228,207,203,202,212,223,205,203,209,214,205,206,201,179,213,0,228,09
,EL CAJON LES,167,172,181,173,187,169,190,147,165,251,239,254,222,219,221,244,220,227,223,216,204,174,182,195,0,254,11
,KEARNY MESA,156,280,259,234,204,138,182,159,167,219,218,225,222,233,245,238,225,245,254,242,208,168,173,196,0,280,01
,OTAY MESA DVN,330,266,286,258,259,330,254,273,310,318,285,280,276,284,282,272,277,282,284,280,283,312,291,297,0,330,00
,PENDLETON,188,193,191,155,167,162,184,187,188,198,224,239,238,241,224,221,230,233,216,226,210,164,159,161,0,241,13
13 SIGTHETA °,ALPINE,53,55,39,57,68,54,39,42,26,M,M,30,31,30,33,30,32,25,21,26,46,35,43,47,39,68,04
,CHULA VISTA,28,31,26,19,18,20,19,35,39,22,24,P,,,,P,22,21,22,21,20,38,28,26,25,39,08
,DOWNTOWN SES,35,20,19,24,17,25,19,20,22,30,22,21,17,24,22,24,24,21,19,20,23,21,41,21,23,41,22
,EL CAJON LES,20,32,20,14,16,17,24,30,55,68,46,32,27,25,23,30,27,22,16,16,14,26,64,24,29,68,09
,KEARNY MESA,38,12,25,24,15,19,13,17,36,55,27,20,20,22,19,28,20,15,14,21,31,18,52,20,24,55,09
,OTAY MESA DVN,20,14,17,10,10,30,25,34,22,20,18,17,16,15,15,16,17,13,11,12,19,19,18,15,18,34,07
,PENDLETON,41,18,18,18,19,14,13,15,15,15,14,11,13,10,13,13,16,15,24,27,22,22,23,24,18,41,00
14 VWSP MPH,ALPINE,1.3,2.1,2.0,2.9,1.0,4.0,3.0,1.5,1.4,M,M,6.9,7.5,7.8,7.4,7.4,6.7,7.0,6.6,4.6,3.5,.7,1.0,3.4,.0,7.8,13
,CHULA VISTA,2.2,1.9,1.9,2.8,2.8,2.2,2.7,1.6,2.2,4.6,4.6,P,,,,P,4.5,4.6,3.8,2.7,3.2,1.8,1.8,2.6,.0,4.6,09
,DOWNTOWN SES,2.1,3.0,2.9,2.4,3.3,2.5,3.9,3.4,3.8,3.6,5.0,6.4,6.9,5.9,5.1,5.2,5.0,4.4,4.0,3.5,3.1,2.6,2.3,3.3,.0,6.9,12
,EL CAJON LES,2.9,2.3,2.4,4.2,4.0,3.5,3.1,2.6,.6,1.7,3.3,5.3,6.4,6.3,6.8,4.8,5.4,4.9,5.4,3.6,4.0,2.1,1.0,3.1,.0,6.8,14
,KEARNY MESA,.7,3.6,2.3,2.1,3.9,3.3,4.5,4.4,3.3,2.3,6.4,8.3,8.5,8.6,8.5,6.3,6.5,7.3,6.4,4.2,3.4,3.4,1.6,2.2,.0,8.6,13
,OTAY MESA DVN,2.5,4.3,4.0,4.0,3.2,1.6,2.9,2.2,3.9,5.1,8.0,8.5,9.1,9.8,9.4,8.0,7.3,7.1,7.4,5.2,4.0,3.3,3.4,4.1,.0,9.8,13
,PENDLETON,2.0,3.6,3.8,3.7,3.1,4.2,5.1,5.0,5.5,5.7,5.8,6.8,7.0,7.9,7.4,5.9,5.4,4.9,2.9,2.3,2.6,2.4,3.5,2.9,.0,7.9,13
15 SWSP MPH,ALPINE,-3.9,-1.8,-2.8,-5.3,-4.8,-7.0,-4.2,-2.7,-1.6,M,M,8.7,9.1,9.1,8.7,8.6,7.8,7.7,7.1,5.2,4.9,5.2,4.5,5.1,2.6,9.1,12
,CHULA VISTA,2.4,2.1,2.3,3.0,2.9,2.3,2.9,1.9,2.6,4.9,5.0,P,,,,P,5.0,5.0,4.0,2.9,3.4,2.1,2.2,2.8,3.1,5.0,10
,DOWNTOWN SES,2.6,3.2,3.1,2.6,3.6,2.8,4.1,3.8,4.3,4.2,5.4,6.9,7.3,6.5,5.5,5.7,5.5,4.8,4.2,3.7,3.4,2.8,2.8,3.5,4.3,7.3,12
,EL CAJON LES,3.2,2.8,2.6,4.3,4.3,3.7,3.3,3.2,2.5,3.1,4.3,6.0,7.2,7.0,7.4,5.4,6.0,5.3,5.6,3.7,4.2,2.4,2.0,3.4,4.3,7.4,14
,KEARNY MESA,2.4,3.7,2.5,2.6,4.4,3.7,4.6,4.6,4.0,3.6,6.9,8.8,9.0,9.2,8.9,6.9,7.0,7.6,6.6,4.7,4.3,3.6,2.1,3.0,5.2,9.2,13
,OTAY MESA DVN,3.0,4.5,4.2,4.0,3.3,2.0,3.0,2.6,4.2,5.5,8.4,8.8,9.5,10.1,9.8,8.4,7.7,7.3,7.6,5.4,4.4,3.5,3.6,4.5,5.6,10.1,13
,PENDLETON,2.4,3.8,4.0,3.9,3.3,4.3,5.2,5.2,5.7,5.9,6.0,7.0,7.1,8.0,7.5,6.1,5.6,5.2,3.1,2.5,2.8,2.6,3.8,3.5,4.8,8.0,13
16 AMBTEMP °F,ALPINE,61.0,61.0,56.4,55.6,55.3,55.4,56.5,59.2,66.9,P,73.1,75.8,76.9,76.3,75.6,73.3,72.2,68.9,64.8,61.2,60.0,58.1,57.5,55.8,64.2,76.9,12
,CARMEL MT RCH,60.4,60.4,60.4,60.7,60.8,60.8,61.2,61.9,63.2,66.6,70.0,72.7,74.1,73.5,71.7,70.5,70.6,67.8,62.9,61.9,61.8,61.9,61.8,61.4,65.0,74.1,12
,CHULA VISTA,60.9,61.1,60.9,60.9,60.6,60.7,61.0,61.7,63.3,63.9,64.9,P,,,,P,64.7,64.2,63.1,62.6,62.5,62.4,62.4,62.4,62.3,64.9,10
,DOWNTOWN SES,60.6,60.5,60.2,60.2,59.8,59.8,59.9,60.7,61.7,63.1,64.6,65.3,65.7,64.6,64.3,64.5,63.8,62.9,62.3,61.9,62.0,61.9,61.9,61.4,62.2,65.7,12
,EL CAJON LES,62.1,62.2,62.7,62.2,61.5,60.9,61.3,62.1,64.1,68.7,72.9,75.3,75.2,75.2,73.6,73.2,72.1,69.5,65.2,63.1,62.3,62.3,62.6,62.4,66.4,75.3,11
,KEARNY MESA,61.7,61.2,60.6,60.5,60.1,60.3,60.5,61.3,62.7,65.9,68.7,69.4,69.0,68.4,66.0,66.1,66.3,64.9,63.0,62.6,62.4,62.4,62.1,62.2,63.7,69.4,11
,OTAY MESA DVN,60.5,60.2,59.9,59.4,59.1,59.3,59.6,59.9,60.9,63.9,68.5,69.6,70.5,70.4,69.6,69.1,67.5,65.5,62.2,60.5,60.6,60.8,60.8,61.0,63.3,70.5,12
,PENDLETON,61.7,61.4,60.8,60.8,60.8,60.9,61.2,61.0,61.5,62.4,63.5,63.8,64.0,64.0,64.2,63.8,63.5,63.2,62.8,63.0,62.9,63.0,63.0,62.9,62.5,64.2,14
,SAN YSIDRO,61.3,60.9,60.4,60.3,60.3,60.4,60.8,62.4,65.0,66.8,66.4,67.5,69.2,68.3,67.5,66.8,66.1,65.4,63.8,63.2,63.0,62.9,62.9,62.8,63.9,69.2,12
17 RELHUM %,ALPINE,86,87,97,100,100,100,100,100,79,P,61,55,51,51,53,57,59,66,76,85,87,92,93,98,80,100,03
,EL CAJON LES,93,93,92,93,95,98,96,93,88,76,68,63,61,60,63,64,66,71,81,85,88,88,87,89,81,98,05
,KEARNY MESA,94,96,98,99,100,99,99,95,89,81,74,72,72,74,80,79,77,80,85,86,86,87,88,88,87,100,04
18 PRES mmHg,EL CAJON LES,746,746,746,746,747,747,747,747,747,747,747,747,747,747,747,746,746,746,746,746,747,747,747,747,747,747,04
,KEARNY MESA,747,747,747,747,747,748,748,748,748,748,748,748,748,748,748,747,747,747,747,747,747,748,747,748,748,748,05
19 SOLAR W/M2,EL CAJON LES,2,2,2,1,2,17,56,105,282,845,972,1014,1008,938,810,628,422,206,34,-1,-1,1,1,1,306,1014,11
,KEARNY MESA,0,0,-1,-1,0,13,54,123,234,609,983,1027,1016,924,517,514,444,209,25,0,0,0,0,0,279,1027,11
20 UVRAD W/M2,EL CAJON LES,0,0,0,0,0,1,4,7,18,47,54,57,56,52,45,33,22,10,2,0,0,0,0,0,17,57,11
25 NOY,EL CAJON LES,4.32,4.62,5.58,4.70,4.84,C,C,4.06,4.48,5.97,8.74,10.56,8.64,6.37,4.65,5.47,4.93,4.67,3.79,4.04,4.08,3.17,3.19,3.24,5.18,10.56,11
26 NOY-NO,EL CAJON LES,4.30,4.62,5.55,4.66,4.79,C,C,3.71,3.82,4.56,7.06,8.75,7.44,5.77,4.17,4.67,4.23,4.03,3.52,3.90,3.90,3.14,3.13,3.12,4.67,8.75,11
27 NO Trace,EL CAJON LES,.01,.00,.03,.03,.04,C,C,.35,.66,1.40,1.67,1.81,1.20,.59,.48,.80,.69,.64,.27,.13,.18,.02,.05,.11,.50,1.81,11
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.1,.2,.2,.1,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.2,11
29 CO Tr PPB,EL CAJON LES,187.3,189.1,C,C,C,180.4,195.3,196.1,197.3,295.2,307.3,329.1,289.5,250.1,208.6,214.3,207.2,180.3,173.4,176.1,179.1,169.8,166.0,170.0,212.4,329.1,11
BCarbon ug/m3,10TH AVE MARINE TERM,.21,.22,.29,.31,<,.30,.15,<,.33,.31,<,<,.26,.46,.17,.13,.20,<,<,<,.07,.08,<,<,.23,.46,13
,ALPINE,<,.44,<,.34,.29,.31,.38,.36,.33,.38,.43,.46,<,.91,<,<,<,<,<,.27,.28,<,.34,.33,.39,.91,13
,BOSTON AVE,.21,.24,.32,.39,.18,.32,.42,<,.84,.44,.43,.31,.27,.29,.17,.15,.15,.15,.12,.10,.21,.15,.16,.09,.27,.84,08
,CHICANO PARK,.28,.23,.33,.41,.24,<,<,.56,<,.48,.51,<,.27,.26,.21,.20,.17,.14,.16,.13,.13,.17,.16,.14,.26,.56,07
,DOWNTOWN SES,.22,.20,<,.30,.17,.18,.22,.33,<,<,.36,<,<,.16,.13,.12,.10,.08,.09,.08,.11,.09,.12,<,.17,.36,10
,OCEANVIEW BLVD,.21,.20,.25,.34,.28,.27,.35,.61,.67,.58,.46,<,.26,.25,.20,.17,<,<,.14,.15,.13,.13,<,.11,.29,.67,08
,OTAY MESA DVN,.57,.89,.65,.57,.58,.59,.74,1.12,1.45,1.80,1.23,.60,.44,.33,.33,.30,.24,.21,.19,.17,.19,.16,.19,.30,.58,1.80,09
,SAN YSIDRO,<,<,<,.50,.48,.69,<,1.14,1.53,.75,<,.38,.32,.45,.32,<,.19,<,.22,.17,<,.40,.72,.74,.56,1.53,08
PM10 STD,ALPINE,18.9,20.8,17.0,14.5,8.9,8.8,13.3,19.7,22.2,P,30.0,29.0,27.7,31.8,34.2,31.3,23.1,22.4,20.0,16.3,16.9,17.1,18.6,16.6,20.8,34.2,14
,CARMEL MT RCH,16.9,16.4,17.0,19.4,20.0,22.9,17.3,17.7,16.6,25.2,25.9,27.5,24.5,25.8,21.9,15.1,14.2,14.3,9.5,9.2,9.3,10.6,10.4,11.1,17.4,27.5,11
,CHULA VISTA,24.7,30.3,20.8,17.7,12.8,9.6,9.8,13.8,23.3,21.6,17.0,P,,,,P,9.3,8.2,10.4,10.3,9.9,10.7,15.8,19.1,15.5,30.3,01
,DOWNTOWN SES,12.8,14.6,15.4,16.1,8.7,6.6,7.3,8.3,14.5,15.7,14.8,11.7,13.7,10.6,11.9,9.5,12.2,9.3,9.7,7.0,7.7,9.3,8.9,8.9,11.0,16.1,03
,EL CAJON LES,16.7,18.8,20.9,23.5,22.8,18.3,14.1,13.3,16.2,22.1,27.5,26.7,24.0,19.9,16.2,14.3,14.2,12.5,10.9,11.0,10.5,9.9,10.9,11.4,16.9,27.5,10
,KEARNY MESA,16.2,15.6,15.5,12.8,9.8,11.4,9.4,8.6,11.8,14.6,25.1,23.6,19.7,19.8,16.5,12.1,13.0,10.4,9.8,9.2,9.1,10.3,11.2,11.0,13.6,25.1,10
,OTAY MESA DVN,36.3,57.1,42.7,28.9,25.4,26.3,31.3,46.7,60.0,60.5,53.8,36.4,37.9,36.4,30.1,29.5,21.4,26.1,17.5,13.9,15.9,16.3,16.6,21.4,32.8,60.5,09
,PENDLETON,9.6,10.5,8.8,9.5,9.3,12.6,11.6,6.1,8.5,11.0,8.8,7.4,11.8,8.1,11.3,8.6,8.3,7.0,6.3,7.1,5.7,11.1,13.0,9.8,9.2,13.0,22
,SAN YSIDRO,32.9,25.2,17.3,14.0,15.1,15.4,14.2,24.3,33.4,24.4,19.0,15.2,17.4,15.6,18.0,13.0,13.0,11.1,9.5,11.6,10.7,15.7,19.8,22.4,17.8,33.4,08
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
