Current Date:,7/1/2024,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
6/30/2024
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.048,C,C,.055,.052,.050,.048,.047,.046,.045,.047,.050,.058,.065,.063,.064,.062,.060,.054,.047,.038,.044,.052,.050,.052,.065,13
,CHULA VISTA,.026,C,C,.022,.020,.016,.021,.030,.037,.046,.047,.047,.047,.049,.046,.043,.044,.042,.039,.037,.036,.036,.036,.034,.036,.049,13
,DOWNTOWN SES,.033,C,C,.029,.026,.029,.031,.034,.038,.040,.042,.044,.047,.050,.048,.043,.042,.039,.036,.032,.030,.033,.034,.034,.037,.050,13
,EL CAJON LES,.026,C,C,C,.018,.015,.017,.025,.034,.047,.057,.062,.061,.061,.063,.057,.051,.046,.039,.034,.030,.026,.024,.023,.038,.063,14
,KEARNY MESA,.035,C,C,.028,.030,.028,.029,.034,.038,.044,.044,.048,.049,.051,.051,.051,.045,.042,.037,.036,.033,.031,.022,.018,.037,.051,13
,OTAY MESA DVN,.026,C,C,.022,.017,.017,.024,.029,.036,.045,.054,.053,.053,.053,.053,.050,.048,.045,.040,.036,.032,.031,.030,.028,.037,.054,10
,PENDLETON,,,,,,,,,,,,,,,P,.044,.042,.039,.040,.042,.043,.040,.031,.024,.038,.044,15
03 NO2 PPB,ALPINE,2.3,C,C,1.0,2.6,1.2,1.9,3.4,2.5,1.5,1.7,1.6,1.9,2.1,1.9,2.1,2.0,2.1,3.5,4.2,7.0,4.3,1.8,1.2,2.4,7.0,20
,CARMEL MT RCH,5.2,C,C,5.1,4.0,5.7,8.1,8.0,7.3,7.3,7.7,7.2,6.9,7.3,7.4,,,,,,,,,,6.7,8.1,06
,CHULA VISTA,4.4,C,C,4.2,5.0,6.5,4.7,4.1,5.1,2.2,1.8,1.5,1.2,1.3,1.1,.9,1.3,1.1,1.2,1.2,1.4,1.5,1.5,1.7,2.4,6.5,05
,DOWNTOWN SES,4.7,C,C,6.8,8.5,7.0,6.2,5.1,7.7,10.1,9.2,7.5,5.9,5.5,5.6,5.3,6.7,6.1,5.8,6.9,7.1,5.2,4.4,4.3,6.4,10.1,09
,EL CAJON LES,2.8,C,C,C,3.2,3.2,3.2,3.2,3.6,2.2,1.7,2.4,2.5,3.2,3.6,3.2,3.0,4.0,5.1,5.2,5.4,5.2,4.7,3.9,3.5,5.4,20
,KEARNY MESA,1.2,C,C,1.9,1.4,2.0,1.5,1.3,1.3,1.3,1.1,1.5,3.9,2.3,1.8,1.2,3.8,5.2,7.0,2.1,3.0,4.6,7.5,8.4,2.9,8.4,23
,OTAY MESA DVN,3.1,C,C,2.2,4.4,5.1,5.4,4.0,2.0,3.2,1.9,1.5,1.4,1.3,1.3,1.0,.9,1.6,1.6,1.6,1.7,1.8,1.9,2.0,2.3,5.4,06
,PENDLETON,,,,,,,,,,,,,,,P,.7,.6,.6,1.2,.9,.8,1.1,4.7,8.7,2.1,8.7,23
,SAN YSIDRO,4.9,C,C,4.6,5.7,6.6,3.9,4.0,5.6,2.7,2.1,2.1,2.5,2.2,2.2,1.9,2.7,2.1,2.5,2.5,3.0,3.5,3.7,4.4,3.4,6.6,05
06 CO PPM,CARMEL MT RCH,.3,C,C,.3,.2,.3,.4,.5,.5,.5,.6,.6,.5,.5,.6,,,,,,,,,,.4,.6,10
,SAN YSIDRO,.2,C,C,.2,.2,.3,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.1,.2,.2,.2,.2,.2,.3,05
07 H2S PPB,SAN YSIDRO,18.9,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,1.0,1.1,.7,9.5,1.0,1.3,18.9,00
10 INTMP °C,ALPINE,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,00
,CARMEL MT RCH,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,,,,,,,,,24,24,00
,CHULA VISTA,24,24,24,24,24,24,24,23,24,22,22,22,22,23,22,22,22,22,24,24,24,24,24,24,23,24,00
,DOWNTOWN SES,24,24,24,24,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,24,25,04
,EL CAJON LES,25,25,25,25,25,25,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,06
,KEARNY MESA,26,25,25,25,26,25,26,25,25,25,25,25,25,25,25,25,26,26,26,25,25,25,26,26,25,26,00
,OTAY MESA DVN,24,24,23,23,22,22,22,23,24,25,23,23,23,23,23,23,24,23,24,24,24,23,23,23,23,25,09
