Current Date:,2/26/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
2/25/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.047,.055,C,C,.051,.052,.050,.042,.042,.049,.054,.055,.063,M,M,.065,.064,.065,.053,.055,.057,.056,.053,.055,.054,.065,15
,CHULA VISTA,.024,.014,.020,.015,.014,.011,.015,.012,.014,.022,.035,.048,M,M,M,.059,.059,.053,.048,.035,.026,.027,.021,.015,.027,.059,15
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.011,.012,C,C,C,.003,.003,.004,.011,.021,.037,.052,.055,.062,.062,.063,.062,.057,.036,.027,.020,.021,.015,.013,.030,.063,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.021,.028,C,C,.014,.004,.012,.018,.025,.041,.039,.043,.047,.055,.058,.061,.060,.052,.045,.032,.025,.014,.016,.014,.032,.061,15
,OTAY MESA DVN,.023,.026,C,C,.021,.020,.020,.008,.017,.023,M,M,M,M,.055,.054,.054,.049,.038,.028,.026,.040,.040,.040,.032,.055,14
,PENDLETON,.024,.021,C,C,.016,.013,.012,.014,.024,.030,.037,.048,.052,.053,.053,.050,.049,.045,.040,.020,.018,.022,.017,.019,.030,.053,13
02 NOX PPM,ALPINE,.004,.003,C,C,.003,.004,.005,.008,.012,.008,.005,.007,.005,M,M,.009,.010,.008,.017,.009,.011,.007,.007,.006,.007,.017,18
,CARMEL MT RCH,.016,.043,C,C,C,.035,.073,.064,.026,.039,.033,.032,M,.028,.030,.033,.028,.031,.037,.033,.040,.036,.046,.045,.037,.073,06
,CHULA VISTA,.015,.020,.013,.014,.016,.021,.021,.032,.048,.038,.026,.016,M,M,M,.008,.008,.012,.011,.017,.021,.019,.021,.024,.020,.048,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.018,.014,C,C,C,.028,.045,.065,.049,.034,.019,.008,.009,.008,.011,.007,.007,.012,.022,.023,.025,.022,.021,.020,.022,.065,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.013,.009,C,C,.019,.033,.025,.023,.029,.011,.016,.020,.017,.014,.011,.008,.009,.014,.015,.021,.022,.029,.020,.020,.018,.033,05
,OTAY MESA DVN,.015,.011,C,C,.008,.011,.014,.041,.039,.037,M,M,M,M,.007,.006,.006,.006,.011,.020,.026,.010,.006,.004,.015,.041,07
,PENDLETON,.007,.010,C,C,.013,.016,.019,.017,.011,.014,.011,.005,.004,.003,.007,.009,.003,.001,.004,.021,.023,.017,.015,.012,.011,.023,20
03 NO2 PPM,ALPINE,.004,.003,C,C,.002,.003,.004,.006,.009,.006,.004,.005,.004,M,M,.007,.009,.007,.015,.009,.009,.007,.006,.006,.006,.015,18
,CARMEL MT RCH,.015,.031,C,C,C,.026,.038,.033,.016,.022,.021,.020,M,.018,.019,.022,.021,.023,.028,.028,.031,.029,.036,.036,.026,.038,06
,CHULA VISTA,.014,.019,.012,.013,.015,.019,.017,.021,.027,.024,.018,.012,M,M,M,M,.006,.010,.010,.016,.020,.018,.020,.023,.017,.027,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.018,.013,C,C,C,.017,.018,.021,.021,.019,.013,.006,.007,.007,.009,.006,.006,.011,.021,.022,.024,.021,.021,.019,.015,.024,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.013,.009,C,C,.017,.025,.023,.017,.019,.008,.012,.016,.014,.012,.009,.007,.008,.013,.014,.021,.022,.027,.019,.019,.016,.027,21
,OTAY MESA DVN,.014,.011,C,C,.008,.010,.012,.023,.022,.023,M,M,M,M,.006,.005,.005,.006,.011,.019,.025,.009,.006,.004,.012,.025,20
,PENDLETON,.007,.009,C,C,.011,.013,.014,.011,.007,.009,.008,.004,.003,.003,.005,.005,.002,.001,.004,.020,.021,.016,.014,.010,.009,.021,20
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.002,.002,.003,.002,.001,.002,.001,M,M,.001,.001,.001,.002,.001,.002,.001,.000,.000,.001,.003,08
,CARMEL MT RCH,.001,.012,C,C,C,.008,.035,.031,.009,.016,.012,.012,M,.010,.010,.011,.007,.008,.009,.006,.009,.007,.011,.009,.012,.035,06
,CHULA VISTA,.001,.001,.001,.001,.001,.002,.004,.011,.021,.014,.008,.004,M,M,M,M,.001,.001,.001,.001,.001,.001,.001,.001,.004,.021,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.001,.001,C,C,C,.010,.026,.044,.028,.015,.006,.002,.002,.002,.002,.001,.001,.001,.001,.000,.001,.000,.000,.001,.007,.044,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.002,.008,.002,.006,.010,.002,.004,.005,.004,.003,.002,.001,.001,.001,.000,.000,.000,.002,.001,.001,.003,.010,08
,OTAY MESA DVN,.000,.000,C,C,.000,.001,.002,.018,.017,.014,M,M,M,M,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.003,.018,07
,PENDLETON,.001,.002,C,C,.002,.003,.004,.006,.004,.005,.003,.001,.001,.001,.002,.004,.001,.000,.000,.001,.002,.001,.001,.001,.002,.006,07
06 CO PPM,CARMEL MT RCH,.5,.8,C,C,C,.5,.8,.8,.4,.4,.4,.5,M,.6,.6,.6,.5,.6,.8,.7,.7,.5,.7,.7,.6,.8,01
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,25,25,25,25,25,24,24,24,24,24,25,25,24,24,24,24,25,25,25,26,26,26,26,26,25,26,19
,CARMEL MT RCH,26,25,25,26,26,25,25,25,26,25,25,24,25,25,25,25,25,25,26,26,26,27,26,26,25,27,21
,CHULA VISTA,26,26,25,25,25,24,24,24,25,24,26,25,25,24,26,26,26,26,26,25,25,25,25,24,25,26,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
