Current Date:,2/27/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
2/26/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.058,.059,C,C,.051,.054,.053,.045,.046,M,M,M,M,M,M,M,.056,.042,.035,.031,.022,.027,.025,.034,.042,.059,01
,CHULA VISTA,.028,.028,C,C,.016,.012,.002,.004,.009,.015,.027,.036,M,.050,.048,.051,.054,.050,.046,.044,,.024,.011,.011,.028,.054,16
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.012,.011,C,C,C,.002,.003,.005,.008,.025,.038,.042,.046,.053,.050,M,.041,.037,.033,.037,.040,.038,.027,.023,.028,.053,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.021,.021,C,C,.028,.017,.009,.004,.017,.028,.039,.042,.044,.048,M,.045,.042,.035,.031,.034,.038,.032,.028,.025,.029,.048,13
,OTAY MESA DVN,.038,.034,C,C,.027,.022,.010,.010,.010,.013,M,.033,.037,.045,M,.042,.042,.041,.036,.032,.032,.032,.027,.032,.029,.045,13
,PENDLETON,.021,.020,C,C,.018,.016,.006,.009,.018,.026,.034,.039,.040,.042,.042,.042,.045,.043,.043,.044,.039,.026,.016,.021,.029,.045,16
02 NOX PPM,ALPINE,.005,.005,C,C,.004,.006,.008,.011,.011,M,M,M,M,M,M,M,.017,.019,.018,.017,.021,.014,.013,.011,.012,.021,20
,CARMEL MT RCH,.031,.032,C,C,C,.078,.094,.042,.036,.074,.049,.036,.035,.037,.030,.038,.041,.034,.036,.032,.029,.033,.018,.018,.041,.094,06
,CHULA VISTA,.012,.010,C,C,.015,.020,.041,.061,.053,.048,.030,.021,M,.010,.010,.009,.009,.009,.008,.008,,.016,.023,.022,.022,.061,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.016,.015,C,C,C,.029,.041,.054,.068,.030,.017,.015,.016,.014,.015,M,.016,.017,.018,.016,.012,.009,.011,.013,.022,.068,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.013,.016,C,C,.008,.016,.031,.052,.034,.027,.010,.010,.013,.013,M,.008,.013,.012,.012,.011,.008,.011,.009,.010,.016,.052,07
,OTAY MESA DVN,.003,.010,C,C,.008,.012,.026,.044,.063,.064,M,.019,.019,.012,M,.012,.010,.009,.009,.008,.008,.007,.007,.005,.018,.064,09
,PENDLETON,.009,.008,C,C,.009,.012,.021,.028,.019,.014,.007,.003,.008,.006,.006,.008,.003,.004,.003,.002,.004,.013,.022,.013,.010,.028,07
03 NO2 PPM,ALPINE,.005,.004,C,C,.004,.006,.007,.008,.009,M,M,M,M,M,M,M,.016,.018,.017,.016,.020,.014,.013,.010,.011,.020,20
,CARMEL MT RCH,.028,.028,C,C,C,.035,.035,.026,.022,.036,.026,.021,.022,.023,.017,.024,.025,.022,.025,.023,.020,.022,.014,.015,.024,.036,09
,CHULA VISTA,.011,.009,C,C,.014,.019,.027,.028,.026,.029,.022,.016,M,.008,.008,.008,.008,.007,.007,.007,,.015,.022,.021,.016,.029,09
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.016,.014,C,C,C,.019,.021,.023,.027,.019,.013,.012,.012,.012,.013,M,.014,.016,.017,.015,.011,.009,.011,.013,.015,.027,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.013,.015,C,C,.008,.016,.026,.024,.021,.020,.008,.008,.010,.011,M,.007,.012,.011,.012,.011,.008,.011,.009,.010,.013,.026,06
,OTAY MESA DVN,.003,.009,C,C,.008,.011,.022,.025,.032,.037,M,.015,.015,.011,M,.011,.009,.009,.009,.008,.008,.007,.007,.005,.013,.037,09
,PENDLETON,.008,.007,C,C,.007,.009,.015,.015,.012,.008,.005,.003,.005,.004,.005,.006,.003,.004,.002,.002,.004,.013,.021,.012,.008,.021,22
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.001,.002,.002,M,M,M,M,M,M,M,.001,.001,.000,.001,.001,.000,.000,.000,.001,.002,07
,CARMEL MT RCH,.003,.005,C,C,C,.043,.059,.016,.014,.037,.023,.016,.013,.014,.013,.014,.016,.012,.012,.009,.009,.011,.005,.003,.017,.059,06
,CHULA VISTA,.001,.001,C,C,.001,.002,.014,.033,.027,.019,.008,.005,M,.002,.002,.002,.002,.001,.001,.001,,.001,.001,.001,.006,.033,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.001,.000,C,C,C,.010,.020,.032,.041,.011,.003,.003,.003,.002,.002,M,.002,.001,.001,.001,.000,.000,.001,.000,.007,.041,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.001,.005,.028,.013,.007,.002,.002,.003,.002,M,.001,.001,.001,.000,.000,.000,.000,.000,.000,.003,.028,07
,OTAY MESA DVN,.000,.000,C,C,.000,.000,.004,.019,.032,.027,M,.004,.004,.002,M,.001,.001,.000,.000,.000,.000,.000,.000,.000,.005,.032,08
,PENDLETON,.001,.000,C,C,.002,.003,.006,.013,.007,.005,.002,.001,.003,.002,.001,.002,.001,.000,.000,.000,.000,.001,.001,.001,.002,.013,07
06 CO PPM,CARMEL MT RCH,.6,.6,C,C,C,1.1,1.2,.5,.5,.6,.5,.5,.5,.6,.6,.6,.7,.6,.7,.6,.5,.6,.4,.3,.6,1.2,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,25,24,25,25,26,26,26,26,25,26,20
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,00
,CHULA VISTA,24,24,24,24,23,23,22,22,23,24,25,25,26,26,26,26,26,27,27,27,,27,27,27,25,27,17
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,27,27,27,27,27,27,27,27,27,27,27,27,26,26,25,26,26,26,26,26,26,26,26,26,26,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,24,25,24,24,24,24,24,24,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,27,26,27,27,27,27,27,27,27,27,28,28,27,26,26,26,27,27,27,27,27,27,27,27,27,28,10
,PENDLETON,24,23,23,23,23,22,22,22,22,23,24,25,24,23,23,24,24,25,25,25,25,25,25,25,24,25,11
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,18.9,15.9,15.4,11.2,13.9,15.0,18.9,21.2,18.4,19.0,M,M,28.5,29.7,22.6,11.5,19.2,12.8,18.7,26.1,23.3,17.6,11.8,23.1,18.7,29.7,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,10.8,16.6,16.0,19.0,16.9,16.2,34.0,30.1,42.0,47.3,30.2,M,M,M,16.4,14.5,16.0,13.3,15.7,13.5,14.1,13.8,16.5,10.7,20.1,47.3,09
,PENDLETON,7.5,9.7,7.7,5.7,9.9,8.3,5.6,4.5,7.9,6.2,4.7,3.7,4.1,M,M,M,3.9,4.4,5.6,5.5,4.9,4.3,10.5,8.0,6.3,10.5,22
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
