Current Date:,2/23/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
2/22/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.043,.041,C,C,.041,.038,.035,.036,.034,.040,.042,.043,.043,.043,.046,.048,.047,.044,.039,.037,.039,.040,.035,.032,.040,.048,15
,CHULA VISTA,.029,.026,.028,.024,.020,.011,.002,.010,.018,.029,.035,.037,.041,.044,.048,.049,.047,.046,.031,.011,.007,.024,.022,.015,.027,.049,15
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.016,.009,C,C,C,.003,.003,.006,.017,.034,.039,.041,.042,.043,.046,.047,.046,.043,.030,.014,.010,.019,.012,.016,.025,.047,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.031,.030,C,C,.021,.015,.010,.020,M,M,M,M,M,M,M,M,.045,.039,.033,.019,.013,.022,.023,.025,.024,.045,16
,OTAY MESA DVN,.034,.030,C,C,.021,.021,.014,.013,.017,.030,.036,.036,.036,.037,.042,.044,.043,.038,.037,.035,.038,.036,.035,.029,.031,.044,15
,PENDLETON,.026,.025,C,C,.017,.017,.016,.017,.020,.026,.035,.036,.039,.043,.044,.044,.042,.042,.036,.008,.012,.018,.021,.020,.027,.044,14
02 NOX PPM,ALPINE,.001,.002,C,C,.002,.003,.008,.007,.012,.005,.004,.003,.004,.004,.004,.003,.004,.004,.009,.009,.006,.004,.005,.007,.005,.012,08
,CARMEL MT RCH,,,,,,P,,P,.024,.029,.031,.030,M,.025,.025,.025,.024,.036,.036,.033,.025,.032,.039,.041,.030,.041,23
,CHULA VISTA,.010,.007,.006,.007,.010,.017,.052,.035,.036,.019,.009,.014,.007,.005,.004,.004,.005,.005,.014,.031,.037,.015,.013,.016,.016,.052,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.014,.018,C,C,C,.026,.041,.049,.028,.007,.007,.005,.004,.006,.005,.003,.004,.005,.014,.024,.025,.015,.020,.015,.016,.049,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,.005,.008,.012,.020,.022,.011,.010,.007,.012,.022,20
,OTAY MESA DVN,.001,.000,C,C,.009,.011,.017,.027,.032,.010,.002,.003,.006,.007,.003,.002,.002,.003,.004,.005,.004,.002,.002,.005,.007,.032,08
,PENDLETON,.005,.005,C,C,.008,.011,.012,.012,.012,.009,.004,.009,.004,.003,.007,.006,.004,.004,.009,.042,.031,.016,.010,.011,.011,.042,19
03 NO2 PPM,ALPINE,.001,.002,C,C,.001,.003,.006,.005,.008,.003,.002,.002,.002,.003,.002,.002,.003,.004,.008,.009,.005,.004,.004,.006,.004,.009,19
,CARMEL MT RCH,,,,,,P,,P,.014,.016,.016,.013,M,.012,.012,.012,.013,.021,.022,.027,.024,.024,.029,.029,.019,.029,22
,CHULA VISTA,.009,.006,.006,.006,.009,.016,.026,.021,.020,.012,.006,.007,.005,.004,.002,.002,.003,.004,.012,.028,.032,.014,.012,.015,.012,.032,20
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.013,.016,C,C,C,.017,.019,.020,.013,.004,.004,.003,.002,.004,.003,.002,.003,.005,.013,.022,.023,.013,.017,.012,.011,.023,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,.004,.007,.012,.020,.020,.011,.010,.007,.011,.020,19
,OTAY MESA DVN,.001,.000,C,C,.008,.008,.014,.016,.017,.006,.002,.002,.004,.005,.002,.002,.002,.003,.004,.005,.004,.002,.002,.005,.005,.017,08
,PENDLETON,.005,.004,C,C,.007,.009,.009,.007,.006,.005,.003,.004,.002,.002,.003,.003,.003,.003,.007,.035,.025,.014,.009,.009,.008,.035,19
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.002,.002,.004,.002,.002,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.001,.000,.001,.001,.004,08
,CARMEL MT RCH,,,,,,P,,P,.010,.013,.015,.017,M,.013,.013,.013,.011,.015,.014,.006,.001,.008,.010,.012,.011,.017,11
,CHULA VISTA,.001,.001,.001,.001,.001,.002,.027,.014,.015,.007,.003,.007,.003,.002,.001,.001,.002,.001,.001,.003,.005,.001,.001,.001,.004,.027,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.001,.002,C,C,C,.009,.022,.029,.014,.003,.002,.002,.002,.002,.002,.001,.001,.001,.001,.002,.002,.001,.002,.003,.005,.029,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,.001,.000,.000,.000,.001,.000,.000,.000,.000,.001,16
,OTAY MESA DVN,.000,.000,C,C,.001,.003,.003,.010,.015,.003,.001,.001,.002,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,.015,08
,PENDLETON,.001,.001,C,C,.001,.002,.003,.005,.006,.005,.002,.006,.002,.001,.004,.003,.001,.000,.002,.007,.006,.002,.002,.002,.003,.007,19
06 CO PPM,CARMEL MT RCH,,,,,,P,,P,.3,.4,.4,.4,M,.4,.4,.4,.4,.6,.7,.6,.4,.6,.8,.8,.5,.8,22
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,26,26,26,26,27,27,27,26,25,24,24,25,25,25,25,25,25,25,25,25,25,25,26,25,25,27,04
,CARMEL MT RCH,,,,,,P,,P,22,23,24,25,24,25,25,25,25,25,25,25,25,25,25,24,25,25,11
,CHULA VISTA,23,22,22,21,21,22,22,22,22,21,22,23,21,25,26,27,27,27,27,27,26,26,25,25,24,27,15
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,27,26,26,27,27,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,23,23,23,23,23,23,22,22,23,25,24,24,24,24,23,21,24,25,25,25,25,25,24,24,24,25,09
,OTAY MESA DVN,27,27,27,28,28,27,27,28,28,28,28,28,28,M,27,27,26,26,25,25,26,26,27,27,27,28,03
,PENDLETON,23,23,23,22,23,23,23,23,22,22,23,23,23,23,24,24,25,25,25,24,24,23,23,22,23,25,16
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,.3,-1.3,1.8,1.6,-.3,1.1,3.2,1.2,.5,1.9,1.3,.9,1.0,-1.1,-.1,1.4,3.2,1.8,-1.4,4.8,5.6,8.4,9.3,6.3,2.1,9.3,22
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,8.7,7.2,7.7,7.2,6.4,4.3,7.3,9.6,6.8,5.2,6.2,7.2,5.4,6.6,6.3,3.6,2.4,4.6,9.5,23.7,24.8,14.7,18.7,18.3,9.2,24.8,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,.5,3.2,3.8,2.6,3.8,5.1,5.7,4.5,6.5,4.4,1.8,1.7,3.0,3.8,5.4,4.6,6.6,4.5,1.5,5.2,5.5,6.6,3.9,1.5,3.9,6.6,16
,PENDLETON,-.4,.7,.5,-.2,2.8,3.3,2.0,1.1,1.6,1.8,.0,-.3,.9,2.9,4.1,4.2,1.4,-.2,4.5,3.8,8.6,5.7,1.6,3.3,2.2,8.6,20
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,39,84,93,10,29,95,287,28,168,148,185,280,282,273,284,288,275,281,254,78,90,83,96,102,160,288,15
,CHULA VISTA,91,57,84,93,78,84,68,70,134,320,316,262,262,257,254,259,259,260,50,77,82,93,102,114,155,320,09
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,129,106,250,150,200,256,141,268,36,91,287,312,289,266,269,272,277,275,190,106,106,76,105,97,190,312,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,62,71,62,59,63,52,41,68,104,343,333,296,281,270,264,260,258,264,293,67,54,75,61,63,157,343,09
,OTAY MESA DVN,116,53,103,111,113,130,81,149,158,277,305,265,293,M,284,283,276,278,12,65,59,97,93,228,166,305,10
,PENDLETON,53,57,60,61,30,67,64,65,64,69,246,236,239,246,254,260,266,277,310,58,59,51,42,48,133,310,18
13 SIGTHETA °,ALPINE,16,15,41,15,38,27,38,34,37,59,40,47,35,27,27,28,28,25,34,45,14,25,22,31,31,59,09
,CHULA VISTA,25,23,23,37,29,31,34,38,24,57,42,23,22,22,24,20,21,19,33,20,30,14,16,41,28,57,09
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,52,54,37,29,54,25,37,42,43,55,54,44,38,26,25,19,21,16,43,20,56,48,59,30,39,59,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,5,8,8,7,11,10,25,18,51,30,30,29,18,16,15,14,13,11,20,11,18,13,8,6,16,51,08
,OTAY MESA DVN,18,40,42,17,45,47,50,41,17,27,25,34,20,M,15,14,11,15,19,7,8,25,38,34,26,50,06
,PENDLETON,16,13,13,12,18,14,12,13,14,24,43,17,15,12,9,9,12,18,23,13,12,11,9,10,15,43,10
14 VWSP MPH,ALPINE,2.4,.3,.1,.8,.3,1.5,.1,.2,1.0,1.1,1.8,4.2,5.4,6.3,6.6,5.8,5.5,2.7,.9,.4,1.5,1.4,1.6,1.8,2.2,6.6,14
,CHULA VISTA,3.0,2.1,3.4,1.8,1.3,1.7,1.3,1.3,2.4,.8,3.0,5.8,6.9,7.5,7.2,7.6,5.8,4.5,.1,1.3,1.6,4.7,4.1,1.8,3.4,7.6,15
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.5,.6,.8,.3,.2,1.0,.9,.2,.1,.4,2.2,3.5,5.0,7.6,7.5,8.0,6.4,4.8,1.1,1.9,.9,1.7,.3,1.7,2.4,8.0,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.4,3.9,4.1,4.6,3.6,3.3,4.0,2.2,.6,3.0,4.4,5.6,7.7,9.3,9.5,10.1,7.6,4.8,3.5,2.6,2.6,3.8,4.4,4.7,4.8,10.1,15
,OTAY MESA DVN,2.7,1.0,1.4,1.2,.9,2.1,1.1,1.3,3.5,1.5,4.7,4.4,6.5,M,10.2,9.3,7.8,3.6,1.9,3.1,3.4,2.4,1.6,.3,3.3,10.2,14
,PENDLETON,4.2,5.4,5.4,7.1,2.9,5.1,7.1,6.9,5.7,3.7,4.1,6.1,7.7,8.0,10.4,8.7,5.1,3.4,2.2,2.1,4.7,4.7,6.3,5.4,5.5,10.4,14
15 SWSP MPH,ALPINE,2.6,.3,.1,.8,.6,1.6,.4,.3,1.5,2.0,3.1,5.2,6.5,7.1,7.4,6.5,6.1,3.0,1.1,.8,1.5,1.6,1.8,1.9,2.7,7.4,14
,CHULA VISTA,3.5,2.5,3.6,2.1,1.6,2.6,1.7,2.3,2.6,2.1,4.2,6.2,7.4,8.1,7.9,8.0,6.2,4.8,.7,1.4,1.8,4.8,4.2,2.1,3.9,8.1,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.7,1.0,1.0,.6,1.2,1.8,1.6,.7,1.3,1.8,3.0,4.7,6.0,8.4,8.2,8.4,6.9,5.0,1.5,2.0,1.3,3.1,1.2,1.9,3.1,8.4,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.4,4.0,4.2,4.6,3.7,3.3,4.3,2.4,1.6,3.5,5.2,7.1,8.2,9.7,10.2,10.4,7.8,5.1,3.7,2.9,3.0,3.9,4.5,4.7,5.1,10.4,15
,OTAY MESA DVN,4.1,2.4,1.8,1.4,1.4,3.2,1.8,1.6,3.7,3.7,5.6,5.2,7.4,M,10.6,9.7,8.0,3.7,2.7,3.2,3.5,2.5,1.9,1.4,3.9,10.6,14
,PENDLETON,4.3,5.5,5.5,7.5,3.1,5.3,7.3,7.0,5.9,4.0,4.4,6.4,8.1,8.2,10.6,8.8,5.2,3.6,2.9,2.2,5.0,4.8,6.4,5.5,5.7,10.6,14
16 AMBTEMP °F,ALPINE,35.6,35.0,34.4,34.3,34.0,33.5,33.4,37.0,39.7,43.6,47.6,49.8,51.6,53.5,53.5,52.8,50.9,46.4,42.5,41.2,40.0,39.6,37.5,36.3,41.8,53.5,13
,CARMEL MT RCH,,,,,,P,,P,44.3,48.4,51.2,54.0,55.2,56.0,56.5,56.2,55.1,52.1,49.8,47.6,45.9,44.5,42.6,41.9,50.1,56.5,14
,CHULA VISTA,41.2,39.7,39.4,38.6,37.4,36.7,36.3,42.8,49.5,54.5,56.7,57.2,58.1,58.2,58.5,57.8,57.2,54.2,49.9,47.5,46.0,46.7,44.9,41.7,47.9,58.5,14
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,38.9,37.4,36.2,35.7,35.0,34.6,34.5,37.3,43.0,48.3,52.5,55.5,58.3,59.0,59.2,58.8,57.1,54.0,50.9,46.9,44.9,43.5,42.4,41.1,46.0,59.2,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,40.2,40.3,40.0,39.7,39.2,39.1,39.3,43.5,48.0,51.2,53.4,55.2,55.9,56.4,57.2,57.2,56.3,53.7,51.7,47.8,46.2,44.2,44.0,43.6,47.6,57.2,14
,OTAY MESA DVN,41.5,40.0,39.5,39.1,38.6,38.4,37.8,40.8,44.6,49.3,51.4,53.6,55.0,M,54.9,54.9,53.9,51.5,50.0,48.8,48.5,47.1,46.3,44.7,46.5,55.0,12
,PENDLETON,41.0,40.5,39.8,39.5,38.3,38.9,39.1,41.3,45.9,51.7,54.1,55.2,56.2,57.0,57.8,57.7,56.7,55.6,54.2,52.5,49.2,47.1,45.3,44.3,48.3,57.8,14
17 RELHUM %,ALPINE,91,93,92,91,92,89,87,79,75,63,53,46,41,36,37,35,41,45,55,61,64,65,71,74,66,93,01
,EL CAJON LES,94,96,97,97,98,98,98,96,82,64,51,41,34,35,35,31,31,34,48,63,71,71,75,75,67,98,04
,KEARNY MESA,88,87,90,91,91,91,89,82,73,53,44,42,43,41,41,38,38,44,53,64,69,72,72,71,65,91,03
18 PRES mmHg,KEARNY MESA,741,741,742,742,743,743,744,745,746,747,747,747,747,747,747,748,749,749,750,751,751,752,752,752,747,752,21
19 SOLAR W/M2,KEARNY MESA,0,0,0,0,0,1,23,183,377,561,702,765,769,706,582,410,206,29,1,0,0,0,0,0,221,769,12
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.1,.1,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.1,.0,.0,.0,.0,.0,.0,.1,06
29 CO Tr PPB,EL CAJON LES,288.4,296.9,C,C,C,385.9,592.6,592.8,491.8,239.0,230.5,175.9,194.3,202.9,195.7,179.2,191.2,205.4,338.9,457.3,528.9,348.8,482.0,333.0,331.0,592.8,07
