Current Date:,2/28/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
2/27/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.036,.030,C,C,.022,.020,.025,.028,.030,.034,M,M,M,M,M,M,.053,.048,.045,.037,.034,.042,.041,.042,.035,.053,16
,CHULA VISTA,.010,.011,C,C,.008,.001,.009,.009,.022,.040,.044,.048,.052,.053,.053,.051,.046,.033,.023,.023,.010,.009,.001,.005,.025,.053,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.026,.026,C,C,C,.004,.005,.015,.030,.033,.044,.051,.058,.057,.055,.053,.050,.043,.037,.030,.023,.013,.009,.006,.031,.058,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.018,.017,C,C,.009,.003,.004,.011,.036,.042,.047,.049,.048,M,.049,.047,.041,.035,.027,.026,.027,.018,.017,.014,.027,.049,11
,OTAY MESA DVN,.034,.036,C,C,.024,.022,.021,.021,.029,.035,.037,.044,.046,.048,.047,.047,.047,.040,.034,.025,.023,.016,.010,.019,.032,.048,13
,PENDLETON,.024,.023,C,C,.019,.017,.016,.016,.028,.040,.040,.041,.037,.038,.042,.038,.039,.040,.037,.033,.023,.023,.017,.021,.029,.042,14
02 NOX PPM,ALPINE,.010,.009,C,C,.007,.010,.007,.011,.016,.010,M,M,M,M,M,M,.006,.007,.007,.010,.011,.007,.006,.004,.009,.016,08
,CARMEL MT RCH,.015,.024,.022,.032,.048,.047,.021,.018,.014,.039,M,M,M,.025,.027,.023,.025,.023,.025,.019,.021,.027,.031,.014,.026,.048,04
,CHULA VISTA,.025,.020,C,C,.021,.033,.024,.034,.019,.009,.011,.014,.009,.006,.006,.007,.009,.014,.024,.017,.030,.029,.042,.030,.020,.042,22
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.008,.007,C,C,C,.020,.024,.010,.007,.014,.010,.007,.005,.006,.005,.005,.006,.008,.006,.011,.015,.020,.020,.019,.011,.024,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.011,.010,C,C,.019,.037,.032,.020,.007,.007,.007,.008,.006,M,.005,.005,.005,.006,.009,.010,.010,.013,.013,.017,.012,.037,05
,OTAY MESA DVN,.003,.002,C,C,.005,.008,.014,.014,.010,.008,.019,.016,.011,.006,.007,.007,.004,.005,.007,.009,.009,.016,.025,.012,.010,.025,22
,PENDLETON,.007,.005,C,C,.007,.012,.011,.014,.006,.004,.006,.005,.013,.016,.007,.004,.005,.001,.001,.004,.013,.007,.014,.009,.008,.016,13
03 NO2 PPM,ALPINE,.009,.009,C,C,.007,.009,.006,.008,.011,.007,M,M,M,M,M,M,.005,.006,.006,.009,.009,.006,.005,.004,.007,.011,08
,CARMEL MT RCH,.013,.019,.020,.023,.030,.027,.016,.015,.010,.021,M,M,M,.014,.014,.013,.014,.014,.015,.012,.014,.019,.023,.013,.017,.030,04
,CHULA VISTA,.024,.019,C,C,.017,.020,.019,.021,.012,.007,.008,.010,.007,.005,.005,.006,.007,.012,.022,.016,.027,.027,.031,.027,.016,.031,22
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.008,.007,C,C,C,.014,.015,.008,.006,.010,.007,.006,.004,.005,.004,.004,.005,.007,.006,.011,.014,.019,.019,.017,.009,.019,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.011,.009,C,C,.018,.026,.022,.015,.006,.005,.006,.006,.004,M,.004,.004,.004,.005,.008,.010,.010,.012,.012,.016,.010,.026,05
,OTAY MESA DVN,.003,.002,C,C,.005,.008,.012,.011,.008,.007,.015,.013,.009,.005,.005,.005,.004,.005,.007,.009,.008,.016,.025,.012,.009,.025,22
,PENDLETON,.007,.005,C,C,.006,.010,.009,.007,.004,.003,.003,.003,.007,.007,.004,.002,.003,.001,.000,.003,.012,.006,.012,.008,.006,.012,20
04 NO PPM,ALPINE,.000,.000,C,C,.000,.002,.001,.003,.005,.003,M,M,M,M,M,M,.001,.001,.001,.001,.002,.000,.001,.000,.001,.005,08
,CARMEL MT RCH,.001,.004,.002,.009,.018,.020,.005,.003,.004,.018,M,M,M,.011,.012,.010,.011,.009,.010,.007,.007,.008,.008,.001,.008,.020,05
,CHULA VISTA,.001,.001,C,C,.003,.013,.005,.013,.007,.002,.003,.003,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.012,.002,.004,.013,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.006,.009,.002,.002,.004,.002,.001,.001,.001,.001,.001,.001,.001,.000,.001,.000,.001,.001,.001,.002,.009,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.001,.011,.011,.005,.001,.001,.001,.001,.001,M,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.002,.011,05
,OTAY MESA DVN,.000,.000,C,C,.000,.001,.002,.003,.002,.001,.004,.003,.002,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.000,.001,.004,10
,PENDLETON,.000,.000,C,C,.001,.002,.002,.007,.002,.002,.002,.002,.006,.009,.003,.002,.002,.000,.000,.000,.000,.000,.002,.001,.002,.009,13
06 CO PPM,CARMEL MT RCH,.3,.4,.3,.4,.5,.6,.4,.4,.4,.5,C,C,M,.5,.5,.5,.4,.4,.5,.4,.5,.6,.6,.3,.4,.6,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,25,25,25,26,25,25,25,25,25,25,24,24,24,24,24,24,25,24,26,26,26,26,26,26,25,26,03
,CARMEL MT RCH,26,26,26,25,25,25,25,25,25,25,24,24,25,25,25,24,25,25,25,26,26,26,25,25,25,26,00
,CHULA VISTA,27,27,27,27,27,27,26,27,27,26,26,26,26,26,26,26,26,26,26,25,25,25,25,24,26,27,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,26,27,27,27,27,27,27,26,26,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,02
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,28,28,28,27,27,27,27,27,27,28,28,27,26,26,26,25,26,25,26,26,27,27,27,28,27,28,00
,PENDLETON,25,24,24,24,24,24,23,23,24,24,24,24,24,23,24,24,24,24,25,25,25,25,25,25,24,25,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,14.2,21.6,16.2,18.9,23.2,20.0,18.9,15.0,21.9,23.9,19.2,19.9,14.8,14.3,8.5,5.3,5.7,7.4,6.9,5.8,8.4,10.6,9.8,8.3,14.1,23.9,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,11.1,8.8,8.5,26.0,19.0,12.0,17.1,24.9,19.1,18.1,34.0,26.0,17.1,10.8,10.1,11.5,11.4,8.5,9.8,10.7,10.7,12.4,37.8,13.8,16.2,37.8,22
,PENDLETON,4.7,4.4,3.9,3.2,2.9,3.2,11.0,8.8,10.6,5.8,2.0,4.8,3.3,3.1,4.9,2.0,-1.5,1.8,5.5,6.8,5.4,3.3,3.7,2.3,4.4,11.0,06
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,136,339,111,41,63,21,93,106,193,263,266,264,274,256,275,287,278,306,336,69,80,335,82,336,200,339,01
,CHULA VISTA,83,83,91,53,72,105,97,49,15,337,283,274,278,263,265,268,278,297,314,336,339,12,14,54,178,339,20
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,86,94,124,278,213,116,111,107,69,316,312,288,275,254,254,266,273,311,297,313,335,319,83,105,217,335,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
