Current Date:,2/20/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
2/19/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.041,.043,C,C,.039,.039,.029,.031,.035,.039,.042,.044,.045,.046,M,.047,.044,.044,.040,.043,.039,.041,.041,.042,.040,.047,15
,CHULA VISTA,.018,.022,C,C,.010,.015,.006,.010,.019,.025,.028,.035,.040,.040,.042,.046,.048,.046,.036,.016,.002,.012,.020,.028,.025,.048,16
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.016,.014,.008,.009,.010,.009,.003,.004,.012,.020,.036,.041,.042,.044,.042,.046,.046,.041,.031,.021,.015,.017,.024,.016,.023,.046,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.027,.024,C,C,.022,.014,.008,.010,.024,.030,.035,.039,.037,M,.044,.046,.045,.039,.036,.021,.017,.026,.024,.026,.028,.046,15
,OTAY MESA DVN,.030,.029,C,C,.029,.011,.011,.013,.015,.025,M,M,M,M,M,M,.040,.039,.035,.039,.041,.040,.035,.033,.029,.041,20
,PENDLETON,.022,.021,C,C,.018,.016,.015,.020,.024,.028,.034,.037,.039,.042,.045,.046,.041,.044,.044,.023,.015,.016,.017,.020,.028,.046,15
02 NOX PPM,ALPINE,.001,.001,C,C,.002,.001,.006,.006,.006,.003,.002,.001,.002,M,M,.002,.004,.005,.007,.005,.008,.004,.004,.003,.004,.008,20
,CARMEL MT RCH,.032,.024,C,C,C,.062,.055,.069,.021,.018,.023,.027,.028,.026,.034,.027,.018,.026,.033,.035,.026,.020,.043,.048,.033,.069,07
,CHULA VISTA,.012,.007,C,C,.015,.014,.025,.031,.018,.018,.024,.018,.010,.008,.006,.003,.003,.005,.010,.024,.059,.031,.016,.010,.017,.059,20
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.008,.008,.012,.011,.012,.016,.031,.063,.041,.025,.007,.004,.003,.004,.005,.003,.003,.008,.015,.019,.021,.018,.007,.013,.015,.063,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.005,.005,C,C,.007,.011,.021,.035,.012,.011,.008,.007,M,M,.004,.004,.006,.009,.012,.018,.021,.012,.010,.006,.011,.035,07
,OTAY MESA DVN,.003,.001,C,C,.002,.017,.025,.025,.030,.015,M,M,M,M,M,M,.003,.004,.006,.001,.000,.001,.005,.002,.009,.030,08
,PENDLETON,.008,.004,C,C,.006,.008,.019,.012,.013,.007,.005,.002,.002,.004,.005,.004,.014,.005,.004,.019,.027,.020,.018,.010,.010,.027,20
03 NO2 PPM,ALPINE,.001,.001,C,C,.001,.001,.005,.005,.004,.002,.001,.001,.001,M,M,.002,.003,.005,.007,.005,.007,.004,.004,.003,.003,.007,18
,CARMEL MT RCH,.023,.016,C,C,C,.027,.024,.026,.012,.009,.012,.013,.013,.013,.016,.014,.010,.016,.021,.029,.024,.019,.029,.031,.019,.031,23
,CHULA VISTA,.012,.007,C,C,.014,.011,.018,.019,.010,.011,.015,.012,.007,.005,.004,.002,.002,.004,.009,.022,.039,.027,.015,.009,.012,.039,20
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.007,.008,.011,.010,.010,.011,.016,.019,.017,.013,.004,.002,.002,.002,.003,.002,.003,.007,.013,.018,.020,.016,.007,.011,.010,.020,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.005,.005,C,C,.006,.010,.014,.017,.008,.007,.006,.005,M,M,.003,.003,.005,.009,.012,.018,.020,.012,.010,.006,.009,.020,20
,OTAY MESA DVN,.003,.001,C,C,.002,.016,.017,.015,.017,.009,M,M,M,M,M,M,.003,.004,.006,.002,.001,.001,.005,.002,.007,.017,06
,PENDLETON,.005,.004,C,C,.004,.006,.011,.008,.007,.004,.003,.001,.001,.001,.002,.001,.008,.004,.003,.018,.024,.019,.015,.008,.007,.024,20
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.001,.001,.002,.001,.001,.000,.001,M,M,.001,.001,.000,.000,.000,.001,.000,.000,.000,.001,.002,08
,CARMEL MT RCH,.010,.007,C,C,C,.035,.032,.043,.009,.009,.011,.013,.015,.013,.018,.013,.008,.010,.012,.006,.002,.001,.014,.017,.014,.043,07
,CHULA VISTA,.001,.001,C,C,.001,.003,.007,.013,.008,.007,.009,.006,.003,.003,.002,.001,.001,.001,.001,.002,.021,.004,.001,.001,.004,.021,20
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.001,.001,.001,.001,.001,.005,.016,.044,.024,.012,.003,.001,.001,.002,.002,.001,.001,.001,.001,.001,.001,.002,.000,.002,.005,.044,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.001,.006,.018,.004,.004,.003,.002,M,M,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.002,.018,07
,OTAY MESA DVN,.000,.000,C,C,.000,.002,.008,.011,.014,.005,M,M,M,M,M,M,.000,.000,.000,.000,.000,.000,.000,.000,.003,.014,08
,PENDLETON,.003,.000,C,C,.001,.002,.009,.004,.006,.003,.003,.001,.001,.003,.003,.002,.006,.001,.000,.001,.003,.002,.003,.001,.003,.009,06
06 CO PPM,CARMEL MT RCH,.5,.4,C,C,C,.8,.8,.9,.3,.2,.3,.3,.4,.4,.5,.3,.3,.4,.6,.6,.4,.3,.6,.8,.5,.9,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,26,26,26,26,26,27,27,27,25,25,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,27,05
,CARMEL MT RCH,23,23,23,23,23,22,22,21,22,23,24,24,25,25,25,25,25,25,25,25,25,25,24,24,24,25,12
,CHULA VISTA,22,22,22,22,23,22,23,23,23,23,24,25,24,24,24,22,24,25,25,25,25,25,24,24,24,25,11
