Current Date:,2/12/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
2/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.044,.040,C,C,.041,.039,.040,.041,.036,.045,.051,.052,.052,.051,.052,.053,.048,.043,.035,.033,.038,.040,.046,.045,.043,.053,15
,CHULA VISTA,.023,.027,C,C,.026,.022,.015,.014,.018,.035,.041,.045,.041,.047,.048,.046,.047,.039,.033,.014,.012,.005,.006,.013,.028,.048,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.031,.017,C,C,C,.005,.004,.016,.030,.030,.035,.048,.052,.055,.050,.048,.048,.043,.032,.016,.006,.010,.008,.004,.028,.055,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.025,.029,C,C,.022,.018,.014,.019,.033,.042,.045,.047,.048,.046,.049,.050,.049,.039,.036,.031,.024,.029,.023,.025,.033,.050,15
,OTAY MESA DVN,.039,.037,C,C,.036,.034,.025,.026,.029,.033,.033,.038,.043,.035,.038,.041,.042,.040,.038,.030,.030,.028,.025,.025,.033,.043,12
,PENDLETON,.029,.026,.027,.024,.022,.023,.018,.018,.021,.029,M,M,M,M,M,.048,.049,.048,.044,.032,.028,.022,.015,.020,.028,.049,16
02 NOX PPM,ALPINE,.001,.001,C,C,.002,.003,.003,.008,.011,.008,.002,.002,.002,.002,.002,.003,.004,.006,.010,.009,.007,.004,.002,.001,.004,.011,08
,CARMEL MT RCH,.013,.012,C,C,C,.040,.063,.068,.016,.049,.039,.034,.031,.022,.027,.027,.025,.028,.031,.032,.029,.024,.050,.037,.033,.068,07
,CHULA VISTA,.013,.009,C,C,.007,.011,.021,.026,.029,.010,.007,.007,.014,.008,.009,.013,.010,.016,.019,.036,.033,.036,.030,.021,.018,.036,19
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.012,.012,C,C,C,.017,.031,.019,.007,.013,.015,.005,.004,.003,.005,.006,.005,.008,.017,.027,.031,.020,.021,.020,.014,.031,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.008,.004,C,C,.010,.014,.017,.014,.007,.005,.005,.008,.008,.007,.007,.005,.006,.010,.011,.017,.019,.012,.016,.010,.010,.019,20
,OTAY MESA DVN,.000,.003,C,C,.001,.002,.010,.011,.008,.008,.012,.007,.002,.025,.019,.009,.005,.005,.006,.005,.009,.012,.011,.008,.008,.025,13
,PENDLETON,.002,.001,.001,.006,.007,.007,.013,.012,.021,.008,M,M,M,M,M,.007,.002,.002,.004,.012,.011,.013,.014,.008,.008,.021,08
03 NO2 PPM,ALPINE,.001,.001,C,C,.002,.003,.003,.005,.008,.006,.002,.002,.002,.002,.002,.002,.004,.006,.010,.008,.006,.004,.002,.001,.004,.010,18
,CARMEL MT RCH,.011,.011,C,C,C,.026,.030,.031,.011,.025,.021,.019,.017,.012,.014,.014,.015,.018,.019,.022,.026,.023,.033,.025,.020,.033,22
,CHULA VISTA,.012,.009,C,C,.006,.009,.017,.019,.017,.006,.005,.005,.009,.005,.007,.010,.008,.014,.018,.033,.031,.031,.028,.020,.015,.033,19
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.012,.011,C,C,C,.013,.017,.011,.005,.009,.010,.004,.003,.002,.004,.004,.005,.008,.016,.025,.028,.019,.017,.018,.011,.028,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.008,.004,C,C,.009,.013,.016,.011,.005,.004,.004,.006,.006,.005,.004,.004,.005,.009,.011,.016,.019,.012,.016,.010,.009,.019,20
,OTAY MESA DVN,.000,.003,C,C,.001,.001,.010,.008,.006,.006,.008,.005,.002,.013,.010,.007,.005,.005,.005,.005,.009,.012,.011,.008,.006,.013,13
,PENDLETON,.002,.001,.001,.004,.006,.006,.010,.008,.010,.004,M,M,M,M,M,.003,.001,.001,.004,.011,.010,.011,.012,.007,.006,.012,22
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.000,.002,.003,.002,.000,.000,.000,.000,.000,.000,.000,.000,.001,.000,.001,.000,.000,.000,.000,.003,08
,CARMEL MT RCH,.001,.001,C,C,C,.014,.033,.037,.005,.025,.018,.015,.014,.010,.013,.012,.010,.010,.011,.009,.004,.001,.017,.012,.013,.037,07
,CHULA VISTA,.001,.001,C,C,.001,.001,.004,.007,.012,.003,.003,.003,.004,.003,.003,.003,.002,.001,.001,.003,.002,.004,.002,.001,.003,.012,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.001,C,C,C,.004,.015,.008,.002,.005,.005,.001,.001,.001,.001,.001,.001,.001,.001,.002,.003,.002,.004,.003,.003,.015,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.001,.002,.003,.002,.001,.001,.002,.002,.002,.002,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.003,07
,OTAY MESA DVN,.000,.000,C,C,.000,.000,.000,.003,.002,.002,.003,.002,.001,.013,.009,.002,.001,.000,.000,.000,.000,.000,.000,.000,.002,.013,13
,PENDLETON,.000,.000,.000,.002,.002,.001,.003,.004,.011,.004,M,M,M,M,M,.004,.001,.000,.001,.001,.001,.002,.001,.001,.002,.011,08
