,EL CAJON LES,.005,.009,C,C,C,.022,.030,.038,.018,.014,.004,.002,.001,M,M,M,M,.006,.017,.026,.021,.028,.029,.037,.018,.038,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.003,C,C,.013,.020,.028,.020,.011,.011,.006,.014,.002,M,.002,.001,.005,.008,.012,.016,.008,.006,.004,.004,.009,.028,06
,OTAY MESA DVN,.002,.004,C,C,.006,.013,.022,.040,.008,M,M,.003,.005,.004,.006,.006,.004,.004,.008,.012,.010,.010,.006,.006,.009,.040,07
,PENDLETON,.001,.001,C,C,.002,.003,.005,.004,.004,M,M,M,.005,.002,.005,.001,.003,.008,.012,.017,.015,.021,.013,.009,.007,.021,21
03 NO2 PPM,ALPINE,.001,.001,C,C,.001,.002,.005,.004,.005,.002,.001,.000,.000,.000,.001,.000,.000,.001,.003,.003,.003,.001,.001,.001,.002,.005,06
,CARMEL MT RCH,.003,.007,C,C,.033,.031,.029,.028,.006,M,M,.001,.002,.010,.008,.005,.013,.013,.019,.015,.017,.030,.026,.031,.016,.033,04
,CHULA VISTA,.006,.009,C,C,.009,.018,.028,.024,.013,.014,.008,M,.007,.007,.005,.005,.005,.006,.014,.022,.027,.029,.017,.018,.014,.029,21
,DOWNTOWN SES,.010,.008,C,C,.019,.021,.026,.028,.018,.009,.011,.009,.009,.006,.004,.005,.006,.009,.013,.023,.024,.019,.014,.013,.014,.028,07
,EL CAJON LES,.005,.008,C,C,C,.018,.024,.023,.012,.009,.003,.002,.001,M,M,M,M,.006,.016,.024,.020,.025,.026,.028,.015,.028,23
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.003,C,C,.012,.019,.025,.016,.008,.006,.003,.009,.001,M,.002,.001,.004,.007,.012,.016,.007,.006,.004,.004,.008,.025,06
,OTAY MESA DVN,.002,.003,C,C,.004,.009,.015,.023,.006,M,M,.002,.003,.003,.005,.004,.004,.004,.006,.009,.006,.010,.005,.006,.006,.023,07
,PENDLETON,.001,.001,C,C,.002,.002,.004,.003,.003,M,M,M,.003,.002,.003,.001,.003,.008,.012,.016,.015,.019,.012,.009,.006,.019,21
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.001,.001,.002,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,08
,CARMEL MT RCH,.001,.002,C,C,.018,.030,.023,.025,.003,M,M,.001,.001,.008,.007,.003,.010,.007,.005,.002,.004,.010,.005,.007,.009,.030,05
,CHULA VISTA,.000,.000,C,C,.000,.001,.008,.011,.005,.010,.003,M,.002,.003,.002,.001,.001,.001,.001,.001,.003,.002,.000,.000,.003,.011,07
,DOWNTOWN SES,.001,.000,C,C,.001,.002,.007,.017,.009,.005,.006,.004,.004,.002,.001,.001,.001,.001,.001,.002,.002,.001,.001,.001,.003,.017,07
,EL CAJON LES,.000,.000,C,C,C,.004,.006,.015,.006,.005,.001,.001,.000,M,M,M,M,.000,.001,.002,.001,.003,.003,.009,.003,.015,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.001,.002,.003,.003,.005,.003,.005,.001,M,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.001,.005,09
,OTAY MESA DVN,.000,.001,C,C,.002,.004,.007,.017,.002,M,M,.001,.001,.001,.002,.001,.000,.000,.002,.002,.004,.001,.001,.000,.002,.017,07
,PENDLETON,.000,.000,C,C,.000,.000,.001,.001,.001,M,M,M,.002,.001,.002,.000,.000,.000,.000,.001,.001,.003,.001,.000,.001,.003,21
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.9,.7,1.0,.3,M,C,.1,.2,.4,.4,.2,.4,.5,.5,.4,.4,.7,.6,.8,.5,1.0,07
10 INTMP °C,ALPINE,27,27,27,27,27,27,27,27,27,26,25,25,26,26,26,26,27,26,27,27,27,27,27,27,27,27,00
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,26,25,25,25,26,26,25,25,25,25,26,25,25,26,26,26,26,00
,CHULA VISTA,23,22,22,22,21,21,21,21,22,23,23,21,21,23,25,24,25,24,24,23,23,22,21,21,22,25,14
,DOWNTOWN SES,26,27,26,26,27,27,27,27,26,26,25,24,24,24,24,24,24,25,26,25,26,26,27,26,26,27,01
,EL CAJON LES,26,26,26,26,26,27,27,27,27,26,26,26,26,26,25,25,25,25,25,25,26,26,26,27,26,27,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,26,26,25,24,24,24,24,24,25,24,24,22,24,25,24,25,25,25,25,25,25,24,25,26,02
,OTAY MESA DVN,27,27,26,26,26,25,25,25,26,26,27,26,27,27,26,26,26,26,25,26,26,25,25,25,26,27,00
,PENDLETON,25,24,24,24,23,22,22,21,21,22,24,24,25,25,25,25,26,27,27,27,26,25,25,24,24,27,17
11 PM2.5 µg/M3,ALPINE,4.0,4.7,3.9,6.5,4.5,2.5,2.0,2.8,2.6,2.6,.5,-2.1,.4,.8,-.9,1.1,2.7,.8,5.0,5.9,2.3,3.8,3.3,.5,2.5,6.5,03
,DOWNTOWN SES,5.3,5.0,5.0,3.7,6.5,6.6,7.0,5.7,44.9,5.1,4.5,3.5,4.2,3.2,3.2,2.8,1.7,4.6,4.0,6.5,10.2,9.2,6.8,6.7,6.9,44.9,08
,EL CAJON LES,4.2,8.6,10.0,6.3,3.7,6.7,8.0,3.5,3.0,4.9,2.8,3.3,1.8,.5,1.1,3.6,2.9,2.4,6.2,18.1,11.8,12.6,16.5,11.6,6.4,18.1,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,5.4,5.9,23.2,26.3,6.5,7.1,8.5,10.9,6.6,3.2,4.5,3.4,.6,.9,3.8,-.7,-1.1,4.2,6.3,10.3,8.0,10.0,9.9,11.8,7.3,26.3,03
,PENDLETON,2.9,4.1,3.9,1.7,.8,-.5,.2,2.4,2.0,1.5,.7,-1.1,-.9,1.3,.5,1.3,2.3,-.1,-1.2,.8,2.4,2.4,5.2,4.3,1.5,5.2,22
12 VWDR °,ALPINE,260,285,275,123,72,98,63,324,239,246,317,13,10,6,12,33,54,69,50,51,55,58,94,95,0,324,07
,CHULA VISTA,85,79,88,84,96,67,19,100,79,289,310,286,278,275,283,269,277,301,346,39,72,78,87,70,0,346,18
,DOWNTOWN SES,26,1,4,42,52,1,31,32,70,116,212,217,276,271,286,275,286,312,353,40,48,45,57,48,0,353,18
,EL CAJON LES,99,113,122,62,112,190,98,44,178,291,269,35,42,27,35,26,56,80,50,91,71,67,84,99,0,291,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,38,328,11,45,33,6,40,46,61,130,137,60,2,293,9,23,307,318,359,50,65,66,52,54,0,359,18
,OTAY MESA DVN,130,35,57,44,110,148,32,132,0,309,295,284,323,315,279,294,287,332,61,79,60,86,87,44,0,332,17
,PENDLETON,33,38,40,55,51,52,56,38,39,28,31,34,33,29,0,264,2,359,16,21,71,62,65,65,0,359,17
13 SIGTHETA °,ALPINE,30,40,35,51,41,49,26,53,33,32,35,59,62,32,33,39,35,25,53,45,60,20,29,17,39,62,12
,CHULA VISTA,17,26,26,28,19,34,22,26,54,43,64,31,33,19,21,19,19,19,18,19,22,19,25,49,28,64,10
,DOWNTOWN SES,17,13,12,27,27,21,15,13,24,37,46,27,29,23,22,29,20,23,18,17,12,12,13,14,21,46,10
,EL CAJON LES,25,38,41,29,19,56,14,49,38,44,53,52,60,28,32,39,19,27,40,30,21,52,37,66,38,66,23
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,17,21,9,9,11,14,22,11,24,39,56,39,34,29,55,27,12,9,9,12,30,26,11,13,22,56,10
,OTAY MESA DVN,19,39,46,48,25,37,29,30,27,28,40,51,27,48,30,18,12,37,18,24,34,25,37,59,33,59,23
,PENDLETON,13,12,14,14,14,14,14,14,14,16,14,18,25,23,19,20,16,10,14,19,28,15,10,12,16,28,20
14 VWSP MPH,ALPINE,2.2,.6,1.6,.7,.6,.8,.2,.7,1.9,2.2,3.6,2.2,3.7,5.8,4.8,3.7,3.3,1.9,1.2,1.1,.6,1.6,1.9,1.9,.0,5.8,13
,CHULA VISTA,3.0,1.8,.8,1.0,2.2,1.8,1.7,2.3,.6,1.3,1.3,4.8,4.3,8.1,8.4,7.5,7.5,6.8,3.4,1.8,2.4,1.8,2.5,.8,.0,8.4,14
,DOWNTOWN SES,3.0,3.7,3.5,1.8,2.6,2.8,3.2,3.1,3.0,2.1,2.6,4.7,6.0,8.1,7.9,5.9,8.0,5.2,3.1,2.7,3.9,4.3,3.8,3.5,.0,8.1,13
,EL CAJON LES,2.3,.7,.9,1.2,2.2,.6,2.6,.1,1.4,1.2,1.9,1.3,4.6,7.5,6.5,5.2,6.0,1.7,.3,1.8,.6,.8,1.6,.4,.0,7.5,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,3.3,2.6,4.0,3.9,5.3,5.4,3.1,4.0,5.2,3.0,3.6,5.9,4.3,6.3,2.8,6.4,10.9,7.9,5.0,4.6,4.6,2.7,5.0,6.3,.0,10.9,16
,OTAY MESA DVN,3.2,3.1,1.6,1.9,2.1,4.2,1.7,2.5,3.2,3.0,3.0,3.3,6.3,3.5,8.8,9.1,9.4,1.8,3.9,3.8,2.3,3.0,1.5,.4,.0,9.4,16
,PENDLETON,11.6,14.8,14.4,11.6,13.5,13.9,13.4,14.7,15.2,12.9,12.9,10.1,9.4,7.9,6.8,8.3,8.3,5.2,2.6,4.4,3.0,3.8,6.4,6.0,.0,15.2,08
15 SWSP MPH,ALPINE,2.6,.7,2.2,.8,.8,1.0,.2,1.0,2.3,3.0,4.3,3.9,4.9,6.6,5.5,4.6,3.9,2.1,1.6,1.7,1.0,1.7,2.1,2.3,2.5,6.6,13
,CHULA VISTA,3.1,2.3,.9,1.1,2.3,2.6,2.1,2.5,1.1,1.9,2.2,5.5,4.8,8.6,9.1,8.0,8.0,7.4,3.7,2.1,2.5,2.0,2.7,1.3,3.7,9.1,14
,DOWNTOWN SES,3.4,3.8,3.6,2.4,2.9,3.0,3.5,3.2,3.4,2.9,3.5,5.5,7.0,8.8,8.5,6.7,8.7,5.8,3.3,3.0,4.0,4.4,4.0,3.6,4.5,8.8,13
,EL CAJON LES,2.6,1.8,1.6,1.5,2.3,1.7,2.7,1.2,1.8,2.5,2.9,3.5,6.5,8.6,7.7,6.4,6.4,3.8,2.0,2.0,1.7,1.2,1.9,1.5,3.2,8.6,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.6,3.0,4.2,4.1,5.6,5.6,3.5,4.2,5.6,3.9,5.5,8.3,6.7,7.1,5.9,6.9,11.2,8.0,5.3,4.7,5.2,2.9,5.2,6.5,5.5,11.2,16
,OTAY MESA DVN,4.2,3.7,2.3,2.1,2.3,4.9,3.0,2.8,4.4,3.4,4.0,4.7,6.9,5.7,9.6,9.6,9.6,2.9,4.8,4.3,3.2,3.4,2.0,1.9,4.4,9.6,14
,PENDLETON,11.9,15.1,14.8,11.9,14.0,14.3,13.9,15.1,15.7,13.5,13.3,10.7,10.2,9.0,9.4,8.8,8.7,5.3,2.7,4.9,4.2,4.0,6.5,6.2,10.2,15.7,08
16 AMBTEMP °F,ALPINE,41.6,39.8,38.9,37.0,37.3,36.6,36.6,39.0,43.5,48.2,51.3,53.5,54.8,54.7,54.3,53.4,51.0,45.0,41.9,41.1,39.8,39.0,38.2,37.9,43.9,54.8,12
,CARMEL MT RCH,49.0,47.3,45.4,43.8,42.6,42.5,41.2,43.3,48.7,52.8,55.2,56.3,57.6,58.9,59.3,59.1,57.3,52.8,51.5,49.8,48.7,46.3,46.0,43.8,50.0,59.3,14
,CHULA VISTA,51.5,48.4,45.7,43.4,43.6,41.7,40.1,44.0,49.5,52.7,55.6,56.7,58.3,57.7,58.2,58.6,57.8,55.4,53.4,51.5,48.8,45.5,45.0,42.1,50.2,58.6,15
,DOWNTOWN SES,52.1,50.1,48.8,46.1,44.1,43.5,44.2,46.3,50.2,53.1,55.1,57.0,57.5,57.5,58.8,59.6,58.5,56.2,54.5,52.6,51.1,50.0,49.1,47.5,51.8,59.6,15
,EL CAJON LES,48.2,44.6,41.7,39.8,38.0,36.8,35.2,37.9,45.1,52.2,55.8,58.0,59.1,58.6,59.4,59.5,58.4,55.2,51.2,46.8,44.6,41.6,40.6,38.7,47.8,59.5,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,49.3,47.2,44.5,41.1,41.0,41.1,40.4,42.7,48.8,53.4,56.3,58.3,58.0,58.5,59.9,60.0,56.8,52.9,51.1,47.3,47.4,47.5,45.1,44.7,49.7,60.0,15
,OTAY MESA DVN,49.1,46.8,45.7,44.7,43.6,44.6,41.9,43.6,47.1,51.2,54.6,56.5,56.6,57.9,57.6,57.1,55.1,52.4,50.3,49.1,47.1,46.5,46.3,44.4,49.6,57.9,13
,PENDLETON,52.4,51.9,51.0,49.8,49.5,48.9,48.2,48.9,50.9,53.7,55.7,57.6,58.9,60.2,60.5,58.8,59.8,56.2,53.8,50.9,46.3,45.1,43.8,41.4,52.3,60.5,14
17 RELHUM %,ALPINE,23,25,23,26,24,26,26,24,20,15,15,11,10,10,11,10,10,13,13,13,13,13,14,14,17,26,03
,EL CAJON LES,22,30,39,43,46,48,52,46,30,20,11,10,8,8,8,7,7,12,31,30,24,29,30,35,26,52,06
,KEARNY MESA,22,24,27,32,31,31,32,31,26,18,14,12,13,18,12,10,26,34,39,41,18,15,19,18,23,41,19
18 PRES mmHg,EL CAJON LES,748,749,749,749,749,750,751,751,752,752,752,751,751,751,750,750,750,751,752,752,753,753,753,753,751,753,20
,KEARNY MESA,750,750,750,750,750,751,752,752,753,753,753,753,752,752,751,751,752,752,753,753,754,754,754,754,752,754,20
19 SOLAR W/M2,EL CAJON LES,-3,-3,-3,-2,-2,-2,3,117,346,537,691,784,784,710,561,356,135,0,-5,-4,-3,-3,-2,-2,208,784,11
,KEARNY MESA,-1,-1,-1,-1,-1,-1,5,127,340,535,664,725,726,656,531,360,148,7,-1,-1,-1,-1,-1,-1,201,726,12
25 NOY,EL CAJON LES,5.45,11.03,15.15,15.11,11.07,C,C,38.74,18.36,14.39,4.96,3.65,2.66,1.79,2.16,2.71,2.62,6.33,16.53,23.95,19.11,24.77,23.44,32.09,13.45,38.74,07
26 NOY-NO,EL CAJON LES,5.15,10.23,14.63,14.60,10.81,C,C,24.37,12.28,9.58,3.66,2.93,2.19,1.52,1.82,1.75,2.44,6.04,15.87,23.27,18.48,23.55,22.43,26.55,11.55,26.55,23
27 NO Trace,EL CAJON LES,.29,.80,.52,.51,.25,C,C,14.36,6.07,4.80,1.30,.71,.46,.26,.33,.95,.17,.28,.65,.68,.62,1.22,1.00,5.54,1.89,14.36,07
28 SO2 Tr PPB,EL CAJON LES,.0,.1,C,C,C,.0,.1,.1,.1,.1,.0,.0,.0,M,M,M,M,.1,.1,.2,.1,.2,.2,.2,.0,.2,19
29 CO Tr PPB,EL CAJON LES,182.6,204.4,C,C,C,314.3,336.1,455.4,335.2,267.4,166.7,144.1,130.7,M,M,M,C,175.1,311.2,441.3,368.4,472.3,424.7,518.9,308.7,518.9,23
BCarbon ug/m3,DOWNTOWN SES,.21,.17,.13,.18,.31,.33,.45,.68,.49,.32,.37,.33,.37,.24,.15,.17,.18,.27,.34,.69,1.10,.94,.55,.47,.39,1.10,20
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
