Current Date:,4/8/2024,11:08 PM
,,,,,,,,8 Hour Rolling Average Report
4/7/2024
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.037,.037,.037,.038,.04,.041,.044,.047,.05,.052,.053,.053,.053,.051,.049,.047,.044,.041,.039,.038,.037,.036,.033,.033,0.042,0.053,10
,CHULA VISTA,.019,.022,.024,.027,.031,.036,.041,.045,.049,.05,.051,.051,.05,.049,.047,.043,.039,.036,.033,.032,.03,.026,.023,.023,0.036,0.051,10
,DOWNTOWN SES,.014,.015,.019,.023,.028,.033,.039,.043,.047,.05,.051,.05,.049,.047,.046,.044,.04,.037,.035,.033,.032,.029,.025,.022,0.035,0.051,10
,EL CAJON LES,,,.021,.024,.028,.033,.039,.044,.048,.052,.053,.053,.052,.05,.046,.043,.039,.035,.031,.029,.027,,,,0.039,0.053,10
,KEARNY MESA,.021,.024,.027,.031,.035,.04,.045,.05,.053,.054,.054,.052,.05,.047,.043,.038,.035,.031,.028,.026,.024,.022,.022,.021,0.036,0.054,09
,OTAY MESA DVN,.022,.021,.024,.027,.031,.035,.039,.045,.049,.052,.053,.053,.051,.049,.047,.044,.042,.04,.038,.037,.037,.037,.034,.031,0.039,0.053,10
,PENDLETON,.019,.022,.024,.026,.03,.034,.039,.043,.046,.047,.047,.048,.048,.046,.043,.04,.038,.035,.033,.031,.028,.025,.024,.023,0.034,0.048,11
