Current Date:,1/2/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
1/1/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.042,.040,C,C,.040,.040,.040,.039,.038,.040,.042,.042,.043,.044,.045,.045,.041,.040,.042,.037,.034,.038,.037,.040,.040,.045,14
,CHULA VISTA,.014,.011,C,C,.021,.016,.021,.020,.021,.028,.032,.040,.049,.048,.042,.041,.040,.026,.016,.004,.011,.019,.012,.014,.024,.049,12
,DOWNTOWN SES,.005,.005,C,C,.005,.009,.006,.010,.016,.019,.032,.036,.041,.041,.043,.042,.040,.027,.018,.013,.004,.004,.006,.004,.019,.043,14
,EL CAJON LES,.004,.002,C,C,C,.002,.002,.002,.009,.016,.025,.035,.041,.043,.043,.042,.038,.025,.012,.008,.006,.004,.004,.003,.017,.043,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.018,.016,C,C,.019,.017,.020,.017,.019,.031,.033,.035,.039,.041,.044,.045,.040,.036,.022,.023,.029,.029,.026,.028,.028,.045,15
,OTAY MESA DVN,.017,.012,C,C,.021,.018,.020,.022,.022,.032,.037,.040,.041,.045,.046,.043,.039,.038,.033,.032,P,P,,,.031,.046,14
,PENDLETON,.019,.021,C,C,.020,.018,.017,.021,.025,.030,.035,.036,.036,.039,.041,.043,.044,.040,.026,.018,.018,.017,.019,.019,.027,.044,16
02 NOX PPM,ALPINE,.001,.001,C,C,.001,.001,.001,.001,.003,.003,.002,.002,.002,.003,.003,.003,.007,.006,.004,.006,.006,.003,.003,.002,.003,.007,16
,CARMEL MT RCH,.018,.020,C,C,.013,.018,.026,.032,.025,.018,.012,.009,.010,.010,.011,.011,.013,.015,.018,.017,.015,.017,.021,.021,.017,.032,07
,CHULA VISTA,.012,.014,C,C,.007,.010,.007,.009,.010,.008,.009,.008,.006,.003,.006,.008,.006,.015,.024,.039,.026,.015,.019,.016,.013,.039,19
,DOWNTOWN SES,.031,.037,C,C,.020,.017,.020,.021,.020,.025,.011,.008,.005,.006,.005,.005,.007,.016,.023,.027,.045,.047,.033,.034,.021,.047,21
,EL CAJON LES,.034,.026,C,C,C,.032,.039,.040,.035,.027,.014,.006,.003,.002,.004,.005,.007,.017,.024,.031,.029,.030,.030,.029,.022,.040,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,.008,C,C,.006,.007,.005,.007,.009,.008,.006,.007,.006,.007,.004,.003,.006,.007,.012,.011,.007,.006,.008,.006,.007,.012,18
,OTAY MESA DVN,.013,.020,C,C,.009,.011,.007,.008,.011,.007,.006,.007,.006,.005,.004,.004,.003,.004,.007,.008,P,P,,,.008,.020,01
,PENDLETON,.009,.007,C,C,.005,.006,.006,.007,.006,.004,.003,.003,.002,.002,.002,.002,.003,.004,.012,.018,.015,.014,.009,.008,.007,.018,19
03 NO2 PPM,ALPINE,.001,.001,C,C,.001,.001,.001,.001,.002,.002,.001,.002,.002,.003,.003,.003,.007,.006,.004,.006,.006,.003,.003,.002,.003,.007,16
,CARMEL MT RCH,.015,.017,C,C,.012,.015,.020,.020,.015,.012,.008,.006,.007,.007,.007,.007,.010,.013,.015,.015,.015,.015,.018,.018,.013,.020,06
,CHULA VISTA,.012,.014,C,C,.006,.010,.007,.008,.008,.006,.007,.007,.005,.003,.005,.007,.006,.015,.024,.032,.025,.014,.019,.016,.012,.032,19
,DOWNTOWN SES,.023,.022,C,C,.017,.015,.016,.015,.013,.016,.008,.006,.005,.005,.005,.005,.007,.016,.022,.025,.030,.030,.028,.028,.016,.030,20
,EL CAJON LES,.020,.016,C,C,C,.013,.012,.013,.018,.015,.009,.004,.003,.002,.003,.005,.007,.016,.022,.027,.025,.024,.022,.021,.014,.027,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,.008,C,C,.006,.007,.005,.006,.006,.006,.005,.005,.005,.006,.003,.003,.006,.007,.012,.011,.007,.007,.009,.006,.007,.012,18
,OTAY MESA DVN,.012,.019,C,C,.009,.010,.006,.007,.008,.005,.005,.006,.005,.004,.003,.004,.003,.004,.007,.008,P,P,,,.007,.019,01
,PENDLETON,.009,.007,C,C,.005,.007,.006,.007,.005,.004,.003,.003,.002,.002,.002,.002,.003,.004,.012,.019,.015,.013,.009,.008,.007,.019,19
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,08
,CARMEL MT RCH,.002,.003,C,C,.001,.003,.006,.012,.010,.006,.004,.003,.003,.004,.004,.004,.003,.002,.004,.001,.000,.001,.003,.002,.004,.012,07
,CHULA VISTA,.000,.000,C,C,.000,.000,.000,.001,.002,.002,.002,.001,.001,.000,.001,.001,.000,.000,.000,.008,.002,.000,.000,.000,.001,.008,19
,DOWNTOWN SES,.008,.015,C,C,.003,.002,.004,.005,.007,.009,.003,.002,.001,.001,.001,.000,.000,.000,.001,.003,.015,.017,.005,.006,.005,.017,21
,EL CAJON LES,.013,.010,C,C,C,.019,.026,.027,.016,.011,.005,.002,.001,.000,.001,.001,.000,.001,.002,.004,.004,.006,.008,.008,.008,.027,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.000,.001,.003,.002,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.003,08
,OTAY MESA DVN,.001,.000,C,C,.000,.001,.000,.001,.002,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,P,P,,,.001,.002,08
,PENDLETON,.000,.000,C,C,.000,.000,.000,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.001,.000,.000,.000,.001,08
06 CO PPM,CARMEL MT RCH,.6,.6,C,C,C,.7,.8,1.1,.8,.6,.5,.3,.4,.5,.5,.5,.5,.5,.7,.5,.4,.5,.6,.6,.6,1.1,07
10 INTMP °C,ALPINE,27,27,27,27,27,26,27,27,26,25,25,25,25,25,25,25,25,25,25,26,26,26,26,27,26,27,00
,CARMEL MT RCH,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,25,26,19
,CHULA VISTA,26,26,26,26,26,26,25,25,26,24,25,25,25,25,25,25,25,24,24,23,24,24,24,24,25,26,00
,DOWNTOWN SES,26,25,26,26,25,26,26,26,24,24,23,23,23,23,22,22,23,24,24,24,25,25,25,25,24,26,00
,EL CAJON LES,27,27,27,28,27,27,28,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,03
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,24,25,25,24,24,24,23,23,23,25,24,24,24,25,25,25,25,26,26,26,26,26,25,25,26,18
,OTAY MESA DVN,26,25,25,25,25,25,25,25,25,25,26,26,25,25,25,24,24,25,24,25,P,P,,,25,26,00
,PENDLETON,26,26,26,26,26,25,25,25,25,24,24,24,23,23,24,24,24,25,25,25,26,26,26,26,25,26,00
11 PM2.5 µg/M3,ALPINE,-1.8,-5.4,-5.1,-.7,.6,-1.6,-.5,-1.0,-1.6,-5.4,-6.5,-4.3,-4.9,-3.2,-.9,.0,.7,5.4,4.9,3.6,8.0,6.3,1.9,-1.7,-.5,8.0,20
,DOWNTOWN SES,66.2,87.4,58.7,35.4,39.0,23.5,14.6,10.6,16.7,14.3,8.2,3.4,4.1,4.4,3.9,3.7,4.0,8.0,9.7,19.4,31.3,31.2,25.8,29.2,23.0,87.4,01
,EL CAJON LES,87.6,54.3,52.2,57.3,59.0,50.6,46.9,36.2,35.1,27.5,12.0,7.1,2.5,-.3,1.2,4.7,3.5,14.9,28.4,48.1,42.6,30.6,29.7,24.7,31.5,87.6,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
