,DOWNTOWN SES,26.3,21.6,C,C,12.9,11.8,15.9,19.5,11.6,13.8,16.1,8.5,3.5,3.9,5.5,11.2,14.1,20.1,26.5,27.7,29.4,27.0,28.3,18.7,16.9,29.4,20
,EL CAJON LES,17.9,18.6,C,C,C,15.3,15.1,15.4,15.1,14.4,6.8,4.9,2.8,2.1,2.4,3.9,9.1,12.2,14.9,22.3,24.3,22.1,11.3,7.1,12.2,24.3,20
,KEARNY MESA,12.5,11.9,C,C,6.7,8.6,8.7,12.7,8.6,3.7,2.2,2.2,1.3,1.1,1.1,1.4,4.4,9.0,11.5,21.5,18.9,16.8,7.8,6.8,8.1,21.5,19
,OTAY MESA DVN,18.7,7.4,C,C,10.4,13.7,21.6,9.1,12.3,3.9,2.3,3.0,6.4,4.2,2.8,2.6,2.8,4.7,2.9,4.9,6.8,4.8,5.0,7.4,7.1,21.6,06
,PENDLETON,7.3,8.3,C,C,6.7,5.9,7.3,7.4,5.6,4.6,3.8,3.7,2.9,2.6,1.9,2.0,1.8,1.5,17.7,21.3,12.2,11.5,P,7.7,6.8,21.3,19
04 NO PPB,ALPINE,.0,.0,C,C,.0,.0,.0,1.2,1.1,.8,.5,.4,.6,.5,.4,.2,.0,.0,.6,.3,.2,.2,.0,.2,.3,1.2,07
,OTAY MESA DVN,3.8,1.0,C,C,1.4,3.7,7.8,2.6,6.2,1.8,1.0,1.2,2.6,1.6,1.0,.8,.6,1.0,.5,.5,.5,.8,.9,1.0,1.9,7.8,06
,PENDLETON,.4,.4,C,C,.4,.3,.7,2.1,2.8,2.4,1.4,1.4,.8,.6,.3,.1,.0,.0,1.8,.3,.2,.3,P,.3,.8,2.8,08
06 CO PPM,CARMEL MT RCH,.5,.8,C,C,.4,.6,1.1,.8,.4,.7,.6,.6,.6,.6,.7,.7,.8,.8,.8,.7,.5,.4,.8,.4,.7,1.1,06
10 INTMP °C,ALPINE,28,28,28,28,28,28,28,28,27,26,26,26,26,26,26,26,26,27,26,27,28,28,28,28,27,28,00
,CARMEL MT RCH,24,23,24,24,23,23,22,22,23,24,25,26,25,26,26,25,25,26,26,26,26,26,25,25,25,26,11
,CHULA VISTA,25,24,24,25,24,25,24,25,25,24,24,24,25,25,25,26,26,26,26,26,25,25,24,24,25,26,15
,DOWNTOWN SES,26,26,26,26,26,26,26,26,26,25,25,25,25,25,24,24,25,26,26,26,26,26,26,26,26,26,00
,EL CAJON LES,26,26,26,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,03
,KEARNY MESA,22,22,22,22,21,22,23,22,22,22,23,24,24,25,25,25,25,25,25,24,24,24,24,23,23,25,13
,OTAY MESA DVN,26,26,26,26,26,26,26,26,27,27,27,27,27,26,26,25,24,25,26,26,26,26,26,26,26,27,08
,PENDLETON,27,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,P,26,25,27,00
11 PM2.5 µg/M3,ALPINE,5.1,4.6,4.8,4.9,5.2,5.4,3.8,2.5,3.1,3.9,3.9,4.6,5.4,4.4,3.6,3.3,3.4,4.7,6.1,5.6,5.3,8.0,6.7,7.8,4.8,8.0,21
,DOWNTOWN SES,19.6,15.5,14.2,12.7,11.3,9.1,7.7,8.3,6.9,8.6,12.2,6.1,3.2,3.3,3.3,3.9,4.3,7.6,12.9,13.7,18.2,22.3,22.7,17.9,11.0,22.7,22
,EL CAJON LES,15.6,16.2,11.6,10.1,12.7,11.9,11.5,13.0,13.9,11.2,7.9,7.5,4.1,3.2,3.1,2.8,4.7,8.5,9.9,19.1,26.5,28.1,15.9,9.9,11.6,28.1,21
,OTAY MESA DVN,20.8,11.5,10.7,35.8,22.8,17.1,31.0,18.8,26.7,12.6,6.8,5.9,8.3,6.5,5.3,4.8,4.3,7.5,4.8,8.5,10.3,10.0,8.7,12.8,13.0,35.8,03
,PENDLETON,8.9,10.3,8.7,7.0,8.1,8.4,8.4,9.9,8.7,8.7,8.0,8.0,6.5,6.7,5.6,4.7,4.7,4.8,9.0,11.3,12.3,18.1,P,12.3,8.6,18.1,21
12 VWDR °,ALPINE,87,338,79,87,37,72,102,112,321,266,239,241,244,264,247,234,214,141,108,105,86,346,107,84,0,346,21
,CHULA VISTA,56,61,65,83,68,73,72,49,76,120,358,289,273,270,266,263,241,197,84,121,50,81,81,79,0,358,10
,DOWNTOWN SES,45,16,51,15,29,57,7,61,88,166,235,291,306,289,285,279,270,263,40,352,357,48,55,72,0,357,20
,EL CAJON LES,145,179,98,233,136,232,240,104,301,342,12,319,282,270,251,256,236,170,84,126,190,107,111,98,0,342,09
,KEARNY MESA,43,25,60,31,50,64,36,59,20,322,328,309,306,305,290,280,287,288,334,349,23,66,74,88,0,349,19
,OTAY MESA DVN,55,14,44,118,37,141,134,346,278,311,311,313,290,284,275,276,299,21,28,169,7,26,46,66,0,346,07
,PENDLETON,49,51,42,56,62,42,64,51,58,52,242,233,233,226,211,206,202,205,9,44,65,67,P,63,0,242,10
13 SIGTHETA °,ALPINE,46,30,47,16,54,15,20,48,35,37,44,38,41,41,36,33,23,37,15,15,27,37,16,51,33,54,04
,CHULA VISTA,23,33,19,45,24,40,35,15,22,57,41,23,20,20,20,22,17,17,33,18,15,16,15,16,25,57,09
,DOWNTOWN SES,39,32,15,16,18,21,29,24,27,36,31,26,29,23,18,16,19,57,25,18,14,19,20,17,25,57,17
,EL CAJON LES,51,65,32,69,47,29,29,49,48,56,69,74,40,30,33,28,19,31,40,43,49,9,42,20,42,74,11
,KEARNY MESA,16,16,9,9,9,13,9,16,41,23,16,18,19,23,21,26,11,6,27,16,14,11,10,8,16,41,08
,OTAY MESA DVN,37,13,24,31,33,39,43,14,35,26,21,20,21,14,14,12,17,22,19,34,39,11,12,19,24,43,06
,PENDLETON,10,11,11,11,13,11,12,12,14,35,18,16,16,15,16,16,16,16,41,31,8,9,10,14,16,41,18
14 VWSP MPH,ALPINE,1.0,1.8,.7,2.2,.7,2.3,1.6,1.2,1.5,2.2,2.4,3.4,3.5,2.9,3.7,3.1,2.2,.5,1.7,2.1,.3,.5,3.2,.6,.0,3.7,14
,CHULA VISTA,1.6,1.1,2.8,.8,2.0,1.9,1.7,2.1,2.4,.7,2.1,6.4,7.1,7.1,6.4,4.7,2.7,.6,1.0,.6,.9,1.1,2.6,3.3,.0,7.1,12
,DOWNTOWN SES,.9,1.2,2.9,2.1,2.3,3.3,1.5,1.9,2.0,1.4,2.5,6.1,5.8,6.5,5.8,5.0,2.7,.7,1.5,1.2,2.0,1.5,2.5,3.8,.0,6.5,13
,EL CAJON LES,.2,.1,1.0,.3,.4,.7,.7,1.1,.3,.4,.9,.9,3.4,3.7,3.4,2.8,2.0,.7,.8,.7,.3,2.5,2.2,3.0,.0,3.7,13
,KEARNY MESA,3.4,3.2,4.7,5.2,6.1,4.7,4.6,2.0,1.1,4.9,7.3,8.5,8.3,6.5,5.2,3.5,3.5,3.1,1.6,1.6,1.7,2.8,3.1,3.4,.0,8.5,11
,OTAY MESA DVN,1.1,2.8,1.8,2.3,2.3,2.5,2.7,3.6,.9,2.2,4.6,6.4,8.1,9.1,8.7,6.7,3.3,1.9,2.6,.1,1.9,4.4,3.0,2.2,.0,9.1,13
,PENDLETON,6.0,5.7,6.7,5.8,7.1,7.3,6.4,5.9,5.7,2.6,3.4,4.2,5.0,4.9,5.1,5.0,3.4,1.9,1.1,.9,3.8,4.9,P,5.8,.0,7.3,05
15 SWSP MPH,ALPINE,1.3,1.9,1.6,2.3,1.2,2.6,1.6,1.6,1.9,3.0,3.2,4.1,4.4,3.9,4.8,3.9,2.5,.8,1.8,2.2,1.8,.8,3.3,.7,2.4,4.8,14
,CHULA VISTA,1.7,1.2,3.0,1.2,2.3,2.2,2.2,2.2,2.6,1.3,2.7,6.9,7.6,7.7,6.8,5.0,2.8,1.0,1.3,.7,1.0,1.2,2.6,3.4,2.9,7.7,13
,DOWNTOWN SES,1.4,1.5,3.0,2.4,2.6,3.5,2.1,2.1,2.2,2.3,3.6,7.0,6.6,7.0,6.1,5.2,2.9,.9,1.6,1.4,2.2,1.7,2.6,4.0,3.2,7.0,11
,EL CAJON LES,.9,.2,1.1,1.0,1.1,1.0,1.0,1.1,.6,.8,1.8,2.2,4.5,4.4,4.0,3.1,2.2,.8,1.0,1.2,1.0,2.5,2.5,3.2,1.8,4.5,12
,KEARNY MESA,3.6,3.4,4.7,5.5,6.4,4.9,4.9,2.2,1.3,5.2,7.6,9.1,8.8,7.0,5.5,4.0,3.7,3.2,2.0,2.0,1.9,2.9,3.2,3.4,4.4,9.1,11
,OTAY MESA DVN,2.0,2.9,2.0,3.1,3.3,3.4,3.1,3.7,1.1,2.4,5.0,7.0,8.6,9.5,9.0,6.8,3.5,2.1,2.9,.7,2.2,4.5,3.1,3.1,4.0,9.5,13
,PENDLETON,6.1,5.8,6.8,5.9,7.4,7.5,6.5,6.1,5.9,3.5,3.5,4.4,5.2,5.2,5.3,5.2,3.5,2.0,1.1,1.2,4.0,5.0,P,6.1,4.9,7.5,05
16 AMBTEMP °F,ALPINE,47.6,47.4,44.5,43.9,43.2,46.9,45.6,48.8,51.8,53.4,55.6,57.4,58.1,58.5,58.9,58.0,55.7,52.4,50.2,49.4,49.8,47.5,44.6,45.2,50.6,58.9,14
,CARMEL MT RCH,45.4,44.4,42.5,42.9,42.7,41.7,42.9,44.4,49.6,54.8,58.5,60.1,61.0,61.8,61.8,62.2,59.3,55.9,54.3,53.0,52.4,50.3,50.3,50.1,51.8,62.2,15
,CHULA VISTA,47.0,46.4,47.2,44.6,45.0,45.7,44.7,46.0,52.1,57.8,60.6,62.6,62.3,63.0,62.3,61.3,58.9,56.3,54.8,52.5,51.7,51.1,52.9,53.3,53.3,63.0,13
,DOWNTOWN SES,47.7,47.0,47.4,46.4,46.5,46.8,45.9,47.9,53.2,57.5,60.7,62.4,63.1,63.0,62.4,61.8,60.2,58.2,56.6,55.3,55.0,53.8,53.9,54.1,54.5,63.1,12
,EL CAJON LES,42.5,41.7,40.2,39.8,39.4,38.8,38.3,40.5,46.4,53.8,59.8,62.9,65.1,65.5,65.5,64.7,61.2,57.1,54.5,51.5,50.1,48.7,51.2,51.1,51.3,65.5,13
,KEARNY MESA,46.1,46.6,45.1,44.6,44.7,45.1,44.8,48.0,54.8,59.6,61.0,62.5,62.6,62.8,62.4,62.2,60.2,57.4,54.8,52.5,51.4,50.7,51.3,50.9,53.4,62.8,13
,OTAY MESA DVN,48.0,47.4,47.9,46.7,45.5,45.1,44.4,44.0,51.2,55.9,59.8,61.6,62.8,62.4,61.5,60.2,57.4,54.7,53.4,53.1,51.4,52.1,52.9,51.8,53.0,62.8,12
,PENDLETON,46.6,45.2,44.9,45.9,43.9,45.7,45.0,45.7,50.8,56.7,60.0,60.8,62.2,62.4,62.4,61.6,59.2,57.8,56.3,55.7,54.3,53.0,P,52.5,53.4,62.4,13
17 RELHUM %,ALPINE,56,63,68,65,68,61,57,54,48,46,43,44,46,46,50,55,61,70,73,72,65,82,82,84,61,84,23
,EL CAJON LES,86,88,89,88,90,91,91,89,74,57,48,44,47,49,49,50,59,70,80,86,87,89,86,84,74,91,05
,KEARNY MESA,100,100,100,100,98,92,92,85,68,55,60,58,59,59,61,61,67,79,88,89,96,100,100,100,82,100,00
18 PRES mmHg,EL CAJON LES,752,752,752,752,752,752,752,753,753,753,753,752,752,751,751,751,751,751,751,751,751,752,752,752,752,753,07
,KEARNY MESA,753,753,753,753,753,753,753,754,754,754,754,754,753,753,753,752,752,752,752,752,752,753,753,752,753,754,07
19 SOLAR W/M2,EL CAJON LES,-5,-5,-5,-5,-5,-5,-1,24,126,398,508,549,532,455,307,148,14,-9,-7,-6,-6,-4,-2,-5,125,549,11
,KEARNY MESA,0,0,0,0,0,0,7,111,270,416,519,558,542,469,333,176,28,0,0,0,0,0,0,0,143,558,11
20 UVRAD W/M2,EL CAJON LES,0,0,0,0,0,0,0,4,10,21,27,29,28,24,17,8,1,0,0,0,0,0,0,0,7,29,11
25 NOY,EL CAJON LES,22.79,28.09,26.25,19.07,30.02,C,C,45.57,31.12,25.07,10.73,7.66,4.45,3.46,3.69,4.95,9.53,12.11,14.90,23.00,29.24,27.96,12.45,7.91,18.18,45.57,07
26 NOY-NO,EL CAJON LES,19.20,20.38,18.61,15.35,16.73,C,C,15.22,15.18,14.30,7.81,5.97,3.52,2.74,3.06,4.18,8.03,11.59,13.95,21.55,25.47,23.37,12.11,7.73,13.00,25.47,20
27 NO Trace,EL CAJON LES,3.58,7.71,7.63,3.71,13.29,C,C,30.34,15.93,10.76,2.92,1.69,.93,.71,.63,.76,1.49,.52,.95,1.44,3.77,4.58,.33,.17,5.17,30.34,07
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.1,.1,.1,.1,.1,.1,.0,.0,.0,.0,.0,.0,.0,.1,.1,.0,.0,.0,.1,07
29 CO Tr PPB,EL CAJON LES,512.1,596.6,C,C,C,467.6,520.4,613.7,504.5,442.3,284.6,251.9,186.7,170.1,187.9,204.9,256.4,348.7,384.0,569.8,708.1,734.6,410.1,280.9,411.2,734.6,21
BCarbon ug/m3,10TH AVE MARINE TERM,2.68,2.50,1.83,1.09,2.17,1.38,1.05,1.58,.94,1.19,.86,.63,.41,.19,.17,.18,.30,.92,.90,.99,2.12,3.29,3.30,2.81,1.40,3.30,22
,BOSTON AVE,3.59,3.42,2.39,1.69,1.30,1.65,1.37,1.66,1.11,.84,1.41,.71,.35,.25,.30,.37,.35,.58,1.76,3.21,6.14,5.76,6.40,5.90,2.19,6.40,22
,CHICANO PARK,2.27,1.71,1.15,1.13,.85,.78,.82,1.03,.84,.92,1.02,.54,.16,.16,.19,.19,.28,.73,1.32,1.31,2.51,4.05,3.77,3.32,1.29,4.05,21
,DOWNTOWN SES,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
,OCEANVIEW BLVD,2.43,1.59,1.24,1.33,1.01,.78,1.17,.87,.69,.45,.75,.40,.17,.22,.27,.36,.35,.63,1.48,2.64,2.34,3.23,5.43,4.03,1.41,5.43,22
,SAN YSIDRO,6.01,5.93,5.35,4.04,6.20,8.56,4.92,4.04,3.22,2.42,.81,.25,.25,.20,.16,.15,.29,.42,.86,3.20,1.69,2.55,1.26,1.27,2.67,8.56,05
PM10 STD,ALPINE,12.3,11.4,11.7,11.2,12.0,12.9,8.0,6.3,7.6,9.6,10.9,12.2,13.3,10.8,10.8,9.3,9.9,11.8,12.8,13.4,11.8,14.9,13.2,14.2,11.3,14.9,21
,DOWNTOWN SES,29.5,23.6,23.2,20.6,20.0,16.2,16.0,19.0,14.8,21.7,26.8,16.7,9.0,9.5,8.1,9.1,10.2,15.8,23.7,23.6,28.3,32.6,31.5,25.3,19.7,32.6,21
,EL CAJON LES,24.9,24.3,19.2,16.9,20.6,19.4,17.9,25.2,27.9,21.0,19.6,19.0,9.9,8.3,8.7,8.3,16.7,24.3,18.6,29.2,36.8,38.0,24.6,16.5,20.6,38.0,21
,OTAY MESA DVN,72.5,27.3,24.5,72.8,86.4,42.4,77.0,40.9,55.2,30.8,20.3,18.2,19.3,17.0,16.6,15.0,11.9,59.4,18.6,32.5,30.8,31.8,18.6,35.5,36.4,86.4,04
,PENDLETON,15.2,15.9,15.2,14.8,14.9,16.0,14.9,17.9,16.4,17.0,15.8,16.2,12.6,12.9,11.9,10.2,9.9,9.8,16.4,17.9,18.8,26.5,P,18.2,15.4,26.5,21
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
